Customer_Name,REVIEW_TITLE,Color,REVIEW_DATE,COMMENTS,RATINGS
Sidharth Pratap,Good quality but hurts the ears,Iguana,25-Nov-21,Advantages Very good quality wireGood sound qualityLightDisadvantages Ear starts hurting in a short while. This can't be used for a long time.,2
Sunetra Mitra,rd class product quality.. dont buy,Blue,10-May-22,"I bought 5 of these headphones one of each color and each of them lasted at max 2 months. Same problem for all the headphones. After 2 months, 1 side earphone stops working. And these earphones don't come cheap. Overall, utterly dissatisfied. Don't buy them.",1
D Goutham,Best quality at reasonable price range,White,15-Jan-22,"Very light weight and comfortable earpeice., excellent rugged wire, Sound quality is also good but we can notice some disturbances when volume is very high.",4
Mazhar khan 89,Average items,Spirit Lime,14-Nov-21,Poor sound quality..Not easy to fix in years..Very hard material earpieces which cause pain in ears,2
Santhosh,We can use basic purpose and value for money,Blue,20-Feb-22,"Good quality, tough cable is pretty thing and compared to all with mic headset this one is value for money",4
Tejender Thakur,Broken or not working in six months,White,10-Apr-22,Initially it worked superbly for given price but in six months one of headset stopped working.,2
ANIL  BAGRECHA,Didn't last too long.,Black,23-Mar-22,The ear phones were working fine for just 15 days. Then one of the ear pods just stop completely functioning. Unfortunately it was beyond the return period so money wasted.,2
Balaji Muthumanickam,Total waste,White,24-Aug-21,Trust me. Don't buy this. Go to realme classic bud,1
SIDDHARTH,After a month left side is not working,Black,24-May-22,Sound quality is very good very clear and bass is excellent.. Then after a month left side main drive is not working.. Only small drive is working but that's also sounds very low.. Like you hearing song from 1km away.. It's very disappointing.,3
Soumitro,Perfect,Black,26-Dec-21,I just love it. I don't like rubber. This is good and comfortable and sound quality also good. The build quality also good covered by nylon. I am using for more than two weeks.,5
Pallavi Meena,Comfortable and Durable,Iguana,21-Oct-21,"Wearing these earphones is really comfortable, your ears doesn't hurt for a good time.The wired cord really makes these earphones durable and they doesn't tangle too much.",5
Superman💙,Stopped working within days... Audio is clear but don't expect much from this...,Spirit Lime,01-Aug-21,"No noise cancellation, fell off or usually slipped out of ear easily... Clear audio but not that great base of fit. Stopped working within 20 days of purchase.",3
Rashmi,Worst earphone i ever purchased ... didn't work for even two days,Black,17-Jul-21,It got disconnected again and again sound quality is too lowI returned it but again what i got is worthlessThey provide warranty but do nothing for our support,1
Aayushi Tanwar,Amazing bass and sound,Iguana,15-Sep-21,Without any second thought go for it... sound quality is very good... wire quality is amazing ... overall very good product...,5
Lok,Very very light easily breakable,Iguana,15-Sep-21,The headset is very very light in weight you won't even feel it. The audio quality is not good it sounds like a cheap local headset. You need to handle it delicately else it will break,3
Karthick KJV,Not worth,Iguana,25-Oct-21,No volume buttons calls attending buttons available.... No bass while hearing songs....,2
PAWAN KANOZIA,Slow sound after a month,Black,15-Jul-21,Noise comes very slow when we wear opposite side sound improvised.,1
shivakumar Pardhu,Sound Clarity is not good,White,20-Sep-21,"value of money about this product is not good, because sound clarity is not good when listening music as well as boat is a brand so, how can they released this headset in market, All most all my products are boat brand related, but this product is unsatisfying me. May Boult brand is good more then this.",2
Kriti,It stopped working within one week.,White,22-May-22,"It stopped working within one week. However, I am not getting return option or exchange option here.",1
SandyCool,Nice build quality with comfort,White,10-Jun-22,"When we catch mic to the mouth then only other person able to hear, one bad things that it rest of all ok",4
Silver ,Its Faulty .,Iguana,20-Oct-21,The volume button is faulty . As soon as I connect it to my phone the volume goes down automatically . At first I thought it was my phone but the same hapoens with all devices. No way to fix it . Such a waste.,1
Ravi,Not up to the mark,White,13-Sep-21,"The earphones doesn't fit in properly, in just one day the left part was not working properly. Got a replacement for that one but the newer piece was even worse than older one. Returned it now.",1
Arun Kumar,Average,Black,03-Oct-21,Uncomfortable in ear as earplugs are hard to adjust in ear.,1
Pratik Pawar,Okiesh product,Blue,11-Nov-21,The product is okay ....i got this in offer and had pay only 200. Soo in this price point it's okay and working fine.,4
RAKESH KONTU,Good,White,11-Feb-22,Sound quality good bass not to up to mark noice cancellation very bad quality super,5
Manjyot Singh Nanra,Perfect for people who find earphones with buds uncomfortable,Blue,08-Jul-21,"For other people like me for whom any earphones with buds is uncomfortable and cant find perfect ones that fit. This is the one, for me it fit so well, and is so comfortable. Cant go wrong with this.",5
abhimanyu yadav (Chulbul),Second hand product not brand new seal is broken as well as used,White,23-Sep-21,Used earphoneNot good sound qualityProduct is cheapScrech are thereDon't buy itNoice cancellation is good,1
Amazon Customer,Creates sparky noises on its own,White,01-Jun-22,"Skip this one. Whenever it is plugged in, it makes the sparky noises in your ear whether any audio is playing or not.",1
Ravichandra R,Started irritating noise after weeks of use,Blue,17-Nov-21,"Worst, within two weeks, started too much notice, it's irritating. I had another brand earlier, using for more than 3 years, still working good even it fell on hard surface few times.this product is with poor quality",1
PK,Good sound quality,Iguana,23-Sep-21,"It has been 20 days completed. This item looks good. Sound and Noise cancellation are good. Even though I didn't like personally the design on the cable, mike placement and control button, i didn't find any other half ear phones apart from it. But I'm pretty much happy with this product",4
Adrita Bera,Top notch product at very reasonable price,Black,11-Apr-22,Only 1 word TOP NOTCHThe brand name itself says it all. The earphones are perfect,5
Md Nazrul Hasan,It's design is very good.,Iguana,26-Jun-21,I was sceptical to buy this product because i didn't have the experience of boat product.But this earphone seems very good in terms sound quality and the colour as well design looks good. Size of the speaker is good.One observation i have the mark of left and right should be in different colour.,5
sachin raj,Just wow,Spirit Lime,30-Aug-21,I've never seen such amazing quality earphone. Hope boat will provide same harf in ear in Bluetooth neck band version. I bought it in just Rs.349 and thanks amazon that delivered in just 2 days.,5
Jagdeshwari K. Naidu,Amazing,Iguana,17-Sep-21,"Sound quality is nice, lookwise beautiful Doesn't give pain if wore this earphones for long time.",5
Siddharth Garg,"okay sound, bad microphone",Spirit Lime,16-Feb-22,"if you're buying this for meetings calling, then don't, the microphone is unreliable, voice breaks a lotif you're buying this for music, then don't, the bass level in this is super highi am now keeping this as just a backup headset",3
Muzamil Shafeek,Worthy product,White,07-Feb-22,A good sturdy product. Quality of sound is very good.. worthy product in this price,5
Arjun Chandran,Good average headphones,Spirit Lime,12-Mar-22,"Good average headphones. Good build, average sound quality. Overall highly recommend this if you want a basic headphone which lasts longer.",4
Amazon Customer,defective product,White,05-Nov-21,the product was defective. raised replacement request on same day the headphone was recieved . No action taken by seller. Now its showing Return window closed corresponding to order.,1
Rakesh Patil,"Not recommended , go for another earphone company",Black,22-Jun-21,"Worst quality boat as always , wire is very cheat quality and sound is also not good , thumbs down",2
Krishna Shriram Dhanasekaran,"Received a duplicate product, not an original",White,07-May-22,"Got it for my mom, after I went back to home, noticed it didn't have any warranty card, boat catalogue book and the headphone was simply packed in the box. Sound quality was not good. Echoing sound. Need for a replacement. Or warranty claim.",1
Ruchita Chakraborty,It is good,White,22-Apr-22,It is a good product. I use it with my mi phone. It is convinient since the wires dont entangle like the other earphones. I m happy with my purchase.,5
zarna,Not worth buying it. Poor quality cable which destroys the actual view,Iguana,29-Jan-22,Very cheap quality headphone cable. The outer layer came out within 3 months of purchase. Sound is good but makes no sense once your cable starts getting apart. Not at all worth to buy,1
Shaan Akhtar,Awesome earphone,Spirit Lime,22-Jan-22,The media could not be loaded. 1. Sound quality superbb2. Lenght of wire is good3. Color is perfect as shown4. Seems reliable,5
minakshi singh,Poor quality,White,31-Dec-21,"Its not even one month have paased buying, and its one plug stopped working, wire is like a thin thread...very poor quality",1
ashish,Descent Earphones,White,10-Feb-22,"I use this earphones for taking calls for work from home. Very comfortable for the taking long calls.The sound clarity is good. The mic quality is also good.To listen music, this is descent. It does the job.",5
Anjali Singh,No comments,Iguana,12-Sep-21,Hope this last atleast a year....over all product is great. Okay it's time to review my review so The earphone was good initially but unfortunately it's one side now doesn't work. It has one year warranty.,2
Satya Prakash,Poor quality,Black,25-Oct-21,"The left part stopped functioning in 1 week, the shape of bud is not optimal. Ears pain a lot after long usage.",1
Amazon Customer,Waste of money,Blue,27-Oct-21,"Waste of money. It makes the device behave weird. For instance, when connected to my cell phone. It's drops the music volume to nil automatically. When used for calls the mic works inconsistently.",1
Rishabh Vishwakarma,best buy.,Spirit Lime,17-Jan-22,I really liked the colour lime green coz I wanted to try something different. Sound quality and bass is really cool and the ear piece dont fall off out of ears easily. Wire quality is really good and it can get better. Overall its a good product.,5
Mukul Varshney,Value buy..,Black,12-Aug-21,Value for money... Not at all cheap.. but boat is a nice brand to do justice with the money spent.,4
Sagar Dewan,Recommendable,Blue,10-Jul-21,This blue color looks cool and smart. Sound quality is good. Volume could have been a bit louder. Super comfortable to wear. I am satisfied with the product overall. Absolutely worth its price Go for it,4
Amazon Customer,"Don't buy it, stopped working in days",Blue,10-Nov-21,"Firstly, the sound quality was below average and after 3 4 days of nominal usage, the earphones stopped working. There is no physical damage or any thing, it just stopped working at one side It was a trail but I am never trusting Boat headphones.",1
swati tyagi,Nice product,White,10-Feb-22,The wire is beaded one with black patches. I was not expecting the white beaded wire but it looks fine.,5
Ekta Agrawal,Worst product ever,Iguana,06-Jun-22,I bought this around 8 months ago and now one ear doesnot work. It will cause pain in ears for using like 3 4 hrs. Sound quality is good. It says one year warranty but there is no response from customer care. Buy at your own risk,3
arunkrish,Decent jabs,Spirit Lime,10-Sep-21,"It's a very decent ear phone for those who hate in ear plugs .. sound, call quality and everything is awesome for this price.",5
Vibin,Waste of Money,Blue,04-Oct-21,"Totally waste. Not sure are they delivering any products which has been returned by other customers with issues. On the first day itself it was showing issue, whenever the head set is connected the volume will come down to zero.",1
swapna m.,Not good,Blue,25-Jan-22,The sound quality is not good. In roads the sound is too low even with full volume. The general samsung headphones available with the sets are much better than this one.,3
Amit J.,Normal sound,White,30-Aug-21,"Sound is just normal, don t expect high sound quality",3
Neha,Worth the money,White,02-Feb-22,More than a month headphone is working fine. Sound quality is real good.,5
Sammu,Worst product Ever by BOAT,White,11-May-22,"I have face worst experience with BOAt, don't buy this products its worst than local market. Total wast of time and money I am return this product immediately when I chek quality. Local market product is much better than this",1
Shubhendra,Good earpiece design,Blue,24-Nov-21,The earpiece design is very comfortable for working professional those who attend meetings for long hours ..Overall a comfortable experience.,5
saurabh,Jack issue always . I return it Times additional return to boat also.,Black,01-Aug-21,Everything is fine but what if the jack is not working. Boat should think again and. Don't sell such products. Go for boat other models .,1
GadgetTestamony,Not a good product,White,04-Jan-22,"Its mic is worst...it does not work,other person can't hear ,sometimes it suddenly starts working ,u find it very difficult establishing a conversation...Using this earphones from more than 2 months...Won't recommend it...",1
Chetan Malik,"sound super baas low, no noise cancellation",Iguana,14-Dec-21,"sound is amazing but bass is below average and there's no noise cancellation, you can't talk in traffic",5
Shantanu Jha,Not good for music lovers,Blue,31-Jul-21,Terrible and bits missing,1
Balaji Nalawade,Not happy with product. In this price range still we can get better than this.,White,11-Sep-21,Not surprised at this range the quality of sound is below poor quality. Apart from half in ear ergonomic design nothing is acceptable in this piece. In this price range there are other options please check them before.,2
Akshay,Best earphones at this price,Spirit Lime,28-Aug-21,1 Sound quality average but worth at this price2 Comfortable in ear argonomic design 3 Great colour combinations4 Build quality awesome5 Total value for money,5
Amazon Customer,Do not buy,Iguana,23-Oct-21,"Absolutely useless. No bass what so ever. Not worth the price. A local one sounds way better that this. A honest opinion, do not waste your money on this. There is no returns too. Totally disappointed.",1
Devesh Agarwal,This is the second earphone I have ordered,Blue,22-Dec-21,This is the second earphone I have ordered. Value for money. The cable is very durable.,5
Kanupriya,Stopped working after couple of weeks,Blue,05-Sep-21,Very disappointing quality. Earphones sounds reduced to 10 within couple of weeks. Mic is less sensitive. Just waste of money.,1
nirmal ganesh ,Quality product,White,01-Feb-22,It's sits perfectly in the ears besides a quality product. I've faced inconvenience with other brands the way headset sit in the ears but glad with this product.,4
Family,Perfect as I expected,Blue,12-Mar-22,Great product for those who really doesn't like rubber buds..Decent productCool in sound qualityGood in BassReally a satisfactory product,5
Apurva Mayank Singh,"Sturdy build quality, value for money.",White,16-Mar-22,"No second thoughts, just go for it if you re looking for decent earphones with a trustworthy brand backing you up.",5
Ajay,Totally waste of money,White,13-Apr-22,Soud quality is good but the build quality is totally poor I have buy this for 3 time and every time the left side gets stop working winthin one month this thing will not work more then 1 month I guarantee.,1
Faisal,Great earphones,White,17-Mar-22,Only problem is can't wear for more than an hour on continuous work. Take a break and then we can wear it's a good product for light use,4
MUKESH K.,N,Blue,23-Oct-21,"Nothing like a brand, no beat no bass , even mic not good, other person can't hear the low voice. Pathetic ear phone. How fools rate 4 to5 start.",1
Ishwari Bhalerao,Amazing sound quality,White,04-May-22,"Received the product yesterday and it exceeded my expectations. Sturdy cords, amazing bass and the earphones are a delight to wear for longer durations without any hurt. Best product, hoping to use it for a long time.",5
Gouri,Life is sailing because of this boat.,Spirit Lime,31-Jan-22,"You feel transformed to another land ,with sound clarity and amazing noise cancellation especially children Everyone has right to privacy so this product is totally worth spending for me time.",5
vinod kumar,Stopped Working after Few Days,Black,09-Nov-21,"Ok Product, Bass is not good voice clarity is good But left earpiece is not working, trying to get a hold of service center but no one receiving the call.",1
Sarika G.,,Spirit Lime,12-May-22,"Awesome Product recieved, I am still using this earphones..thank you Amazon YOUR electronic products are also worth to buy.",5
Sandip vanjari,Worst boat product I have received it's voice is automatically decreased in month,Spirit Lime,19-Mar-22,Worst boat product I have received it's voice is automatically decreased in 1 month and there is no online fascility to replace this faulty product,1
Harender Pal Singh,Cable quality is very poor. Other features are good.,Black,15-Oct-21,Cable quality is very poor. Other features are good,2
Lekshmi,Worst quality,White,17-Nov-21,"Bought this as a backup as I am mostly on calls. One of the ear stopped working on the second day, could not return it as I opened only after the return date",1
Anindya,I hate bass.. but these earphones are good.,Blue,04-Jan-22,Very clear and clean audio quality . Bass is not overpowering which is perfect.,5
Aariya💫,Little expensive but good quality,Black,07-Sep-21,Earphones are of good quality.. performance is good... But.. little expensive... Nice product,4
Bhavna,Its is has design flaw.,Blue,06-Dec-21,It has a severe design flaw as it messes up device software to force to reduce its volume to 0 and that keeps happening again n again the only way to stop it is to remove them and re insert multiple times.Waste of money,1
Anjali,Mic doesn't work,Blue,08-Jun-22,It's such a disappointment they advertise this headphones have mic and doesn't even work it's such a basic thing,2
Prasanna kumar,Happy customer,White,06-Jan-22,"I am using the headphone for my iphone and oneplus with connectors help, sound quality and mic works properly and it sits well in ears",5
Amazon Customer,Mic doesn t work very well,White,01-Jun-22,Sound output is good.But the mic doesn t work. Need to hold it close to your mouth and speak into it for the other side to be able to hear you. Not good for meetings,2
Amazon Customer,Experience,Iguana,28-Sep-21,It stopped working within 2 week of purchase. Highly disappointed with the Amazon recommendation and boat quality.,1
manish gundev,sound quality,Blue,02-Jul-21,"The media could not be loaded. It is good for people who prefer inear earphones, price rang is little bit high by overall ok.",3
TY,Didn't work,Iguana,01-Jul-21,This didn't even work on my phone honor play,1
Nitin Singh,Not working with samsung mobile phone and quality is poor,White,10-May-22,I bought this headphones but the experience was not really very good. Its does not work with any Samsung phone.,2
Boski shah,Dont buy,Iguana,17-Oct-21,"Its pathetic... plz dont buy it . It has a terrible flaw. As soon as u connect earphone to a phone it decreases volume to 0, i tried with honor ,vivo and samsung note 10. It was the same.even the roadside 50 rs earphone is better than this",1
As C.,I am facing sound problem with this earphone,Black,07-Sep-21,"I facing sound problem with this earphone,so please replace at your earliest.",5
Manish,Mediocre product but value for money for low price.,White,29-Sep-21,"Not for those who have tasted JBL products.But value for money for 350 Sound quality is not too good and not too bad,Wire length is adequate.Looks wise awesome.",3
J.,Amazing Earphones,White,20-May-22,"Very good earphones..good sound quality.. Since cable is braided, won't chip and tear. Play, pause, next, prev, answering, cutting, rejecting calls can all be done with just one button.",5
Tamilmaran,Unsatisfied earphone for Bass lovers,Black,08-Mar-22,I m not satisfied with the sound quality..For this price range u can buy best earphone in realme and boult. Please go for it.. Dont buy this,2
Aditya,Shelf life is weeks,White,20-Feb-22,Right side speaker is dead in just 2 weeks... Will not recommend anyone to purchase it... Service Centre is too far to go there and replace it,1
Neha Mansharamani,within hrs of usage the right one is not working,Black,19-Nov-21,"Within 10hrs of usage the right one is not working, now who has time to run to service centres Sadly not worth it.",1
Narmatha R.,This only works in one ear,Blue,03-Aug-21,This earphones are quite good for about 2 months and after that I faced some problems like it made one ear phone sound so loud and the other was too low. And this my opinion by using it for about 2 months,2
Jyothi P.,Ok product,White,16-Sep-21,I don't think it is the one of the best product in this price it is because it's mic too bad the sound is ok but it's mic is too bad Only for hearing its ok but for a call its a worst product.,3
Antara,Good quality sound .,Black,10-Jul-21,The sound is clear and good. It's value for money .,5
peeyoush malav,Earphone not worth to Buy Better option available in market.,Blue,27-Dec-21,Product is not worth 399.00 Sound quality is very poor. Go for realme wired or some other brand. Even my portronics earphone of 200 rupees sounds better,1
Javed Alam,Not Good.,Iguana,01-Oct-21,3.5 mm jack isn't connect connect properly. Many time it's disconnect for itself.,2
Mohd Mazid,Very bad sound quality,Black,30-Sep-21,Sound quality is very bad just like 50 rupees earphones but wire quality is good,1
Ram bondre,Awesom,Black,26-Jun-21,"Delivery boy is good person he wait for me for 10 min.product is good , wire is also good.delivery is fast.",5
Dhasmana,Very avg. Serviceable. Sturdy,White,06-Feb-22,They are very good for the price range. Good for calls. Avg. and sturdy,4
Amazon Customer,Nice earphone,Iguana,03-Jan-22,This earphone is very comfortable. Not much bass or treble but feels very comfortable. Go for it,5
Lucky,Not good. Mic is very bad.,Spirit Lime,24-Jan-22,Looks nice. Color is vibrant. Sound is okay. Similar to local non branded earphones. Mic quality is very poor. Doesn't work after 4 months. Would not repurchase.,2
krishna chaitanya,Dont Buy... No Return Policy,Blue,01-Oct-21,"Never Seen This Type Of Cheap Quality Earphones. Dont Buy At All. You Will Regret If you but it, there is no return policy also",1
Satyam,Don't buy this eraphone boat,White,09-Oct-21,The media could not be loaded. Cheep like produact sound like 50 rupee eraphone is batter this eraphone this kind product is company make product is this kind of products than not buy,2
Neetima,Really good,Blue,29-Dec-21,If you want a earphone that will go long and is strong then buy it.I dropped mine in water and it's still working perfectly...,5
Punit kujur,Good product,White,21-Jun-21,Perfect for using headphones for long periods of time . I have no issues regarding sound quality or quality of headphones in general ..,5
Manoj Kumar,Value for money,Black,23-Jun-21,Descent sound qualitySuperb Built Quality,4
Ajay Sharma,Ok Ok types,Blue,08-Jul-21,"Was looking for something that doesn't go inside the ears, picked these, thought it might have better sound, but it is ok ok type sound, there is no bass and overall sound quality is average..",3
Devu Krishna,Bad,Spirit Lime,14-Jan-22,It's been less than a month since I bought it and I can only hear vibrations from one side.,1
Amazon Customer,Nice product,White,21-Feb-22,Need more colour options only white colour available,5
T R Sudarsan,Everything fine,Spirit Lime,23-Dec-21,"There is no dislike, quality is good , sound is good",5
A. Kane,Sound is not clear,White,08-Apr-22,"The sound is low and even the voice sound is not sharp at all, forget about music listening. Will not recommend.",2
Anil kumar,Good one but mic is not in correct place,Black,27-Jan-22,"Good one but mic is not in correct place, it should be placed at near to our mouth or as like some other ear phones mic should be placed on left or right wire. so that while speaking we no need to adjust.",4
D->Dev,"After months not working, warranty contact not working",White,22-Mar-22,"After 6months not working in 1 side. For replacement, warranty contact is not working Amazon don't have any support ways to achieve it.",1
SUBHASH KUMAR,Average sound quality but good sound,Black,14-Jun-21,.sound quality is good.but sound could be more better.overall good earphone. Design of earphone is average.bass quality good.,4
Kesavan,Sad to me,White,11-Nov-21,Speakers are good ....But the button doesn't work...Please don't buy the products at the festival time...They are packing the replaced items or damaged items,3
Salahu Khan,Beast in the Best Cheap Price,Blue,05-Dec-21,Overall the Inbuilt quality looks premium obviously cz it's of boAt...Sound quality is dhamake daar...u will love it...Just go for it...,5
Ayan Bhattacharya,"Very nice quality, but subdued sound",Iguana,01-Apr-22,"Excellent quality and durability but the sound output is subdued. Bass is ok but treble, jhankar etc. is quite low.",4
VIkas Pathak,Ok ok,White,07-Jun-22,In 400 is just a product like 100 rs lead from gaffar with boat logo.No bassSound is very high that too in bad quality.,2
savio goodness,NOT COMFORTABLE PAIN IN EAR NO RUBBER BUD GIVES PAIN,Spirit Lime,10-Nov-21,Pains in ear after 15min uses. No ear bud support gives sharp pain.. sound and noise cancellation is good. But if pains what is the point,2
Amazon Customer,Did not last even months,Spirit Lime,24-Mar-22,My son needed earphones for his online classes and I had ordered these for him. He had hardly used these for 3 months and it abruptly stopped working. Very disappointed.,1
Amit Mihani,Quality is not good,White,08-Jan-22,The media could not be loaded.,1
Abhishek G Nair,Good bass performance and comfortable to wear at an affordable price,Blue,26-Nov-21,Good bass performance and comfortable to wear at an affordable price,5
Tejendra Singh,Very good,Spirit Lime,18-Nov-21,Good. Yet to see how long lasts,4
Sameem,Value for money,White,19-May-22,"Value for money, thickness of wire for durablility",5
Garima,Worth the money,Iguana,11-Jul-21,"The colour is beautiful, the sound is great, noice cancellation according to an earphone is amazind, the wire quality is also good.Its completely worth the money.",5
Aashish,Fabulous earphones,White,22-Mar-22,"The reason why I bought these is because I don t feel any type of pain after using it like 4 5 hours ,Sound quality is superbI been using this from 2 months .Go for it",5
Manoj C.,No volume buttons,White,08-May-22,Volume buttons are missing. Ear buds are slightly larger in size,3
rohan s,Unreliable product even the replacement doesn't work,Spirit Lime,03-Dec-21,Pathetic product. The first one was not working after a couple of hours. Colleagues claimed that there was a constant crackling sound from my end. Got it replaced. Same story. Even the mic is far away from the mouth.,1
Ashwini,Worst product ever,Iguana,11-Oct-21,Just can't use it .... it automatically decreases the volume to 0.... even if do not touch volume button...This is the worst earphones I have brought... such a waste of money,1
ank itjis,Extraaaaa bad,White,26-Apr-22,The sound quality aswell as the built quality is cheap and not qorth it,1
Md.Arman F.,Good product,Spirit Lime,09-Feb-22,"This item is good for movies,calls and music but it doesn't worth it for gaming. EWhenever I play the game it surrounds the sound and some times it hard to understand the footsteps of the enemy's..",3
Prashant,Design is very good,White,14-May-22,If you are looking for best wired earphone around 500 then this is the best option if you like this kind of design.,5
Raz,Overall good,Spirit Lime,11-Jan-22,"Sound quality is good, like the design.",5
Poorvi,"Only for listening, just in a month, the mic is not working..waste of money totally",White,13-Oct-21,"the sound quality is good but if you are using it for regular interactions, the purpose is defeated. U have to hold the mic near your mouth to let other person hear you.. otherwise the sound will not go",1
radha krishna,Completely use worth less product in this price range,White,26-Mar-22,Completely use worth less product in this price range,2
Killdoubt,Mic doesn't work with my Samsung Galaxy M,Black,26-Jun-21,These are good looking Earphones and I bought these cause they don't have rubber buds attached to these. I bought these just to use for calls.But It is useless because mic doesn't work with my Samsung Galaxy M31.,2
Faraz Mohammed ,Pathetic,Black,17-Jan-22,Pathetic product. No bass whatsoever. I want a refund but there is no option of return. Why would i want a replacement of this crap Absolutely a no go. Disappointed with bOAT,1
Pooja,Good sound quality.,Spirit Lime,14-Jul-21,"Very clear sound quality at this price, and looks durable as well.",5
Dibya Jyoti Dang,Outer skin of the wire wears out fast,Blue,14-Apr-22,Review after 6 months. Product sound quality is perfect as expected from BOAT. Only issue is the wire outside skin quality. It worn out within 3 months.,4
Salmon Johnson,Left side is not working just used for month never fallen,White,23-Apr-22,Product was good but got damaged.left side of headset is not working never fell down,1
Rugved Khopkar,Not working for Skype and Zoom meetings on Laptop,Spirit Lime,04-Sep-21,These earphones doesn't work for skype and zoom meetings if you attend them from laptop. It's mic doesn't work and I believe it's compatible.If you want to use it just for mobile then go for it.,2
Tanya Awasthi,Okay okay,Black,05-Dec-21,I bought these earphone for my mom best at this price range,4
jags,best ear phone ever I brought,White,18-Dec-21,I have tried many ear phones but this is the best one ever I have used I am using this for 1.30 month not a single problem.....best ever.......can buy gaurantely,5
Pema Tshowang Sherpa,Good,Iguana,01-Dec-21,Product is good the outer cover is less sturdy tears fast,4
Amazon Customer,Ear friendly,Spirit Lime,24-Nov-21,"i am using it for whole full day... no aches , good sound quality, worth buying try this one you wont regret",4
Karthikeyan,Good Quality and Design,White,20-Nov-21,I like this Design. It gives premium feel. Really a good product. For every products there is a pros and cons. However this product has many pros and also have some cons.,4
Aaditya Sharma,Best for normal use. Works for office use also.,White,22-Nov-21,Absolutely great pair as I didn't needed an in ear earphones and dis one is better than I expected for my daily use.,5
sumit,Faculty product,White,15-Oct-21,"It's not clearly audible rippels are coming with sound, Volume of my devices is automatically controlled without intervention, sound settings are changed automatically. Not what I expected from BOAT",1
Amazon Customer,The green color is just wow,Spirit Lime,12-Jul-21,"I am in love with these earphones, everything is good and the color is just wow.",5
harsha vardhan,Value for money. Bass better than flat but not punchy,Spirit Lime,13-Jul-21,Value for money. The entire cable could have been braided. The bass is not up to the mark. It is better that flat but the punch is missing,4
Anubhav bansal,I can negative star for this product.,White,22-Oct-21,Quality of headphones is very poor. The call gets auto mute disconnected while talking on this headphones.,1
Gokul,Better alternative,Blue,14-Jul-21,"NiceGood change for budless earphonesworth for moneySound is decent, quality is awesome, wires are well protectedFor its price range it's great",5
Amazon Customer,My ears are hurt just by wearing these,White,19-May-22,These earphones are really difficult to wear and my ears started hurting after five minutes of wearing these. Buy only if you're used to wearing this type of earphones.,1
LUCIFER,This was the worst product,Blue,12-Dec-21,This is the first product from boat which i disliked the sound was literally cracking and mic was not even working i do not see boat to produce such products in future.,1
Amazon Customer,Value for money,White,13-Feb-22,Best part of this earphone is due to finish of wire it doesn't entangle. good fit in ear.,5
Vedanshu Malik,Left side stopped working on first day Too lazy to return these.,Iguana,06-Jun-22,I thought they'll be durable but they are not,1
shyam kumar verma,My first review on boad product,White,11-Jan-22,"My first review,boat wired earphone, as like normal brands under 50 to 100rs bad experience",3
Harsh,Good,Black,17-Nov-21,Good n sturdy,4
Nisha,Good Quality,Black,06-Jun-22,The quality of the sound is great. Comfortable for the ears. No infection. Thanks 3,5
Raghav,A Must buy one,Blue,03-Jun-22,Look wise it's great. Performance of the product also seems to be excellent.,5
Jitendra,Awesome,Spirit Lime,29-Aug-21,Sound is nice,5
Jinju Joseph,Good earphones,White,25-Mar-22,Decent sound and build quality.,4
E.N.A.,Not so great,White,10-Jun-22,Good quality material used however the sound is not that great.... No noise cancellation at all....,4
Mithlesh sharma,All about good,Black,02-Feb-22,"The media could not be loaded. Good quality, noise cancellation not working mic not working properly sound and bass is awesome for this price.",4
Apurva,Sturdy earphones,Blue,03-Jan-22,"Very good earphones for those to whom sound quality does not matter much. Works fine for normal use like listening to music or taking calls. The earphones are sturdy, can be used roughly.",4
Rahul,Every thing is excellent..,Spirit Lime,17-Jan-22,Audio quality really appreciate but worried about cable between mic an earphones .. as material is different there..which seems valnarable to me..,4
Amazon Customer,Decent but not great,White,02-Oct-21,The wire is great but the earpiece is okay. Can't wear it for long hours.,3
Amazon Customer,Simply Awesome,White,10-Jun-21,Simply Awesome,5
Vinay Sayimpu,Ok in this range,Black,04-Oct-21,I've been using this for 3 months. It has good build quality and it don't get tangled. Sound is fine. But it don't have any noise cancellation. Wire is not long as other earphones. And don't have volume rockers.,4
AJM,"Does the work.. nothing more, none less",Blue,21-Nov-21,The mic is not useful for attending calls,3
Ahamed nilaf,Good,White,03-Dec-21,The product is good My frnd bought it on amazon much lesser price than me . That is the only concern but the product is good . The quality is good nice sound .,4
Shabnoor Shakeel,Awesome Earphones,Blue,25-Dec-21,Really Fantastic Earphones. I highly recommend these Earphones . Awesome quality earphones in affordable price,5
Srinivas S,headphone type,Black,24-Nov-21,Nice headphone,5
Manojkumar,Don't purchase these product,White,02-Jun-22,Don't purchase these product totally waste of money I replaced the product two times and it gives same issue volume controls automatically increase and decrease,1
parvat,It looks worst but build quality is best,White,14-Mar-22,I like build quality go buy it,5
g.pradeep kumar,Simple and stylish,Black,13-Jun-21,,5
K.S.Viswanath,Quality,Blue,19-Aug-21,Good product and value for money,4
PRASAD A,Nice,White,30-May-22,Good one,3
R,Superb product Excellent packaging Marvellous finishing Excellent sound,White,03-Mar-22,"I am became fan of Boat ordered one more basis Experience Magnificent sound, noise cancellation which is required now a days in being work from home. Must use",5
