,reviews
322,"I'm going somewhere for two days for an important visit. They cancelled my 5:00 AM flight at midnight and tried to put me on a flight the following day which did not work with my schedule at all. I tried to look for other options and their customer service is so broken I can't make it work and I had to just end up cancelling. They won't give you a refund they give you ""flight points"" as if I'd ever want to fly with them again. Nonrefundable hotel booking is how I lost $300. Incredibly unreliable."
323,"On March 22nd we had a booked trip from RDU airport to Dallas, and was cancelled.  Following day, the new flight was completely full.  Beware, the airlines are cancelling flights to keep their airplanes full and you have to incur extra hotel payments due to that."
324,"Flight 5408 Boise to Phoenix 3/26/2022: Gabby Susan and Edgar were so helpful when taking my new 5-month-old dog ""Archie"" on his first flight. They not only made sure that he could fit under the seat, they walked us on the flight and helped us secure him for the flight. Thank you 3 for making our day and ""Archie"" is now a fan of American Airlines!"
325,"I’m from the UK and booked tickets for our holiday for 2020 from lax to Miami. Obviously because of covid we had to cancel. They wouldn’t give us a refund, only credit. I’ve had to ring up so many times to ask about the credit or refund. I tried to use our credit and was told I could only use the credit on a domestic USA flight and not an international flight which is difficult/ impossible for us to do. They change the rules to suit themselves. If American Airlines expects me to do use then again then they need to issue a refund"
326,"I had booked flights for Spring Break 5 months in advance. We were leaving in 2 days so I went into see when the flights had to be confirmed. I went on the app to discover they had changed our flights both ways! I received no communication from American airlines. I called the customer service line to receive the run around that they could do nothing for us. The flight home was moved from 12:30 pm to 7:23 am! They moved it 5 hours up? How is this okay? We need to get up at 4 am- NOT OKAY! No compensation, nothing but having to get 5 people out of the house and packed at the crack of dawn! Thank you American- we will not be using you in the future. Best of luck!"
327,"My family and I were traveling to Hartford Ct to bury. I am disabled and need a wheelchair as well as utilizing a Service Dog. We travel rarely and when we do I take my service dog with me. From ILM we were treated fine, when we landed at DCA (Reagan Airport). When we went to board to Hartford the ticket agent started in with our Service Dog. The dog in question was certified 3 years ago, by American Airlines. She is up on all her shots, and they wanted to crate her. She is a SERVICE DOG that I am need just in case I get seizures, or low blood sugars, she cannot do her job if she is crated. We were traveling to bury my wife's brother. When she told him that all the supervisor could say is ""don't yell at me"". When they finally let us through, they sat me in the last seat. I am disabled and they put us in the back. I have a hard walking and they board me last.My troubles with this airline continued upon our return from the funeral. The same issue. As we waited in line the ticket agent screamed that she could not do dogs. I explained about my service dog to which she replied I still had to find an airline agent. When I asked where I could find the agent she pointed to the right, at the end. This was an all-out attack on my 12-pound fur baby who helps me and has no teeth. I called the airline the night before my flight, and they said there is no problem. With all that happened we feel that we should be compensated by either three passages on future flights with an upgrade. By the time we got home, both my wife and I had shot nerves."
328,I was flying from Miami back to Boston on business. I was waiting in line to have my bag checked. When my turn came a man cut in front of me. I explained that I had been waiting in line. The American employee or Sky Cap told me that he could not help me and proceeded to let a man who had not been waiting in line cut me because it was a friend of his and they began speaking in another language. I've never been treated so rudely in my life. I will not be using American Airlines anymore. Horrible customer service and the employees are in need of training.
329,ill try and make this short and sweetMy family and i were scheduled for our flight on a Tuesday going back home to TN. During the day on Monday my 6 year old son said his ear started hurting. So we took him to the doctor and had a serious ear infection. So obviously we couldnt fly back on Tuesday with an ear infection for my son. I called America Airlines to reschedule the flight for Wednesday and had to pay an extra 1200 dollars to change from Tuesday to Wednesday flight. Customer service ignored the circumstances that my family was under and completely ignored the fact that we couldnt fly on Tuesday under those conditions. After getting back home i called and emailed customer service if there was anything they can do about a refund (partial or full) to accomadate the circumstance we were in being unable to fly. After several emails back and forth they were unable to do anything. After all the no's i was given i ask maybe they would be willing to give us points for a future flight to accomadate and still receive a no. All i kept hearing was thats our policy sir and we cant do anything for you. I am a unhappy customer and would not recommend their customer service in any way shape or form.
330,"I have been flying with multiple airlines, but now with American it’s been the worse customer service possible. Trying to change dates, which cannot be done online.  Spent each time over an hour on the phone, international, and even when i reach a representative they keep putting me on hold, without warning, each time for 10-15 minutes, and no way they resolve anything.  Is it because they are underpaid, overworked, or simply incompetent? Or is it American system that needs improvement? Anyway, will try to remember this on my next travels."
331,"This was my first flying with my 4 month old. Although it was a short flight, I was quite nervous at the prospect of traveling and keeping bubs happy. Thankfully everything went well. From check in to baggage claim the AA crew did a really good job. I will be traveling again with you soon."
332,"AA forced us to buy brand new tickets to come home even though we had purchased roundtrip tickets and had the confirmation to prove it. They blamed Priceline and would've easily left us stranded in a foreign country. With no other option, we had to buy new tickets on the spot. When we got to our connecting flight we found another agent to help us. Turns out, AA inadvertently changed our roundtrip tickets to one way tickets when they updated out itinerary and should never have forced us to buy another ticket. I've never been treated so horribly by an airline. We expect a refund, explanation and an apology."
333,"Horrible Experience! It all started when we got delayed in MSP to get on our connecting flight in Dallas to Mexico. We asked the person at the gate when our plane kept getting delayed about what to do because we had a connecting flight in Dallas to Mexico. We were wondering if we should find another flight or get on the flight once it was ready to leave. She told us to wait and if we missed the flight in Dallas we would be put on the 1st flight to Mexico. THAT WAS A TOTAL LIE. When we finally got into Dallas we missed our connecting flight to Mexico. We went to the lady at the gate and asked her about our options and she told us we need to go to D24 to see what they can do. We got to D24 the lady at the customer service desk was rude and told us there was nothing even on other airlines. she gave us a hotel and food voucher and put us on standby for the next day. she never explained the Vouchers. We got to the hotel Fairfield and that was another nightmare, We end up finally getting the correct rooms after dealing with a rude front desk person and went to bed. we got up at 6am to go to the airport to get on a flight at 10 am but we were standby because thats what they put us as mind you we are a family of 5. Well that did not work because standby had only 4 seats and the rude lady at the gate asked my husband to go to Mexico with my children and leave me in Dallas until the next flight that night. We would not travel with out all of us to Mexico. We then got on the flight at night after we talked to another lady at D24 who actually gave us tickets for the next day if we did not get on the plane at 630.  We get into Mexico and then our checked bag is missing. We wait for 1 hr at the customer service desk to report our missing luggage. Its now been over 2 days at the airport and 11pm before we finally get out of the airport. We then try to talk to American Airlines through phone calls and messaging on the app and no one will help us. Our bag finally gets to us 7 days into our vacation. We get our bag and its a mess. Its missing the wheels, holes in it and cracked. We are also missing items. We refused the bag so the person who delivered the bag too it back to the airport. I tried to contact them only to get no help.When we left Mexico we tried to talk to them and they told us to talk to Dallas where the bag was missing from. While waiting in line to get on the plane to leave to Dallas a lady asked me to check my carry on and I told no way your company lost my luggage and I need my items so no way I would I check in my bag. I may have been rude but after 10 days of this mess I was over it. When we finally got back to MSP from our horrible trip we got information on our luggage at the ""repair place"" which it a hard side so it wont be fixed and a email address for our missing items. Still dealing with this headache. Worst trip ever and my son senior trip ruined because all we did every day is try and get American Airlines to talk to us and help us. The luggage had items we needed so we had to buy shoes and other clothes until we got our items."
334,"I wish I could leave a zero-star review. It was my first time buying from this company. Anyone I can, I will tell them to never buy from this garbage company, that don't care at all about their clients. They just want your money and F... you after you paid. I bought 2 people round trip and when I reached out to change the flight date, they said I was a basic plan and said, ""Use it or lose it"". Funny enough, my father in law bought the ticket they said it was main cabin, but we couldn't change the flight either, for some other made up excuse. PLEASE DONT BUY FROM THEM."
335,"I recently traveled to Cozumel, Mexico, on American Airlines. The return trip was the absolute worst flight I have ever been on. They have a program they call advantage member, its more like the DISADVANTAGED MEMBER. Got the Citi Master Card, supposed to have priority boarding, NOPE. Booked 4 months in advance, chose our seats based on our medical conditions. Supposed to recline, and have standard leg room. Arrived early we were actually 3rd couple in line to check in. App still said we had our seats. NOPE AA downgraded our seats with no explanation at all. Seats we got, NO recline, LESS leg room, UNFAVORED location, and we get to hear toilets flush entire trip. Couldn’t stow computer bag under the seat in front, because my knees were against the seat. Had to turn to the side a little just to pour the soda they give you. I will never fly this crap airlines again. I challenge AA management to fly in these seats. Row 33 needs to be removed from these planes. They charge $$$ for upgrades, $80 for more leg room, they should pay for less leg room, anywhere from $30 up for favored location, they should pay for unfavored location. I paid for a reclining seat, I didn't get it. I figure they owe everyone they bumped to that crappy row of seats a minimum $100."
336,"Talk about the absolute worst experience ever!  After getting married and having our honeymoon in Cancun…the nightmare began.  We sat on the tarmac in Cancun for 52 minutes.  Finally taking off then we get to Dallas.  Since our flight was late, and we had a layover of 1 hour and 25 minutes before the delay.  Immigration was a joke too.  So needless to say we knew we were going to miss our flight.  Called American Airlines to see if we could get another flight.  Lady on the phone said they could get us out but wouldn’t be until 830 the following morning.  Also they would cover room and food for the delay.  Finally get thru immigration, and now off to the customer service desk, along with about 70 other folks who were going to be missing connecting flights.  After standing in line for near 2 hours there, we finally make it to the counter.  The lady was very helpful, but trying to find a flight was a joke!  She tried sending us to any airport possible.  Said if we wanted to make it back to Portland we would have to wait 48 hours in Dallas on our own dime.  Not even a voucher for food!  Their best option was to send us to Philly the next morning, have a layover there for 7 hours then fly us to Seattle….and from there find our own way home?  I don’t think so!  I paid for a round trip flight to Portland Oregon!  We sat in the airport all night long, and they had taken our bags from to us for the flight to Philly.  While we were waiting at the airport, we decided to look for flights on other airlines.  Figured we wouldn’t find anything since the ticket agent at AA said they couldn’t find any other flights on any other airlines.  After looking for 3 minutes we found a flight from Dallas, to LAX, then to Portland oregon the next day.  So we decided we wanted to book that flight, but tried to be proactive and get our bags back so they would be with us.  After phone calls and more phone calls, we couldn’t get any answers.  Decided to book it and say the hell with AA since they had been no help since the first moment.  We went to the ticket counter for AA at 330am to see about getting our bags.  Lady was very rude about it, and said she put it in the computer to get our bags back, but didn’t know how long it would take and we just needed to go wait.  Wouldn’t even cancel our flight we weren’t going to take, or even make a simple phone call to baggage to get our bags!  After waiting 40 minutes for our bags we had to catch our delta flight so we had to leave.  Come to find out, our bags were sent to 3 different locations….Dallas, Philly, and North Carolina….what a joke!  Once we FINALLY made it back to our destination in Portland, 37 hours later mind you, we had to put in for missing baggage.  After this experience, American Airlines will NEVER get my service again, and we have let all our friends and family know about how horrible this customer service is."
337,"horrible airline would not recommend them to anyone.I had a 1pm flight to St Louis we had to be there for 6pm to attend an event we had already paid for. 10 minutes before we are suppose to board our plane it get's delayed until 4:30 pm. We get to the customer service desk and they tells us we have no crew to fly the plane, I tell them i have to be in St Louis before 6pm and they put us on a 2pm flight we just have to get across the terminal to the new gate by the time we get to our new gate to check in that flight has now been delayed to after 3pm and we are moving to a new gate again to wait for the plane to get her hopefully. Lucky for us as we are walking we find anoth airline with a 2 pm flight to St louis and we get on it and get there in time. Thank you SOUTHWEST, at leaste you have crews to fly your booked flights. after I get home and call American to get my refund as the service desk told I could they refused to refund my money and would only give me a cedit for the vaule of the cost of the tickets not even some type of upgrde to show that they care that they almost cost me a lot more money they just the tickets for the flight. I guess it's our fault that they had no crew to fly there plane, they can keep there tickets and BS credit I would rather loss it then fly on them again. Trust me look at there reviews stay away it was my first and last time ever deling with American Airlines"
338,"Flying aa for years, however my last experience was far from good. At the counter, the lady insist on scanning the wrong passport (dual citizenship): 'it doesnt matter' she insisted, i ask for a manager that took 30 mins to show up...Then, at the gate, they call my group, 1, and she said that they must check again all our documents, again in a different gate (counter), back when the last passenger boarding. My business class experience, four times a coach ticket, was not good.I will not tell about the flight attendant that woke me up asking to put back my mask.."
339,"Very horrible Airline to fly with they canceled their Flights to NYC claiming weather conditions, every other flights went to nyc that day without issues, they didn’t even offer hotel,nothing at all but getting us on a flight for the next day. Disgusting inconsiderate people."
340,"I m flying overseas in July, I booked the reservation through the internet, picking up the time that worked for me and my family, the 12:38 flight from Boston to New York, American airlines cancel my arround trip .3 reservations, and they did not call me to check with me about any other alternative. I found out after I  was checking my reservation. The site agent is checking about it, she informed me that that they have 8:45 am flight, 10 hours layover in New York, and not confirmed yet. I have my itinerary with all the flights numbers and the actual time before they cancel. Still waiting."
341,Over abundance of cancelled or delayed flights. Finally got a flight that arrived early. Yeah. Except now have been waiting on checked bag for 45 minutes. On another flight had some sensitive circuit components so put in hard shell carry on size suitcase so could put in overhead bin so didn't get trashed by their luggage handlers. Was forced to gate check it but when plane departed the bins were less than 40% full. Ridiculous.
342,The flight got changed twice and i was no longer able to do the connexion with my previous leg.I called (from France) to be reimbursed.I faced:Unacceptable delay for answering my email (6 weeks).Unacceptable resolution (i had to call several times multiple numbers to get an answer from somebody else)Unacceptable rejection to be reimbursed for the 1 hour i spend on a toll/premium number with nobody to answer my call ($20 cost)I'll do my best to never fly American again.They deserve to get bankrupted again.
343,"Slight Delay from St. Thomas to Dallas.  No big deal, we had 45 minutes to get to our gate for our Omaha destination which was 5 gates away.  Plane landed then stopped moving.  Then went over to Tarmac purgatory.  Captain said they had a ""kerfuffle"".  AA software malfunctioned and applied Daylight savings time a couple hours too early which meant DFW thought we were arriving an hour later and had no gate to unload.  Finally unloaded and ran to gate arriving a minute early and witnessed our plane still at the gate.  Sorry they said, gate closed.  This was the last flight for the night.  AA App solution, the only option we had to communicate our issue since phone care was a 2 hour wait and customer care line was 50 deep with only 2 employees, was to fly out 3 days later with a stop in Charlotte.  6 hour flight to go 1.5 hours north. 3 days later.  Thankfully we were able to book nearby hotel, find a flight to KC next day out of Love field with SW Air and have our son do a 6 hour round trip car drive to pick us up the next day.  Congrats AA, our luggage was at the airport in Omaha.  These were paid-for, class A tickets.Only way to get a refund and a rejection of any other costs we incurred is to send an email with an expected response in 7-10 days.  Pretty sure from below posts, ""kerfuffle"" means ""weather"" in AA speak.Not holding our seats on last flight of the night knowing we are sitting at another gate waiting for the door to be opened reflects a serious disregard for customer care and more importantly, a complete lack of operational awareness and ability.We have been flying SWA for decades.  Yes, no seat assignment can at times be a hassle if you don't know the process.  If you know the process, it's slick and easy.  We have their credit card and haven't paid for a flight in years.  SWA would have held that flight.AA executives clearly not up to the task of running an airline.  Their shareholders should demand a change."
344,My family member has Platinum Pro status and still it took more than 7 hours to get a call from customer service. We had good experience before.  How did the service go down so bad?
345,"I was returning from vacation and they cancelled my flight. The people I spoke to on the phone and in person were rude and basically just took the attitude ""sucks to be you."" They booked me on another flight more than 2 DAYS later. I missed an incredibly important doctor appointment. I missed work. My car spent 2 extra days in long term parking.  I was compensated for nothing. No meals. No hotel stay. Just a big middle finger after hours of waiting in line. They said they don't compensate for flights cancelled for weather. It was sunny out. There is no way the flight was cancelled for weather conditions, they just said that so they did not have to compensate anyone. I have pictures of the ""terrible weather"" that shows the sun shining.Absolutely the worst customer service I have ever experienced"
346,"I flew with my family from Arizona to NY. We left at Midnight with a two-hour layover in PA. Not having slept, on our second flight, I put my coat over my face and fell asleep almost as soon as I got on the plane. The flight attendant apparently wanted to check that I had my seat belt on prior to taking off. She approached me and in order to wake me, she shoved my arm. I woke up disoriented and in taking my coat off of my head, my mask had come down a little. She threatens to take down my name and proceeds to tell me that she will need to wake me to check that my mask is on after this. I understand the rules and always abide by them. I also want to note another passage who was sitting in the row in front of me had her mask down below her nose and the flight attendant was polite to her about adjusting her mask.  But she proceeds to wake me up two more times by shoving me after this in an hour and a half flight. It was aggressive enough that both my husband and another passenger remarked about her behavior. I am not sure why she felt the need to put her hands on me. I legitimately felt targeted. In addition, once I arrived home, I discovered items missing out of my CHECKED bags. I emailed American Airlines and received a basic cookie-cutter reply. I guess they think if your mask slips down that it is okay to be manhandled and targeted by their staff. Also okay to pay them to rob me."
347,"Always late, it's really bad when you want to get somewhere on time. I avoid them"
348,"THE WORST AIRLINE COMPANY EVER !!! So unprofessional and disappointing. Delaying flights, providing false departure time, not replying to emails...and making people wait forever to talk to someone who also helps nothing. Never had worse experience..."
349,Nightmare to fly. Overpriced with terrible routes. Legroom is like a medieval torture device.
350,I work in the Caribbean for 8 or so years so I travel there 3/4 times per year. I got Turned away from my flight today because I did not have a return ticket. (For my work we charter from island to island.) This is the first time this has ever happened and have travelled almost every time without a return ticket. I asked to buy a return in which I was told we don’t have time I should I arrived 3 in advance. (Bare in mind it was an 1hr 30min to get to check in)
351,"I initially booked a ticket to Chicago with this company which I then had to change to a different destination. I asked for a receipt to be issued showing the value of the ticket as I needed to claim this from my employer. It seems like a straightforward request right? Other companies I have flown with would take minutes to issue something like this. But not AA .. I have now spent over three hours on the phone, spoken to 4 different individuals in 2 different departments, submitted a written request to customer service online, but the receipt is still nowhere to be seen. This company's customer service is appalling. I do hope their pilots are not quite as incompetent."
352,"DO NOT FLY WITH AMERICAN AIRLINES! lost my bags,  was told they didn't even get put on the plane but would be returned within 24 hours, no bags in sights, the wheresmysuitcase.com people said the file hasn't even been registered with them to say my baggage is missing, the AA online baggage tracker doesn't work, they haven't responded to my multiple emails, they won't answer the phone. Been on hold for HOURS before being cut off and costing me hundreds in phone bills. Had to change my holiday plans and buy new clothes. This company have completely ****** me and holiday and won't even communicate 1 word with me to get me my bag back. If this goes on I'll have lost thousands of pounds. DO NOT USE AMERICAN AIRLINES. YOULL BE BETTER OFF SWIMMING THE ATLANTIC."
353,"Three Mondays ago, I had to go Los Angeles to bring my son that was depressed back home to Boston.  I was on flight 377 that left around 6 am.  During the flight,  I shared my concern and worry with the flight attendants and the compassion, care, and comfort that I received was immeasurable.   I asked for their names but have misplaced the paper with them on it.  I believe that their names were Ronette, Susanne, Jeanine, and Matt. Please thank them all very much for their customer service and compassion that they extended to me.  My name is Cynthia Collotta, and I was able to bring my son home for medical care.  Thank you for having such outstanding employees.  It makes a difference."
354,"Thought I was on my way to a much  needed getaway until I checked my reservations online. The site said I didn't have a reservation! Called and was given a record locator number and the site still says I didn't have a reservation. Then when I called for help I was on hold for an hour. All I wanted was a seat assignment and to be able to get my boarding pass. I'm 77 years old I don't need to lie awake for hours worrying if I even have a reservation. I made the reservation through an agent and thought for sure it was taken care of. This wasn't the first time I have had problems with this airline, but it will be my last. I will travel with a different airline from now on."
355,"Just everything is wrong with this airline. Sloppy, scruffy, bad food, rude employees. They lose you bags and take days to return them to you. Not worth it - you’re better off going by boat than using these donkeys"
356,"Ok. Let me tell you about my experience with American Airlines (frankly, I hardly want to call it an airline of America). First of all, UNLIKE Delta airlines (Which is the best US airline) they did NOT sanitize their airplanes. The airplane was also extremely dirty. I hated it. They also put people on the plane and did not block the middle seat like delta did (Again)... Then they said ""Plz social distance""... LIKE DUH, ARE THEY DUMB??? Like that's not what u say when you do NOT block the middle seat... I hated it. I absolutely HATED it. NEVER NEVER NEVER EVER fly the trashy airline American airlines. Now onto United..."
357,"Cancelled flight, no alternative offered, stranded in a hotel and phone line has a 4 hour wait."
358,"DICTATORSHIP THIS AIRLINE SUPPORTS AND SHARES PROFITS WITH THE CUBAN COMMUNIST DICTATORSHIP, ALSO TAKES FUNCTIONS OF REPRESSORS IN NOT LETTING CUBANS RIDE BY ORDERS OF THE CUBAN DICTATORSHIP"
359,"What should have a been a relaxing birthday/valentines vacation to Cabo for my wife and I (her bday 2/12, mine 2/18) became a nightmare. Our flights was delayed 3 times (5am-11am) until an Aa agent finally was honest and told us the plane isn’t coming and not to hold our breath. The agent checked for a different fight and couldn’t find anything, but AA was transparent and told us sooner we would have had more options to fly out the same day. After finding a flight for the next day at another airline(delta) we then were advised to go to customer service to change our return flight. While changing our return flight the AA cs agent told us the departing flight we were given wasn’t properly done and we weren’t going to be able to get on that fight, so he canceled it to put us on yet another airline (united) which had a layover and charged for carry on. I asked to be compensated for the price of the carry on but he told me there was nothing he could do. To avoid paying for the luggage on this new new flight with united, I spoke to an agent at delta and they told me there was space and I can fly with them if AA release the funds to pay for the flight. This process took me 4hrs of walking back and forth speaking to multiple people for an issue that AA agent caused. Because I couldn’t get a same day flight I’m now stuck in a 2 star hotel and missing out on $1000 for a day at my Cabo resort plus the car rental. In my opinion AA owes me for this nightmare which could have been avoided with compassion, transparency, and decent customer service. Thanks AA for ruining my wife and I birthday. I hope I get a response with some form of compassion to help fix this, maybe I should listen to your own agent and not hold my breath."
360,Love American made platinum status this year and I love the benefits that are offered.
361,"Two years into Covid and American still take 3 hours to answer phone calls. You’d think they’d have had enough time to learn to manage their call volumes, but no, their attitude seems to be let’s ignore customers for as long as possible so we don’t have to deal with them."
362,"This past weekend was a first for me as our flight home to Minnesota was cancelled and we were notified less than 2 hours from departure.  It was an ice storm on Thursday, so an act of God is tough to make right with people, but American Airlines really didn't handle this one very well.  When we arrived at San Antonio airport on Saturday we had no idea of this until we were almost to luggage drop off.  We then were greeted by a very good employee, EJ, who did everything he could to help us get home.  He finally found us a flight the next morning to Washington DC, then a flight to Minneapolis a couple of hours later.  They put us up in a very nice hotel in Lewiston Texas and handed us some vouchers.  This is where things fell apart.  Much to our surprise we were handed $12 vouchers for dinner that night.  That's right $12 vouchers. We were going to be staying 24 extra hours past our trip and were handed $12 for our trouble.  It gets worse, we were also told that we would still have to pay for our luggage, $30 a person.  We also did not have shuttle capabilities so the next day we forked over $140 in uber fees between the 6 of us traveling as we had our golf bags and needed two vehicles.  Not only missing our daughter's basketball tournament, but then throwing on all these extra costs, was not well received by us the customer.  Also the extra $25 in parking that we paid in Minneapolis didn't feel real great.  Between meals and transportation approximately $70 per person extra and we got a $12 voucher. The rough experience along w/ the fact that no one from the company will respond to our calls about the ordeal will make it hard to not only use, but also to recommend American Airlines in the future."
363,"Worst airline ever, still in shock how they managed to be active after all the flights they cancel and lies. 10 hour delay in Philly in the plane for “pilot does not want to fly anymore” , “door is broken can’t get out” , “never mind door is working” etc ."
364,"Charlotte airport Feb 4thru 6. Flying home by myself with a bad hip injury and on crutches/wheelchair. Between Friday and Sunday night I had six canceled flights, 4 trips back-and-forth on the shuttle between the hotel and the airport, lost luggage that I still haven’t seen, 10 hour hold times and one very sour floor manager who lied and pushed everything back on me. I returned to the hotel Saturday from the cancelled flights with another hotel  voucher which they printed with the wrong date, and after hours on the phone american would not do anything for me unless I went back to the airport no matter what condition I was in. Thank goodness the hotel manager had a little kindness and figured something out for me so I wouldn’t have to get on the shuttle yet again. Even The awesome wheelchair guy who was trying to help me navigate the manager and luggage team and finding my luggage was shocked at the runaround I was getting at 7am as I arrived for my first cancelled flight and needed to find my luggage.  In Three days I couldn’t find anybody at american who could just figure out a way to get me home. Also, their technology was horrible. My sister never would’ve left me if my flight had shown that it was canceled. The app would let you know until about an hour after a flight is canceled so you go to the gate or you go to the airport and then find out. No excuses for that. 10 years credit card customer. No more I’m ripping it up. The stats for the weekend say it all. AA had 1,000s of flights cancelled, united and delta barely a 100 combined.Oh and when I finally did get my flight home they didn’t turn on the electric outlets on a 6hour flight that didn’t have built in entertainment units (flight attendant mentioned her outlets working so wasn’t sure why pilot didn’t turn then on for everyone). A lot of people ran out of juice on this very tight and cramped plane. No wonder people are starting to get angry and beat each other up on these flights. I get it now."
365,3 flights canceled in the same trip!!!!! 18 hours for customers service to call back!!!! Please please please no matter if the flight is cheaper please pick another airline!!!
366,"My husband and I have had the AA credit card for around 30 years.  My points go to miles. We have thousands of points accumulated. We used to fly multiple times a year. We will continue to boycott American and all airlines until they stop these criminal mandates. I've been a Registered nurse for 41 years. They are forcing medical tyranny.    I have major security concerns because of the staff that they coerced/forced to jab. Vax injuries are through the roof. I've seen the proof from my  family, friends, patients, multiple physicians that I know, all treating vax injuries daily, VAERS, and now straight from the DOD medical site for all the thousands of vax injuries from our military. Bloodclots in flight, can be deadly not just for the pilot. And...  I refuse to wear a dirty diaper on my face for hours. Masks DO NOT WORK. They cause more harm than they help. Stop the insanity!"
367,Second worst company in the US after of course Comcast! They just don’t care!
368,"This is my third time in less than a year flying with American Airlines. All three times, AA has canceled my flight. Last time, I wasn’t notified that the flight was canceled. I found out when my wife checked the flight status the night before we flew home. She was worried they might cancel since my last flight was canceled and I had to sleep at the airport. It was a nightmare. And the next time wasn’t much better. This time, they canceled our flight home when we were on our way to the airport. We were unable to get through to anyone on the phone or online. When we got to the airport, we learned that they canceled multiple flights. The line went on forever. The staff told us to get out of a line because it was for international flights and get in line for the kiosk. Our canceled flight didn’t register in the kiosk and we were directed to get back into the line I was just in (that was significantly longer and still not moving). None of the employees knew what they were talking about and they were just as miserable and unhelpful as the other stranded passengers. No one could help us get a refund. They say you have to do it online. They’re website is shut down due to user volume. I doubt they give us a refund, anyway. They sent my wife an email asking her to reschedule a flight home two days from now. Are you kidding me?!?!It should be noted that on every trip, every other airline was functioning. AA is garbage. I should’ve learned by now not to fly AA. My advice, don’t ever book with AA. If you use a 3rd party, make sure none of your flights are AA. It’s worth spending more money for a smooth trip."
369,"We must be honest that our experience with American was as positive as possible. Of course the muzzles are stupid, but as that is a federal power trip, it can't be restricted to only one airline. There were a couple powerhungry bad attitudes, which is why it's 4 stars instead of 5. However, when we missed our connecting flight through no fault of our own, American paid for us to stay in a pleasant hotel, with food vouchers, and very quickly took care of rebooking the flight. Additionally, above and beyond, I accidentally checked our luggage again (forgetting it too had rolled over in the rebooking). I contacted customer service for a refund, honestly not expecting much. To my pleasant surprise, a kind lady named Sandy informed me that the fee would be refunded, and that we would be given $400 trip credits for our trouble. The refund has processed. And so, for all that airlines/airports can be horrible, I was thankful for the positives in this trip. They did a great job this time."
370,"Booked 1st class for our honeymoon,  lay flat seats are nice but not a first class experience, way out was ""ok"", way back started off good.  But on plane the attendants didn't really care (and even complained to me we were boarded before they were ready), food was serviced quickly (regardless of you being ready or not),  I'd say 3/5 and NOT 1st class.The reason this is 1/5 is the customer service via app or phone or email.  its beyond awful, they can't answer simple questions like ""Can I drop off my luggage early"" (after taking 30 minutes to ""research"").  They don't understand simple requests just response with scripted replies that make no sense.  I'd say pick any other airline, as you certainly won't be treated ""1st class"" and barely treated as human.."
371,"I WAS NOT ABLE TO FLY WITH MY DOG SPOCK I was traveling back with me small dog from Dominican Republic after 6 months of staying there. I was told to get the papers CDC requires for him and my covid test one day before the trip. My flight was on January 21, 2022. After I bought a ticket and attached my dog to my reservation the representative told me that someone from special services would be in touch to verify everything.  One week later they did. I told them all papers I had and we were USA citizens including my dog Spock returning home. 2 days before the fight I received emails with some forms to fill out on line regarding covid 19 and a form  that I did have my negative test. The day we went to the airport, which is 2.5 hours from where I live (Montecristi) , while on line to check in, a gentlemen came to tell me that my dog couldn't fly, that AA had ban dogs and cats. I told him we had the CDC requirements and all the papers in order. He said he knew it but it was AA that had the ban and I couldn't fly. I even had the printout from the CDC that says on December 2021 that dogs returning to USA with proof of microchip, rabbies certificate from USA and 6 months old or more could RE-ENTER.  THE SUPERVISOR SAID IT WAS AA that had the ban not the CDC.  United and Delta didn't have the ban, but they don't fly direct to Miami, it would have been at least 15 hours going to NY or Newark and taking another flight to Florida. The worse part is the there is no one in charge that can do anything. When you call customer services, the are  useless for this things, what it says on their  screen goes, like robots  AA has my personal information since 1995, email Telefone, address, contacts for emergency, WHY THEY DIDN'T CALL ME THAT DAY IN THE AM, and told me that I could not fly? What kind of service is these?  What kind of airline it's AA turning into? First they tell me it's ok then it's not!   I sent and email complaining the same day I couldn't fly, today they told me it takes 10 to 15 days to reply. I try to get my refund on line, but it says I have a credit for future travel  no option to get my money into my CC. This is unacceptable. I'm being force to fly with them, which I CAN'T BEAUSE MY DOG Spock can't go with me.  Am I suppose to stay here until they decide otherwise??  This is an abuse, inconsideration, bad communication between departments, and customer services/relations is the worse I have seen.  We the customers should be first, but I guess they have lost the special touch they had years back, too bad. I am waiting for them to call email either me next week (they don't call) and see what they will say about my refund.  Shame AA, YOU ARE NOT WHAT YOU USED TO BE. In the future I will think twice on flying with you anywhere else without my dog. You are a disappointment 100% and for what I read I'm not the first one to have problems lately.Maria E Alvarez"
