num_overall,num_within_season,title,airdate,ingredients,dish,winner,season,guest1,guest2,guest3,contestant1,contestant2,judge1,judge2,judge3
127,7,"""You Won't Like Him When He's Angry""","February 16, 2017",veal tenderloin,veggie burger,Bobby Flay,11,Kristin Cavallari,Geoffrey Zakarian,,Jamie Knott,Daniel Angerer,Robyn Lawley,"Chris ""C-Snacks"" Clarke",Tricia Williams
128,8,"""Roll with the Punches""","February 23, 2017",razor clams,crispy spring rolls,Perry Chung,11,Curtis Stone,Simon Majumdar,,Richard Mancini,Perry Chung,Hung Huynh,Pamela Morgan,Frank Prisinzano
129,9,"""Steak Me Home Tonight""","March 2, 2017",peaches,steak frites,Bobby Flay,11,Anne Burrell,Chris D'Elia,,Trish Tracey,Daniel Cox,Wylie Dufresne,Ariane Daguin,Alfred Portale
130,10,"""Sweet but Sour""","March 9, 2017",white chocolate,apple dumpling,Bobby Flay,11,Sunny Anderson,Katie Lee,,Chris Teixeira,Kym Delost,Michael Laiskonis,Nicole Friday,Niles Noren
131,11,"""Thrown from the Throne""","March 16, 2017",heirloom carrots,veal piccata,Bobby Flay,11,Amanda Freitag,Simon Majumdar,,Ian Bowden,Danielle Duran,Erik Ramirez,April Bloomfield,Joey Campanaro
132,12,"""I Thought We Were Friends""","March 23, 2017",red snapper,chicken pho,Vuong Loc,11,Giada De Laurentiis,Scott Conant,,Ian Alvarez,Vuong Loc,Jason Wang,Robbie Shoults,Leah Cohen
133,13,"""Both Sides of the Coin""","March 30, 2017",quail eggs,sloppy joe,Bobby Flay,11,Alex Guarnaschelli,Anne Burrell,,Admir Alibasic,Jason Tom,Michael Stillman,Brian Mazza,Harold Moore
134,1,"""Iron Chef Redemption""","April 12, 2017",sun-dried tomatoes,brick chicken,Bobby Flay,12,Ted Allen,Debi Mazar,,Paul Virant,Todd Stein,Susan Feniger,Billy Durnan,Alex Thermopoulos
135,2,"""Mazel Tov""","April 19, 2017",broccoli rabe,matzo ball soup,Alex Reznik,12,Michael Symon,Susan Lucci,,Colin Smith,Alex Reznik,Lidia Bastianich,Noah Bernamoff,Olivia Culpo
136,3,"""Challah at Your Boy!""","May 3, 2017",challah bread,huevos rancheros,Rene Rodriguez,12,Anne Burrell,Jay Pharoah,,Michael Kramer,Rene Rodriguez,Ivy Stark,Jeremy Jacobowirz,Lidia Bastianich
137,4,"""Tame in the Flame""","May 10, 2017",duck confit,branzino,Bobby Flay,12,Scott Conant,Busy Philipps,,Tom Wolfe,Ivana Raca,Einat Admony,Lazarus Lynch,Anita Lo
138,5,"""Inside Scoop""","May 17, 2017",top round of beef,seafood corndogs,Steven Oakley,12,Alex Guarnaschelli,Helene Yorke,,Bobby Hanson,Steven Oakley,Madison Cowan,April Bloomfield,Jimmy Bradley
139,6,"""Open Grill Season""","May 24, 2017",meyer lemon,carne asada,Bobby Flay,12,Sunny Anderson,Gail Simmons,,Nicolay Adinaguev,Brandon Byrd,Michael Lomonaco,Jess Pryles,Robbie Shoults
140,7,"""Friends in All Places""","May 31, 2017",king crab,sole almondine,Alex Guarnaschelli,12,Michael Symon,,,Jet Tila,Alex Guarnaschelli,Ed McFarland,Leah Cohen,Drew Neoporent
141,8,"""The Next Food Network Star Is...""","June 7, 2017",persimmons,tuna noodle casserole,Damaris Phillips,12,Alton Brown,,,Justin Warner,Damaris Phillips,Donal Brophy,Tricia Williams,Michael Psilakis
142,9,"""Deja Flay""","June 14, 2017",grapefruit,chicken doro wat,Marcus Samuelsson,12,Scott Conant,,,Anne Burrell,Marcus Samuelsson,Sileshi Alifom,Sara Moulton,Michael Laiskonis
143,10,"""BBF vs. Chopped""","June 22, 2017",colossal shrimp,fesenjān,Amanda Freitag,12,Ted Allen,,,Marc Murphy,Amanda Freitag,Najmieh Batmanglij,April Bloomfield,Kristin Sollenne
144,11,"""Ghosts of Bobby's Past""","June 29, 2017",filet mignon,pork chops and applesauce,Bobby Flay,12,Laura Prepon,Daphne Oz,,Einat Admony,Leia Gaccione,Tom Birchard,Susan Ungaro,Alon Shaya
145,12,"""Salty and Sweet""","July 6, 2017",Raisin,Banana cream pie,Bobby Flay,12,Katie Lee,Carla Hall,,Bruno Feldeisen,Michelle Gayer,Paulette Goto,David Lebovitz,Nicole Friday
146,13,"""Record Breaking""","July 13, 2017",steamer clams,egg drop soup,Bobby Flay,12,Josh Capon,Jaymee Sire,,Joshua Bedford,Jarad Gallagher,Ed Schoenfeld,Maggie Nemser,Spencer Rubin
147,1,"""Sugar and Spice but not so nice""","July 20, 2017",Coffee Beans,Brownie Sundae,Dana Cree,13,Alton Brown,Adam Richman,,Josh Johnson,Dana Cree,Samantha Seneviratne,Nils Noren,Raiza Costa
148,2,"""Fancy vs Rustic""","July 27, 2017",Figs,Shrimp and Grits,Bobby Flay,13,Sunny Anderson,Katie Lee,,Giuliano Matarese,Angie Berry,Ed Brown,Rohini Dey,Corby Kummer
149,3,"""Bear-Ware""","August 3, 2017",Merguez sausage,Oysters Rockefeller,Bobby Flay,13,Alex Guarnaschelli,Daphne Oz,,Derek Orrell,Hal Holden-Bache,Jason Debriere,Claudia Fleming,Craig Samuel
150,4,"""Green, White and Red""","August 10, 2017",Turbot,Gnudi,Ken Vedrinski,13,Anne Burrell,Scott Conant,,Raffaele Ronca,Ken Vedrinski,Frank Prisinzano,Kristin Sollenne,Dan Pashman
151,5,"""Chop Chop""","August 17, 2017",Gruyere Cheese,Breakfast Sandwich,Bobby Flay,13,Amanda Freitag,Jet Tila,,Fabio Mura,Nicole Votano,Glenn Harris,Michele Ragussis,Joe Isidori
152,6,"""Familiar Names and Faces""","August 24, 2017",Coconut Milk,Patty Melt,Stephen Kalt,13,Ted Allen,Sunny Anderson,,Brad Spence,Stephen Kalt,Lex Taylor,Raquel Pelzel,Nguyen Tran
153,7,"""International Showdown""","August 31, 2017",Green Beans,White Clams Pizza,Bobby Flay,13,Katie Lee,Marcus Samuelsson,,Alida Solomon,Pasquale Cozzolino,Lauren Hirschberg,Barbara Lynch,Rich Aronovitch
154,8,"""Feathered and Fried""","September 7, 2017",Rabbit Legs,Fried Chicken,Bobby Flay,13,Anne Burrell,Marc Murphy,,Darnell Ferguson,Thomas Boemer,Melba Wilson,Daniel Delaney,Sarah Simmons
155,9,"""Pulling Out All the Stops""","September 14, 2017",White Anchovies,Hoppin' John,Stephen Jones,13,Steve Schirripa,Simon Majumdar,,Dave Bazirgan,Stephen Jones,Stephen Starr,Susan Povich,Jean-Paul Bourgeois
156,10,"""Number One Baby""","September 21, 2017",Tri-Tip Of Beef,Salt Cod Fritters,Bobby Flay,13,Scott Conant,Laura Vitale,,RJ Moody,Nicolas Bour,Tom Birchard,Leah Cohen,Roberto Trevino
157,11,"""Drop the Knife""","September 28, 2017",Collard Greens,Savory Souffle,Lauren Brown,13,Colin Quinn,Katie Lee,,Diane Vista-Wayne,Lauren Brown,Angie Mar,Ed Mcfarland,Ariane Daguin
158,12,"""Boil and Trouble""","October 5, 2017",Pumpkin Seeds,Frog Legs,Bobby Flay,13,Giada De Laurentiis,Daphne Oz,,Meghann Ward,Jeffrey Hansell,Wylie Dufresne,Alon Shaya,Dale Talde
159,13,"""We're All Family Here""","October 12, 2017",Tomatillos,Tagliatelle,Bobby Flay,13,Sophie Flay,Alton Brown,,Dean Fearing,Jonathan Waxman,Marc Vetri,Lourdes Castro,Christian Petroni
160,1,"""Feeling Bleu""","October 19, 2017",Halloumi Cheese,Chicken Cordon Bleu,Lionel Haeberle,14,Alex Guarnaschelli,Bobby Moynihan,,Marcellus Coleman,Lionel Haeberle,Raquel Pelzel,Madison Cowan,Keri Glassman
161,2,"""Take a Bao""","October 26, 2017",Black Cod,Pork Bun,Bobby Flay,14,David Alan Grier,Carla Hall,,Richard Hales,Suchanan Aksornnan,Cobi Levy,Angie Mar,Wilson Tang
162,3,"""Ain't That Dandy""","November 2, 2017",Pork Chops,Poke,Bobby Flay,14,Katie Lee,Ben Feldman,,Mike DeCamp,Jason Dady,Drew Crane,Dale Talde,Marco Canora
163,5,"""The Iron Age""","November 9, 2017",Onions,Seafood Paella,Bobby Flay,14,Alex Guarnaschelli,Simon Majumdar,,Stephanie Izard,Jose Garces,Donatella Arpaia,Madison Cowan,Susan Ungaro
164,5,"""Turkey's Done""","November 16, 2017",Turkey Cutlets,Pumpkin Ravioli,Tony Priolo,14,Sunny Anderson,Sophie Flay,,Clayton Chapman,Tony Priolo,Brian Mazza,Einat Admony,Ronnie Woo
165,6,"""Sea Shells by the Sea Shore""","November 23, 2017",Sea Urchin,Coquilles St.-Jacques,Bobby Flay,14,Marcus Samuelsson,Michael Voltaggio,,Ed Harris,Jason McLeod,Michael Schulson,Abigail Hitchcock,Alain Allegretti
166,7,"""Rotten Tomatoes for Bobby""","November 30, 2017",Green Tomatoes,Hot And Sour Soup,Darren Sayphraraj,14,Scott Conant,Helene Yorke,,Andre Fowles,Darren Sayphraraj,Ed Schoenfeld,Aliya Leekong,Nigel Spence
167,8,"""Holidays Are for Battle""","December 7, 2017",Cornish Game Hens,Ossobuco,Simone Falco,14,Alex Guarnaschelli,Tia Mowry,,Eoghain O'Neill,Simone Falco,Ariane Daguin,Frank Prisinzano,Jackie Gebel
168,9,"""Cracking a Win""","December 14, 2017",Soft Shell Crabs,Scotch Egg,Bobby Flay,14,Anne Burrell,Andrew Zimmern,,David Baruthio,Blake Hartwick,Michael Lomonaco,Ali Rosen,Daniel Eddy
169,10,"""Who Done It?""","January 4, 2018",Prosecco,Ice Cream Sandwich,Jeremy Fogg,14,Lorraine Pascale,Damaris Phillips,,Andrea Bergin,Jeremy Fogg,Paulette Goto,Zac Young,Marcy Blum
170,11,"""Clamming Up""","January 11, 2018",Cockles,Butter Chicken Masala,Kiran Patnam,14,Amanda Freitag,Geoffrey Zakarian,,Jonathan Wu,Kiran Patnam,Tricia Williams,Jehangir Mehta,Tracy Jane Young
171,12,"""Midwest Swing""","January 18, 2018",Hake,Barbecued Chicken,Bobby Flay,14,Katie Lee,Daphne Oz,,Daniel Angerer,Mike Johnson,Andrew Friedman,Lucinda Scala Quinn,Hugh Mangum
172,13,"""Peeling Away""","January 25, 2018",Bananas,Tiramisu,Amanda Rockman,14,Ted Allen,Busy Philipps,,Vicki Wells,Amanda Rockman,Nils Norén,Raiza Costa,Scott Levine
173,1,"""Big Dog on the Block""","December 21, 2017",Ostrich Egg,Ginormous Seafood Sandwich,Bobby Flay,15,Sunny Anderson,Josh Denny,,Harold Baker,Tony Minadakis,Craig Samuel,Kardea Brown,Matt FX
174,2,"""Windy City Wants More""","December 28, 2017",Purple Potatoes,Ropa Vieja,Cory Morris,15,Scott Conant,Hannah Hart,,David Adjey,Cory Morris,Billy Durney,Lourdes Castro,Isaac Toups
175,3,"""Bobby Gets Sacked""","February 1, 2018",Bratwurst,Jucy Lucy,Bobby Flay,15,Eddie Jackson,Jaymee Sire,,Paul Malvone,Jack Riebel,Jeremy Ford,Melba Wilson,Robbie Shoults
176,4,"""Broken Hearts""","February 8, 2018",Maraschino cherry,Chocolate tart,Bobby Flay,15,Anne Burrell,Scott Conant,,Robert Nieto,Caroline Schiff,Jacques Torres,Samantha Seneviratne,Alan Rosen
177,5,"""Going Loco""","February 15, 2018",Shishito Peppers,Loco moco,Mike Andrzejewski,15,Eddie Jackson,Damaris Phillips,,Anthony Nelson,Mike Andrzejewski,Chung Chow,Nicole Ponseca,Corby Kummer
178,6,"""Sour With The Sweet""","February 22, 2018",Cowboy Rib eye steak,Monte Cristo sandwich,Bobby Flay,15,Sunny Anderson,Josh Capon,,Brian Malarkey,Robert Cho,Leah Cohen,Rich Aronovitch,Dana Cowin
179,7,"""Stuffed and Fried""","March 1, 2018",Langoustine,Chimichanga,Bobby Flay,15,Katie Lee,Jet Tila,,Crista Luedtke,Alan Vargas,Brian Duffy,Ivy Stark,Akhtar Nawab
180,8,"""At It Again""","March 8, 2018",Squid Ink,Beef Bulgogi,Bobby Flay,15,Ted Allen,Marc Murphy,,Seis Kamimura,Demetrio Zavala,Michael Psilakis,Leah Cohen,Christian Petroni
181,9,"""Surf's Up""","March 15, 2018",Basil,Pork Adobo,Bobby Flay,15,Anne Burrell,Loni Love,,Paras Shah,Sheldon Simeon,Bill Telepan,Nicole Ponseca,Roberto Treviño
182,10,"""Revenge Is Best Served Bold""","March 22, 2018",Zucchini,Brunch Burger,Bobby Flay,15,Scott Conant,Laura Vitale,,Tony Nguyen,Leia Gaccione,Glenn Harris,Rohini Dey,Hung Huynh
183,11,"""Ladies Don't Play""","March 29, 2018",Fava Beans,Chicken Biryani,Aarthi Sampath,15,Daphne Oz,Michael Voltaggio,,Zoe Schor,Aarthi Sampath,Hari Nayak,Alison Roman,Albert Di Meglio
184,12,"""Not a Speck""","April 5, 2018",Speck,Peri Peri Chicken,Bobby Flay,15,Sunny Anderson,Carla Hall,,Jonah Miller,Ronny Miranda,Seamus Mullen,Ingrid Hoffmann,David Santos
185,13,"""Getting Crabby""","April 12, 2018",Cucumber,Crab cake sandwich,Bobby Flay,15,Alex Guarnaschelli,Jet Tila,,Brendan Pelley,Mark Laubner,Michael Psilakis,April Bloomfield,Drew Nieporent
186,1,"""Red Hot""","April 19, 2018",Red Kidney bean,Pancake,Bobby Flay,16,Katie Lee,Giada De Laurentiis,,Ashbell McElveen,John Cox,Dale Talde,Ivy Stark,Lazarus Lynch
187,2,"""Worldly Ways""","April 26, 2018",Manchego,Spaghetti with meatballs,Fabio Viviani,16,Sunny Anderson,Andrew Zimmern,,Jared Forman,Fabio Viviani,Frank Prisinzano,Lidia Bastianich,Marco Canora
188,3,"""Sticky Situation""","May 3, 2018",Peanut butter,S'more,Bobby Flay,16,Michael Symon,Marcela Valladolid,,Avery Ruzicka,Clarice Lam,Jen King,Zac Young,Tracy Obolsky
189,4,"""Sprung a Leek""","May 10, 2018",Leek,Tempura,Shota Nakajima,16,Damaris Phillips,Amanda Freitag,,Jamie Gwen,Shota Nakajima,Drew Nieporent,Sara Gore,Charles Parker
190,5,"""Stealing the Spotlight""","May 17, 2018",Dates,Chicken marsala,Bobby Flay,16,Ina Garten,Laura Benanti,,Ed Schoenfeld,Paulette Goto,Mary Sue Milliken,Michael Solomonov,Lucinda Scala Quinn
191,6,"""Grill Me""","May 24, 2018",Korean-Style Short ribs,Beef Slider,Bobby Flay,16,Katie Lee,Mekhi Phifer,,[16] Nathan Gresham,Lisa Dahl,Timothy Walker,Sasha Miranda,Brian Duffy
192,7,"""Eye of the Tiger""","May 31, 2018",Tiger Prawns,Palak paneer,Manish Tyagi,16,Alex Guarnaschelli,Eddie Jackson,,Dale Levitski,Manish Tyagi,Jehangir Mehta,Elise Kornack,Ronnie Woo
193,8,"""Food Star Face-Off""","June 7, 2018",Manila Clams,Hot chicken,Viet Pham,16,Anne Burrell,Patti LaBelle,,Dom Tesoriero,Viet Pham[17],Hugh Mangum,Dana Cowin,John Seymour
194,9,"""Beauty and the Beast""","June 14, 2018",Smoked salmon,Cacio e pepe,Bobby Flay,16,Scott Conant,Olivia Culpo,,Nicholas Lisotto,Deb Caplan,Jacob Hadjigeorgis,Melba Wilson,Christian Petroni
195,10,"""Skirting By""","June 21, 2018",Skirt steak,Bouillabaisse,Robert Sisca,16,Sunny Anderson,Susie Essman,,Michael Brennan,Robert Sisca,Frank Pellegrino Jr.,Rosanna Scotto,Ed McFarland
196,11,"""Blast From the Past""","June 28, 2018",T-bone steak,Seafood Cataplana,Bobby Flay,16,Amanda Freitag,Katie Lee,,Allison Fasano,Paul Del Favero,Gabriel Israel,Lourdes Castro,David Santos
197,12,"""Hit Him Again""","July 5, 2018",Rainbow Chard,Chicken and dumplings,Thomas Boemer,16,Scott Conant,Daphne Oz,,Bao Bao,Thomas Boemer,Sohui Kim,John Terzian,Tracy Jane Young
202,13,"""Fields of Green""","August 2, 2018",Mustard Greens,Savory Hand Pies,Bobby Flay,16,Alex Guarnaschelli,Damaris Phillips,,Navjot Arora,Maeve Rochford,Hari Nayak,Aliya LeeKong,Lisle Richards
198,1,"""Judges As Contenders""","July 12, 2018",Stout,Coconut Seafood Curry,Bobby Flay,17,Sunny Anderson,Marcus Samuelsson,,Michael Psilakis,Seamus Mullen,Elly Truesdell,Michael Lomonaco,Ariane Daguin
199,2,"""Waltz Up a Win""","July 19, 2018",Honeycomb toffee,Chocolate Soufflé,Olivier Palazzo,17,Derek Hough,Carla Hall,,Katy Gerdes,Olivier Palazzo,Paulette Goto,Scott Levine,Ayala Donchin
200,3,"""Culinary Knockout""","July 26, 2018",Snap pea,Lomo saltado,Bobby Flay,17,Giada De Laurentiis,Michael Voltaggio,,Frances Tariga,Geronimo Lopez,Seamus Mullen,Nicole Ponseca,Corby Kummer
201,4,"""Flying Aubergines""","July 29, 2018",Japanese Eggplant,Bubble and squeak,Robert Aikens,17,Anne Burrell,Jet Tila,,Tony Gemignani,Robert Aikens,Ken Oringer,Tricia Williams,Madison Cowan
203,5,"""Winning in My Dreams""","August 5, 2018",Quahog Clam,Chicken Satay,Bobby Flay,17,Debbie Gibson,Katie Lee,,William Wright,Ype Von Hengst,Peter Giannakis,Sawako Okochi,Michael Vignola
204,6,"""Never Give Up""","August 9, 2018",Tasso ham,Gnocchi,Ivana Raca,17,Alex Guarnaschelli,Stephanie Izard,,Pasquale Cozzolino,Ivana Raca,Michel Nischan,Sara Gore,Michael Psilakis
205,7,"""Chocolate Victory""","August 16, 2018",Mexican Chocolate,Tlayuda,Bobby Flay,17,Michael Symon,Valerie Bertinelli,,Jose Guerrero,Katy Smith,Felipe Donnelly,Ivy Stark,Michael Schulson
206,8,"""Joke's on Bobby""","August 23, 2018",Quinoa,Pumpkin Curry,Bobby Flay,17,Emilie de Ravin,Katie Lee,,Jamie Lynch,Shorne Benjamin,Carlos Swepson,Hannah Bronfman,Bill Telepan
207,9,"""Fit to Flay""","August 30, 2018",Mascarpone Cheese,Chicken Adobo,Bobby Flay,17,Scott Conant,Jane Seymour,,Silvia Barban,Nate Appleman,Rob Petrone,Donatella Arpaia,Jimmy Bradley
208,10,"""Skating By""","September 6, 2018",Skate,Chicken Scarpariello,Adam Greenberg,17,Anne Burrell,Jaymee Sire,,Nicole Brisson,Adam Greenberg,Leah Cohen,Albert Di Meglio,Einat Admony
209,11,"""Feel The Judgment""","September 13, 2018",Salt Cod,Fregula and Clams,Bobby Flay,17,Jet Tila,Laura Vitale,,Leah Cohen,Christian Petroni,Bill Telepan,Raiza Costa,Garrison Price
210,12,"""Chop of the Mornin' to Ya""","September 20, 2018",Lamb Loin chop,Tandoori Chicken,Asif Syed,17,Amanda Freitag,Laura Vitale,,Jordan Frosolone,Asif Syed,Hari Nayak,Alison Roman,Sabin Lomac
212,13,"""Fright Club""","October 4, 2018",Chicken Livers,Squid Ink Pasta,Bobby Flay,17,Jesse Palmer,Eddie Jackson,,John Patterson,Frank Terzoli,Aliya LeeKong,Joe Isidori,Ingrid Hoffmann
211,1,"""Shucking The Competition""","September 27, 2018",Oysters,Beef Bourguignon,Bobby Flay,18,Geoffrey Zakarian,Damaris Phillips,,Laurent Zirotti,Eric Damidot,Ariane Daguin,Brian Mazza,Elise Kornack
213,2,"""Aged to Perfection""","October 11, 2018",Aged Balsamic vinegar,Chicken and waffles,Joey Ward,18,Michael Strahan,Michael Symon,,Anastacia Song,Joey Ward,Michael Schulson,Leah Cohen,Richie Notar
214,3,"""Family Matters""","October 18, 2018",Fresh Apricot,Fideos Carnitas,Bobby Flay,18,Daphne Oz,Jourdan Dunn,,Julian Rodarte,Beto Rodarte,Jason Debriere,Pati Jinich,Lisle Richards
215,4,"""Knighted Sir Loin""","October 25, 2018",Lamb Sirloin,Eggplant Rollatini,Bobby Flay,18,Alex Guarnaschelli,Michael Voltaggio,,John Vitale,Tracey Shepos Cenami,Michael Psilakis,Lucinda Scala Quinn,Madison Cowan
216,5,"""Baked to Perfection""","November 1, 2018",Pecans,Chocolate Layer Cake,Thiago Silva,18,Ted Allen,Gesine Bullock-Prado,,Mathew Rice,Thiago Silva,Amirah Kassem,Paulette Goto,Ayala Donchin
217,6,"""Drop the Mic""","November 8, 2018",Monkfish,Gai Yang chicken,Bobby Flay,18,Amanda Freitag,Jo Koy,,Nora Haron,Ryan Hackney,Dale,Anita,Simpson Wong
218,7,"""Stuffed With Victory""","November 15, 2018",Brussels Sprouts,Roasted Chicken,Bobby Flay,18,Geoffrey Zakarian,Sara Haines,,Bernard Carmouche,Daniel Sharp,Georgette Farkas,Frank Prisinzano,Allison Fasano
219,8,"""Say Cheese!""","November 22, 2018",Gorgonzola cheese,Seafood Fra Diavolo,Bobby Flay,18,Giada De Laurentiis,Sunny Anderson,,Duskie Estes,Francesco Buitoni,Dale Talde,Ivy Stark,Kevin Sbraga
220,9,"""Cream of the Crop""","November 29, 2018",Cream cheese,Fried Green Tomato Sandwich,Chris Henry,18,Katie Lee,Valerie Bertinelli,,Steve Gedra,Chris Henry,Craig Samuel,Dana Cowin,Tom Birchard
221,10,"""Wrapping Up Victory""","December 6, 2018",Dried cranberry,Cioppino,Bobby Flay,18,Amanda Freitag,Jamie-Lynn Sigler,,Ron Duprat,Gabriel Pascuzzi,Marc Vetri,Rosanna Scotto,Mark Ladner
222,11,"""Sprouting Victory""","December 27, 2018",Mushrooms,Poutine,Bobby Flay,18,Scott Conant,Anne Burrell,,Jack Moore,Lawrence Letrero,Ronnie Woo,Sara Gore,Pete Levin
223,12,"""Sweet, Sweet Revenge!""","January 3, 2019",Blueberry,Key lime pie,Bobby Flay,18,Michael Symon,Josh Capon,,Clarice Lam,Caroline Schiff,Paulette Goto,Melissa Weller,Emma Bengtsson
224,13,"""Heavy Lifting""","January 10, 2019",Soppressata,Shrimp Scampi,Bobby Flay,18,Alton Brown,Jet Tila,,Jonathon Sawyer,Mark Ladner,Frank Prisinzano,Rita Jammet,Fabio Trabocchi
225,14,"""Oh Brother""","January 17, 2019",Porgy,Asian Dumplings,Steve Redzikowski,18,Alex Guarnaschelli,Gus Kenworthy,,Brian Redzikowski,Steve Redzikowski,Hannah Cheng,Christian Petroni,Marian Cheng
226,1,"""Take Him to Fresno""","January 24, 2019",Fresno Chiles,Empanada,Chad Clevenger,19,Alex Guarnaschelli,Ben Rappaport,,Anita Cartagena,Chad Clevenger,David Massoni,Aliya LeeKong,Jonah Reider
227,2,"""Game On""","January 31, 2019",Pickles,Chili Cheese fries,Ashley Gaboriault,19,Anne Burrell,Eddie Jackson,,Jeff Henderson,Ashley Gaboriault,Pete Levin,Grace Ramirez,Wylie Dufresne
228,3,"""Old Friends""","February 3, 2019",Cabbage,Lamb Risotto,Michael Psilakis,19,Ted Allen,Sunny Anderson,,Einat Admony,Michael Psilakis,Christian Petroni,Leah Cohen,Bryce Shuman
229,4,"""Getting Nutty""","February 7, 2019",Macadamia Nuts,Fricasé de Pollo,Bobby Flay,19,Laura Vitale,Michael Voltaggio,,Alex Brugger,Tatiana Rosana,Louie Estrada,Donatella Arpaia,Felipe Donnelly
230,5,"""Choc-O-Love""","February 14, 2019",Cocoa Nibs,Flourless Chocolate cake,Bobby Flay,19,Alton Brown,Valerie Bertinelli,,Ryan Scott,David Lebovitz,Corby Kummer,Jen King,Michael Laiskonis
231,6,"""Don't Drop The Beat (Bobby)""","February 21, 2019",Fregula,Braciole,Bobby Flay,19,Michael Symon,Brooke Shields,,Idris Muhammad,Carla Pellegrino,Sara Gore,Ray Garcia,Rosanna Scotto
232,7,"""Off to the Races""","February 28, 2019",Rice noodles,Ham Croquettes,Bobby Flay,19,Josh Capon,Carolyn Manno,,Bruce Naftaly,Jouvens Jean,John Seymour,Lourdes Castro,Tom Birchard
233,8,"""Don’t Sour Out""","March 7, 2019",Sourdough bread,Pasta Primavera,Bobby Flay,19,Katie Lee,Marc Murphy,,Silvia Baldini,Austin Cobb,Marco Canora,Angie Rito,Laurent Tourondel
234,9,"""Mince Meat""","March 14, 2019",Ground Veal,Chiles en nogada,Fernando Ruiz,19,Scott Conant,Donatella Arpaia,,Paco Garcia,Fernando Ruiz,Joe Isidori,Sue Torres,Seamus Mullen
235,10,"""Greeking Out""","March 21, 2019",Greek Yogurt,Coq au vin,Bobby Flay,19,Anne Burrell,Jose Garces,,Aneesa Waheed,Ryan Lory,Alain Allegretti,Tricia Williams,Akhtar Nawab
236,11,"""A Marital Match""","March 28, 2019",Honeydew,Chicken Gumbo,Sam Carroll,19,Sunny Anderson,Jeff Mauro,,Cody Carroll,Sam Carroll,Melba Wilson,Trigg Brown,Kardea Brown
237,12,"""Nutty Times""","April 4, 2019",Almond butter,Crab cake,Bobby Flay,19,Geoffrey Zakarian,Amanda Freitag,,Eliza Gavin,Dante Giannini,Sara Moulton,Ed Brown,Ariane Daguin
238,1,"""Against the Grain""","April 11, 2019",Farro,Egg & Cheese,Paul Fehribach,20,Ted Allen,Damaris Phillips,,Sara Nguyen,Paul Fehribach,Andrew Friedman,Aliya LeeKong,Jimmy Bradley
239,2,"""They Took the Cheese""","April 18, 2019",Swiss cheese,Goat Kebab,Bobby Flay,20,Marcus Samuelsson,Anne Burrell,,Carl Schaubhut,Roshni Gurnani,Sam Talbot,Andrienne Cheatham,Vikas Khanna
240,3,"""A Tropical Punch""","April 25, 2019",Mangoes,Fried Oyster Po'boy,Matt Pace,20,Katie Lee,Scott Conant,,Zach Meloy,Matt Pace,Ken Oringer,Georgette Farkas,Richie Notar
241,4,"""Pump It Up""","May 2, 2019",Pumpernickel Bread,Corn Chowder,Bobby Flay,20,Tony Rock,Alex Guarnaschelli,,Stephan Bogurdus,Bill Clifton,Jimmy Bradley,Melba Wilson,Michael Lomonaco
242,5,"""Something's Fishy""","May 5, 2019",Bluefish,Shrimp Taco,Bobby Flay,20,Richard Blais,Natalie Morales,,Coby Farrow,Johnny Hernandez,Sara Moulton,Michael Psilakis,Lourdes Castro
243,6,"""Grapes of Wrath""","May 9, 2019",Grapes,Carrot Cake,Zac Young,20,Alex Guarnaschelli,Buddy Valastro,,Paulette Goto,Zac Young,Claudia Fleming,Corby Kummer,Raiza Costa
244,7,"""Making Headlines""","May 16, 2019",Pinto Beans,Jerk Snapper,Bobby Flay,20,Dylan Dreyer,Scott Conant,,Alvin Savella,Patrick Simpson,Frank Prisinzano,Lucinda Scala Quinn,Chung Chow
245,8,"""Flame-tastic!""","May 23, 2019",Plums,Skirt steak Churrasco,Bobby Flay,20,Alex Guarnaschelli,Michael Symon,,Mikala Brennan,Armando Litiatco,Lourdes Castro,David Santos,Michele Ragussis
246,9,"""Bye Bye Birdie""","May 30, 2019",Boneless Quail,Sacchettoni,Brian Lewis,20,Michael Symon,Jet Tila,,Rebecca Weitzman,Brian Lewis,Spike Mendelsohn,Lucinda Scala Quinn,Cesare Casella
247,10,"""Give Me Some Mo!""","June 6, 2019",Lentils,Beef Mofongo,Bobby Flay,20,Sunny Anderson,Katie Lee,,Ramon Perez,Andre Gomez,Ivy Stark,Jackfry Rosado,Grace Ramirez
248,11,"""Grind it Out!""","June 13, 2019",Andouille,Kung Pao chicken,Pablo Zitzmann,20,Michael Voltaggio,Tony Hawk,,Ming Pu,Pablo Zitzmann,Wilson Tang,Leah Cohen,Josh Grinker
249,12,"""Chi-Town Throws Down""","June 20, 2019",Edamame,Fish and chips,Aaron Cuschieri,20,Carla Hall,Sophia Bush,,Jill Barron,Aaron Cuschieri,David Massoni,Sara Gore,Akhtar Nawab
250,13,"""Double Trouble""","June 20, 2019",Brie,Chicken enchilada,Bobby Flay,20,Damaris Phillips,Daphne Oz,,Enrique Limardo,Jeff Smedstad,Alex Garcia,Vivian Chan,Ricardo Cardona
