country,location_name,condition_text,air_quality_PM2.5,air_quality_PM10
Saint Lucia,Castries,Sunny,1.4,5.4
Saint Vincent and the Grenadines,Kingstown,Partly cloudy,1.6,6.9
Samoa,Apia,Patchy rain nearby,2.5,5.7
San Marino,San Marino,Sunny,9.6,13.2
Belgium,'S Gravenjansdijk,Overcast,0.6,0.7
Saudi Arabia,Riyadh,Sunny,20.9,108.8
Senegal,Dakar,Sunny,20.5,123.4
Serbia,Belgrade,Sunny,7.6,8.8
Seychelles Islands,Victoria,Moderate rain,1.0,2.3
Sierra Leone,Freetown,Light rain shower,1.3,2.1
Singapore,Singapore,Light rain shower,24.3,28.4
Slovakia,Bratislava,Sunny,4.9,5.3
Slovenia,Ljubljana,Partly Cloudy,2.4,3.1
Solomon Islands,Honiara,Cloudy,0.5,0.6
Somalia,Mogadishu,Sunny,3.0,15.7
South Africa,Pretoria,Sunny,138.8,160.6
South Korea,Seoul,Patchy rain nearby,23.5,26.7
Sudan,Juba,Sunny,11.4,46.6
Spain,Madrid,Sunny,0.8,1.1
Sri Lanka,Colombo,Patchy light drizzle,3.3,15.8
Sudan,Khartoum,Sunny,29.4,132.0
Suriname,Paramaribo,Partly Cloudy,0.6,0.8
Sweden,Stockholm,Partly cloudy,1.2,1.6
Switzerland,Bern,Patchy rain nearby,0.5,0.6
Syria,Damascus,Sunny,25.7,108.5
Tajikistan,Dushanbe,Sunny,8.1,19.1
Tanzania,Dodoma,Sunny,4.3,6.3
Thailand,Bangkok,Partly Cloudy,32.7,57.9
Timor-Leste,Dili,Clear,1.9,5.0
Bulgaria,Lom,Sunny,2.9,3.1
Tonga,Nuku`Aloia,Partly cloudy,0.5,1.8
Trinidad and Tobago,Port Of Spain,Patchy rain nearby,1.7,2.5
Tunisia,Tunis,Clear,10.5,22.7
Turkey,Ankara,Partly cloudy,0.7,0.8
Turkmenistan,Ashgabat,Partly Cloudy,9.9,42.1
Tuvalu,Funafuti,Partly cloudy,0.5,1.4
Uganda,Kampala,Partly cloudy,2.1,3.5
Ukraine,Kyiv,Light rain shower,1.0,1.1
United Arab Emirates,Abu Dhabi,Sunny,70.5,139.4
United Kingdom,London,Moderate rain,0.6,0.8
United States of America,Washington Harbor,Light rain,0.5,0.6
Uruguay,Montevideo,Sunny,10.3,15.1
Uzbekistan,Tashkent,Sunny,13.4,16.1
Vanuatu,Port Vila,Partly Cloudy,6.4,10.0
Venezuela,Caracas,Partly cloudy,2.7,2.9
Vietnam,Hanoi,Moderate or heavy rain shower,89.0,120.3
Yemen,Sanaa,Partly Cloudy,26.3,89.4
Zambia,Lusaka,Sunny,6.9,11.9
Zimbabwe,Harare,Sunny,9.8,12.7
Afghanistan,Kabul,Partly Cloudy,8.4,17.8
Albania,Tirana,Sunny,5.6,6.7
Algeria,Algiers,Sunny,15.3,18.2
Andorra,Andorra La Vella,Sunny,0.9,1.5
Angola,Luanda,Partly cloudy,45.0,102.5
Antigua and Barbuda,Saint John's,Overcast,1.0,2.4
Argentina,Buenos Aires,Partly cloudy,9.3,12.9
Armenia,Yerevan,Partly cloudy,6.8,20.9
Australia,Canberra,Clear,2.8,4.0
Austria,Vienna,Partly cloudy,1.9,2.3
Azerbaijan,Baku,Sunny,4.5,9.4
Bahamas,Nassau,Partly cloudy,1.0,3.1
Bahrain,Manama,Sunny,46.4,93.5
Bangladesh,Dhaka,Clear,23.5,36.7
Barbados,Bridgetown,Patchy rain nearby,1.8,4.3
Belarus,Minsk,Patchy light rain,2.7,2.8
Belgium,Brussels,Light drizzle,0.5,0.6
Belize,Belmopan,Fog,1.7,2.1
Benin,Porto-Novo,Cloudy,4.0,6.0
Bhutan,Thimphu,Light rain shower,4.1,5.3
Bolivia,Sucre,Patchy rain nearby,3.5,8.4
Bosnia and Herzegovina,Sarajevo,Sunny,3.5,4.8
Botswana,Gaborone,Sunny,30.4,36.2
Brazil,Bras,Sunny,1.1,1.1
Brunei Darussalam,Bandar Seri Begawan,Partly Cloudy,2.2,2.5
Bulgaria,Sofia,Partly cloudy,3.2,3.6
Burkina Faso,Ouagadougou,Partly Cloudy,2.8,7.4
Burundi,Bujumbura,Patchy rain nearby,8.7,12.9
Madagascar,Ivory,Sunny,1.0,2.7
Cape Verde,Praia,Sunny,11.1,73.3
Cambodia,Phnom Penh,Partly cloudy,9.1,16.6
Cameroon,Bafoussam,Patchy rain nearby,1.2,2.3
Canada,Ottawa,Overcast,0.6,1.0
Central African Republic,Bangui,Partly Cloudy,0.5,0.5
Chad,N'djamena,Sunny,6.6,23.5
Chile,Santiago,Sunny,690.1,813.4
China,Beijing,Clear,34.9,49.1
Bulgaria,Bogot,Sunny,3.9,4.3
Comoros,Moroni,Patchy rain nearby,2.2,5.2
Congo,Brazzaville,Sunny,17.2,28.5
Costa Rica,San Ignacio,Patchy rain nearby,1.8,2.1
Croatia,Zagreb,Sunny,6.2,7.9
Cuba,Havana,Partly cloudy,3.8,8.5
Cyprus,Nicosia,Partly cloudy,10.0,25.3
Czech Republic,Prague,Sunny,1.1,1.5
Democratic Republic of Congo,Kinshasa,Sunny,17.2,28.5
Denmark,Copenhagen,Patchy rain nearby,1.7,1.9
Djibouti,Djibouti,Sunny,27.0,67.4
Dominica,Roseau,Patchy rain nearby,1.5,6.4
Dominican Republic,Santo Domingo,Partly cloudy,14.4,22.1
Ecuador,Quito,Patchy rain nearby,35.1,38.0
Egypt,Cairo,Sunny,9.7,29.8
El Salvador,San Salvador,Moderate rain,31.6,34.3
Equatorial Guinea,Malabo,Heavy rain,4.6,5.0
Eritrea,Asmara,Sunny,17.7,55.3
Estonia,Tallinn,Partly Cloudy,2.2,2.5
Swaziland,Mbabane,Sunny,33.6,39.0
Ethiopia,Addis Ababa,Sunny,13.5,46.4
Fiji Islands,Suva,Light rain shower,1.1,1.8
Finland,Helsinki,Partly cloudy,5.0,6.5
France,Paris,Light drizzle,1.4,1.8
Gabon,Libreville,Partly Cloudy,17.8,27.5
Gambia,Banjul,Partly cloudy,11.2,67.9
Georgia,Tbilisi,Partly cloudy,2.9,5.2
Germany,Berlin,Partly Cloudy,0.7,0.9
Ghana,Accra,Light rain shower,4.8,7.6
Greece,Athens,Sunny,13.2,15.3
Grenada,Saint George's,Patchy rain nearby,2.0,7.1
Guatemala,Guatemala City,Light drizzle,183.9,197.3
Guinea,Conakry,Patchy rain nearby,1.3,4.1
Guinea-Bissau,Bissau,Partly cloudy,2.0,3.0
Guyana,Georgetown,Patchy rain nearby,1.4,1.7
Haiti,Port-Au-Prince,Partly cloudy,5.1,10.2
Vatican City,Vatican City,Sunny,6.9,14.1
Honduras,Tegucigalpa,Fog,7.2,10.1
Hungary,Budapest,Partly Cloudy,3.7,3.9
Iceland,Grindavik,Overcast,2.9,4.6
India,New Delhi,Clear,26.1,62.3
Indonesia,Jakarta,Light rain shower,303.9,396.5
Iran,Tehran,Partly cloudy,6.1,10.6
Iraq,Baghdad,Sunny,21.4,69.5
Ireland,Dublin,Patchy rain nearby,0.6,0.6
Israel,Jerusalem,Sunny,6.3,12.4
Italy,Rome,Partly cloudy,6.9,14.1
Jamaica,Norman Gardens,Partly cloudy,3.5,8.0
Japan,Tokyo,Patchy rain nearby,13.9,17.4
Jordan,Amman,Sunny,15.5,50.3
Kazakhstan,Astana,Partly cloudy,0.9,0.9
Kenya,Nairobi,Patchy rain nearby,9.7,23.5
Kiribati,Tarawa,Patchy rain nearby,1.3,5.1
Kuwait,Kuwait City,Sunny,50.0,91.9
Kyrghyzstan,Bishkek,Patchy rain nearby,2.5,5.3
Indonesia,Laos,Partly Cloudy,16.3,25.3
Latvia,Riga,Partly Cloudy,2.9,3.5
Lebanon,Beirut,Sunny,11.1,31.0
Lesotho,Maseru,Sunny,25.9,29.7
Liberia,Monrovia,Light rain,1.0,3.5
Thailand,Nan,Partly cloudy,1.6,1.9
Liechtenstein,Vaduz,Partly cloudy,1.1,1.3
Lithuania,Vilnius,Partly Cloudy,0.8,1.0
Luxembourg,Luxembourg,Patchy rain nearby,0.5,0.6
Madagascar,Antananarivo,Partly cloudy,4.5,11.1
Malawi,Lilongwe,Partly cloudy,0.5,1.2
Malaysia,Kuala Lumpur,Partly cloudy,57.7,74.5
Maldives,Felidhoo,Patchy rain nearby,0.5,2.0
Mali,Bamako,Sunny,1.3,2.7
Malta,Valletta,Sunny,19.3,28.9
Marshall Islands,Majuro,Patchy rain nearby,2.1,4.8
Mauritania,Nouakchott,Sunny,19.6,135.1
Mauritius,Port Louis,Overcast,1.6,3.6
Mexico,Mexico City,Partly cloudy,17.2,23.6
Micronesia,Palikir,Patchy rain nearby,1.9,5.2
Iran,Chi Chi Khvar,Partly Cloudy,8.4,21.3
Monaco,Monaco,Sunny,5.2,8.6
Mongolia,Ulaanbaatar,Partly cloudy,4.8,5.4
Montenegro,Podgorica,Sunny,6.3,7.0
Morocco,Rabat,Sunny,6.8,23.1
Mozambique,Maputo,Partly cloudy,19.5,29.0
Myanmar,Rangoon,Light rain shower,5.7,9.7
Namibia,Windhoek,Sunny,5.4,7.8
Turkey,Yaren,Sunny,5.5,5.8
Nepal,Kathmandu,Partly cloudy,35.8,44.9
Netherlands,Amsterdam,Light drizzle,0.6,0.9
New Zealand,Wellington,Partly cloudy,0.5,1.2
Nicaragua,Managua,Patchy light drizzle,2.9,3.7
Niger,Niamey,Sunny,2.1,3.8
Nigeria,Abuja,Patchy rain nearby,3.1,4.4
North Korea,Pyongyang,Clear,32.7,41.7
Macedonia,Skopje,Sunny,3.1,3.4
Norway,Oslo,Partly cloudy,0.6,0.7
Oman,Muscat,Partly cloudy,30.2,111.3
Pakistan,Islamabad,Sunny,16.8,31.4
Palau,Adkip,Clear,0.5,1.1
Bolivia,National,Sunny,0.5,0.5
Panama,Panama City,Patchy rain nearby,1.1,1.4
Papua New Guinea,Port Moresby,Partly Cloudy,3.4,8.2
Paraguay,Pasto,Overcast,11.7,11.7
Peru,Lima,Patchy rain nearby,20.3,32.1
Philippines,Manila,Partly cloudy,58.4,80.8
Poland,Warsaw,Sunny,6.4,7.0
Portugal,Lisbon,Partly cloudy,2.7,5.5
Qatar,Doha,Sunny,34.9,73.2
Romania,Bucharest,Sunny,6.6,7.1
Russia,Moscow,Partly Cloudy,3.6,4.5
Rwanda,Kigali,Partly Cloudy,9.9,15.6
Saint Kitts and Nevis,Basseterre,Patchy rain nearby,0.8,1.8
Saint Lucia,Castries,Partly cloudy,1.4,6.8
Saint Vincent and the Grenadines,Kingstown,Partly Cloudy,2.0,8.5
Samoa,Apia,Patchy rain nearby,2.2,10.1
San Marino,San Marino,Partly cloudy,4.5,6.8
Belgium,'S Gravenjansdijk,Moderate rain,0.5,0.6
Saudi Arabia,Riyadh,Sunny,13.7,58.7
Senegal,Dakar,Partly cloudy,22.4,126.2
Serbia,Belgrade,Sunny,8.2,9.7
Seychelles Islands,Victoria,Partly cloudy,0.8,2.3
Sierra Leone,Freetown,Light rain shower,0.8,1.2
Singapore,Singapore,Clear,41.1,45.8
Slovakia,Bratislava,Partly cloudy,2.7,2.9
Slovenia,Ljubljana,Patchy rain nearby,2.3,3.2
Solomon Islands,Honiara,Clear,0.5,0.6
Somalia,Mogadishu,Sunny,1.3,4.7
South Africa,Pretoria,Sunny,67.5,76.3
South Korea,Seoul,Clear,22.1,25.3
Sudan,Juba,Thundery outbreaks in nearby,14.7,61.5
Spain,Madrid,Sunny,1.0,1.4
Sri Lanka,Colombo,Patchy light drizzle,1.7,5.9
Sudan,Khartoum,Partly Cloudy,32.8,167.3
Suriname,Paramaribo,Partly cloudy,1.2,1.5
Sweden,Stockholm,Sunny,1.0,1.5
Switzerland,Bern,Partly Cloudy,0.7,0.8
Syria,Damascus,Sunny,1.9,3.9
Tajikistan,Dushanbe,Sunny,9.1,25.2
Tanzania,Dodoma,Sunny,2.4,4.2
Thailand,Bangkok,Partly Cloudy,19.3,39.6
Timor-Leste,Dili,Clear,1.8,6.0
Bulgaria,Lom,Sunny,3.4,3.8
Tonga,Nuku`Aloia,Partly Cloudy,3.0,10.8
Trinidad and Tobago,Port Of Spain,Overcast,1.7,2.9
Tunisia,Tunis,Patchy rain nearby,6.1,7.9
Turkey,Ankara,Sunny,3.5,3.8
Turkmenistan,Ashgabat,Sunny,8.6,30.6
Tuvalu,Funafuti,Patchy rain nearby,0.5,1.8
Uganda,Kampala,Partly cloudy,5.2,7.5
Ukraine,Kyiv,Light drizzle,2.1,2.2
United Arab Emirates,Abu Dhabi,Sunny,80.8,108.1
United Kingdom,London,Sunny,0.7,0.9
United States of America,Washington Harbor,Partly Cloudy,0.5,0.7
Uruguay,Montevideo,Sunny,8.5,13.2
Uzbekistan,Tashkent,Sunny,6.6,10.4
Vanuatu,Port Vila,Partly cloudy,1.9,2.6
Venezuela,Caracas,Partly cloudy,6.3,6.7
Vietnam,Hanoi,Heavy rain at times,87.8,100.1
Yemen,Sanaa,Sunny,12.2,49.3
Zambia,Lusaka,Sunny,3.6,6.7
Zimbabwe,Harare,Sunny,5.3,7.1
Afghanistan,Kabul,Sunny,9.5,18.4
Albania,Tirana,Sunny,5.2,7.3
Algeria,Algiers,Sunny,15.7,26.0
Andorra,Andorra La Vella,Sunny,1.2,1.8
Angola,Luanda,Partly cloudy,25.2,57.6
Antigua and Barbuda,Saint John's,Partly cloudy,0.8,2.3
Argentina,Buenos Aires,Sunny,2.0,4.3
Armenia,Yerevan,Partly cloudy,9.4,28.4
Australia,Canberra,Clear,0.5,0.9
Austria,Vienna,Partly cloudy,3.9,4.5
Azerbaijan,Baku,Sunny,6.2,11.0
Bahamas,Nassau,Light rain shower,1.3,4.4
Bahrain,Manama,Sunny,49.4,94.0
Bangladesh,Dhaka,Clear,23.1,34.0
Barbados,Bridgetown,Partly cloudy,1.0,1.7
Belarus,Minsk,Patchy rain nearby,1.8,1.8
Belgium,Brussels,Patchy rain nearby,0.6,0.8
Belize,Belmopan,Light rain shower,1.0,1.2
Benin,Porto-Novo,Light rain shower,5.6,9.0
Bhutan,Thimphu,Light rain shower,6.1,8.1
Bolivia,Sucre,Patchy rain nearby,5.7,12.1
Bosnia and Herzegovina,Sarajevo,Sunny,4.2,5.8
Botswana,Gaborone,Partly Cloudy,8.6,11.7
Brazil,Bras,Sunny,0.6,0.6
Brunei Darussalam,Bandar Seri Begawan,Partly cloudy,2.2,2.4
Bulgaria,Sofia,Patchy rain nearby,3.5,4.2
Burkina Faso,Ouagadougou,Partly Cloudy,3.3,7.9
Burundi,Bujumbura,Partly cloudy,11.7,18.2
Madagascar,Ivory,Sunny,0.5,1.3
Cape Verde,Praia,Partly Cloudy,15.2,100.9
Cambodia,Phnom Penh,Partly Cloudy,9.3,19.1
Cameroon,Bafoussam,Patchy rain nearby,0.7,1.3
Canada,Ottawa,Cloudy,7.3,8.0
Central African Republic,Bangui,Cloudy,0.5,0.6
Chad,N'djamena,Sunny,8.5,37.4
Chile,Santiago,Mist,768.9,944.5
China,Beijing,Clear,82.3,106.8
Bulgaria,Bogot,Sunny,5.8,6.7
Comoros,Moroni,Patchy rain nearby,3.6,9.9
Congo,Brazzaville,Sunny,16.7,28.1
Costa Rica,San Ignacio,Partly cloudy,53.8,56.7
Croatia,Zagreb,Sunny,4.1,5.8
Cuba,Havana,Sunny,3.5,8.7
Cyprus,Nicosia,Partly cloudy,12.1,25.6
Democratic Republic of Congo,Kinshasa,Partly cloudy,16.7,28.1
Denmark,Copenhagen,Partly cloudy,2.0,2.4
Djibouti,Djibouti,Sunny,27.2,78.2
Dominica,Roseau,Patchy rain nearby,1.3,2.4
Dominican Republic,Santo Domingo,Sunny,31.0,35.0
Ecuador,Quito,Sunny,16.7,20.5
Egypt,Cairo,Sunny,18.1,24.1
El Salvador,San Salvador,Light rain,1.2,2.4
Equatorial Guinea,Malabo,Partly cloudy,3.6,4.1
Eritrea,Asmara,Sunny,13.6,39.5
Estonia,Tallinn,Light rain shower,7.9,8.0
Swaziland,Mbabane,Sunny,37.7,43.6
Ethiopia,Addis Ababa,Patchy rain nearby,19.1,82.4
Fiji Islands,Suva,Partly cloudy,1.1,1.6
Finland,Helsinki,Light rain shower,12.0,15.0
France,Paris,Light rain shower,0.6,1.0
Gabon,Libreville,Patchy rain nearby,14.6,20.8
Gambia,Banjul,Partly cloudy,20.0,85.0
Georgia,Tbilisi,Sunny,4.6,7.7
Germany,Berlin,Moderate rain,0.9,1.0
Ghana,Accra,Patchy rain nearby,7.5,12.2
Greece,Athens,Patchy rain nearby,15.7,17.2
Grenada,Saint George's,Partly cloudy,0.7,2.0
Guinea,Conakry,Moderate or heavy rain with thunder,1.2,12.0
Guinea-Bissau,Bissau,Partly Cloudy,4.3,25.8
Guyana,Georgetown,Light rain,1.4,1.7
Haiti,Port-Au-Prince,Sunny,6.6,13.6
Vatican City,Vatican City,Sunny,7.7,11.2
Honduras,Tegucigalpa,Light rain,0.7,2.0
Hungary,Budapest,Sunny,10.8,11.8
Iceland,Grindavik,Light rain,1.5,2.1
India,New Delhi,Clear,21.9,61.9
Indonesia,Jakarta,Clear,321.4,452.1
Iran,Tehran,Partly cloudy,10.9,20.6
Iraq,Baghdad,Sunny,24.4,85.6
Ireland,Dublin,Light rain shower,0.8,1.0
Israel,Jerusalem,Sunny,9.3,19.5
Italy,Rome,Sunny,7.7,11.2
Jamaica,Norman Gardens,Partly cloudy,6.3,8.8
Japan,Tokyo,Partly cloudy,35.9,41.1
Jordan,Amman,Sunny,12.8,30.2
Kazakhstan,Astana,Patchy rain nearby,1.5,1.7
Kenya,Nairobi,Patchy rain nearby,40.8,71.9
Kiribati,Tarawa,Partly Cloudy,0.8,3.4
Kuwait,Kuwait City,Sunny,90.9,155.8
Kyrghyzstan,Bishkek,Sunny,3.0,7.5
Indonesia,Laos,Clear,24.9,36.3
Latvia,Riga,Moderate or heavy rain with thunder,6.8,7.2
Lebanon,Beirut,Partly cloudy,11.1,24.9
Lesotho,Maseru,Sunny,50.9,56.0
Liberia,Monrovia,Light rain shower,4.2,10.3
Thailand,Nan,Patchy rain nearby,1.6,2.2
Liechtenstein,Vaduz,Partly cloudy,1.1,1.3
Lithuania,Vilnius,Patchy rain nearby,1.8,2.0
Luxembourg,Luxembourg,Moderate rain,0.5,0.6
Madagascar,Antananarivo,Patchy rain nearby,9.2,19.4
Malawi,Lilongwe,Sunny,2.4,4.7
Malaysia,Kuala Lumpur,Cloudy,71.2,93.8
Maldives,Felidhoo,Thundery outbreaks in nearby,0.5,1.3
Mali,Bamako,Partly Cloudy,3.0,5.9
Malta,Valletta,Sunny,77.6,88.8
Marshall Islands,Majuro,Overcast,0.9,2.2
Mauritania,Nouakchott,Sunny,40.0,196.3
Mauritius,Port Louis,Partly Cloudy,2.3,9.4
Mexico,Mexico City,Partly cloudy,39.0,55.7
Micronesia,Palikir,Overcast,0.7,1.5
Iran,Chi Chi Khvar,Sunny,12.1,29.9
Monaco,Monaco,Partly cloudy,6.3,11.2
Mongolia,Ulaanbaatar,Clear,3.3,4.2
Montenegro,Podgorica,Sunny,5.4,8.6
Morocco,Rabat,Partly cloudy,7.3,19.3
Mozambique,Maputo,Sunny,6.9,23.6
Myanmar,Rangoon,Light rain shower,8.1,12.7
Namibia,Windhoek,Sunny,6.0,8.7
Turkey,Yaren,Sunny,9.2,9.7
Nepal,Kathmandu,Clear,40.8,51.3
Netherlands,Amsterdam,Sunny,3.5,6.4
New Zealand,Wellington,Patchy rain nearby,0.5,0.6
Nicaragua,Managua,Moderate rain,7.9,9.9
Niger,Niamey,Partly Cloudy,15.7,65.8
Nigeria,Abuja,Partly cloudy,2.0,3.0
North Korea,Pyongyang,Clear,55.6,65.8
Macedonia,Skopje,Partly cloudy,4.8,6.2
Norway,Oslo,Sunny,1.5,1.9
Oman,Muscat,Sunny,33.6,103.8
Pakistan,Islamabad,Sunny,27.9,59.1
Palau,Adkip,Partly cloudy,0.5,1.1
Bolivia,National,Sunny,0.5,0.5
Panama,Panama City,Partly cloudy,2.4,2.9
Papua New Guinea,Port Moresby,Clear,1.8,5.0
Paraguay,Carreria,Partly Cloudy,4.5,4.5
Peru,Lima,Sunny,4.7,14.1
Philippines,Manila,Partly cloudy,88.1,109.3
Poland,Warsaw,Sunny,3.3,3.7
Portugal,Lisbon,Sunny,1.8,4.4
Qatar,Doha,Sunny,38.4,83.1
Romania,Bucharest,Sunny,5.6,6.3
Russia,Moscow,Moderate or heavy rain with thunder,1.7,2.9
Rwanda,Kigali,Partly cloudy,11.8,17.3
Saint Kitts and Nevis,Basseterre,Patchy rain nearby,1.2,3.2
Saint Lucia,Castries,Patchy rain nearby,1.0,3.1
Saint Vincent and the Grenadines,Kingstown,Patchy rain nearby,0.8,2.1
Samoa,Apia,Patchy rain nearby,2.3,7.7
Belgium,'S Gravenjansdyk,Patchy rain nearby,2.8,3.6
Saudi Arabia,Riyadh,Sunny,23.8,60.6
Senegal,Dakar,Sunny,13.7,105.7
Serbia,Belgrade,Sunny,3.6,4.7
Seychelles Islands,Victoria,Patchy rain nearby,1.2,3.0
Sierra Leone,Freetown,Light rain shower,0.6,0.9
Singapore,Singapore,Partly Cloudy,22.3,27.1
Slovakia,Bratislava,Sunny,3.6,3.9
Slovenia,Ljubljana,Sunny,3.6,5.2
Solomon Islands,Honiara,Clear,1.0,1.2
Somalia,Mogadishu,Sunny,2.2,11.3
South Africa,Pretoria,Sunny,46.5,57.9
South Korea,Seoul,Clear,82.5,88.4
Sudan,Juba,Sunny,9.3,37.4
Spain,Madrid,Sunny,0.5,0.8
Sri Lanka,Colombo,Partly cloudy,1.9,5.5
Sudan,Khartoum,Sunny,35.0,188.0
Suriname,Paramaribo,Partly cloudy,1.5,1.9
Sweden,Stockholm,Sunny,1.9,2.6
Switzerland,Bern,Sunny,1.0,1.2
Syria,Damascus,Sunny,8.8,18.1
Tajikistan,Dushanbe,Patchy rain nearby,5.5,11.7
Tanzania,Dodoma,Sunny,2.3,3.8
Thailand,Bangkok,Partly cloudy,82.8,125.9
Timor-Leste,Dili,Clear,3.5,8.1
Bulgaria,Lom,Sunny,3.3,4.5
Tonga,Nuku`Aloia,Patchy rain nearby,2.7,13.0
Trinidad and Tobago,Port Of Spain,Light rain shower,1.2,1.9
Tunisia,Tunis,Sunny,7.8,15.6
Turkey,Ankara,Partly cloudy,3.1,3.4
Turkmenistan,Ashgabat,Partly cloudy,10.8,52.3
Tuvalu,Funafuti,Patchy rain nearby,1.0,4.2
Uganda,Kampala,Partly cloudy,9.3,12.1
Ukraine,Kyiv,Patchy rain nearby,0.5,0.6
United Arab Emirates,Abu Dhabi,Sunny,33.3,60.6
United Kingdom,London,Partly Cloudy,1.4,1.9
United States of America,Washington Harbor,Partly Cloudy,1.3,3.3
Uruguay,Montevideo,Sunny,10.3,17.5
Uzbekistan,Tashkent,Partly cloudy,4.9,10.8
Vanuatu,Port Vila,Partly cloudy,1.3,4.2
Venezuela,Caracas,Patchy rain nearby,5.6,6.3
Vietnam,Hanoi,Patchy light rain with thunder,44.0,56.5
Yemen,Sanaa,Patchy rain nearby,25.0,124.1
Zambia,Lusaka,Partly Cloudy,8.9,16.2
Zimbabwe,Harare,Sunny,20.0,24.4
Afghanistan,Kabul,Sunny,5.9,14.6
Albania,Tirana,Sunny,10.1,13.4
Algeria,Algiers,Partly cloudy,10.2,17.9
Andorra,Andorra La Vella,Sunny,2.4,4.3
Angola,Luanda,Partly cloudy,48.1,99.5
Antigua and Barbuda,Saint John's,Partly Cloudy,0.8,2.9
Argentina,Buenos Aires,Overcast,1.7,2.7
Armenia,Yerevan,Partly cloudy,8.5,22.4
Australia,Canberra,Clear,4.5,7.2
Austria,Vienna,Sunny,5.9,6.7
Azerbaijan,Baku,Sunny,7.4,11.9
Bahamas,Nassau,Partly cloudy,1.0,4.3
Bahrain,Manama,Sunny,125.1,193.5
Bangladesh,Dhaka,Torrential rain shower,14.1,23.5
Barbados,Bridgetown,Patchy rain nearby,1.2,2.0
Belarus,Minsk,Patchy rain nearby,2.0,2.1
Belgium,Brussels,Light rain shower,21.5,22.8
Belize,Belmopan,Mist,1.0,1.1
Benin,Porto-Novo,Patchy rain nearby,6.1,10.2
Bhutan,Thimphu,Light rain shower,7.1,8.8
Bolivia,Sucre,Sunny,3.8,10.6
Bosnia and Herzegovina,Sarajevo,Sunny,12.6,13.4
Botswana,Gaborone,Sunny,8.5,13.2
Brazil,Bras,Sunny,0.8,0.9
Brunei Darussalam,Bandar Seri Begawan,Light rain,1.7,1.8
Bulgaria,Sofia,Partly cloudy,5.7,6.5
Burkina Faso,Ouagadougou,Sunny,8.8,24.3
Burundi,Bujumbura,Partly cloudy,11.4,17.4
Madagascar,Ivory,Sunny,0.5,0.9
Cape Verde,Praia,Sunny,7.7,34.4
Cambodia,Phnom Penh,Partly cloudy,10.7,22.0
Canada,Ottawa,Partly cloudy,15.0,16.1
Central African Republic,Bangui,Partly Cloudy,0.5,0.6
Chad,N'djamena,Partly Cloudy,20.8,97.5
Chile,Santiago,Light rain shower,429.6,493.1
China,Beijing,Clear,107.3,142.1
Bulgaria,Bogot,Sunny,5.2,5.9
Comoros,Moroni,Patchy rain nearby,2.6,6.1
Congo,Brazzaville,Sunny,14.9,26.2
Costa Rica,San Ignacio,Partly Cloudy,57.2,58.5
Croatia,Zagreb,Sunny,5.8,7.4
Cuba,Havana,Partly cloudy,4.3,8.8
Cyprus,Nicosia,Sunny,12.8,24.8
Czech Republic,Prague,Sunny,1.5,2.1
Democratic Republic of Congo,Kinshasa,Sunny,14.9,26.2
Denmark,Copenhagen,Partly cloudy,2.8,3.7
Djibouti,Djibouti,Sunny,27.7,87.6
Dominica,Roseau,Moderate or heavy rain with thunder,0.6,1.4
Dominican Republic,Santo Domingo,Light rain,4.9,8.9
Ecuador,Quito,Partly Cloudy,17.8,21.6
Egypt,Cairo,Sunny,8.0,13.8
El Salvador,San Salvador,Light drizzle,1.2,2.8
Equatorial Guinea,Malabo,Partly cloudy,3.6,4.5
Eritrea,Asmara,Patchy rain nearby,8.4,25.5
Estonia,Tallinn,Partly cloudy,10.4,10.8
Swaziland,Mbabane,Sunny,27.8,33.0
Ethiopia,Addis Ababa,Partly cloudy,12.9,65.9
Fiji Islands,Suva,Partly Cloudy,2.6,3.8
Finland,Helsinki,Partly cloudy,4.4,5.0
France,Paris,Partly cloudy,5.4,6.8
Gabon,Libreville,Partly Cloudy,17.3,24.8
Gambia,Banjul,Sunny,10.8,70.9
Georgia,Tbilisi,Sunny,4.3,5.4
Germany,Berlin,Cloudy,1.5,1.9
Ghana,Accra,Partly cloudy,3.8,8.4
Guatemala,Guatemala City,Light rain,44.8,57.5
Guinea,Conakry,Partly cloudy,1.9,4.0
Guinea-Bissau,Bissau,Partly cloudy,4.6,8.4
Guyana,Georgetown,Partly cloudy,2.2,2.8
Haiti,Port-Au-Prince,Partly cloudy,36.0,56.3
Vatican City,Vatican City,Sunny,4.5,6.5
Honduras,Tegucigalpa,Overcast,0.5,1.6
Hungary,Budapest,Sunny,6.4,7.6
Iceland,Grindavik,Light rain,0.5,0.7
India,New Delhi,Clear,23.0,80.3
Indonesia,Jakarta,Light rain shower,836.5,1073.3
Iran,Tehran,Sunny,14.3,36.4
Iraq,Baghdad,Sunny,19.8,64.1
Ireland,Dublin,Partly cloudy,0.6,0.9
Israel,Jerusalem,Sunny,11.1,20.6
Italy,Rome,Sunny,4.5,6.5
Jamaica,Norman Gardens,Sunny,5.0,13.2
Japan,Tokyo,Patchy rain nearby,28.2,31.6
Jordan,Amman,Sunny,12.2,22.4
Kenya,Nairobi,Partly cloudy,24.6,51.0
Kiribati,Tarawa,Patchy rain nearby,0.8,2.5
Kuwait,Kuwait City,Sunny,39.2,81.8
Kyrghyzstan,Bishkek,Patchy rain nearby,3.6,6.1
