Season,No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions),plot
3,46,6,"""The Cornhusker Vortex""",Mark Cendrowski,Story by : Bill Prady & Steven MolaroTeleplay by : Dave Goetsch & Richard Rosenstock,"November 2, 2009",3X5555,12.73,"Leonard attempts to fit in with Penny's football-loving friends, despite initially knowing nothing about the game. However, it is Sheldon who surprises him with a large amount of football knowledge (forced on him by his father in his childhood), which Leonard later brings to Penny's football party. When Leonard refuses to fly kites with Sheldon, upsetting him as he never got to experience a normal childhood, Penny feels bad and allows Leonard to go, especially after pointing out how he is boring everyone at the party. Howard upsets Raj by repeatedly abandoning him during activities to pursue women. Title reference: The football team Penny and her friends watch."
3,47,7,"""The Guitarist Amplification""",Mark Cendrowski,Story by : Chuck Lorre & Lee AronsohnTeleplay by : Bill Prady & Richard Rosenstock & Jim Reynolds,"November 9, 2009",3X5557,12.79,"When Penny announces that her guitarist friend, whom she dated twice, is going to sleep on her couch for the next few days, Leonard is upset that she did not ask him first. Sheldon is upset by reminders of his quarreling parents as Leonard and Penny fight, Raj argues with his parents and Howard argues with his mother. Title reference: Penny's guitarist friend."
3,48,8,"""The Adhesive Duck Deficiency""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Dave GoetschTeleplay by : Steven Molaro & Eric Kaplan & Maria Ferrari,"November 16, 2009",3X5558,13.23,"Sheldon, despite never having driven a car before, is forced to drive Penny to the hospital after she slips in the shower. Leonard, Raj and Howard go on a camping trip to watch the Leonid meteor shower, but all succumb to the effects of ""magic"" cookies given to them by Deadhead campers nearby, causing them to blurt out weird secrets including Howard losing his virginity to his second cousin and they forget about the meteor shower. Title reference: Sheldon telling Penny that he has sticky non-slip duck shaped appliqués in his bath tub and that they would have prevented Penny's accident."
3,49,9,"""The Vengeance Formulation""",Mark Cendrowski,Story by : Chuck Lorre & Maria FerrariTeleplay by : Richard Rosenstock & Jim Reynolds & Steve Holland,"November 23, 2009",3X5559,14.13,"After three successful dates, Howard reflects on the future of his relationship with Bernadette. He surprises her with a last-minute proposal, which she declines as it is much too soon for either of them. However, he wins her over by performing a cheesy love song, which she finds as romantic. A prank fight between Sheldon and Kripke begins when the latter severely embarrasses the former on National Public Radio's talk show Science Friday by filling Sheldon's office with helium, giving him a high-pitched voice. It ends with Sheldon dropping foam from the ceiling into Kripke's office, but accidentally does it when President Siebert and the Board of Directors are there to see Kripke's progress on one of his experiments. Afterwards, a pre-recorded message from Sheldon plays from Kripke's computer, explaining that Sheldon was responsible and that Leonard and Raj were involved. Title reference: Sheldon's revenge against Kripke."
3,50,10,"""The Gorilla Experiment""",Mark Cendrowski,Story by : Chuck Lorre & Richard Rosenstock & Steve HollandTeleplay by : Bill Prady & Steven Molaro & Maria Ferrari,"December 7, 2009",3X5560,14.38,"Howard becomes jealous of Leonard after Bernadette shows an interest in his work, causing friction in the relationship of all three. Penny becomes jealous over not being able to talk to Leonard about his job, and asks Sheldon to teach her about physics to mixed results. Title reference: Sheldon's view that teaching physics to Penny is equivalent in challenge to teaching sign language to Koko the gorilla."
3,51,11,"""The Maternal Congruence""",Mark Cendrowski,Story by : Lee Aronsohn & Steven Molaro & Richard Rosenstock & Maria FerrariTeleplay by : Chuck Lorre & Bill Prady & Dave Goetsch,"December 14, 2009",3X5562,15.58,"At Christmas, Leonard's mother visits, much to Leonard's horror and Sheldon's delight. Penny is upset to learn that Leonard has not told her about his mother's visit, nor his mother about their relationship, while Leonard learns that Sheldon appears to know more about his parents' lives than he does. Title reference: Leonard's mother visiting him again."
3,52,12,"""The Psychic Vortex""",Mark Cendrowski,Story by : Lee Aronsohn & Steven MolaroTeleplay by : Chuck Lorre & Eric Kaplan & Jim Reynolds,"January 11, 2010",3X5561,15.82,"Penny is upset when Leonard derides her for taking advice from a psychic. Awkward situations ensue as Sheldon and Raj date two women they met at a university mixer, Raj having bribed Sheldon to be his wingman. Title reference: Penny's belief in psychics."
3,53,13,"""The Bozeman Reaction""",Mark Cendrowski,Story by : Bill Prady & Lee Aronsohn & Jim ReynoldsTeleplay by : Chuck Lorre & Steven Molaro & Steve Holland,"January 18, 2010",3X5563,14.99,"Sheldon fears for his safety after his and Leonard's apartment is burgled, and takes various measures to try to increase his security. Title reference: Sheldon moves to Bozeman, Montana after his and Leonard's apartment is robbed."
3,54,14,"""The Einstein Approximation""",Mark Cendrowski,Story by : Lee Aronsohn & Dave Goetsch & Steve HollandTeleplay by : Chuck Lorre & Steven Molaro & Eric Kaplan,"February 1, 2010",3X5565,15.51,"After becoming obsessed with a physics problem, Sheldon decides to take a menial job, comparing himself to Albert Einstein, who conceived his theory of relativity while working at the Swiss patent office. Meanwhile, Raj feels left out when Leonard, Penny, Howard and Bernadette go on a double-date at a roller skating rink. Title reference: Sheldon's attempt at solving his problem by working in a menial job, comparing it to Albert Einstein's discoveries made while working in Switzerland in the Patent Office."
3,55,15,"""The Large Hadron Collision""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Jim ReynoldsTeleplay by : Lee Aronsohn & Richard Rosenstock & Maria Ferrari,"February 8, 2010",3X5564,16.26,"When Leonard gets two tickets to a conference in Switzerland to visit the Large Hadron Collider, Sheldon becomes dismayed when Leonard plans to take Penny instead of him for a Valentine's Day skiing trip. After failing to convince Leonard to change his mind, Sheldon tries to convince Penny to drop out, which leads Leonard to terminate his friendship with Sheldon. However, when Penny has caught the flu, Leonard changes his mind and allows Sheldon to go, only to find out he is sick as well, causing him to take Raj. It is later revealed that Sheldon caught it from Penny when he hugged her. Title reference: The dispute between Leonard and Sheldon over who gets to be Leonard's guest for the trip to the Large Hadron Collider."
3,56,16,"""The Excelsior Acquisition""",Peter Chakos,Story by : Chuck Lorre & Lee Aronsohn & Steven MolaroTeleplay by : Bill Prady & Steve Holland & Maria Ferrari,"March 1, 2010",3X5566,15.73,"Sheldon tries to meet Stan Lee at a comic book signing, but is stymied by having to appear in court for driving too slow and running a red light while taking Penny to the hospital in the episode ""The Adhesive Duck Deficiency"", and enlists Penny to help him win the judge's favor. Title reference: Stan Lee's comic book signing event. Excelsior being a catchphrase of his."
3,57,17,"""The Precious Fragmentation""",Mark Cendrowski,Story by : Lee Aronsohn & Eric Kaplan & Maria FerrariTeleplay by : Bill Prady & Steven Molaro & Richard Rosenstock,"March 8, 2010",3X5567,16.32,"Sheldon, Raj, Leonard and Howard acquire a collectible casting of the One Ring, which turns out to be a prop from The Lord of the Rings film trilogy. The group is conflicted on what to do: Leonard wants to send it back to Peter Jackson, Raj wants to sell it and use the profits to buy a jet ski, and both Howard and Sheldon want to keep it for themselves. Leonard gives it to Penny for safekeeping, but Sheldon attempts to steal it while she sleeps and she punches him in the nose. The fight escalates at lunch at the university when all of the guys grab the ring and begin a holding contest, with the last one holding on the keeper of the ring. They somehow walk out the door of the university, get in a car and drive home. Leonard drops out when Penny tempts him with sex. The remaining three try several mind tricks on each other to give up the ring such as attacking their mothers or trying to make the other go pee, which works and Sheldon and Howard have to somehow urinate without letting go of the ring. In the end, the guys fall asleep on the couch, with no one holding the ring. When they wake up, Leonard tells them he sent it back to Peter Jackson and berates them for their childish behavior and that they would take the ring over having friends, since most likely whoever got the ring would have been made an outcast by the others. However, it is revealed Leonard secretly pocketed the ring and is being kept in a shoe box in his room. Title reference: The guys' fight over the One Ring."
3,58,18,"""The Pants Alternative""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Steve HollandTeleplay by : Eric Kaplan & Richard Rosenstock & Jim Reynolds,"March 22, 2010",3X5568,13.42,"The characters try to help Sheldon overcome his fear of public speaking in time for him to accept a science award. He is still nervous until Penny gets him drunk, causing him to spiral into a meltdown on stage which quickly goes viral. Title reference: Sheldon takes off his pants during his acceptance speech for the award whilst drunk."
3,59,19,"""The Wheaton Recurrence""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Nicole Lorre & Jessica AmbrosettiTeleplay by : Bill Prady & Dave Goetsch & Jim Reynolds & Maria Ferrari,"April 12, 2010",3X5569,13.39,"Leonard and Penny reflect on their relationship after Penny does not reciprocate when Leonard tells her he loves her. At a bowling match with Stuart and others, including Sheldon's rival Wil Wheaton, the two question their future together, but Wheaton may also be interfering. Title reference: Wil Wheaton's return as a guest star on the show."
3,60,20,"""The Spaghetti Catalyst""",Anthony Rich,Chuck Lorre & Bill Prady & Lee Aronsohn & Steven Molaro,"May 3, 2010",3X5570,11.63,"Sheldon tries to maintain his friendships with Leonard and Penny, now that they have broken up, as they consider whether they can still be friends with each other. Title reference: Sheldon's spaghetti dinner with Penny and how it influences Penny and Leonard's friendship."
3,61,21,"""The Plimpton Stimulation""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Lee AronsohnTeleplay by : Steven Molaro & Jim Reynolds & Maria Ferrari,"May 10, 2010",3X5571,13.73,"Dr. Elizabeth Plimpton, a cosmological physicist from Princeton University, accepts Sheldon's invitation to stay over at the apartment during her visit to Caltech. However, she instead takes an immediate interest in Leonard, and the two end up sleeping together, inciting jealousy from Penny. However, it quickly becomes clear that Leonard and Elizabeth both have very different ideas about the nature of their relationship, when she sleeps with Raj and tries to convince Leonard and Howard (who has just broken up with Bernadette) to engage in a foursome with them. Title reference: Dr. Elizabeth Plimpton visits and ""stimulates"" Leonard and Raj."
3,62,22,"""The Staircase Implementation""",Mark Cendrowski,Story by : Lee Aronsohn & Steven Molaro & Steve HollandTeleplay by : Chuck Lorre & Dave Goetsch & Maria Ferrari,"May 17, 2010",3X5572,15.02,"After Leonard and Sheldon have a fight about the thermostat temperature, the former takes shelter in Penny’s apartment. While he is there, he talks about how he originally met Sheldon in 2003. Leonard saw an ad about the offer of being a roommate to someone and took it because of its reasonable rent, but is warned by other tenants of Sheldon’s eccentricity. After passing some trials and signing to the Roommate Agreement, Leonard moves in. He clashes with Sheldon after he interrupts sex with a girl Leonard brought home and is constantly frustrated by his behavior. He invites his friends, Howard and Raj, to come use some genuine rocket fuel (that he had after working on a top secret government project) to power a model Howard brought, but Sheldon consistently warns him he got the formula wrong to convert the rocket fuel into something able to be used for the model. Leonard ignores Sheldon’s warnings and continues with the formula, but it begins smoking and they try to take it outside via the elevator, but Sheldon grabs the formula and pushes Leonard out of it moments before the rocket fuel explodes, destroying the elevator and revealing why it is always out of order. After the story, Penny convinces Leonard to reconcile with Sheldon, and the former does go over back to the apartment to apologize, but inevitably another argument arises when Leonard tries to watch Babylon 5, a show Sheldon dislikes. Title reference: Because Leonard's rocket fuel explodes inside the elevator and destroys it, the stairway becomes indispensable."
3,63,23,"""The Lunar Excitation""",Peter Chakos,Story by : Chuck Lorre & Bill Prady & Maria FerrariTeleplay by : Lee Aronsohn & Steven Molaro & Steve Holland,"May 24, 2010",3X5573,14.78,"Penny introduces her new boyfriend Zack to the other characters as they set up an experiment to bounce a laser off the moon using one of the laser reflectors left by the Apollo program, but grows disappointed with him as she watches him interact with the group. She later breaks up with him and drunkenly rants at Leonard for ruining her ability to tolerate idiots before proceeding to engage in sex with him, leading Leonard to hypothesize that he too can initiate drunken sex, which he tests throughout the episode. Meanwhile, Raj and Howard create a profile for Sheldon on a dating website without his knowledge, which to their surprise matches him with a woman named Amy Farrah Fowler. The two force Sheldon to meet Amy, and are surprised when Sheldon and Amy have a lot in common, ranging from sock aversion to their overbearing mothers. Note: This episode marks the first appearance of future regular cast member Mayim Bialik as Amy Farrah Fowler. Title reference: The guys bouncing a laser off one of the reflectors left on the moon by the Apollo program."
4,64,1,"""The Robotic Manipulation""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Dave GoetschTeleplay by : Steven Molaro & Eric Kaplan & Steve Holland,"September 23, 2010",3X6651,14.04,"Howard uses a robotic hand for masturbation, but has to go to a hospital when it malfunctions. Penny learns about Amy, and Sheldon's plan to conceive a child with her by in vitro fertilisation. Penny then urges him to become intimate with Amy first. She accompanies them on their first date, but the conversation quickly turns to a statistical analysis of Penny's sexual history. Afterwards, Sheldon is still intent on having a child, but cancels the plan when Penny threatens to tell his mother. Title reference: Howard's use of a robotic arm for masturbation."
4,65,2,"""The Cruciferous Vegetable Amplification""",Mark Cendrowski,Story by : Bill Prady & Lee Aronsohn & Steve HollandTeleplay by : Chuck Lorre & Steven Molaro & Jim Reynolds,"September 30, 2010",3X6652,13.05,"Sheldon worries that he will not live long enough to experience the technological singularity, so he tries to adopt a healthier lifestyle through diet and exercise. When that proves to be difficult, he hides in safety of his bedroom, interacting with the world through a remotely-controlled computer monitor on wheels (which Penny labels Shelbot). When Shelbot accompanies the men to the Cheesecake Factory, they see Steve Wozniak at another table, who offers to sign Sheldon's vintage Apple II computer. Sheldon emerges from his bedroom to rush the computer to the restaurant, but breaks the computer and an ankle falling down the stairs. Title reference: The cruciferous vegetables that Sheldon adds to his diet which give him a major case of flatulence."
4,66,3,"""The Zazzy Substitution""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Jim ReynoldsTeleplay by : Lee Aronsohn & Steven Molaro & Maria Ferrari,"October 7, 2010",3X6653,12.59,"Sheldon and Amy are very compatible with each other, but the rest of the group is irritated by their combined personalities. They are relieved when Sheldon and Amy break up after an argument over the relative significance of physics compared to neuroscience, but Leonard becomes worried when Sheldon brings 25 cats into the apartment. He calls in Sheldon's mother, who manipulates Sheldon into reconciling with Amy. Title reference: Sheldon describes one of his cats as being very ""zazzy"", and he uses his cats to fill the void created by the breakup with Amy."
4,67,4,"""The Hot Troll Deviation""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Adam FabermanTeleplay by : Bill Prady & Lee Aronsohn & Maria Ferrari,"October 14, 2010",3X6654,12.57,"Howard resumes his relationship with Bernadette after Penny points out that she is his best chance of being with a real woman, as opposed to masturbation. Meanwhile, Sheldon and Raj get into a dispute when Raj brings a large desk into their small office. Title reference: Howard's online affair in World of Warcraft with a female troll."
4,68,5,"""The Desperation Emanation""",Mark Cendrowski,Story by : Bill Prady & Lee Aronsohn & Dave GoetschTeleplay by : Chuck Lorre & Steven Molaro & Steve Holland,"October 21, 2010",3X6655,13.05,"When Amy decides to introduce Sheldon to her mother, he becomes worried as being introduced to Amy's mother would indicate that Amy wants to be his girlfriend, which he is not ready for. So he begins to avoid Amy, removing all possible contact with her and even disguising himself so that she would not recognize him. However Amy catches Sheldon outside the apartment building and then calms him down, assuring him that she only wants to introduce him to her mother so that she would be convinced that Amy is in a relationship and leave her alone. Later when talking to Amy's mother, a now relieved Sheldon and Amy lie to Amy's mother that they are in a ""sexual relationship"", which does not go too well with her. Meanwhile, as Howard now has a girlfriend, Leonard decides to invoke the ""Girlfriend Pact"" with Howard. Howard and Bernadette set up a double date with Leonard and one of Bernadette's friends, Joy. Joy behaves in an obnoxious and inappropriate manner during the date, which disgusts Leonard. However he later accepts another date with Joy due to understanding that sex is a strong possibility. Title reference: Leonard's desperation in wanting a girlfriend."
4,69,6,"""The Irish Pub Formulation""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Steven MolaroTeleplay by : Bill Prady & Eric Kaplan & Maria Ferrari,"October 28, 2010",3X6656,13.04,"Raj's younger sister Priya visits Pasadena. Though unknown to the others including Raj, Priya had been involved in a sexual encounter with Leonard five years earlier, despite Leonard's assurance to Howard that he would never hit on Priya in deference to Raj. That night, Priya sneaks into Leonard and Sheldon's apartment unknown to Sheldon and has sex with Leonard. Sheldon finds out the following morning and frames an elaborate, flawless lie to cover it up. But Leonard decides not to hide the truth and confesses to Raj, who is initially upset, but reconciles with Leonard after he says that Priya broke his heart. The guys then unleash confessions of all of the deceptions they have perpetrated on each other. Title reference: The Irish pub that Sheldon included in the details of the lie to cover up Leonard's sleeping with Priya."
4,70,7,"""The Apology Insufficiency""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Maria FerrariTeleplay by : Bill Prady & Steven Molaro & Steve Holland,"November 4, 2010",3X6657,14.0,"Howard needs security clearance to work on a new project, so an FBI agent comes to ask Leonard, Sheldon and Raj about his background. Since the agent is an attractive woman, Raj and Leonard embarrass themselves. Sheldon, however, tells her about the time Howard drove a Mars rover into a ditch (The Lizard–Spock Expansion), so Howard is rejected for the project. Howard rejects Sheldon's apologies until he is allowed to sit in Sheldon's spot on the couch, although Sheldon takes it back after 94 seconds. Title reference: Howard's refusal to accept Sheldon's apology."
4,71,8,"""The 21-Second Excitation""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Jim ReynoldsTeleplay by : Lee Aronsohn & Steven Molaro & Steve Holland,"November 11, 2010",3X6658,13.11,"The men try to attend a screening of ""Raiders of the Lost Ark"" with 21 seconds of previously unseen footage, but are displaced by Wil Wheaton and his friends cutting in front of them. Sheldon then steals the film from the theater. Meanwhile, Amy gets herself invited to a ""girls' night"" with Penny and Bernadette. She turns out to be an awkward participant, while Penny becomes uncomfortable when the others pressure her with truth-or-dare questions about why she ended her romance with Leonard. Title reference: Sheldon, Leonard, Raj, and Howard are excited to see a print of Raiders of the Lost Ark, which includes 21 seconds of never-before-released footage."
4,72,9,"""The Boyfriend Complexity""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Jim ReynoldsTeleplay by : Bill Prady & Steven Molaro & Dave Goetsch,"November 18, 2010",3X6659,13.02,"Penny's father, Wyatt, has come to visit. Since he feels that Leonard is the best man that Penny ever dated, she asks Leonard to pretend that they are still together. Leonard happily plays along until Penny confesses to Wyatt. Wyatt is angry that Penny does not trust him, and pleads with Leonard not to give up on her. Meanwhile, Howard and Bernadette stay with Raj in his telescope control room. He becomes drunk and complains that he will never kiss a woman. When Bernadette expresses sympathy, he leans in to kiss her, but ends up kissing Howard. Title reference: Leonard pretending to be Penny's boyfriend to please her father."
4,73,10,"""The Alien Parasite Hypothesis""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Steve HollandTeleplay by : Lee Aronsohn & Jim Reynolds & Maria Ferrari,"December 9, 2010",3X6660,12.03,"Amy meets Penny's ex-boyfriend Zack and experiences sexual arousal. She later discusses her symptoms with Sheldon, who appears to be jealous. Later, when Sheldon discusses Amy's situation with Penny, she tells him that there is ""something"" he could do about Amy's ""urges"", meaning that he should have sex with Amy, but Sheldon assumes that she meant Amy and Zack should have sex. He arranges for them to meet again, but Amy discovers that Zack is not very intelligent, solving the problem. Meanwhile, Howard and Raj argue about, if they both acquired superpowers, which of them would be the sidekick. They try to settle the issue in a wrestling match refereed by Leonard, but they merely circle around goading each other. Title reference: One of Sheldon's theories about why Amy had her symptoms, which he thinks is more likely than her being sexually aroused."
4,74,11,"""The Justice League Recombination""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Maria FerrariTeleplay by : Bill Prady & Steven Molaro & Steve Holland,"December 16, 2010",3X6661,13.24,"Penny gets back together with Zack. The guys insult Zack's low intelligence which upsets him; however he reconciles with the four and accompanies them to the comic book store. The five enter a costume contest and urge Penny to join in a Wonder Woman costume. She refuses until Leonard talks to her. She reveals that she got back together with Zack only because she did not want to spend New Year's Eve alone. Leonard questions why not with him, prompting Penny, seeing Leonard sad, to change her mind. At the comic book store, the group win the award for the Best Group Costume, although it is hinted that they only won because they included a female Wonder Woman. The episode concludes with the six witnessing an ongoing car theft and then scurrying off cowardly despite wearing Justice League costumes. Title reference: Sheldon, Leonard, Howard and Raj inviting Penny and Zack to be Wonder Woman and Superman in their Justice League team."
4,75,12,"""The Bus Pants Utilization""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Maria FerrariTeleplay by : Bill Prady & Steven Molaro & Eric Kaplan,"January 6, 2011",3X6662,13.98,"Leonard gets an idea for a differential equation app for smartphones, but Sheldon quickly tries to take charge of the project. After he is rejected by Howard, Raj, and Leonard, Sheldon tries to interfere with the project by loudly playing a theremin. When Penny finds Sheldon sadly playing his theremin in the building lobby, she tries to get him reconciled with the other men. When that fails, Sheldon reluctantly helps Penny create an app she came up with, an app where when Penny takes a picture via her smartphone camera, the app will tell her the types of shoes she is looking at and bring them up on online / on Amazon. Title reference: A pair of pants that Sheldon wears when riding on buses to protect his regular pants from dirty bus seats."
4,76,13,"""The Love Car Displacement""",Anthony Rich,Story by : Chuck Lorre & Bill Prady & Dave GoetschTeleplay by : Lee Aronsohn & Steven Molaro & Steve Holland,"January 20, 2011",3X6663,13.63,"Amy asks Penny to join the group at a science conference in Big Sur. Things go fairly well until Howard meets Glenn, a large handsome man whom Bernadette used to date. Howard's insecurities anger her, setting off a chain reaction of bed swapping that causes the next day's science panel to become a series of personal recriminations, much to Sheldon's surprise. He tries to get the panel back on track by asking for questions from the audience, but the only question is from Penny for a ride back to Los Angeles. When Glenn offers to give her a lift, Leonard instantly objects. When the group drives back home (without Penny), everyone except Sheldon is in a foul mood. Title reference: The car in which Howard, Bernadette and Raj were riding and is reminiscent of The Love Boat with their bed swapping plot."
4,77,14,"""The Thespian Catalyst""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Jim ReynoldsTeleplay by : Bill Prady & Steven Molaro & Maria Ferrari,"February 3, 2011",3X6664,13.83,"When Sheldon is unsuccessful as a lecturer due to his condescending personality, Amy suggests that he take acting lessons from Penny. Instead of using a professional script, he insists that they use a Star Trek fanfiction script which he wrote as a child. Penny plays the role of Spock as she feels that Sheldon needs to come out of his comfort zone, while Sheldon plays the dual role of himself and his mother. However while acting out the script, Sheldon immerses himself so deeply in the part that he is brought to tears, because he does not want to be taken away from his mother by Spock. Penny then calls his mother and gives the phone to Sheldon so that his mother can console him. Meanwhile, Raj becomes infatuated with Bernadette and fantasizes about them getting together. Title reference: Sheldon getting Penny to give him acting lessons so he can become a better teacher."
4,78,15,"""The Benefactor Factor""",Mark Cendrowski,Story by : Bill Prady & Lee Aronsohn & Dave GoetschTeleplay by : Chuck Lorre & Eric Kaplan & Steve Holland,"February 10, 2011",3X6665,12.79,"President Siebert invites the men to a fundraising event at Caltech. While Leonard, Howard and Raj are willing to attend, Sheldon feels that such events are beneath him. He changes his mind when Amy points out that, without his participation, any monies raised might go to programs other than physics. When he finally arrives, Siebert quickly regrets inviting him. Meanwhile, Leonard makes a good impression on the considerably older Mrs. Latham. The next day, she takes him out to dinner and makes it clear that she will only donate the money if Leonard has sex with her. He refuses, but everyone else urges him to go through with it. The next night, Latham apologizes to Leonard for making him uncomfortable and assures him that she will donate the money regardless of what happens. After she hints at her own sexual prowess, Leonard relents and sleeps with her and receives a standing ovation at work the next day, much to his embarrassment. Title reference: Mrs. Latham, a woman Leonard has sex with so that she will donate money to the university."
4,79,16,"""The Cohabitation Formulation""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Dave GoetschTeleplay by : Bill Prady & Steven Molaro & Jim Reynolds,"February 17, 2011",3X6666,12.41,"Priya returns and resumes dating Leonard, despite Raj's protests. Amy gets Penny to admit that she is extremely jealous of Priya, giving her the chance to measure the brainwaves associated with jealousy. Meanwhile, Bernadette is tired of Howard sneaking out of bed quickly to assist his mother and insists that he move in with her. He eventually does so, but when she discovers how Howard is completely dependent on his mother and now her to do everything for him, she forces him to move back in with his mother. Title reference: Howard deciding to live with Bernadette."
4,80,17,"""The Toast Derivation""",Mark Cendrowski,Story by : Bill Prady & Dave Goetsch & Maria FerrariTeleplay by : Chuck Lorre & Steven Molaro & Jim Reynolds,"February 24, 2011",3X6667,12.35,"Leonard and Priya are dating and since she lives with Raj, Leonard and Howard decide to have dinner there instead of the normal venue, which disturbs Sheldon. He stops by the Cheesecake Factory where Penny tells him he has to accept that the gang will be hanging out at Raj's place more often. Amy tells him that Leonard is the nucleus of their social group and not Sheldon, so he sets up a new group consisting of Kripke, Stuart, Zack and LeVar Burton (whom he tweeted), with himself as the nucleus. Sheldon's plans are dismissed by the others in favor of Zack's dating stories, drinking and karaoke. Sheldon is unhappy, so he decides to go back to his old friends, who, in the meantime, realized that they actually missed Sheldon. In the end, LeVar Burton shows up, but when he sees Kripke, Stuart and Zack singing together, he leaves immediately. Meanwhile, Bernadette and Amy want to take Penny out dancing to get her mind off of Leonard and Priya. As she changes clothes, she tells the girls that it is the first time in her life she is satisfied with being single and does not want sex with a random guy to make up for it, however when Amy finds the encased snowflake that Leonard gave to her after his polar expedition, she changes her mind as her feelings for Leonard resurface again. Title reference: The group reminiscing about Sheldon explaining the origin of making a toast to them."
4,81,18,"""The Prestidigitation Approximation""",Mark Cendrowski,Story by : Bill Prady & Steve Holland & Eddie GorodetskyTeleplay by : Chuck Lorre & Steven Molaro & Eric Kaplan,"March 10, 2011",3X6668,12.06,"Priya has begun to dominate in her relationship with Leonard, buying him new clothes (which he is not comfortable with). She feels threatened by his continuing to hang out with Penny, even though they have broken up, so she tells him to break all contact with Penny. Leonard tries to hint at this to Penny, but she remains completely oblivious and interrupts Leonard and Priya's date. The next day, realizing how uncomfortable Priya is with her, Penny reluctantly breaks all contact with Leonard. Meanwhile, Howard shows Sheldon, Raj and Penny a card trick in which a volunteer picks a card and after shuffling the deck, Howard tells the volunteer his/her card. Raj and Penny both try out the trick and are amazed by it. Though at first his attitude is dismissive, Sheldon eventually becomes obsessed with discovering the trick's secret and attempts to recreate it himself. He does not realize that the card trick is just a prank played on him by Howard, Raj and Penny; who knew that he would go crazy over the trick. Title reference: Howard's faux prestidigitation magic card trick."
4,82,19,"""The Zarnecki Incursion""",Peter Chakos,Story by : Chuck Lorre & Steven Molaro & Maria FerrariTeleplay by : Bill Prady & Dave Goetsch & Jim Reynolds,"March 31, 2011",3X6669,11.92,"Sheldon's World of Warcraft account has been hacked and all of his WoW possessions have been stolen. He enlists the help of the other guys in finding the hacker. Meanwhile, Amy, Bernadette and Penny criticize Priya and her arrogance. Penny takes the comments lightly, but after an encounter with Priya in the apartment lobby, she agrees with Amy. Howard manages to trace the hacker, Todd Zarnecki, and the guys then drive to Carlsbad to get back Sheldon's WoW possessions. Todd refuses to return them, and snatches the bat'leth that Sheldon had intended to intimidate him with. Defeated, the guys decide to return home, but their car breaks down midway, prompting Leonard to call Penny to fetch them. When Penny hears their story, she not only realizes that Leonard did not want to see Priya that night, but also drives them back to Todd's house where she delivers a groin kick and forces him to return everything. Title reference: Todd Zarnecki's hacking of Sheldon's World of Warcraft account."
4,83,20,"""The Herb Garden Germination""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Eddie GorodetskyTeleplay by : Bill Prady & Steven Molaro & Steve Holland,"April 7, 2011",3X6670,11.4,"Howard decides to propose marriage to Bernadette. Raj hopes that she will reject his proposal so that Bernadette will become available for dating him. The gossip swirling around these developments intrigue Amy and Sheldon enough to conduct an experiment in memetic epidemiology. They launch pairs of false gossip, only one of which is tantalizing, and measure how quickly they each spread. Bernadette accepts Howard's proposal, disappointing Raj. Title reference: The mundane false rumor that is part of Amy and Sheldon's experiment."
