title,author,description,genres,pages,rating
Battlefield Of The Mind: Winning The Battle In Your Mind,Joyce Meyer,"Worry, doubt, confusion, depression, anger and feelings of condemnation: all these are attacks on the mind. If readers suffer from negative thoughts, they can take heart! Joyce Meyer has helped millions win these all-important battles. In her most popular bestseller ever, the beloved author and minister shows readers how to change their lives by changing their minds. She teaches how to deal with thousands of thoughts that people think every day and how to focus the mind the way God thinks. And she shares the trials, tragedies, and ultimate victories from her own marriage, family, and ministry that led her to wondrous, life-transforming truth--and reveals her thoughts and feelings every step of the way. This special updated edition includes an additional introduction and updated content throughout the book.","{'Self Help', 'Christian', 'Nonfiction', 'Religion', 'Faith', 'Christianity', 'Spirituality'}","328 pages, Paperback",4.31
The Story of Christianity: Volume 1: The Early Church to the Reformation,Justo L. González,"“This crisp retelling of Christian history from the days of the apostles to the eve of the Reformation is filled with insight.”— Mark A. Noll, Wheaton College The Story of Christianity, Volume 1 is a narrative history of Christianity, from the Early Church to the Dawn of the Reformation, from Justo L. Gonzalez, author of the highly praised three-volume History of Christian Thought .","{'Christian', 'Church History', 'Nonfiction', 'Religion', 'Theology', 'History', 'Christianity'}","429 pages, Paperback",4.21
90 Minutes in Heaven: A True Story of Death and Life,Cecil Murphey,"As he is driving home from a minister's conference, Baptist minister Don Piper collides with a semi-truck that crosses into his lane. He is pronounced dead at the scene. For the next 90 minutes, Piper experiences heaven where he is greeted by those who had influenced him spiritually. He hears beautiful music and feels true peace.Back on earth, a passing minister who had also been at the conference is led to pray for Don even though he knows the man is dead. Piper miraculously comes back to life and the bliss of heaven is replaced by a long and painful recovery.For years Piper kept his heavenly experience to himself. Finally, however, friends and family convinced him to share his remarkable story.","{'Biography', 'Christian', 'Nonfiction', 'Religion', 'Inspirational', 'Memoir', 'Spirituality'}","206 pages, Paperback",3.97
Love and Respect: The Love She Most Desires; The Respect He Desperately Needs,Emerson Eggerichs,"A New York Times best-selling marriage book with more than one million copies sold!Based on over three decades of counseling, as well as scientific and biblical research, Dr. Emerson Eggerichs and his wife, Sarah, have already taken the Love & Respect message across America and are changing the way couples talk to, think about, and treat each other. What do you want for your marriage? Want some peace? Want to feel close? Want to feel valued? Want to experience marriage the way God intended? Then why not try some Love and Respect.A wife has one driving need?to feel loved. When that need is met, she is happy. A husband has one driving need?to feel respected. When that need is met, he is happy. When either of these needs isn’t met, things get crazy. Love & Respect reveals why spouses react negatively to each other, and how they can deal with such conflict quickly, easily, and biblically.","{'Self Help', 'Christian', 'Relationships', 'Nonfiction', 'Christianity', 'Christian Living', 'Marriage'}","324 pages, Hardcover",4.16
The Valley of Vision: A Collection of Puritan Prayers and Devotions,Arthur      Bennett,"The strength of Puritan character and life lay in prayer and meditation. In this practice the spirit of prayer was regarded as of first importance and the best form of prayer, for living prayer is the characteristic of genuine spirituality. Yet prayer is also vocal and may therefore on occasions be written. Consequently in the Puritan tradition there are many written prayers and meditations which constitute an important corpus of inspiring devotional literature. Too often ex tempore prayer lacks variety, order and definiteness. The reason for this lies partly in a neglect of due preparation. It is here that the care and scriptural thoroughness which others found necessary in their approach to God may be of help. This book has been prepared not to 'supply' prayers but to prompt and encourage the Christian as he treads the path on which others have gone before.","{'Christian', 'Prayer', 'Nonfiction', 'Faith', 'Theology', 'Christianity', 'Christian Living'}","223 pages, Paperback",4.52
I Don't Have Enough Faith to be an Atheist,Norman L. Geisler,c-5,"{'Christian', 'Nonfiction', 'Religion', 'Faith', 'Philosophy', 'Theology', 'Christianity'}","447 pages, Paperback",4.18
"The Universal Christ: How a Forgotten Reality Can Change Everything We See, Hope For and Believe",Richard Rohr,"NEW YORK TIMES BESTSELLER - With a new afterword - From one of the world's most influential spiritual thinkers, a long-awaited book exploring what it means that Jesus was called ""Christ,"" and how this forgotten truth can restore hope and meaning to our lives. ""Anyone who strives to put their faith into action will find encouragement and inspiration in the pages of this book.""--Melinda GatesIn his decades as a globally recognized teacher, Richard Rohr has helped millions realize what is at stake in matters of faith and spirituality. Yet Rohr has never written on the most perennially talked about topic in Christianity: Jesus. Most know who Jesus was, but who was Christ? Is the word simply Jesus's last name? Too often, Rohr writes, our understandings have been limited by culture, religious debate, and the human tendency to put ourselves at the center.Drawing on scripture, history, and spiritual practice, Rohr articulates a transformative view of Jesus Christ as a portrait of God's constant, unfolding work in the world. ""God loves things by becoming them,"" he writes, and Jesus's life was meant to declare that humanity has never been separate from God--except by its own negative choice. When we recover this fundamental truth, faith becomes less about proving Jesus was God, and more about learning to recognize the Creator's presence all around us, and in everyone we meet.Thought-provoking, practical, and full of deep hope and vision, The Universal Christ is a landmark book from one of our most beloved spiritual writers, and an invitation to contemplate how God liberates and loves all that is.","{'Christian', 'Nonfiction', 'Religion', 'Faith', 'Theology', 'Christianity', 'Spirituality'}","260 pages, Hardcover",4.45
The Orthodox Way,Kallistos Ware,"This book is a general account of the doctrine, worship and life of Orthodox Christians by the author of the now classic THE ORTHODOX CHURCH. It raises the basic issues of theology: God as hidden yet revealed; the problem of evil; the nature of salvation; the meaning of faith; prayer; death and what lies beyond. In so doing, it helps to fill the need for a modern Orthodox catechism. Yet this book is not a mere manual, a dry-as-dust repository of information. Throughout the book, Father Ware shows the meaning of Orthodox doctrine for the life of the individual Christian. Doctrinal issues are seen not as abstract propositions for thological debate but as affecting the whole of life.A wealth of texts drawn from theologians and spiritual writers of all ages accompanies Father Ware's presentation. They too reveal Orthodoxy not just as a system of beliefs, practices and customs but indeed as the Way.","{'Christian', 'Nonfiction', 'Religion', 'Faith', 'Theology', 'Christianity', 'Spirituality'}","164 pages, Paperback",4.37
Pensées,Blaise Pascal,"Blaise Pascal, the precociously brilliant contemporary of Descartes, was a gifted mathematician and physicist, but it is his unfinished apologia for the Christian religion upon which his reputation now rests. The Penseés is a collection of philosohical fragments, notes and essays in which Pascal explores the contradictions of human nature in pscyhological, social, metaphysical and - above all - theological terms. Mankind emerges from Pascal's analysis as a wretched and desolate creature within an impersonal universe, but who can be transformed through faith in God's grace.","{'Nonfiction', 'Religion', 'Classics', 'Philosophy', 'Theology', 'Christianity', 'France'}","334 pages, Paperback",3.94
Total Truth: Liberating Christianity from its Cultural Captivity,Nancy R. Pearcey,"Is God a public figure? Does Christianity have a legitimate role to play in the public realm of politics, business, law, and education? Or are secularists right when they relegate religion to the strictly private realm of faith and feelings? In Total Truth, Nancy Pearcey offers a razor-sharp analysis of the split between public and private, fact and feelings. She reveals the strategies of secularist gatekeepers who use this division to banish biblical principles from the cultural mainstream, stripping Christianity of its power to challenge and redeem the whole of culture.How can we overcome this divide? Unify our fragmented lives? Recover authentic spirituality? With compelling examples from the struggles of real people, Pearcey shows how to liberate Christianity from its cultural captivity. She walks readers through practical, hands-on steps for developing a full-orbed Christian worldview. Finally, she makes a passionate case that Christianity is not just religious truth but truth about total reality. It is total truth.This new Study Guide Edition of Total Truth is filled with fresh stories, examples, and illustrations. Based on questions and comments raised by readers of the book, it is ideal for individual or group study.","{'Christian', 'Nonfiction', 'Religion', 'Philosophy', 'Theology', 'Cultural', 'Christianity'}","512 pages, Hardcover",4.19
The Sacred Romance: Drawing Closer to the Heart of God,Brent Curtis,"The God who saves is also a God who woos His own to a relationship primarily of the heart. As we draw closer to Him, we must choose to let go of other ""less-wild lovers,"" such as perfectionistic driveness and self-indulgence. Eldredge and Curtis identify the lies offered by ""false loves"" and instruct us on the journey back to the Lover of our souls.In carefully crafted words and images, the authors entice the reader to his or her own journey of the heart, promising, ""It is possible to recover the lost life of our heart and with it the intimacy, beauty, and adventure of life with God.""","{'Christian', 'Nonfiction', 'Faith', 'Theology', 'Christianity', 'Christian Living', 'Spirituality'}","228 pages, Hardcover",3.98
The Way of a Pilgrim and the Pilgrim Continues His Way,Anonymous,"This enduring work of Russian spirituality has charmed countless people with its tale of a nineteenth-century peasant's quest for the secret of prayer. Readers follow this anonymous pilgrim as he treks over the Steppes in search of the answer to the one compelling question: How does one pray constantly? Through his journeys, and under the tutelage of a spiritual father, he becomes gradually more open to the promptings of God, and sees joy and plenty wherever he goes. Ultimately, he discovers the different meanings and methods of prayer as he travels to his ultimate destination, Jerusalem.The Way of a Pilgrim is a humble story ripe for renewed appreciation today. The recent changes in Russia have revealed the great religious traditions of that land, and this work, freshly translated for modern times, is among the finest examples of those centuries-old traditions.","{'Christian', 'Nonfiction', 'Religion', 'Classics', 'Theology', 'Christianity', 'Spirituality'}","196 pages, Paperback",4.17
Introduction to the Devout Life,Francis de Sales,"Written for Christians in every walk of life and for every age, St. Francis De Sales' classic work transcends secular lines and provides a unique handbook of spiritual reflection for people in every avenue of life.","{'Christian', 'Religion', 'Catholic', 'Faith', 'Theology', 'Christianity', 'Spirituality'}","288 pages, Paperback",4.33
New Seeds of Contemplation,Thomas Merton,"One of the best-loved books by one of the great spiritual authors of our time, with a new introduction by best-selling author Sue Monk Kidd. New Seeds of Contemplation is one of Thomas Merton's most widely read and best-loved books. Christians and non-Christians alike have joined in praising it as a notable successor in the meditative tradition of St. John of the Cross, The Cloud of Unknowing , and the medieval mystics, while others have compared Merton's reflections with those of Thoreau. New Seeds of Contemplation seeks to awaken the dormant inner depths of the spirit so long neglected by Western man, to nurture a deeply contemplative and mystical dimension in our lives. For Merton, ""Every moment and every event of every man's life on earth plants something in his soul. For just as the wind carries thousands of winged seeds, so each moment brings with it germs of spiritual vitality that come to rest imperceptibly in the minds and wills of men. Most of these unnumbered seeds perish and are lost, because men are not prepared to receive them: for such seeds as these cannot spring up anywhere except in the soil of freedom, spontaneity and love.""","{'Christian', 'Nonfiction', 'Religion', 'Philosophy', 'Theology', 'Christianity', 'Spirituality'}","297 pages, Paperback",4.25
Jesus and the Disinherited,Howard Thurman,"In this classic theological treatise, the acclaimed theologian and religious leader Howard Thurman (1900–81) demonstrates how the gospel may be read as a manual of resistance for the poor and disenfranchised. Jesus is a partner in the pain of the oppressed and the example of His life offers a solution to ending the descent into moral nihilism. Hatred does not empower—it decays. Only through self-love and love of one another can God's justice prevail.","{'Christian', 'Nonfiction', 'Religion', 'Faith', 'Theology', 'Christianity', 'Spirituality'}","102 pages, Paperback",4.51
The Spirit of the Disciplines: Understanding How God Changes Lives,Dallas Willard,"How to Live as Jesus LivedDallas Willard, one of today's most brilliant Christian thinkers and author of The Divine Conspiracy (Christianity Today's 1999 Book of the Year), presents a way of living that enables ordinary men and women to enjoy the fruit of the Christian life. He reveals how the key to self-transformation resides in the practice of the spiritual disciplines, and how their practice affirms human life to the fullest. The Spirit of the Disciplines is for everyone who strives to be a disciple of Jesus in thought and action as well as intention.","{'Christian', 'Nonfiction', 'Faith', 'Theology', 'Christianity', 'Christian Living', 'Spirituality'}","288 pages, Paperback",4.13
A Long Obedience in the Same Direction: Discipleship in an Instant Society,Eugene H. Peterson,"As a society, we are no less obsessed with the immediate than when Eugene Peterson first wrote this Christian classic. If anything, email and the Internet may have intensified our quest for the quick fix. But Peterson's time-tested prescription for discipleship remains the same--a long obedience in the same direction. Tucked away in the Hebrew Psalter, Peterson discovered ""an old dog-eared songbook,"" the Songs of Ascents that were sung by pilgrims on their way up to worship in Jerusalem. In these songs (Psalms 120-134) Peterson finds encouragement for modern pilgrims as we learn to grow in worship, service, joy, work, happiness, humility, community and blessing. This 20th anniversary edition of A Long Obedience in the Same Direction features these Psalms in Peterson's widely acclaimed paraphrase, The Message. He also includes an epilogue in which he reflects on the themes of this book and his ministry during the twenty years since its original publication.","{'Christian', 'Nonfiction', 'Discipleship', 'Faith', 'Theology', 'Christianity', 'Christian Living'}","216 pages, Paperback",4.26
"Living Buddha, Living Christ",Thich Nhat Hanh,"Exploring the spiritual connection between Christianity and Buddhism, Thich Nhat Hanh reawakens an understanding of both religions and offers simple yet meaningful ways to enhance our daily lives. Reprint.","{'Nonfiction', 'Religion', 'Philosophy', 'Theology', 'Buddhism', 'Christianity', 'Spirituality'}","240 pages, Paperback",4.15
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,"""Rejection steals the best of who I am by reinforcing the worst of what's been said to me.""The enemy wants us to feel rejected . . . left out, lonely, and less than.In Uninvited, Lysa shares her own deeply personal experiences of rejection—from the perceived judgment of the perfectly toned woman one elliptical over to the incredibly painful childhood abandonment by her father. She leans in to honestly examine the roots of rejection, as well as rejection's ability to poison relationships from the inside out, including our relationship with God.With biblical depth, gut-honest vulnerability, and refreshing wit, Lysa will help you:• Stop feeling left out by believing that even when you are overlooked by others you are handpicked by God.• Change your tendency to either fall apart or control the actions of others by embracing God-honoring ways to process your hurt.• Know exactly what to pray for the next ten days to steady your soul and restore your confidence in the midst of rejection.• Overcome the two core fears that feed your insecurities by understanding the secret of belonging.Uninvited reminds us we are destined for a love that can never be diminished, tarnished, shaken, or taken—a love that does not reject or uninvite.","{'Self Help', 'Christian', 'Nonfiction', 'Religion', 'Faith', 'Christianity', 'Christian Living'}","275 pages, Paperback",4.19
"The Origin of Satan: How Christians Demonized Jews, Pagans and Heretics",Elaine Pagels,"From the National Book Award-winning and National Book Critics Circle Award-winning author of The Gnostic Gospels comes a dramatic interpretation of Satan and his role on the Christian tradition. ""Arresting...brilliant...this book illuminates the angels with which we must wrestle to come to the truth of our bedeviling spritual problems."" —The Boston GlobeWith magisterial learning and the elan of a born storyteller, Pagels turns Satan’s story into an audacious exploration of Christianity’s shadow side, in which the gospel of love gives way to irrational hatreds that continue to haunt Christians and non-Christians alike.","{'Nonfiction', 'Religion', 'Philosophy', 'Theology', 'History', 'Christianity', 'Spirituality'}","214 pages, Paperback",3.90
On Guard: Defending Your Faith with Reason and Precision,William Lane Craig,"Renowned scholar William Lane Craig offers a readable, rich training manual for defending the Christian faith.This concise guide is filled with illustrations, sidebars, and memorizable steps to help Christians stand their ground and defend their faith with reason and precision. In his engaging style, Dr. Craig offers four arguments for God’s existence, defends the historicity of Jesus’ personal claims and resurrection, addresses the problem of suffering, and shows why religious relativism doesn’t work. Along the way, he shares his story of following God’s call in his own life.This one-stop, how-to-defend-your-faith manual will equip Christians to advance faith conversations deliberately, applying straightforward, cool-headed arguments. They will discover not just what they believe, but why they believe—and how being on guard with the truth has the power to change lives forever.","{'Christian', 'Nonfiction', 'Religion', 'Faith', 'Philosophy', 'Theology', 'Christianity'}","288 pages, Paperback",4.36
The Poisonwood Bible,Barbara Kingsolver,"The Poisonwood Bible is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it -- from garden seeds to Scripture -- is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.","{'Historical', 'Literature', 'Classics', 'Africa', 'Historical Fiction', 'Fiction', 'Literary Fiction'}","546 pages, Hardcover",4.09
Letter to a Christian Nation,Sam Harris,"In response to The End of Faith, Sam Harris received thousands of letters from Christians excoriating him for not believing in God. Letter to A Christian Nation is his reply. Using rational argument, Harris offers a measured refutation of the beliefs that form the core of fundamentalist Christianity. In the course of his argument, he addresses current topics ranging from intelligent design and stem-cell research to the connections between religion and violence. In Letter to a Christian Nation, Sam Harris boldly challenges the influence that faith has on public life in our nation.","{'Atheism', 'Science', 'Nonfiction', 'Religion', 'Philosophy', 'Politics', 'Christianity'}","96 pages, Hardcover",4.00
Life of the Beloved: Spiritual Living in a Secular World,Henri J.M. Nouwen,"Initially written for a Jewish friend, Life of the Beloved has become Henri Nouwen’s greatest legacy to Christians around the world. This sincere testimony of the power and invitation of Christ is indeed a great guide to a truly uplifting spiritual life in today’s world.","{'Christian', 'Nonfiction', 'Religion', 'Faith', 'Theology', 'Christianity', 'Spirituality'}","160 pages, Paperback",4.22
This Present Darkness,Frank E. Peretti,"""For we do not wrestle against flesh and blood, but against the rulers, against the authorities, against the cosmic powers over this present darkness, against the spiritual forces of evil in the heavenly places."" Ephesians 6:12Ashton is just a typical small town. But when a skeptical reporter and a prayerful, hardworking pastor begin to investigate mysterious events, they suddenly find themselves caught up in a hideous New Age plot to enslave the townspeople, and eventually the entire human race. The physical world meets the spiritual realm as the battle rages between forces of good and evil.This Present Darkness is a gripping story that brings keen insight into spiritual warfare and the necessity of prayer. Since its original publication more than 2.7 million copies have been sold. The companion volume, Piercing the Darkness, continues the story of the battle between spiritual forces.","{'Thriller', 'Christian', 'Fantasy', 'Religion', 'Fiction', 'Christian Fiction', 'Spirituality'}","376 pages, Paperback",4.23
Christianity and Liberalism,J. Gresham Machen,"Machen's classic defense of orthodox Christianity establishes the importance of scriptural doctrine and contrasts the teachings of liberalism and orthodoxy on God and man, the Bible, Christ, salvation, and the church. Though originally published nearly seventy years ago, the book maintains its relevance today.","{'Christian', 'Nonfiction', 'Religion', 'Classics', 'Philosophy', 'Theology', 'Christianity'}","199 pages, Paperback",4.31
The Bible Tells Me So: Why Defending Scripture Has Made Us Unable to Read It,Peter Enns,"The controversial Bible scholar and author of The Evolution of Adam recounts his transformative spiritual journey in which he discovered a new, more honest way to love and appreciate God’s Word.Trained as an evangelical Bible scholar, Peter Enns loved the Scriptures and shared his devotion, teaching at Westminster Theological Seminary. But the further he studied the Bible, the more he found himself confronted by questions that could neither be answered within the rigid framework of his religious instruction or accepted among the conservative evangelical community.Rejecting the increasingly complicated intellectual games used by conservative Christians to “protect” the Bible, Enns was conflicted. Is this what God really requires? How could God’s plan for divine inspiration mean ignoring what is really written in the Bible? These questions eventually cost Enns his job—but they also opened a new spiritual path for him to follow.The Bible Tells Me So chronicles Enns’s spiritual odyssey, how he came to see beyond restrictive doctrine and learned to embrace God’s Word as it is actually written. As he explores questions progressive evangelical readers of Scripture commonly face yet fear voicing, Enns reveals that they are the very questions that God wants us to consider—the essence of our spiritual study.","{'Christian', 'Nonfiction', 'Religion', 'Faith', 'Theology', 'Christianity', 'Spirituality'}","288 pages, Hardcover",4.22
"Pastrix: The Cranky, Beautiful Faith of a Sinner & Saint",Nadia Bolz-Weber,"Foul-mouthed and heavily tattooed, former standup comic-turned-Lutheran pastor Nadia Bolz-Weber weaves hilarious rants and stunning theological insight into her personal narrative of a flawed, beautiful, and unlikely life of faith.Bizarre, rich, and remarkable, PASTRIX turns spiritual memoir on its ear in a sardonically irreverent and beautifully honest page-turner that readers will never forget. Nadia Bolz-Weber takes no prisoners as she reclaims the term pastrix (a negative term used by some Christians who refuse to recognize women as pastors) in this wildly entertaining and deeply resonant memoir about an outrageous, unlikely life of faith. From a commune of haggard-but-hopeful slackers to the wobbly chairs and war stories of Alcoholic Anonymous, from a funeral in a smoky downtown comedy club to an unexpected revelation during the Haitian stations of the cross, PASTRIX is a journey of cranky spirituality that intersects religion with real life, weaving incredible narrative, hilarious rants, and poignant honesty to portray a life deeply flawed and deeply faithful-giving hope to the rest of us.","{'Christian', 'Nonfiction', 'Religion', 'Faith', 'Theology', 'Memoir', 'Spirituality'}","204 pages, Hardcover",4.32
Accidental Saints: Finding God in All the Wrong People,Nadia Bolz-Weber,"NEW YORK TIMES BESTSELLERWhat if that person you've been trying to avoid is your best shot at grace today?And what if that's the point?In Accidental Saints, New York Times best-selling au­thor Nadia Bolz-Weber invites readers into a surprising encounter with what she calls “a religious but not-so-spiritual life.” Tattooed, angry and profane, this former standup comic turned pastor stubbornly, sometimes hilariously, resists the God she feels called to serve. But God keeps showing up in the least likely of people—a church-loving agnostic, a drag queen, a felonious Bishop and a gun-toting member of the NRA.  As she lives and worships alongside these “ac­cidental saints,” Nadia is swept into first-hand en­counters with grace—a gift that feels to her less like being wrapped in a warm blanket and more like being hit with a blunt instrument. But by this grace, people are trans­formed in ways they couldn’t have been on their own.  In a time when many have rightly become dis­illusioned with Christianity, Accidental Saints dem­onstrates what happens when ordinary people share bread and wine, struggle with scripture together, and tell each other the truth about their real lives. This unforgettable account of their faltering steps toward wholeness will ring true for believer and skeptic alike.  Told in Nadia’s trademark confessional style, Accidental Saints is the stunning next work from one of today’s most important religious voices.From the Hardcover edition.","{'Christian', 'Nonfiction', 'Religion', 'Faith', 'Theology', 'Memoir', 'Spirituality'}","224 pages, ebook",4.19
Reading While Black: African American Biblical Interpretation as an Exercise in Hope,Esau McCaulley,"Growing up in the American South, Esau McCaulley knew firsthand the ongoing struggle between despair and hope that marks the lives of some in the African American context. A key element in the fight for hope, he discovered, has long been the practice of Bible reading and interpretation that comes out of traditional Black churches. This ecclesial tradition is often disregarded or viewed with suspicion by much of the wider church and academy, but it has something vital to say. Reading While Black is a personal and scholarly testament to the power and hope of Black biblical interpretation. At a time in which some within the African American community are questioning the place of the Christian faith in the struggle for justice, New Testament scholar McCaulley argues that reading Scripture from the perspective of Black church tradition is invaluable for connecting with a rich faith history and addressing the urgent issues of our times. He advocates for a model of interpretation that involves an ongoing conversation between the collective Black experience and the Bible, in which the particular questions coming out of Black communities are given pride of place and the Bible is given space to respond by affirming, challenging, and, at times, reshaping Black concerns. McCaulley demonstrates this model with studies on how Scripture speaks to topics often overlooked by white interpreters, such as ethnicity, political protest, policing, and slavery. Ultimately McCaulley calls the church to a dynamic theological engagement with Scripture, in which Christians of diverse backgrounds dialogue with their own social location as well as the cultures of others. Reading While Black moves the conversation forward.","{'Christian', 'Nonfiction', 'Religion', 'Faith', 'Theology', 'Christianity', 'Race'}","200 pages, Kindle Edition",4.45
The Christian Atheist: Believing in God but Living As If He Doesn't Exist,Craig Groeschel,"“The more I looked, the more I found Christian Atheists everywhere.”Former Christian Atheist Craig Groeschel knows his subject all too well. After over a decade of successful ministry, he had to make a painful self admission: although he believed in God, he was leading his church like God didn’t exist.To Christians and non-Christians alike, to the churched and the unchurched, the journey leading up to Groeschel’s admission and the journey that follows—from his family and his upbringing to the lackluster and even diametrically opposed expressions of faith he encountered—will look and sound like the story of their own lives.Now the founding and senior pastor of the multicampus, pace-setting LifeChurch.tv, Groeschel's personal journey toward a more authentic God-honoring life is more relevant than ever.Christians and Christian Atheists everywhere will be nodding their heads as they are challenged to take their own honest moment and ask the question: am I putting my whole faith in God but still living as if everything was up to me?","{'Christian', 'Nonfiction', 'Religion', 'Faith', 'Christianity', 'Christian Living', 'Spirituality'}","256 pages, Hardcover",4.05
Walking on Water: Reflections on Faith and Art,Madeleine L'Engle,"In this classic book, Madeleine L'Engle addresses the questions, What makes art Christian? What does it mean to be a Christian artist? What is the relationship between faith and art? Through L'Engle's beautiful and insightful essay, readers will find themselves called to what the author views as the prime tasks of an artist: to listen, to remain aware, and to respond to creation through one's own art.","{'Christian', 'Nonfiction', 'Religion', 'Faith', 'Christianity', 'Writing', 'Art'}","256 pages, Hardcover",4.23
Making Sense of God: An Invitation to the Skeptical,Timothy J. Keller,"Making Sense of God: An Invitation to the Skeptical, is a prequel to The Reason for God: Belief in an Age of Skepticism. We live in an age of skepticism. Our society places such faith in empirical reason, historical progress, and heartfelt emotion that it’s easy to wonder: Why should anyone believe in Christianity? What role can faith and religion play in our modern lives? In this thoughtful and inspiring new book, pastor and New York Times bestselling author Timothy Keller invites skeptics to consider that Christianity is more relevant now than ever. As human beings, we cannot live without meaning, satisfaction, freedom, identity, justice, and hope. Christianity provides us with unsurpassed resources to meet these needs. Written for both the ardent believer and the skeptic, Making Sense of God shines a light on the profound value and importance of Christianity in our lives.","{'Christian', 'Nonfiction', 'Religion', 'Faith', 'Philosophy', 'Theology', 'Christianity'}","336 pages, Hardcover",4.30
Falling Upward: A Spirituality for the Two Halves of Life,Richard Rohr,"In Falling Upward , Fr. Richard Rohr seeks to help readers understand the tasks of the two halves of life and to show them that those who have fallen, failed, or ""gone down"" are the only ones who understand ""up."" Most of us tend to think of the second half of life as largely about getting old, dealing with health issues, and letting go of life, but the whole thesis of this book is exactly the opposite. What looks like falling down can largely be experienced as ""falling upward."" In fact, it is not a loss but somehow actually a gain, as we have all seen with elders who have come to their fullness. This important book explores the counterintuitive message that we grow spiritually much more by doing wrong than by doing right--a fresh way of thinking about spirituality that grows throughout life.","{'Christian', 'Nonfiction', 'Religion', 'Faith', 'Theology', 'Christianity', 'Spirituality'}","199 pages, Hardcover",4.22
Spiritual Disciplines for the Christian Life,Donald S. Whitney,"Drawn from a rich heritage, ""Spiritual Disciplines for the Christian Life"" will guide you through a carefully selected array of disciplines, including:Scripture readingPrayerWorshipScripture meditationEvangelismServingStewardship of time and moneyScripture applicationFastingSilence and solitudeJournalingLearningBy illustrating why the disciplines are important, showing how each one will help you grow in godliness, and offering practical suggestions for cultivating them, ""Spiritual Disciplines for the Christian Life"" will provide you with a refreshing opportunity to become more like Christ and grow in character and maturity.","{'Christian', 'Nonfiction', 'Discipleship', 'Faith', 'Theology', 'Christianity', 'Christian Living'}","272 pages, Paperback",4.25
Let Me Be a Woman,Elisabeth Elliot,"“In order to learn what it means to be a woman, we must start with the One who made her.” Working from Scripture, well-known speaker and author Elisabeth Elliot shares her observations and experiences in a number of essays on what it means to be a Christian woman, whether single, married, or widowed.1. The God who is in charge --2. Not who am I? but whose am I? --3. Where to hang your soul --4. A daughter, not a Son --5. Creation, woman for man --6. Jellyfish and pride --7. The right kind of pride --8. The weight of wings --9. Single life, a gift --10. One day at a time --11. Trust for separation --12. Self discipline and order --13. Whose battle? --14. Freedom through discipline --15. God sets no traps --16. A paradoxical principle --17. Masculine and feminine --18. The soul is feminine --19. Is submission stifling? --20. Twenty questions --21. A choice is a limitation --22. Commitment, gratitude, dependence --23. You marry a sinner --24. You marry a man --25. You marry a husband --26. You marry a person --27. Forsaking all others --28. Dynamic, not static --29. A union --30. A mirror --31. A vocation --32. What makes a marriage work --33. Acceptance of divine order --34. Equality is not a Christian ideal --35. Heirs of grace --36. Proportional equality --37. The humility of ceremony --38. Authority --39. Subordination --40. The restraint of power --41. Strength by constraint --42. Masters of ourselves --43. A universe of harmony --44. Be a real woman --45. The courage of the creator --46. The inner sanctum --47. Loyalty --48. Love is action --49. Love means a cross","{'Christian', 'Nonfiction', 'Faith', 'Christianity', 'Christian Non Fiction', 'Christian Living', 'Marriage'}","192 pages, Mass Market Paperback",4.27
Tribulation Force,Tim LaHaye,"In one cataclysmic moment, millions around the globe disappear.Those left behind face war, famine, plagues, and natural disasters so devastating that only one in four people will survive. Odds are even worse for enemies of the Antichrist and his new world order.Rayford Steele, Buck Williams, Bruce Barnes, and Chloe Steele band together to form the Tribulation Force. Their task is clear, and their goal is nothing less than to stand and fight the enemies of God during the seven most chaotic years the planet will ever see.","{'Thriller', 'Christian', 'Fantasy', 'Religion', 'Fiction', 'Christian Fiction', 'Christianity'}","452 pages, Paperback",3.97
