Book,Num_Ratings,Genres
Invisible Monsters Remix,"137,638","['Fiction', 'Contemporary', 'Thriller', 'Novels', 'Horror', 'Mystery', 'Humor']"
The End of Everything,"14,983","['Fiction', 'Mystery', 'Young Adult', 'Thriller', 'Contemporary', 'Mystery Thriller', 'Crime']"
The Sluts,"3,443","['Fiction', 'Horror', 'LGBT', 'Queer', 'Gay', 'Contemporary', 'Thriller']"
"Guards! Guards! (Discworld, #8; City Watch, #1)","193,164","['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Dragons', 'Science Fiction Fantasy', 'Audiobook']"
The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,"35,985","['Nonfiction', 'Science', 'Psychology', 'Neuroscience', 'Brain', 'Health', 'Self Help']"
Wild at Heart: Discovering the Secret of a Man's Soul,"78,027","['Christian', 'Nonfiction', 'Christianity', 'Religion', 'Christian Living', 'Faith', 'Spirituality']"
"Tales of the City (Tales of the City, #1)","42,322","['Fiction', 'LGBT', 'Queer', 'Humor', 'Gay', 'Classics', 'Contemporary']"
America (The Book): A Citizen's Guide to Democracy Inaction,"95,110","['Humor', 'Nonfiction', 'Politics', 'Comedy', 'History', 'Audiobook', 'American History']"
Self-Reliance and Other Essays,"18,329","['Philosophy', 'Classics', 'Nonfiction', 'Essays', 'Literature', 'History', 'Poetry']"
Grit: The Power of Passion and Perseverance,"110,423","['Nonfiction', 'Psychology', 'Self Help', 'Business', 'Personal Development', 'Audiobook', 'Leadership']"
Holidays on Ice,"121,963","['Humor', 'Nonfiction', 'Short Stories', 'Memoir', 'Essays', 'Christmas', 'Audiobook']"
The Bone People,"21,850","['Fiction', 'Magical Realism', 'Literary Fiction', 'Contemporary', 'Historical Fiction', 'Novels', 'Literature']"
"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are","38,654","['Nonfiction', 'Science', 'Psychology', 'Business', 'Technology', 'Economics', 'Sociology']"
"Say You're Sorry (Morgan Dane, #1)","93,212","['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Romance', 'Romantic Suspense', 'Mystery Thriller']"
Phenomena: The Lost and Forgotten Children,411,"['Historical Fiction', 'Mental Health', 'Psychology', 'Fiction', 'Inspirational', 'Childrens', 'Eugenics']"
"Little Brother (Little Brother, #1)","50,032","['Young Adult', 'Science Fiction', 'Fiction', 'Dystopia', 'Teen', 'Cyberpunk', 'Thriller']"
The Lucky One,"353,304","['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Contemporary Romance', 'Adult Fiction']"
How to Read a Book: The Classic Guide to Intelligent Reading,"23,090","['Nonfiction', 'Self Help', 'Education', 'Books About Books', 'Writing', 'Reference', 'Personal Development']"
A Man Without a Country,"44,080","['Nonfiction', 'Essays', 'Memoir', 'Humor', 'Classics', 'Biography', 'Politics']"
How to Not Be an Idiot When You Get Divorced,205,"['Self Help', 'Humor', 'Adult', 'Nonfiction', 'Psychology', 'Guidebook', 'New Adult']"
The Seven Husbands of Evelyn Hugo,"2,143,596","['Fiction', 'Romance', 'Historical Fiction', 'LGBT', 'Contemporary', 'Audiobook', 'Adult']"
Lost Identity (The Remmich/Miller Series Book 1),"2,243","['Contemporary', 'Novels', 'Epic', 'Fiction']"
Equating the Equations of Insanity: A Journey from Grief to Victory,185,"['Self Help', 'Inspirational', 'Psychology', 'Mental Health', 'Nonfiction', 'Business']"
Beneath a Scarlet Sky,"316,003","['Historical Fiction', 'Fiction', 'World War II', 'Historical', 'War', 'Italy', 'Audiobook']"
"The Rising (Blue River Chronicles, #1)",74,"['Werewolves', 'Paranormal', 'Urban Fantasy', 'Shapeshifters']"
The Beach,"83,261","['Fiction', 'Travel', 'Thriller', 'Adventure', 'Contemporary', 'Asia', 'Novels']"
Piercing,"10,572","['Horror', 'Fiction', 'Japanese Literature', 'Japan', 'Thriller', 'Asia', 'Crime']"
Curse of The Salute,"2,066",['Horror']
How We Decide,"40,171","['Nonfiction', 'Psychology', 'Science', 'Business', 'Self Help', 'Neuroscience', 'Economics']"
Coin Locker Babies,"7,826","['Fiction', 'Japan', 'Japanese Literature', 'Horror', 'Contemporary', 'Novels', 'Asian Literature']"
Deep World Fire  (Deep World Saga #1),69,"['Fantasy', 'Fiction', 'Epic Fantasy']"
"I, the Sun",418,"['Historical Fiction', 'Historical', 'Fiction', 'Egypt', 'Ancient History', 'Ancient', 'Epic']"
Dead Men's Trousers,"3,742","['Fiction', 'Scotland', 'Novels', 'Thriller', 'Crime', 'Mystery', 'Humor']"
Still Life with Woodpecker,"78,346","['Fiction', 'Humor', 'Literature', 'Novels', 'Magical Realism', 'Classics', 'Contemporary']"
"Thud! (Discworld, #34; City Watch, #7)","70,134","['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Mystery']"
Cleopatra: A Life,"114,134","['History', 'Biography', 'Nonfiction', 'Historical', 'Egypt', 'Biography Memoir', 'Audiobook']"
"Awakening (The Keeper, #1)",454,"['Paranormal Romance', 'Vampires', 'Young Adult', 'Adult', 'Fantasy', 'Amazon', 'Fiction']"
Let the Great World Spin,"102,646","['Fiction', 'Historical Fiction', 'New York', 'Book Club', 'Novels', 'Literary Fiction', 'Contemporary']"
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence","68,287","['Nonfiction', 'Science', 'Psychology', 'Health', 'Self Help', 'Philosophy', 'Audiobook']"
"Revenge (The Keeper, #2)",182,['Young Adult']
The Righteous Mind: Why Good People Are Divided by Politics and Religion,"51,558","['Nonfiction', 'Psychology', 'Politics', 'Philosophy', 'Religion', 'Science', 'Sociology']"
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,"27,697","['Nonfiction', 'Self Help', 'Essays', 'Inspirational', 'Adult', 'Philosophy', 'Memoir']"
"Going Clear: Scientology, Hollywood, and the Prison of Belief","42,203","['Nonfiction', 'Religion', 'History', 'Cults', 'Audiobook', 'Biography', 'Psychology']"
Eye of the Needle,"149,561","['Fiction', 'Historical Fiction', 'Thriller', 'Mystery', 'Espionage', 'Suspense', 'War']"
"84, Charing Cross Road","74,546","['Nonfiction', 'Books About Books', 'Memoir', 'Classics', 'Biography', 'Biography Memoir', 'British Literature']"
Dead Babies,"5,910","['Fiction', 'Thriller', 'Contemporary', 'Novels', 'British Literature', 'Mystery', '20th Century']"
"Same Kind of Different as Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together","88,542","['Nonfiction', 'Memoir', 'Christian', 'Biography', 'Inspirational', 'Book Club', 'Faith']"
"Peyton Place (Peyton Place, #1)","11,776","['Fiction', 'Classics', 'Romance', 'Banned Books', 'Historical Fiction', 'Novels', 'Chick Lit']"
An American Tragedy,"35,887","['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'American', 'Novels', 'Banned Books']"
Four Thousand Weeks: Time Management for Mortals,"51,809","['Nonfiction', 'Self Help', 'Philosophy', 'Productivity', 'Psychology', 'Personal Development', 'Audiobook']"
Save Yourself,"3,703","['Fiction', 'Thriller', 'Mystery Thriller', 'Contemporary', 'Mystery', 'Dark', 'Suspense']"
The Pact,"297,803","['Fiction', 'Romance', 'Contemporary', 'Chick Lit', 'Drama', 'Mystery', 'Adult Fiction']"
Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls,"121,931","['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Humor', 'Autobiography', 'Biography Memoir']"
Bird by Bird: Some Instructions on Writing and Life,"95,639","['Writing', 'Nonfiction', 'Memoir', 'Self Help', 'Essays', 'Reference', 'Biography']"
"A Merciful Truth (Mercy Kilpatrick, #2)","26,506","['Mystery', 'Romantic Suspense', 'Fiction', 'Romance', 'Crime', 'Thriller', 'Suspense']"
"Father and I Were Ranchers (Little Britches, #1)","13,812","['Classics', 'Biography', 'Nonfiction', 'Childrens', 'History', 'Westerns', 'Memoir']"
"Old Man's War (Old Man's War, #1)","185,170","['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Military Fiction', 'War', 'Space']"
The Grand Design,"71,757","['Science', 'Nonfiction', 'Physics', 'Philosophy', 'Astronomy', 'Popular Science', 'Audiobook']"
The Cement Garden,"29,957","['Fiction', 'Contemporary', 'British Literature', 'Novels', 'Literary Fiction', 'Literature', '20th Century']"
Salt Sugar Fat: How the Food Giants Hooked Us,"30,249","['Nonfiction', 'Food', 'Health', 'Science', 'Nutrition', 'Audiobook', 'History']"
Unwifeable: A Memoir,"2,892","['Memoir', 'Nonfiction', 'Womens', 'Biography', 'Humor', 'Biography Memoir', 'Autobiography']"
Big Sur,"33,128","['Fiction', 'Classics', 'Literature', 'Novels', 'American', 'Travel', '20th Century']"
The Pale-Faced Lie,"21,312","['Nonfiction', 'Memoir', 'True Crime', 'Biography', 'Audiobook', 'Biography Memoir', 'Autobiography']"
The Death of Bunny Munro,"15,380","['Fiction', 'Contemporary', 'Novels', 'Thriller', 'Music', 'Literature', 'Audiobook']"
The Stone Diaries,"39,076","['Fiction', 'Canada', 'Historical Fiction', 'Literary Fiction', 'Literature', 'Novels', 'Classics']"
Kicker,189,['Historical Fiction']
Hoodwinked: Uncovering Our Fundamental Superstitions,365,['Nonfiction']
"Gathering Blue (The Giver, #2)","182,539","['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Middle Grade', 'Classics']"
"Doctor Sleep (The Shining, #2)","242,994","['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Paranormal', 'Audiobook', 'Supernatural']"
Skipping Christmas,"70,960","['Fiction', 'Christmas', 'Humor', 'Holiday', 'Contemporary', 'Adult', 'Audiobook']"
The Largesse of the Sea Maiden: Stories,"7,835","['Short Stories', 'Fiction', 'Literary Fiction', 'Literature', 'American', 'Audiobook', 'Contemporary']"
Orange Is the New Black,"196,320","['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Crime']"
The Great Alone,"641,750","['Fiction', 'Historical Fiction', 'Audiobook', 'Historical', 'Romance', 'Adult', 'Adult Fiction']"
"The City of Ember (Book of Ember, #1)","271,997","['Young Adult', 'Dystopia', 'Fantasy', 'Science Fiction', 'Fiction', 'Middle Grade', 'Childrens']"
"Appellate Judge (Jack Ludefance, #3)","5,855","['Novels', 'Fiction', 'Contemporary', 'Drama', 'Epic']"
The Swiss Family Robinson,"103,795","['Classics', 'Fiction', 'Adventure', 'Childrens', 'Young Adult', 'Historical Fiction', 'Literature']"
What Dreams May Come,"13,121","['Fiction', 'Fantasy', 'Romance', 'Horror', 'Science Fiction', 'Death', 'Classics']"
Sons and Lovers,"51,591","['Classics', 'Fiction', 'Literature', 'Novels', 'British Literature', 'Romance', '20th Century']"
Invisible,"20,208","['Fiction', 'Contemporary', 'American', 'Literature', 'Novels', 'Literary Fiction', 'The United States Of America']"
The Song of Achilles,"1,173,240","['Fantasy', 'Historical Fiction', 'Fiction', 'Mythology', 'Romance', 'LGBT', 'Historical']"
Memoirs of Hadrian,"26,411","['Historical Fiction', 'Fiction', 'Classics', 'France', 'Historical', 'Literature', 'Philosophy']"
"The Last Battle (Chronicles of Narnia, #7)","260,855","['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Childrens', 'Christian', 'Adventure']"
The Girl Who Loved Tom Gordon,"152,886","['Horror', 'Fiction', 'Thriller', 'Suspense', 'Mystery', 'Fantasy', 'Audiobook']"
The Bachman Books,"71,391","['Horror', 'Fiction', 'Short Stories', 'Thriller', 'Science Fiction', 'Fantasy', 'Suspense']"
I'll Give You the Sun,"320,109","['Young Adult', 'Contemporary', 'LGBT', 'Romance', 'Fiction', 'Realistic Fiction', 'Queer']"
My Life on the Road,"34,186","['Nonfiction', 'Feminism', 'Memoir', 'Biography', 'Audiobook', 'Womens', 'Biography Memoir']"
The Accidental Tourist,"102,993","['Fiction', 'Contemporary', 'Romance', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Literature']"
The Dharma Bums,"91,070","['Fiction', 'Classics', 'Literature', 'Novels', 'Travel', 'American', 'Philosophy']"
"Jesus the Christ: A Study of the Messiah and His Mission According to Holy Scriptures, Both Ancient and Modern","22,574","['Religion', 'Lds', 'Nonfiction', 'Church', 'Spirituality', 'Biography', 'Inspirational']"
The Lusiads,"8,184","['Poetry', 'Classics', 'Portuguese Literature', 'Portugal', 'Fiction', 'Literature', 'Epic']"
The Woods,"93,793","['Mystery', 'Thriller', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense', 'Audiobook']"
"Africa's Child (Dancing Soul Trilogy, #1)","4,078","['Fiction', 'Africa', 'Contemporary', 'Race', 'Epic', 'Historical Fiction', 'Drama']"
"The Long Winter (Little House, #6)","84,810","['Historical Fiction', 'Classics', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']"
The Forty Rules of Love,"164,349","['Fiction', 'Historical Fiction', 'Novels', 'Romance', 'Philosophy', 'Spirituality', 'Turkish Literature']"
The Casual Vacancy,"323,341","['Fiction', 'Contemporary', 'Mystery', 'Adult', 'Adult Fiction', 'Drama', 'Unfinished']"
Filth,"28,625","['Fiction', 'Crime', 'Contemporary', 'Mystery', 'Novels', 'Thriller', 'Scotland']"
Wives and Daughters,"46,996","['Classics', 'Fiction', 'Romance', 'Historical Fiction', '19th Century', 'Victorian', 'Literature']"
Fingersmith,"100,256","['Historical Fiction', 'Fiction', 'LGBT', 'Historical', 'Romance', 'Mystery', 'Queer']"
The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II,"28,868","['Nonfiction', 'History', 'World War II', 'Science', 'Historical', 'War', 'American History']"
How to Read Literature Like a Professor,"28,142","['Nonfiction', 'School', 'Books About Books', 'Writing', 'Education', 'Literature', 'Read For School']"
The Incredible Journey,"50,881","['Fiction', 'Classics', 'Animals', 'Childrens', 'Adventure', 'Young Adult', 'Dogs']"
"Inheritance (The Inheritance Cycle, #4)","254,929","['Fantasy', 'Young Adult', 'Fiction', 'Dragons', 'Magic', 'Adventure', 'High Fantasy']"
The Lost City of the Monkey God,"52,558","['Nonfiction', 'History', 'Adventure', 'Travel', 'Science', 'Audiobook', 'Archaeology']"
The Complete Anne of Green Gables 8-Book Box Set,"104,065","['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Historical Fiction', 'Romance', 'Middle Grade']"
Being Mortal: Medicine and What Matters in the End,"174,058","['Nonfiction', 'Medicine', 'Science', 'Health', 'Medical', 'Philosophy', 'Death']"
"The Threat Below (Brathius History, #1)","1,587","['Fantasy', 'Young Adult', 'Dystopia', 'Fiction', 'Adventure', 'Science Fiction', 'Post Apocalyptic']"
If Life Is a Bowl of Cherries What Am I Doing in the Pits?,"13,937","['Humor', 'Nonfiction', 'Comedy', 'Memoir', 'Essays', 'Biography', 'Adult']"
The Little Book of Hygge: The Danish Way to Live Well,"96,184","['Nonfiction', 'Self Help', 'Psychology', 'Audiobook', 'Philosophy', 'Personal Development', 'Denmark']"
"Wyrd Sisters (Discworld, #6; Witches, #2)","110,441","['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Witches', 'Magic']"
The Informers,"18,392","['Fiction', 'Short Stories', 'Contemporary', 'American', 'Literature', 'Thriller', 'Novels']"
Sadako and the Thousand Paper Cranes,"25,401","['Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Japan', 'Classics']"
The Complete Novels,"32,294","['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Classic Literature']"
The Lonely City: Adventures in the Art of Being Alone,"24,931","['Nonfiction', 'Memoir', 'Art', 'Essays', 'Biography', 'Psychology', 'New York']"
"The Sound of Suffering (The Master of Perception, #2)",98,[]
Desert Solitaire,"47,077","['Nonfiction', 'Nature', 'Memoir', 'Travel', 'Environment', 'Adventure', 'Biography']"
Cold Comfort Farm,"48,368","['Fiction', 'Classics', 'Humor', 'Historical Fiction', 'British Literature', 'Comedy', '20th Century']"
Joyland,"147,293","['Horror', 'Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Audiobook']"
"Last Sacrifice (Vampire Academy, #6)","279,530","['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance']"
Go Tell It on the Mountain,"63,211","['Fiction', 'Classics', 'African American', 'Race', 'Literature', 'Novels', 'Religion']"
The Persecution of Mildred Dunlap,918,"['Historical Fiction', 'Fiction', 'LGBT', 'Historical', 'Amazon', 'Queer', 'Social Issues']"
"Tatiana and Alexander (The Bronze Horseman, #2)","41,206","['Historical Fiction', 'Romance', 'Historical', 'Historical Romance', 'Fiction', 'Russia', 'War']"
Moonwalking with Einstein: The Art and Science of Remembering Everything,"86,482","['Nonfiction', 'Science', 'Psychology', 'Self Help', 'Memoir', 'Personal Development', 'Audiobook']"
"Garden Spells (Waverley Family, #1)","96,406","['Fiction', 'Magical Realism', 'Fantasy', 'Romance', 'Chick Lit', 'Magic', 'Contemporary']"
What We Talk About When We Talk About Love,"60,650","['Short Stories', 'Fiction', 'Classics', 'American', 'Literature', 'Contemporary', 'Literary Fiction']"
Title: Audition,"10,767","['Horror', 'Fiction', 'Japanese Literature', 'Japan', 'Thriller', 'Mystery', 'Contemporary']"
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty","45,708","['Economics', 'Nonfiction', 'Politics', 'History', 'Business', 'Political Science', 'Sociology']"
"Spirit Bound (Vampire Academy, #5)","286,082","['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance']"
Ragtime,"42,274","['Fiction', 'Historical Fiction', 'Classics', 'Novels', 'Literature', 'Historical', 'American']"
Awoken,148,"['Fantasy', 'Fiction', 'Young Adult']"
Letters From Your Soul,63,"['Spirituality', 'Poetry', 'Nonfiction']"
Out,"35,144","['Fiction', 'Japan', 'Thriller', 'Mystery', 'Japanese Literature', 'Crime', 'Horror']"
The Lover,"49,718","['Fiction', 'Classics', 'France', 'Romance', 'French Literature', 'Literature', 'Historical Fiction']"
The Law,"12,415","['Politics', 'Philosophy', 'Economics', 'Nonfiction', 'Law', 'Classics', 'History']"
"The Witches: Salem, 1692","20,662","['History', 'Nonfiction', 'Historical', 'Witches', 'Audiobook', 'American History', 'Religion']"
False Step,"16,824","['Thriller', 'Fiction', 'Mystery', 'Suspense', 'Mystery Thriller', 'Contemporary', 'Adult']"
Understanding Power: The Indispensable Chomsky,"8,347","['Politics', 'Nonfiction', 'Philosophy', 'History', 'Economics', 'Political Science', 'Sociology']"
When Things Fall Apart: Heart Advice for Difficult Times,"51,278","['Nonfiction', 'Self Help', 'Buddhism', 'Spirituality', 'Philosophy', 'Psychology', 'Religion']"
"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)","84,394","['Fiction', 'Fantasy', 'Science Fiction', 'Humor', 'Mystery', 'Comedy', 'Science Fiction Fantasy']"
Frankie the Ferret,391,"['Picture Books', 'Fiction', 'Drama', 'Contemporary', 'Animals']"
"The House of the Scorpion (Matteo Alacran, #1)","89,373","['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Fantasy', 'Teen', 'Adventure']"
"An Echo in the Bone (Outlander, #7)","143,876","['Historical Fiction', 'Romance', 'Fiction', 'Fantasy', 'Time Travel', 'Historical', 'Historical Romance']"
Swan Song,"63,979","['Horror', 'Fiction', 'Post Apocalyptic', 'Fantasy', 'Science Fiction', 'Dystopia', 'Apocalyptic']"
The Twilight Saga,"116,944","['Fantasy', 'Young Adult', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance']"
Made to Stick: Why Some Ideas Survive and Others Die,"89,309","['Business', 'Nonfiction', 'Psychology', 'Leadership', 'Self Help', 'Communication', 'Design']"
Almost Transparent Blue,"10,258","['Fiction', 'Japan', 'Japanese Literature', 'Contemporary', 'Horror', 'Asia', 'Literature']"
Arcadia,"22,460","['Plays', 'Drama', 'Fiction', 'Classics', 'Theatre', 'Historical Fiction', 'School']"
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,"218,912","['Nonfiction', 'True Crime', 'Audiobook', 'Crime', 'Mystery', 'History', 'Memoir']"
"The Bourne Supremacy (Jason Bourne, #2)","177,370","['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Espionage', 'Action', 'Adventure']"
Angels,"4,631","['Fiction', 'Novels', 'Literature', 'Literary Fiction', 'Crime', 'American', 'Contemporary']"
A Girl Named Zippy,"36,216","['Memoir', 'Nonfiction', 'Humor', 'Biography', 'Biography Memoir', 'Autobiography', 'Book Club']"
The Chronicle of Sapta Sindhu,"2,231","['War', 'Iran', 'India', 'Romance', 'Pakistan', 'Love', 'Mythology']"
Bad Blood: Secrets and Lies in a Silicon Valley Startup,"243,003","['Nonfiction', 'Business', 'True Crime', 'Audiobook', 'Science', 'Crime', 'Biography']"
Eugene Onegin,"60,936","['Classics', 'Poetry', 'Russia', 'Fiction', 'Russian Literature', 'Literature', '19th Century']"
"Hometown Girl at Heart (Hometown, #1)","4,101","['Romance', 'Contemporary', 'Fiction', 'New Adult', 'Contemporary Romance', 'Young Adult', 'Love Story']"
"The Dark Tower (The Dark Tower, #7)","164,694","['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Adventure', 'Westerns', 'Audiobook']"
The Covert Passive Aggressive Narcissist: Recognizing the Traits and Finding Healing After Hidden Emotional and Psychological Abuse (The Narcissism Series Book 1),"1,683","['Psychology', 'Self Help', 'Nonfiction', 'Mental Health', 'Relationships', 'Abuse', 'Personal Development']"
Pro Truth: A Practical Plan for Putting Truth Back Into Politics,110,"['Politics', 'Nonfiction', 'Psychology', 'Philosophy', 'Journalism', 'Political Science', 'Sociology']"
Lab Girl,"64,604","['Nonfiction', 'Science', 'Memoir', 'Biography', 'Nature', 'Audiobook', 'Biography Memoir']"
Scrappy Little Nobody,"92,364","['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Humor', 'Autobiography', 'Biography Memoir']"
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,"346,489","['Nonfiction', 'Self Help', 'Audiobook', 'Personal Development', 'Psychology', 'Japan', 'Productivity']"
"Mad Love (DCYE, #3)",147,"['Reverse Harem', 'Romance']"
Love is the Answer God is the Cure,"3,841","['Contemporary', 'Nonfiction', 'Adult', 'True Story', 'Abuse', 'Drama', 'Book Club']"
Crime,"4,881","['Fiction', 'Crime', 'Thriller', 'Mystery', 'Scotland', 'Novels', 'Contemporary']"
Understanding Comics: The Invisible Art,"119,045","['Comics', 'Nonfiction', 'Graphic Novels', 'Art', 'Design', 'Graphic Novels Comics', 'Writing']"
The Life and Times of the Thunderbolt Kid,"64,076","['Nonfiction', 'Memoir', 'Humor', 'Biography', 'Autobiography', 'Audiobook', 'History']"
"The Waste Lands (The Dark Tower, #3)","210,767","['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Adventure', 'Westerns', 'Audiobook']"
"Love Medicine (Love Medicine, #1)","25,320","['Fiction', 'Historical Fiction', 'Short Stories', 'Novels', 'Literary Fiction', 'Literature', 'Classics']"
A Beautiful Mind,"130,902","['Biography', 'Nonfiction', 'Psychology', 'Science', 'Mathematics', 'History', 'Biography Memoir']"
12 Rules for Life: An Antidote to Chaos,"191,235","['Nonfiction', 'Psychology', 'Self Help', 'Philosophy', 'Personal Development', 'Audiobook', 'Unfinished']"
The Bacchae,"20,229","['Classics', 'Plays', 'Drama', 'Mythology', 'Fiction', 'Theatre', 'Poetry']"
"If Tomorrow Comes (Tracy Whitney, #1)","65,599","['Fiction', 'Thriller', 'Mystery', 'Romance', 'Suspense', 'Crime', 'Mystery Thriller']"
The Bridges of Madison County,"92,030","['Fiction', 'Romance', 'Classics', 'Chick Lit', 'Contemporary', 'Novels', 'Adult']"
Kon-Tiki,"22,270","['Nonfiction', 'Travel', 'Adventure', 'History', 'Classics', 'Biography', 'Memoir']"
"All the Pretty Horses (The Border Trilogy, #1)","111,619","['Fiction', 'Westerns', 'Historical Fiction', 'Classics', 'Literature', 'Novels', 'Literary Fiction']"
In a Sunburned Country,"106,835","['Travel', 'Nonfiction', 'Humor', 'Australia', 'Memoir', 'Audiobook', 'History']"
"The Lincoln Lawyer (The Lincoln Lawyer, #1; Harry Bosch Universe, #15)","223,574","['Mystery', 'Fiction', 'Thriller', 'Crime', 'Legal Thriller', 'Mystery Thriller', 'Suspense']"
"Absalom, Absalom!","42,820","['Classics', 'Fiction', 'Literature', 'American', 'Novels', 'Historical Fiction', 'Southern Gothic']"
"Close to Home (Tracy Crosswhite, #5)","36,517","['Mystery', 'Fiction', 'Thriller', 'Crime', 'Audiobook', 'Mystery Thriller', 'Suspense']"
"Night Watch (Watch, #1)","42,497","['Fantasy', 'Urban Fantasy', 'Fiction', 'Horror', 'Vampires', 'Paranormal', 'Russia']"
"Summer of My German Soldier (Summer of My German Soldier, #1)","16,669","['Historical Fiction', 'Young Adult', 'Fiction', 'World War II', 'Historical', 'Classics', 'Romance']"
Girl Wash your Face,"239,444","['Nonfiction', 'Self Help', 'Audiobook', 'Personal Development', 'Memoir', 'Christian', 'Adult']"
Two Treatises of Government,"17,798","['Philosophy', 'Politics', 'Nonfiction', 'Classics', 'History', 'Political Science', 'Law']"
"Anne of Avonlea (Anne of Green Gables, #2)","184,388","['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Historical', 'Romance']"
Mister Pip,"22,222","['Fiction', 'Historical Fiction', 'War', 'Young Adult', 'Contemporary', 'Literary Fiction', 'Historical']"
"Hopeless (Hopeless, #1)","454,981","['Romance', 'New Adult', 'Young Adult', 'Contemporary', 'Fiction', 'Contemporary Romance', 'Abuse']"
The Boy Who Was Raised as a Dog: And Other Stories from a Child Psychiatrist's Notebook,"27,730","['Psychology', 'Nonfiction', 'Mental Health', 'Social Work', 'Science', 'Parenting', 'Education']"
The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,"38,278","['Science', 'Nonfiction', 'Biology', 'Evolution', 'Philosophy', 'Religion', 'Atheism']"
"The Scorch Trials (The Maze Runner, #2)","546,322","['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Adventure', 'Post Apocalyptic']"
Villette,"69,415","['Classics', 'Fiction', 'Romance', '19th Century', 'Victorian', 'Literature', 'Gothic']"
"Mr. Mercedes (Bill Hodges Trilogy, #1)","289,620","['Fiction', 'Horror', 'Thriller', 'Mystery', 'Crime', 'Audiobook', 'Mystery Thriller']"
Mother Night,"89,319","['Fiction', 'Classics', 'Historical Fiction', 'War', 'Literature', 'Novels', 'Humor']"
"The Changeling (Weald Fae Journals, #2)",342,"['Fantasy', 'Fae', 'Urban Fantasy', 'Young Adult', 'Paranormal', 'Fairies', 'Magic']"
"Stolen (Stolen, #1)","79,608","['Young Adult', 'Contemporary', 'Fiction', 'Romance', 'Realistic Fiction', 'Thriller', 'Mystery']"
Astrophysics for People in a Hurry,"162,490","['Science', 'Nonfiction', 'Audiobook', 'Physics', 'Space', 'Astronomy', 'History']"
"The Surgeon (Rizzoli & Isles, #1)","153,847","['Mystery', 'Thriller', 'Crime', 'Fiction', 'Mystery Thriller', 'Suspense', 'Detective']"
Antifragile: Things That Gain from Disorder,"48,067","['Nonfiction', 'Philosophy', 'Business', 'Economics', 'Psychology', 'Science', 'Finance']"
"The Mysterious Island (Captain Nemo, #3)","51,338","['Classics', 'Fiction', 'Science Fiction', 'Adventure', 'Fantasy', 'France', 'Literature']"
The Bedroom Secrets of the Master Chefs,"6,606","['Fiction', 'Contemporary', 'Scotland', 'Novels', 'Thriller', 'Drama', 'Adult']"
