title,popular_rank,orign_country,summary,rating
Rango,455,United States,"Rango is a pet chameleon always on the lookout for action and adventure, except the fake kind, where he directs it and acts in it. After a car accident, he winds up in an old western town called Dirt. What this town needs the most is water, but they also need a hero and a sheriff. The thirsty Rango instantly takes on the role of both and selfishly agrees to take on the case of their missing water. —napierslogs",7.2
The Guernsey Literary and Potato Peel Pie Society,456,United Kingdom,"A correspondence begins between Juliet Ashton (Lily James) and members of The Guernsey Literary and Potato Peel Pie Society, with them sharing their experiences of Nazi-occupied Guernsey Island. When an idea for a book catches Juliet, she goes to visit the island, making life-long friends and taking life changing steps along the way. This book is told by way of letters, and as the reader, you become enchanted by the writers of them and the love Juliet comes to feel for each of the Islanders; Dawsey Adams (Michiel Huisman), Amelia Maugery (Dame Penelope Wilton), Isola Pribby (Katherine Parkinson), Eben Ramsey (Sir Tom Courtenay), Kit (Florence Keen), and Elizabeth McKenna (Jessica Brown Findlay). —Cathryn McDowell",7.4
Homefront,457,United States,"Phil Broker is a former DEA agent who has gone through a crisis after his actions against a biker gang went horribly wrong ,and it cost the life of his boss's son. He is recently widowed and is left with a 9 year old daughter, Maddy. He decides to quit the turbulent and demanding life of the DEA for Maddy's sake and retires to a small town. His daughter fights off a boy who is bullying her at school, and this sets in motion a round of events that end in his direct confrontation with the local Meth drug lord. His past with the biker gang also enters the arena, making matters more complex. But he has a mission in his mind to protect his daughter, and he is ready to pay any cost that it demands. —Mujahid Khattak",6.5
Triple Frontier,458,United States,"Five former Special Forces operatives reunite to plan a heist in a sparsely populated multi-border zone of South America. For the first time in their prestigious careers these unsung heroes undertake this dangerous mission for self instead of country. But when events take an unexpected turn and threaten to spiral out of control, their skills, their loyalties and their morals are pushed to a breaking point in an epic battle for survival. —Netflix",6.4
The Society,459,United States,"When everyone else mysteriously vanishes from their wealthy town, the teen residents of West Ham must forge their own society to survive.",7.1
Shooter,460,United States,"Based on the best-selling novel ""Point of Impact"" by Stephen Hunter, and the 2007 Paramount film starring Mark Wahlberg. The series, starring Ryan Phillippe, follows the journey of Bob Lee Swagger, a highly-decorated veteran who is coaxed back into action to prevent a plot to kill the President. When Swagger's former commanding officer Isaac Johnson solicits his expertise in a clandestine operation, Swagger discovers that he has been framed and must do everything in his power to protect his family and clear his name. —ahmetkozan",7.5
The Ritual,461,United Kingdom,"A group of friends reunite after a long time to plan a vacation. They finally decide to go on a hiking trip in Sweden (Eastern Europe). When one of them is injured, they have no choice but to cut through the forest in order to arrive at the lodge a couple of hours sooner. During a raging rainstorm, they spent the night in a spooky, abandoned house. What awaits them are things they never expect out of this supposedly bonding trip. —Naemen",6.3
Maniac,462,United States,"Two strangers, Annie and Owen, sign up for a pharmaceutical test program. Over the course of the program previously-undiscovered parts of their memories and minds are revealed to them. Moreover, their dreams and sub-consciousnesses are becoming interconnected. Unknown to them, however, there is danger present - the giant computer that runs the tests has gone rogue and is threatening to destroy the program. —grantss",7.8
Malcolm & Marie,463,United States,"A filmmaker returns home with his girlfriend following a celebratory movie premiere as he awaits what's sure to be imminent critical and financial success. The evening suddenly takes a turn as revelations about their relationships begin to surface, testing the strength of their love. —Fizz_Y123",6.7
Dark Desire,464,Mexico,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.",6.5
The White Tiger,465,India,"Balram Halwai (Adarsh Gourav) narrates his epic and darkly humorous rise from poor villager to successful entrepreneur in modern India. Cunning and ambitious, our young hero jockeys his way into becoming a driver for Ashok (Rajkumar Rao) and Pinky (Priyanka Chopra-Jonas), who have just returned from America. Society has trained Balram to be one thing - a servant - so he makes himself indispensable to his rich masters. But after a night of betrayal, he realizes the corrupt lengths they will go to trap him and save themselves. On the verge of losing everything, Balram rebels against a rigged and unequal system to rise up and become a new kind of master. —Netflix",7.1
Hollywood,466,United States,A group of aspiring actors and filmmakers in post-World War II Hollywood try to make it big - no matter the cost.,7.5
Warrior Nun,467,United States,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo Bearer for a secret sect of demon-hunting nuns.",6.9
Steven Universe,468,United States,"This series is set in the fictional Beach City, where ageless alien warriors, the Crystal Gems, live in an ancient beachside temple, protecting the world from evil. They project female humanoid forms from magical gemstones that are the core of their being. The Crystal Gems are Garnet, Amethyst, Pearl and Steven, a young half-human, half-Gem boy who inherited his gemstone from his mother, the Gems' former leader Rose Quartz. As Steven tries to figure out his powers, he spends his days with his human father Greg, his friend Connie, other people in Beach City, or the other Gems, whether to help them save the world or just to hang out. He explores the abilities passed down to him by his mother, which include fusion (the ability of Gems to merge their identities and bodies to form a new and more powerful personality).",8.2
Luke Cage,469,United States,"After a sabotaged experiment leaves him with super strength and unbreakable skin, Luke Cage becomes a fugitive trying to rebuild his life in modern day Harlem, New York City. But he is soon pulled out of the shadows and must fight a battle for the heart of his city - forcing him to confront a past he had tried to bury. —ahmetkozan",7.3
Fractured,470,United States,"Driving cross-country, Ray and his wife and daughter stop at a highway rest area where his daughter falls and breaks her arm. After a frantic rush to the hospital and a clash with the check-in nurse, Ray is finally able to get her to a doctor. While the wife and daughter go downstairs for an MRI, Ray, exhausted, passes out in a chair in the lobby. Upon waking up, they have no record or knowledge of Ray's family ever being checked in. —Alan B. McElroy",6.4
The Invitation,471,United States,"Will and Eden were once a loving couple. After a tragedy took their son, Eden disappeared. Two years later, out of the blue, she returns with a new husband... and as a different person, eerily changed and eager to reunite with her ex and those she left behind. Over the course of a dinner party in the house that was once his, the haunted Will is gripped by mounting evidence that Eden and her new friends have a mysterious and terrifying agenda. But can we trust Will's hold on reality? Or will he be the unwitting catalyst of the doom he senses?",6.6
Dirk Gently's Holistic Detective Agency,472,United States,"Centers on the titular holistic detective who investigates cases involving the supernatural. Based on the ""Dirk Gently's Holistic Detective Agency"" novel series, written by Douglas Adams and published by Simon and Schuster in 1987.",8.3
Shameless,473,United Kingdom,"The story of a young group of siblings pretty much abandoned by their parents, surviving by their wits - and humor - on a rough Manchester council estate. Whilst they won't admit it, they need help and find it in Steve, a young middle class lad who falls for Fiona, the oldest sibling, and increasingly finds himself drawn to this unconventional and unique family. Anarchic family life seen through the eyes of an exceptionally bright fifteen year old, who struggles to come of age in the context of his belligerent father, closeted brother, psychotic sister and internet porn star neighbors. —Company Pictures (website)",8.0
Cars 3,474,United States,"Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing's biggest stage! —Pixar",6.7
Julie and the Phantoms,475,United States,"Julie is a teenage girl who finds her passion for music and life with the help of a high -concept band of teen boys (The Phantoms) who have been dead for 25 years. Julie, in turn, helps them become the band they were never able to be.",8.5
Shin seiki evangerion,476,United States,"When the Angels start attacking the planet Earth in the year 2015, only a handful of 14-year-old EVA pilots are able to stop them. Young Shinji Ikari suddenly finds himself forced to pilot EVA-01, a giant organic mecha, designed and constructed by NERV, that is the only thing that can stop the Angels. —Chris Cleveland",8.5
Santa Clarita Diet,477,United States,"Sheila and Joel are married real estate agents in Santa Clarita, California. When Sheila dies, their lives take a dark turn.",7.8
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,478,Japan,"The Empire of Britannia has invaded Japan using giant robot weapons called Knightmare Frames. Japan is now referred to as Area 11, and its people the 11's. A Britannian who was living in Japan at the time, Lelouch, vowed to his Japanese friend Suzaku that he'd destroy Britannia. Years later, Lelouch is in high school, but regularly skips out of school to go play chess and gamble on himself. One day, he stumbles on terrorists 11's who've stolen a military secret and is caught by a member of the Britannian task force sent after them, who is Suzaku. As the rest of the squad arrives, Suzaku is shot for disobeying orders, while the military secret, a young immortal witch, gives Lelouch the power of Geass, which makes anyone obey any order. While Suzaku is secretly made the pilot of Britannia's brand new prototype Knightmare, Lancelot, Lelouch becomes the masked Zero to lead the rebellion to destroy Britannia once and for all. —Anonymous",8.7
Now You See Me 2,479,United States,"One year after outwitting the F.B.I. and winning the public's adulation with their Robin Hood-style magic spectacles, The Four Horsemen resurface for a comeback performance in hopes of exposing the unethical practices of a tech magnate. The man behind their vanishing act is none other than Walter Mabry, a tech prodigy who threatens the Horsemen into pulling off their most impossible heist yet. Their only hope is to perform one last unprecedented stunt to clear their names and reveal the mastermind behind it all. —Production",6.5
Barbarians,480,Germany,"The famous battle of the Teutoburg Forest, in which Germanic warriors united by a strong woman, halted the northward advance of the Roman Empire in AD 9.",7.2
Kol,481,South Korea,"Two people live in different times. Seo-Yeon lives in the present and Young-Sook lives in the past. One phone call connects the two, and their lives are changed irrevocably.",7.1
Mononoke-hime,482,Japan,"While protecting his village from rampaging boar-god/demon, a confident young warrior, Ashitaka, is stricken by a deadly curse. To save his life, he must journey to the forests of the west. Once there, he's embroiled in a fierce campaign that humans were waging on the forest. The ambitious Lady Eboshi and her loyal clan use their guns against the gods of the forest and a brave young woman, Princess Mononoke, who was raised by a wolf-god. Ashitaka sees the good in both sides and tries to stem the flood of blood. This is met by animosity by both sides as they each see him as supporting the enemy. —Christopher Taguchi",8.4
A Walk to Remember,483,United States,"In North Carolina especially in Beaufort a prank on a guy goes wrong and puts the student in the clinic. Carter, a famous student with no plans for the future, is held responsible and forced to join in after-school community service activities as consequence, which include starring as the lead in the play. And participating in these activities is Jamie Sullivan, the reverend's daughter who has great ambitions and nothing in common with Landon. When Landon decides he wants to take his activities seriously, he asks Jamie for help and begins to spend most of his time with her. But he starts to like her, that he did not expect to do. They relationship, much to the chagrin of Landon's old popular friends and Jamie's strict reverend father. But when a heart-breaking secret becomes known that puts their relationship to the test, it is then that Landon and Jamie realize the true meaning of love and fate. —Pjshipman",7.3
MILF,484,France,"Cécile, Sonia and Elise, three childhood friends go to the Côte d'Azur to empty the house of one of them to be put on sale. During these few days, they will become the preferred targets of three young boys, for whom these single women, approaching their forties, are much more attractive than girls their age. Getting ready to play, the three friends will gradually become aware of their power of seduction as a MILF.",4.7
What Happened to Monday,485,United Kingdom,"In a not so distant future, where overpopulation and famine have forced governments to undertake a drastic One-Child Policy, seven identical sisters (all of them portrayed by Noomi Rapace) live a hide-and-seek existence pursued by the Child Allocation Bureau. The Bureau, directed by the fierce Nicolette Cayman (Glenn Close), enforces a strict family-planning agenda that the sisters outwit by taking turns assuming the identity of one person: Karen Settman. Taught by their grandfather (Willem Dafoe) who raised and named them - Monday, Tuesday, Wednesday, Thursday, Friday, Saturday and Sunday - each can go outside once a week as their common identity, but are only free to be themselves in the prison of their own apartment. That is until, one day, Monday does not come home.",6.9
CHIPS,486,United States,"An FBI agent goes undercover in the California Highway Patrol as officer Frank ""Ponch"" Poncherello. Members of the CHP have been robbing cash delivery vehicles and his job is to uncover the perpetrators. At the CHP he is partnered with a 30-something rookie, Jon Baker. Baker is a former professional motorcycle rider with a list of ailments and personal problems who is lucky to be in the CHP. They are very different people and immediately clash. —grantss",6.0
Hell's Kitchen,487,United States,"World renowned chef Gordon Ramsay puts aspiring young chefs through rigorous cooking challenges and dinner services at his restaurant in Hollywood, ""Hell's Kitchen"", to determine which one of them will win the head chef position at one of his restaurants or a restaurant located worldwide. —<robocoptng986127@aol.com> and assmn316",7.1
Bleach: Burîchi,488,Japan,"High school student Kurosaki Ichigo is unlike any ordinary kid. Why? Because he can see ghosts. Ever since a young age, he's been able to see spirits from the afterlife. Ichigo's life completely changes one day when he and his two sisters are attacked by an evil, hungry and tormented spirit known as a Hollow. Right in the nick of time, Ichigo and his siblings are aided by a Shinigami (Death God) named Kuchiki Rukia, whose responsibility it is to send good spirits (Pluses) to the afterlife known as Soul Society, and to purify Hollows and send them up to Soul Society. But during the fight against the Hollow, Rukia is injured and must transfer her powers to Ichigo. With this newly acquired power, so begins Kurosaki Ichigo's training and duty as a Shinigami to maintain the balance between the world of the living and the world of the dead... —Agent Neuman (corrected by Kijarat)",8.1
Timeless,489,United States,"Timeless tells the story of a mysterious criminal who steals a secret state-of-the-art time machine, intent on destroying America as we know it by changing the past. The only hope is an unexpected team: a scientist, a soldier and a history professor, who must use the machine's prototype to travel back in time to critical events. While they must make every effort not to affect the past themselves, they must also stay one step ahead of this dangerous fugitive. But can this handpicked team uncover the mystery behind it all and end his destruction before it's too late? —ahmetkozan",7.7
Vis a vis,490,Spain,"Macarena Ferreiro is a young naive woman who falls in love with her boss and, because of him, commits several accounting manipulation and misappropriation crimes. She is accused of four tax crimes, and consequently she is imprisoned at the Cruz del Sur Prison as a precautionary measure with very high bail set. She has to face the emotional shock that being in jail means to her, as well as the complicated relationship between the inmates; among them Zulema stands out as the most dangerous prisoner. In prison Macarena will soon realize the chance to survive the projected seven-year sentence she will likely receive if convicted depends on changing, evolving and becoming a very different person. Meanwhile, in order to pay the bail, her family outside gets involved in finding a large sum of money hidden somewhere, in dispute with Zulema's boyfriend, who will lead the Ferreiros to a terrible situation. —ahmetkozan",8.2
Lilo & Stitch,491,United States,"In a place far, far away, illegal genetic experiment #626 is detected: Ruthless scientist Dr. Jumba Jookiba has created a strong, intelligent, nearly indestructible and aggressive being with only one known weakness: The high density of his body makes it impossible for the experiment to swim in water. The scientist is sentenced to jail by the Grand Council of the Galactic Federation. The experiment is supposed to be transported to a prison asteroid, yet manages to escape Captain Gantu, who was supposed to deliver him there. With a stolen police cruiser (the red one), the destructive being races towards a little and already doomed planet: Earth. Stranded on Hawaii, experiment #626 can't actually do much harm: water all around, no big cities and two well-equipped representatives of the Galactic Federation already following close behind to catch him again. But Dr. Jookiba and the Earth expert Pleakley never could have guessed that earth girl Lilo adopts the experiment as dog, gives him the name Stitch and actually causes an emotional development in the little beast. Her dysfunctional family, consisting only of Lilo and her sister Nani, is about to be ripped apart by social worker Cobra Bubbles. Stitch as the new family member brings quite some action into all their lifes, and after a while, not even Pleakley and Dr. Jookiba can recognize their former target. But how shall they bring the news of failure to the Grand Councilwoman without being punished? —Julian Reischl <julianreischl@mac.com>",7.2
In the Heart of the Sea,492,United States,"In the winter of 1820, the New England whaling ship Essex was assaulted by something no one could believe: a whale of mammoth size and will, and an almost human sense of vengeance. The real-life maritime disaster would inspire Herman Melville's Moby-Dick. But that told only half the story. ""In the Heart of the Sea"" reveals the encounter's harrowing aftermath, as the ship's surviving crew is pushed to their limits and forced to do the unthinkable to stay alive. Braving storms, starvation, panic and despair, the men will call into question their deepest beliefs, from the value of their lives to the morality of their trade, as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down.",6.9
The Babysitter: Killer Queen,493,United States,"Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell.",5.8
Poketto monsutâ,494,Japan,"Ten-year-old Ash aspires to be the greatest Pokémon (pocket monster) trainer in the world. To do this, he enlists the help of many friends, and his own Pokémon, Pikachu. Together, they must search their world for new Pokémon, while avoiding the likes of Team Rocket, as well as other evil organizations, as well as battling rivals, and meeting legendary Pokémon. —ZeroG1",7.5
Top Boy,495,United Kingdom,"A thriving but underground drugs business is being run by Dushane (Ashley Walters) and his friend Sully (Kano) to become the richest men on the block. To live rich Dushane and Sully go into partnership with top don Bobby Raikes ('Geoff Bell (I)'). Rivalry with Kamale (Scorcher) and his gang results in their loan from Raikes being stolen, and they swear revenge. Thirteen-year old Ra'Nell (Malcolm Kamulete) gradually gets lured into the gang and drug business as his mother Lisa (Sharon Duncan-Brewster) has a breakdown and is hospitalised - with devastating consequences. —Anonymous",8.4
The Missing,496,United Kingdom,"""The Missing"" follows Tony, played by James Nesbitt, as a man devastated by the abduction of his young son, Oliver, during a family vacation in France. He becomes a man obsessed, unable to accept that his child may be dead and spends years searching for him. Tony's exhaustive search fractures his marriage to Emily, played by Frances O' Connor and threatens to destroy his life. Tcheky Karyo plays Julien, the French police detective who launched the initial search for the child. Even though he is retired in present day, he too cannot shake the small belief that the child may still be alive. Told using a fascinating narrative puzzle, ""The Missing"" explores the impact of a child's abduction, the emotional cost of obsession, hope and finding when to let go. This gripping thriller is told simultaneously over multiple time frames and set in France and London. —Jiilo_Kim",8.2
Escape Plan,497,United States,"Ray Breslin is a man who has devoted his life to making prisons inescapable by going into a prison as an inmate and trying to see if he can break out. And he has done a good job so far. A woman who says she works for the CIA approaches Ray and says that a new maximum security prison where the worst criminals are to be incarcerated, is about to be launched. So she wants him to go and make sure no one can get out. He agrees. So they make the necessary preps but when Ray arrives at the prison, he discovers that someone doesn't want him to get out. He then tries to find a way out but he needs help. Another prisoner, Rottmeyer becomes friendly with him. And they decide to work together to get out. —rcs0411@yahoo.com",6.7
Versailles,498,France,"In the wake of the Fronde in 1667, the French nobility have begun to defy and disobey the monarchy. Young King Louis XIV decides to move the court from the Château de Saint-Germain-en-Laye near Paris to his father's former hunting lodge near the hamlet of Versailles as a means to force their submission. As Louis renovates and expands his new Palace of Versailles, the nobles-displaced from their usual surroundings but compelled to surround the king-become embroiled in increasingly dangerous intrigues. —Wiki",7.9
Monty Python and the Holy Grail,499,United Kingdom,"History is turned on its comic head when, in tenth-century England, King Arthur travels the countryside to find knights who will join him at the Round Table in Camelot. Gathering up the men is a tale in itself but after a bit of a party at Camelot, many decide to leave only to be stopped by God, who sends them on a quest: to find the Holy Grail. After a series of individual adventures, the knights are reunited but must face a wizard named Tim the Enchanter, killer rabbits and lessons in the use of holy hand grenades. Their quest comes to an end however when the Police intervene - just what you would expect in a Monty Python movie. —garykmcd",8.2
Marco Polo,500,United States,"In a world replete with greed, betrayal, sexual intrigue and rivalry, ""Marco Polo"" is based on the famed explorer's adventures in Kublai Khan's court in 13th century Mongolia.",8.0
Gilmore Girls: A Year in the Life,501,United States,"Set nearly a decade after the finale of the original series, this revival follows Lorelai, Rory and Emily Gilmore through four seasons of change.",7.6
Rosemary's Baby,502,United States,"Desirous of starting a family, the young Catholic housewife, Rosemary Woodhouse, and her struggling actor husband, Guy, move into the Bramford: New York's iconic building that brims with unpleasant stories of obscure dwellers and ghastly occurrences. Before long, the young couple is befriended by their somehow eccentric next-door neighbours, Roman and Minnie Castevet, and, shortly after, Rosemary gets pregnant. However, little by little--as the inexperienced mother becomes systematically cut off from her circle and friends--alarming hints of a sinister and well-planned conspiracy begin to emerge, enfolding timid Rosemary in a shroud of suspicion and mental agony. In the end, why is everyone so conveniently eager to help? Furthermore, why is Guy allowing it? —Nick Riganas",8.0
Sausage Party,503,United States,"The products at Shopwell's Grocery Store are made to believe a code that helps them live happy lives until it's time for them to leave the comfort of the supermarket and head for the great beyond. However, after a botched trip to the great beyond leaves one sausage named Frank and his companion Bun stranded, Frank goes to great lengths (pun intended) to return to his package and make another trip to the great beyond. But as Frank's journey takes him from one end of the supermarket to the other, Frank's quest to discover the truth about his existence as a sausage turns incredibly dark. Can he expose the truth to the rest of the supermarket and get his fellow products to rebel against their human masters? —halo1k",6.1
Finding 'Ohana,504,United States,"A summer in rural O‘ahu takes an exciting turn for two Brooklyn-raised siblings when a journal pointing to long-lost treasure sets them on an epic adventure with new friends, and leads them to reconnect with their Hawaiian heritage.",6.1
Fatherhood,505,United States,A father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth.,
Below Her Mouth,506,Canada,"Set over three days; two very different women who fall in love with each other. Jasmine is a successful fashion editor living with her fiancé in Toronto. On a Friday night while out in the city with her best friend Claire, she meets Dallas, a female roofer recently out of a relationship. Surprised by the confidence with which the two very different women connect, Jasmine becomes infatuated with the mysterious woman who is working with a crew on the house next door to hers. The chance meeting soon turns into desire that ignites in Jasmine when she becomes more acquainted with Dallas which leads her to accompany Dallas to her low-rent loft where the two women soon engage in passionate sex. As much as she struggles with her feelings over being sexually involved with another woman, she fears her tryst with Dallas might ruin her engagement with her fiancé should it ever become known. —Wiki",5.5
Disenchantment,507,United States,"Princess Tiabeanie, 'Bean', is about to be married to Prince Merkimer. It is an arranged marriage and Bean isn't too happy about it. She is fun loving and free spirited and marriage is the last thing she wants to preoccupy herself with. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous. —grantss",7.2
The Founder,508,United States,"1954. Having worked as a salesman most of his adult life, Ray Kroc has been a hustler in most senses of the word. That hustling has made him the target of derision among certain circles for peddling what have ended up being more novelty or faddish than useful products, but it has also placed more than a comfortable roof in Arlington Heights, Illinois over his and his wife Ethel's heads. Ethel, however, wishes that he placed as much effort into being at home with her than he is in selling, his current job of peddling five-spindle milkshake makers for Prince Castle which has him constantly on the road going from one drive-in restaurant to another. It is because of the beefs he has with the whole drive-in experience (bad food, bad service) in constantly eating at such establishments while on the road that he becomes enthralled with the concept of McDonald's Restaurant in San Bernardino, California, it owned and operated by brothers Richard McDonald and Maurice McDonald - Dick and Mac. Unlike most of Ray's customers who will only require one five-spindle milkshake maker at any given time, the McDonald brothers end up purchasing eight machines for their single restaurant. Primarily on Dick's initiative, the brothers have redesigned the whole concept of the drive-in restaurant to focus on quality food through a smaller menu of only the most popular items (hamburgers, fries, sodas), consistency in product so that customers know what to expect from time to time, change in the target market from lounging teenagers to families, and perhaps most importantly speed in having any order ready within seconds, many of these goals achievable through assembly line styled production. They had tried franchising previously, but failed in that they lost control over many of those aspects which made their San Bernardino restaurant successful. Despite believing Ray a bit off kilter (in other words, crazy), the McDonald brothers somewhat hesitantly enter into a contract with him to be their head of franchising. Ray's experience in the job is not without its problems, especially as his franchisees seem to be making more money than he is, he who is only breaking even. He is not averse to advancing ideas provided to him to get ahead - original ideas which are not his forte - he seeing the brothers as his biggest problem in they thinking small. These differences lead to a standoff between Ray and the brothers, the former who has a different goal for ""his"" business in profit and stoking his own ego seemingly his main priorities. —Huggo",7.2
Dota: Dragon's Blood,509,United States,"After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined.",8.1
Dirilis: Ertugrul,510,Turkey,"This series is about the Turkish warrior Ertugrul from the 13th century, one of the most famous warriors of his time and also the father of Osman (the founder of the Ottoman Empire). He is an ambitious man who wants to bring peace and justice to his people. He is in a war with the Crusaders on one side, the Byzantines on another side and the brutally expanding Mongols who killed a lot of Turks on another side. In between this he is in a psychological war between his love and destiny. —ahmetkozan",8.0
His House,511,United Kingdom,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.",6.5
Fatal Attraction,512,United States,"Happily married New York lawyer Dan Gallagher has an affair with his colleague Alex, and the two enjoy a love weekend while Dan's wife and kid are away. But Alex will not let go of him, and she will stop at nothing to have him for herself. Just how far will she go to get what she wants? —Sami Al-Taher <staher2000@yahoo.com>",6.9
She-Ra and the Princesses of Power,513,United States,"On the planet Etheria, Adora is an up and coming soldier for the Horde eager to defend her home from the menace of the Princesses she has been taught all her life to fear. Everything changes when a chance encounter with the mystic Sword of Protection in the Whispering Woods calls to her. Discovering to her horror the true evil of the Horde, Adora defects to the Rebellion as its foretold champion, She-Ra Princess of Power. Now, Adora and her new friends must rebuild the shattered Princess Alliance to defeat the Evil Horde. Meanwhile, Adora's former best friend in the Horde, Catra, is tasked to reclaim Adora, but her own feelings of jealousy, betrayal, and vindictive ambition lead her down a path darker still set by Lord Hordak that will hold all of Etheria in the balance. —Kenneth Chisholm (kchishol@rogers.com)",7.9
Crazy Ex-Girlfriend,514,United States,"To most looking in, Rebecca Bunch has a great life: a high powered job as an attorney in a prestigious New York law firm, great future prospects in her chosen profession, looks, brains, and money. But she has always suffered from anxiety and depression, for which she is on a plethora of pills. Those maladies are largely from being pushed by her overbearing Jewish mother, which also led to Rebecca's father abandoning the family when she was young. When on the streets of New York Rebecca runs into Josh Chan, her boyfriend from summer camp ten years ago when they were sixteen, she remembers back to that time as the happiest time in her life, happiness which eludes her. When Josh mentions that he is imminently moving back to his hometown of West Covina, California, Rebecca decides to pursue happiness in moving to West Covina herself, telling people it's because she got a fabulous job there, where in reality it's to rekindle a relationship with Josh, which she believes is what will make her happy. As Rebecca ekes out a life in West Covina with a wide array of new friends, colleagues, allies and enemies - within this collection being Josh and his friends - Rebecca may come to some realizations about her life and what she is trying to achieve. Does this all make her a crazy ex-girlfriend, or is it a little more nuanced than that? —Huggo",7.8
I Am Not Okay with This,515,United States,"Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her.",7.5
White House Down,516,United States,"Capitol Policeman John Cale has just been denied his dream job with the Secret Service of protecting President James Sawyer. Not wanting to let down his little girl with the news, he takes her on a tour of the White House, when the complex is overtaken by a heavily armed paramilitary group. Now, with the nation's government falling into chaos and time running out, it's up to Cale to save the president, his daughter, and the country. —ahmetkozan",6.3
Bright,518,United States,"In Los Angeles, humans live with orcs and elves in a world where fantasy creatures do exist. LAPD police officer Dayl Ward is the first human cop having the orc police officer Nick Jakoby as a partner. When Ward is shot by an orc and Jakoby does not capture the shooter, he questions whether Jakoby lets the fellow orc escape. During a patrol, Ward and Jakoby arrest a man that tells that there is a prophecy and Ward is blessed. Meanwhile, Internal Affairs press Ward to find the truth about the escape of the shooter so that they can fire Jakoby. The magic department of the FBI interrogates the man that belongs to the terrorist Shield of Light group which protects brights so that they can prepare for the return of the Dark Lord that will destroy the world. Ward and Jakoby are summoned to attend a disturbance and they stumble upon a Shield of Light safe-house where they arrest the elf Tikka and bag her magic wand. Soon they learn that Tikka is hunted down by the evil and powerful rogue elf Leilah and her Terrorist group Inferni which are the ones actually trying to resurrect the dark lord and they need to protect Tikka and the wand; otherwise the world will be destroyed. What will they do? —Claudio Carvalho, Rio de Janeiro, Brazil",6.3
The Professor and the Madman,519,Ireland,"Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid-19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.",7.3
Ma Rainey's Black Bottom,520,United States,"Tensions and temperatures rise over the course of an afternoon recording session in 1920s Chicago as a band of musicians await trailblazing performer, the legendary ""Mother of the Blues,"" Ma Rainey (Academy Award® winner Viola Davis). Late to the session, the fearless, fiery Ma engages in a battle of wills with her white manager and producer over control of her music. As the band waits in the studio's claustrophobic rehearsal room, ambitious trumpeter Levee (Chadwick Boseman) - who has an eye for Ma's girlfriend and is determined to stake his own claim on the music industry - spurs his fellow musicians into an eruption of stories revealing truths that will forever change the course of their lives. Adapted from two-time Pulitzer Prize winner August Wilson's play, MA RAINEY'S BLACK BOTTOM celebrates the transformative power of the blues and the artists who refuse to let society's prejudices dictate their worth. Directed by George C. Wolfe and adapted for the screen by Ruben Santiago-Hudson, the film is produced by Fences Oscar® nominees Denzel Washington and Todd Black. Colman Domingo, Glynn Turman, Michael Potts, Taylour Paige and Dusan Brown co-star alongside Grammy® winner Branford Marsalis' score. —Netflix",7.0
Hubie Halloween,521,United States,"Good-natured but eccentric community volunteer Hubie Dubois finds himself at the center of a real murder case on Halloween night. Despite his devotion to his hometown of Salem, Massachusetts (and its legendary Halloween celebration), Hubie is a figure of mockery for kids and adults alike. —yusufpiskin",5.2
The Last Dance,522,United States,"Charting the rise of the 1990's Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",9.1
Triple 9,523,United States,"In TRIPLE 9, a crew of dirty cops are blackmailed by the Russian mob to execute a virtually impossible heist. The only way to pull it off is to manufacture a 999, police code for ""officer down"". Their plan is turned upside down when the unsuspecting rookie they set up to die foils the attack, triggering a breakneck, action-packed finale filled with double-crosses, greed and revenge. —Open Road Films",6.3
