,review_title,review_text,review_rating
191,"
Four Stars
","
Nice guitar according to priceThank you amazon
",4.0 out of 5 stars
192,"
Awesome product!!
","
This guitar so good according to its price.This guitar will so much useful for begginers .So, if u r begginers and your budget is tight then this is good guitar for you.
",5.0 out of 5 stars
193,"
Great
","
Good product and great packaging. Though I received it late it was worth the wait. The bag could have been better. But anyways, I'm satisfied.
",4.0 out of 5 stars
194,"
Good
","
Good
",4.0 out of 5 stars
195,"
dont buy this.. totally messed up,, ...
","
dont buy this .. totally messed up,, even dont give this guitar to a beginner .. rate is fake.. when i received it was bit damaged and strings are high from fret board ... once it up from fret board you cant even adjust it ... why? cause it doesnt have any rod inside the fret board..
",2.0 out of 5 stars
196,"
Perfect, cheap n best.
","
Just go for it, perfect for beginners.
",5.0 out of 5 stars
197,"
HONEST REVIEW
","
It is best for beginners and best if its your maximum budget.
",3.0 out of 5 stars
198,"
Amezing
","
Happy 😊
",5.0 out of 5 stars
199,"
its perfect for Learners
","
I am a Guitar player since 1998 till dateAnd one thing here i want to say to JXNGIt a small guitar with 18 freet, its perfectfor Learners. I got the stuff in good conditionThe Design,color,accessories has no issue.Its ExcellentI like it Very Much☆☆☆☆☆
",5.0 out of 5 stars
200,"
Good
","
Well I don't know how to play a guitar . But I've been practicing and everything seems fine
",5.0 out of 5 stars
201,"
rocking
","
This is amazing and sound quality also good and it so cheap it is best for beginners
",5.0 out of 5 stars
202,"
promising product
","
It is my 1st guitar, i was very worried about the delivery and the quality. But eventually it was better than expected. Came in a very safe and sound condiation . packing was excellent. Product quality is acceptable, sound qualit pleasent. Oval all really nice product.
",5.0 out of 5 stars
203,"
Four Stars
","
Strings are not of good quality. However we cant expect more for this price.
",4.0 out of 5 stars
204,"
Need improvement on quality of product...
","
Its a good product but, quality of product is not good as compare to shop from a music shop....
",3.0 out of 5 stars
205,"
loved it
","
liked it
",3.0 out of 5 stars
206,"
Four Stars
","
Very nice product...i just bought it out of my hobby..i dont use it on a daily basis..but ya product is very nice..i love my guitar..i bought it a year ago..
",5.0 out of 5 stars
207,"
it's best sound for biggeners
","
Superb product in this cost.realy I shoked when I see this product n plays song on guitar. it's best sound for biggeners . Amazon packing is 5 star really awesome thnks for this best product keep going amazon.....👍👍👍
",5.0 out of 5 stars
208,"
Good
","
Light weight,easy to use
",4.0 out of 5 stars
209,"
Awsm😊😊
","
I loved it... value for money... and obviously good in look
",4.0 out of 5 stars
210,"
Four Stars
","
Every time we have to tune itBut the sound quality n other are awesome for this affordable price
",4.0 out of 5 stars
211,"
Definitely...geniune..... and ...awesome....product.
","
Just recieved it today. Was waiting for it ,got two days early thank you amazon.It is an awesome product,it amazed me . Valuable more than the budget . Got fresh n need without any scratch . Begginers should definitely buy this. Also professionals too. It can be gifted too.
",5.0 out of 5 stars
212,"
Ok
","
Ok
",4.0 out of 5 stars
213,"
A string broke.. is it possible for y'all ...
","
A string broke..is it possible for y'all to repair it ?
",3.0 out of 5 stars
214,"
Four Stars
","
Absolutely perfect one for beginners. Good finishing and best performance.
",4.0 out of 5 stars
215,"
Not Bad BUT 1st Fret is really
","
Not BadBUT 1st Fret is really Painful
",3.0 out of 5 stars
216,"
My first guitar and music instrument
","
I would recommend this for beginners..... let's play it!!
",5.0 out of 5 stars
217,"
Three Stars
","
The guitar is good but the cover wasn't fitting properly
",3.0 out of 5 stars
218,"
Four Stars
","
good product
",4.0 out of 5 stars
219,"
Excellent product for beginners at an amazing price
","
I purchased it for my daughter who is interested in learning and playing guitar. For beginners I recommend this good quality product.
",4.0 out of 5 stars
220,"
Three Stars
","
Guitar is amazing but not gave picks
",3.0 out of 5 stars
221,"
Slightly in bad
","
Strings are in lose conditions
",3.0 out of 5 stars
222,"
Very bad guitar I have seen in my life this guitar ...
","
Very bad guitar I have seen in my life this guitar is so bad the quality of the guitar is so worst do not buy this guitar
",2.0 out of 5 stars
223,"
Four Stars
","
liked it ..
",4.0 out of 5 stars
224,"
Four Stars
","
Decent product with good packing and guitar looks really good. best for the price
",4.0 out of 5 stars
225,"
Small.
","
Product is unexpectedly small. It has only 16 frets while regular guitar has 24 frets.
",3.0 out of 5 stars
226,"
Four Stars
","
Great for beginners
",4.0 out of 5 stars
227,"
Good working
","
Nice
",4.0 out of 5 stars
228,"
Three Stars
","
Guitar is good but mostly plastic and didn't get a guitar cover as mentioned
",3.0 out of 5 stars
229,"
Super Sound and super for Learning purpouse for beginners I Love it.......
","
Super Sound and super for Learning purpouse for beginnersI Love it.......
",5.0 out of 5 stars
230,"
Three Stars
","
Nice Guitar
",3.0 out of 5 stars
231,"
Not for the beginners.
","
the fret board is very small and you have to put very force to play on the first string. The beginners don't buy this product you can buy second-hand guitar in good price range
",2.0 out of 5 stars
232,"
Guitar flaws
","
Finishing of the guitar not to the mark, good for learners, overall looks too weak
",2.0 out of 5 stars
233,"
Good one!
","
I liked the product. It's the same as shown in the picture.
",4.0 out of 5 stars
234,"
Four Stars
","
Good quality...
",4.0 out of 5 stars
235,"
Three Stars
","
Good as worth on price, but tuner didn't provide by the seller with this
",3.0 out of 5 stars
236,"
Four Stars
","
Is it already tuned?
",4.0 out of 5 stars
237,"
problem free.
","
no issues so far. Best for beginners.No compains. Go for it.
",5.0 out of 5 stars
238,"
amezon is amazing........... awesome........  Products
","
amezon is amazing........... awesome........  Products  i love it i orderedJixing JXNG 6 Strings Acoustic Guitars(Black)  it was awesome product for guitar beginners and sound quality was very good.............The Main Thing is Packaging was very good.......
",5.0 out of 5 stars
239,"
Four Stars
","
Nice product
",4.0 out of 5 stars
240,"
Four Stars
","
good prduct
",4.0 out of 5 stars
241,"
Packing was just awsm. Too big. Didn't affected the guitar. 👍
","
Its a good Guitar for me. Good sound, But material Quality is average. & there's only one hook in guitar for belt. It should be two. Bt thats okay. Not a big issue.
",5.0 out of 5 stars
242,"
Good product at low price
","
Nice for begainers in guiter. You can buy it without any hasitation. I am very satisfied with it
",5.0 out of 5 stars
243,"
How is it
","
I loved it very much because it is the cheapest and the best guitar with free strings and all other things.
",5.0 out of 5 stars
244,"
Four Stars
","
Excellent Product and best service
",4.0 out of 5 stars
245,"
Thanks Amazon for this Great guitar the package was in really good condition now ...
","
Thanks Amazon for this Great guitar the package was in really good condition now onto Guitar its a pretty awesome Guitar perfect for beginners when you get it tune it first for the best experience, just buy it without hesitation :)
",5.0 out of 5 stars
246,"
fine
","
Voice is not so clear.  But as per price its good
",3.0 out of 5 stars
247,"
Four Stars
","
Good product it's working nice
",4.0 out of 5 stars
248,"
Masth product
","
Just osm
",5.0 out of 5 stars
249,"
Value for money
","
Im using this guitar from around 1 year...value for money...in this range it's pretty good
",5.0 out of 5 stars
250,"
Ut
","
Not too good but nice
",3.0 out of 5 stars
251,"
Good
","
Good for this price.I bought it for 2k.Good for learners.
",4.0 out of 5 stars
252,"
Broken Product with Lies in Description about the Product.
","
I bought this product, it may be good for beginners but DO NOT buy it FROM SAT-EXM! It always arrives broken from the neck (pictures added). The quality is okay and they dont even care about how the product reaches the customer. They do not respond via email to customers.Too many lies about this product,1. Fretboard is plastic2. Strings are steel not nylon3. 4 frets smaller than a regular acoustic guitar4. Really Disappointed with the company.
",1.0 out of 5 stars
253,"
Four Stars
","
Nice item
",4.0 out of 5 stars
254,"
Superb sound 👏
","
Mind blowing sound quality all you have to do is tunning of your guitar and you are ready to rock
",5.0 out of 5 stars
255,"
great product at good price
","
Good Product
",4.0 out of 5 stars
256,"
Four Stars
","
String was very lose but its good
",4.0 out of 5 stars
257,"
For Children, not for adult
","
It is a small guitar. Not for adult, may be good for children for practice.String sounds horrible, though I tuned it many times.The strap and bag quality is very cheap.I would suggest, spend some more money or go to some musical store to buy guitar.
",2.0 out of 5 stars
258,"
Must buy
","
The product is awesome at such a low price!
",5.0 out of 5 stars
259,"
Didnt receive picks
","
Donno abt th product yet but Didnt receive picks
",4.0 out of 5 stars
260,"
nice guitar.
","
nice guitar for begginers.love this guitar. good sound quality. and quite good look.
",5.0 out of 5 stars
261,"
Ok Ok product.
","
Ok product for beginners.
",2.0 out of 5 stars
262,"
Product is not very Perfect one but kinda ok.Strings are clear and clean but the wood quality is poor,good at this price.
","
Normal Product
",3.0 out of 5 stars
263,"
Four Stars
","
nice...
",4.0 out of 5 stars
264,"
Good Guitar In Beginners
","
Beginners Is Good Guitar
",4.0 out of 5 stars
265,"
Its the best for the price
","
Quality product for this price tag... if u are a complete beginner. no need for a second thinking.. just go for it.. forget all other reviews..u may feel the guitar action a little high though.. but its not a demerit.
",5.0 out of 5 stars
266,"
Three Stars
","
Lots of scratches on the instrument. As a beginner looks okay to start with.
",3.0 out of 5 stars
267,"
Three Stars
","
Not bad
",3.0 out of 5 stars
268,"
Satisfied with the purchase
","
Good for a beginner
",4.0 out of 5 stars
269,"
it is nice, u can buy it
","
it is nice ,u can buy it
",4.0 out of 5 stars
270,"
You get what you pay for...
","
Made a mistake... Was hoping for better quality... But this one is really bad... guess you get what you pay for...
",2.0 out of 5 stars
271,"
awesome product and shipping
","
Product was super..  The way of shipping is too good.. It's a good product for beginners..
",4.0 out of 5 stars
272,"
Bot a good guitar to play
","
Strings are at such high level that cant be pressed. Not of any use
",2.0 out of 5 stars
273,"
Four Stars
","
Little nic
",4.0 out of 5 stars
274,"
Three Stars
","
OK type of guitar in this price.. only for beginners..
",3.0 out of 5 stars
275,"
Good ✌
","
It's really good but it's good for only beginners.....😊
",5.0 out of 5 stars
276,"
Value for money
","
Nice value for money
",2.0 out of 5 stars
277,"
AweSome and exclnt guitar
","
Awesome guitar .....good to play sound is good..... Firstly the price of this guitar is very cheap but it is awesome to play ..sound qulity is very exctlnt.!! Mzaa aa gya bhai ak numbr guitar hai yhi guitar loo .....luved it.!! ''
",5.0 out of 5 stars
278,"
Three Stars
","
good for beginners. Built quality is as per price.
",3.0 out of 5 stars
279,"
Four Stars
","
Thanks for amazon product is good
",4.0 out of 5 stars
280,"
When i saw it was realy amazing.
","
When The package came it was soooo Big nearly 3*3Feet box. It was soooo protected with full of  airbags in . In that box another box was there.In that box the Guitar was present.When i saw it was realy amazing .
",5.0 out of 5 stars
281,"
no warranty card
","
excellent value for money>>>Love it..but i did not find warranty card
",4.0 out of 5 stars
282,"
It is an GOOD QUALITY guitar at LOW PRICE I feel an amazing ...
","
It is an GOOD QUALITY guitar at LOW PRICEI feel an amazing experience while playing the guitarIt is comfortableThank you AMAZONIF YOU DIDN'T LIKE THIS GUITAR THEN YOU ARE NOT HUMAN BEINGS.
",5.0 out of 5 stars
283,"
Awesome experience
","
Awesome
",5.0 out of 5 stars
284,"
not worth it
","
bad. don't buy it
",2.0 out of 5 stars
285,"
Ultimately bought a new from market and found its waste of money
","
The product is rejected by many instructors due to its fret. Ultimately bought a new from market and found its waste of money.
",2.0 out of 5 stars
286,"
Rock
","
This Guitar is really good. Sound quality super. It like just Rockstar.
",4.0 out of 5 stars
287,"
Four Stars
","
GOOD
",4.0 out of 5 stars
288,"
GOOD for beginners
","
The product is good, not so excellent, good for beginners
",3.0 out of 5 stars
289,"
Its the best
","
It's my first guitar and it sounds real awesome. It's the best for its price. You won't find such a good guitar at such low price. I love it
",5.0 out of 5 stars
290,"
Four Stars
","
Worth the money💰
",4.0 out of 5 stars
291,"
Three Stars
","
OK
",3.0 out of 5 stars
292,"
okay product for this price range.... Beware of damaged product..
","
i got a damaged piece. paint and finish is worst. cheap material.in playing point of view,it has large Action so it is a bit hard to play. sound quality is ok.
",2.0 out of 5 stars
293,"
Four Stars
","
He is very cacha But he useful
",4.0 out of 5 stars
294,"
Gud
","
It was awesome...
",4.0 out of 5 stars
295,"
Buy It ... NOW OR NEVER..
","
All good.. just keep on strumming.. it makes perfect sound..
",5.0 out of 5 stars
296,"
Three Stars
","
Average build. some string need to be pressed soooooo hard to get an average sound quality.returning the product.Lesson learned: dont go for cheap productsSmaller in size. 3/4th guitar
",2.0 out of 5 stars
297,"
ITS KIND OF OK
","
ITS GOOD FOR NEW LEARNERS , BUT NOT SATISFACTORY
",3.0 out of 5 stars
298,"
Awesome guitar🎸😍loved it
","
The guitar is vry good.it is of medium size.its sound quality is good.we should just tune it after buying. it is very good in its price range.
",5.0 out of 5 stars
299,"
Good for Beginners and Intermediates.
","
The strings are a bit feeble I guess. Rest, the packaging, delivery and the product as a whole is looking good. I guess, one cannot expect all to be best at the price (read- discounted price) offered.
",5.0 out of 5 stars
300,"
Three Stars
","
Nice but picks missing
",3.0 out of 5 stars
301,"
A one quality
","
Very nice product for learner
",5.0 out of 5 stars
302,"
for beginners
","
its quite good guitars for beginners
",3.0 out of 5 stars
303,"
Thank u amazon
","
The guitar is awesome . At cheap price getting a full certified product. This is my first guitar and I was very excited about it so thank u amazon you make my day
",5.0 out of 5 stars
304,"
Three Stars
","
i buy these awsome looks at afordable price... Amit Raj
",3.0 out of 5 stars
305,"
Four Stars
","
Good  really impressive
",4.0 out of 5 stars
306,"
The guitar was good but I don't get my picks
","
I have not got my picks😡
",5.0 out of 5 stars
307,"
It is an excellent product. but I got this product damaged how ...
","
It is an excellent product .but I got this product damaged how should I fix it
",4.0 out of 5 stars
308,"
Chord is good. Good sound quality......
","
Very good sound
",4.0 out of 5 stars
309,"
Three Stars
","
good product but items are missing as displayed....
",3.0 out of 5 stars
310,"
Very good quality
","
Like
",5.0 out of 5 stars
311,"
Go for it!
","
I absolutely loved it! The finish, design, sound are all great. Although took almost a week for for delivery but the wait was worth it. A great option for beginners at very reasonable price and I recommend to go for it.
",5.0 out of 5 stars
312,"
Good
","
On time delivery and very good and safe packaging ....Quality of product also very good
",5.0 out of 5 stars
313,"
Below average
","
Not so good... i suggest increase the price but offer something better
",2.0 out of 5 stars
314,"
Not happy with the sound
","
Got the strap with the package but wondering where to tie as hook is missing :p..Strings need to tuned every now and then..Packaging is good and delivered before time..
",2.0 out of 5 stars
315,"
So nice products
","
This product is so nice thank for amazon  thanku
",5.0 out of 5 stars
316,"
Four Stars
","
Really very happy buying this item... Thanks for amazon
",4.0 out of 5 stars
317,"
For Begunners
","
Only beginners can go for it because of itsLow price and in this price one cant say it a bad product.
",2.0 out of 5 stars
318,"
not good not
","
ok ok , not good not bad
",3.0 out of 5 stars
319,"
Best Guitar in this Price !!
","
I would like to give 5* star to this product. best guitar in this price. i love it.too fast delivery by amazon courier service. i read some other negetive review but i got good guitar.
",5.0 out of 5 stars
320,"
Go for it
","
Amazing.... Sound is awesome
",5.0 out of 5 stars
321,"
Within budget and good product. But the package was slightly torn at ...
","
This is ideal for the beginner. Within budget and good product. But the package was slightly torn at the bottom which caused the base of my guitar to get a few scratches. Otherwise the product is good.
",5.0 out of 5 stars
322,"
Four Stars
","
if you are a beginner then you should go for this guitar
",4.0 out of 5 stars
323,"
better than expectation..
","
Good service from amazone,It's really good.Nice packing & excellent delivery service, 5 stars from myself.....Product is better than expectation...Nice.I gave surprise to my fiancee, and she was very happy from it..
",5.0 out of 5 stars
324,"
Three Stars
","
Has a good look  tone ok
",3.0 out of 5 stars
325,"
Excieted
","
I order natural colour of guitar and i m really excieted to bought it....It will coming and dealer can call me and say about this that it comes safelyI m going to bought it tomorrow
",5.0 out of 5 stars
326,"
Thik thak
","
Small size but ok performance
",3.0 out of 5 stars
327,"
packing is soo good.
","
Nice guitar. But there only one screw for attach the belt
",4.0 out of 5 stars
328,"
I m disappointed
","
Luking wise gud but sounds is ok n poor quality I have not received extra strings n hanging belt I m disappointed
",2.0 out of 5 stars
329,"
Quality
","
Super bill qualty excelent perfomance
",5.0 out of 5 stars
330,"
One Star
","
Product Okay.. Not excellent..
",4.0 out of 5 stars
331,"
Nice
","
Good for beginners
",5.0 out of 5 stars
332,"
Good product
","
Nice and beautiful
",5.0 out of 5 stars
333,"
Dont buy any guitar online
","
This Guitars is not good, difficult to use due to its thread settings. I have to spend more Rs. 1600/- to set it right.
",2.0 out of 5 stars
334,"
Product quality check should be better
","
One pin itself is missing. But overall the strings are making good sound. QC check should be perfect, so that better customer experience
",2.0 out of 5 stars
335,"
Nice Value for the price
","
Nice Quality Product all things mentioned is there inside the box, and packaging is good also.
",5.0 out of 5 stars
336,"
Jixing guitar
","
I was totally surprised while listen this guitar sound!! Plz guys u buy thus guitar it sound was amazing!!!!!
",5.0 out of 5 stars
337,"
Good purchase. Value for money. I recommend this product
","
Good purchase. Value for money. I recommend this product
",5.0 out of 5 stars
338,"
Four Stars
","
Good guitar for beginners
",4.0 out of 5 stars
339,"
Four Stars
","
Value for money superb
",4.0 out of 5 stars
340,"
the design of product makes it difficult to play.
","
The gap between the fret board and string is more and that makes difficult to play. Again the neck is not much long.
",2.0 out of 5 stars
341,"
Buy a reputed make guitar, low quality Chinese product.
","
Weak soundboard, soundboard, neck bents downword in bow shape, within 1 Month. Low quality nut and bridge. Overall worst product, a piece of wood that looks like guitar.Always out of tune,  intonation problem. If you tune in open string, 4/5th fret of next string is out of tune. If you tune with 4/5 fret of next string, open strings are heavily out of tune.
",1.0 out of 5 stars
342,"
Four Stars
","
Perfect .......I m happy for this product....
",4.0 out of 5 stars
343,"
Otherwise a good product.
","
Body is plastic. Otherwise a good product.
",4.0 out of 5 stars
344,"
Good for a Starter
","
I bought this guitar for my brother and he is absolutely loving it. I'm not that much experienced with guitars but the product is very good and haven't encountered any problems with it till date.
",5.0 out of 5 stars
345,"
Four Stars
","
Good sound. Value for money. Plectrums were nice
",4.0 out of 5 stars
346,"
Four Stars
","
Its amazing, stylish colour, smooth curves and a great sound quality.
",4.0 out of 5 stars
347,"
Four Stars
","
Value for money
",4.0 out of 5 stars
348,"
The guitar is ok, but ot with nylon string ...
","
The guitar is ok, but not come with nylon string as they commit, It's with normal nickel string.
Jixing JXNG-BLK-C Acoustic Guitar, Black",2.0 out of 5 stars
349,"
Three Stars
","
I didn't get invoice copy(bill) of product...
",3.0 out of 5 stars
350,"
Don't prefer jixing.
","
Didn't like the guitar worst qualityGot damaged while transporting not at all satisfiedBetter go with yamaha
",1.0 out of 5 stars
351,"
Its ok product not good not bad
","
Good experience for begineerIt is completely not for professional
",3.0 out of 5 stars
352,"
Gutar review
","
Awsome gutar
",5.0 out of 5 stars
353,"
Happy with the Guitar
","
It is a good guitar for beginners at a good price.
",4.0 out of 5 stars
354,"
Four Stars
","
Its an amazing acoustic Guitar.Beginners must buy the same.
",4.0 out of 5 stars
355,"
Four Stars
","
nice guitar good product
",4.0 out of 5 stars
356,"
The product arrived before time and is better than it looks
","
The product arrived before time and is better than it looks. the packaging was very good and safety was very well taken care of. guitar quality is also very nice and the color is glossy.satisfied!
",5.0 out of 5 stars
357,"
Four Stars
","
Nice guitar but lill bit rough finishing...
",4.0 out of 5 stars
358,"
pricefull guitar
","
I got the guitar with safeside hand.....it is good....
",4.0 out of 5 stars
359,"
Three Stars
","
good product but not to joineted jack point
",3.0 out of 5 stars
360,"
Best Guitar at its price
","
The Guitar is best at this price !This is good for beginners like me, I would recommend it to all beginners and Yes it is handy and less weight.
",5.0 out of 5 stars
361,"
Super quick delivery & impressive packaging
","
Quick delivery and the product is as expected. In good condition and product looks exact same as the picture. Definitely good value for money. Special note of appreciation for the product packaging - very impressive.
",5.0 out of 5 stars
362,"
Guitor..
","
The guitor is very nice..Thanks to Amazon..
",4.0 out of 5 stars
363,"
Awesome guitar at a reasonable price
","
Awesome guitar at a reasonable price...can go for it if u are a beginner !!! Totally worth the price....good packaging by amazon
",5.0 out of 5 stars
364,"
I want to replace in warranty....
","
His freed board not right......sound not good.....totally weast of money....
",2.0 out of 5 stars
365,"
Worst product finish
","
Product has manufacturing defects and finish is bad
",2.0 out of 5 stars
366,"
Good vule of product
","
Nice , lovely product
",5.0 out of 5 stars
367,"
Four Stars
","
Nice product...
",4.0 out of 5 stars
368,"
Three Stars
","
Amazon rocks,, But product not upto expectations
",3.0 out of 5 stars
369,"
And I wanted the cheapest best possible.
","
OMG!! I just wanted to learn guitar.. And I wanted the cheapest best possible... But wow this exceeded my expectations... The sound s are amazing and best for beginners...
",5.0 out of 5 stars
370,"
Three Stars
","
Good but not soo good.
",3.0 out of 5 stars
371,"
Excellent product
","
Delivered as expected excellent guitar is same as shown on site very happy with the product nice packing done good work amazon
",5.0 out of 5 stars
372,"
Good
","
Good
",4.0 out of 5 stars
373,"
Four Stars
","
nice
",4.0 out of 5 stars
374,"
Not good
","
Not good quality I must suggest buy signature guitar or yamaha
",1.0 out of 5 stars
375,"
Best.
","
It is good.
",5.0 out of 5 stars
376,"
Value for Money
","
It is really looking awesome.i loved it a lot and Amazon packing was very nice.it looks same as it is displayed.
",5.0 out of 5 stars
377,"
Good Product
","
Good for child....
",5.0 out of 5 stars
378,"
Don't even think of buying this product!
","
Worst experience ever. Firstly, Ordered this product on 7th July and ended up getting a broken guitar on 13th July. Worst still, it was a gift for my sister and she was excited to play her first guitar but this is what she got (See the pics for proof). Never expected such service from Amazon.
",1.0 out of 5 stars
379,"
Fine
","
Good
",5.0 out of 5 stars
380,"
Good
","
Good for beginers
",5.0 out of 5 stars
381,"
Four Stars
","
nice product for beginners..
",4.0 out of 5 stars
382,"
Four Stars
","
Nice one for the beginners....
",4.0 out of 5 stars
383,"
It is a good guitar for
","
It is a  good guitar for beginners
",3.0 out of 5 stars
384,"
Four Stars
","
Its good according to pric.But ""Made in China"" hurts.
",4.0 out of 5 stars
385,"
Three Stars
","
worthfull,but the tunning is not dat good
",3.0 out of 5 stars
386,"
supperb product for cheap price
","
Really I get shocked after seeing the package it was too big and protected safely .the product also worth more than what we pay...really nice
",5.0 out of 5 stars
387,"
Product deliverance
","
The product was delivered in perfect condition
",5.0 out of 5 stars
388,"
Good for learners
","
Good
",4.0 out of 5 stars
389,"
Worst
","
I bought this half months ago.... iski strings fretboard se bhot upr h aur neck tedi h
",2.0 out of 5 stars
390,"
Three Stars
","
good for beginner
",3.0 out of 5 stars
391,"
Fantastic product
","
Super product value of money
",5.0 out of 5 stars
392,"
Four Stars
","
best for bigineers ...on time delivery...best for its cost...nice quality
",4.0 out of 5 stars
393,"
Four Stars
","
Great product for its price.
",4.0 out of 5 stars
394,"
Four Stars
","
Nice..
",4.0 out of 5 stars
395,"
Good
","
Good for beginners
",5.0 out of 5 stars
396,"
Just buy.
","
I am not a guitarist. But whatever I could see this is a high quality product. In relation with its price I don't think anyone should think twice before buying.
",5.0 out of 5 stars
397,"
Not soo good
","
This guitar is smaller than standard size guitar.The sound quality is also not good.There is only 1 pin in guitar for the belt to hang it no 2nd pin so you cannot hang it.It needs to be tuned now and then.I would not recommend buying this guitar even for beginners.Spend a bit more and u can buy a better guitar.
",1.0 out of 5 stars
398,"
Five Stars
","
i am use this procesing there is verey good as producute is good i beging percen is good
",5.0 out of 5 stars
399,"
and in my experience this is probably the best guitar for beginners in this price range
","
I've been playing the guitar 4 years now...and in my experience this is probably the best guitar for beginners in this price range...go for it without a doubt
",5.0 out of 5 stars
400,"
wooow
","
a good product in this rate . it is nice for beginers. should get it! but the product is made in china.
",5.0 out of 5 stars
401,"
But good.
","
Slight damage on painting. But good.
",3.0 out of 5 stars
402,"
Three Stars
","
NOT SO STRONG,,,,,,,,,, BUT GOOD
",3.0 out of 5 stars
403,"
Excellent
","
Too good
",5.0 out of 5 stars
404,"
This guitar for fresher for best
","
This guitar is very good for fresher
",2.0 out of 5 stars
405,"
Good
","
Very good
",5.0 out of 5 stars
406,"
Not a great deal for me on my first buy
","
Product is not great as expected. Better to buy it from a near by shop.
",2.0 out of 5 stars
407,"
Three Stars
","
Ok. But variation iin values on online shopping
",3.0 out of 5 stars
408,"
Very good
","
Good product for beginners
",5.0 out of 5 stars
409,"
Four Stars
","
nice
",4.0 out of 5 stars
410,"
Two Stars
","
Its nice... Some were disappointed because of Chinese item...however packing arrangement are good... Thnks Amazon...
",2.0 out of 5 stars
411,"
Guitar
","
Worth buying for beginners
",5.0 out of 5 stars
412,"
Two Stars
","
There is no truss Rod and so many problems for specialits it is only for beginner
",2.0 out of 5 stars
413,"
good product with all accessories
","
product is very good and l love it. but unfortunately i  have returned this product due to found damage in delivery because of very very poor packaging by the seller.
",5.0 out of 5 stars
414,"
Three Stars
","
Produced r so so good
",3.0 out of 5 stars
415,"
poor quality of product
","
The item you send me was totally poor quality....Compare to normal market products... the quality of string, wood used in guitar, extra material such as belt , pluctrum, string bags and main guitar was of very much poor quality.. I just can't adjust the guitar to tune.. the gears was so hard ... and duplicate... just ... s***
",1.0 out of 5 stars
416,"
Good and best
","
Good
",5.0 out of 5 stars
417,"
with very good packing.
","
Exactly the same material, with very good packing.
",4.0 out of 5 stars
418,"
Must buy
","
It's good for beginners
",5.0 out of 5 stars
419,"
Awessome
","
Good
",5.0 out of 5 stars
420,"
Ok ok for beginners
","
It. Ok kind of for beginners
",2.0 out of 5 stars
421,"
Three Stars
","
its ok for learner
",3.0 out of 5 stars
422,"
Four Stars
","
Bag is of not quality other are acceptable.
",4.0 out of 5 stars
423,"
Excellent price
","
Really good guitar at a excellent price!
",4.0 out of 5 stars
424,"
Good for beginers
","
Great for this price range .
",4.0 out of 5 stars
425,"
The product and delivery
","
Loved the priduct, fast delivery was done and good guitar for beginniers
",5.0 out of 5 stars
426,"
Three Stars
","
i dont get a picks
",3.0 out of 5 stars
427,"
Four Stars
","
Packing was superb... thank god.... it was al k...
",4.0 out of 5 stars
428,"
Three Stars
","
👍
",3.0 out of 5 stars
429,"
Worst guitar
","
Worst guitar, Don't buy. Don't waste your money! Strings are so tight. Do not have rod in it. Manufacturing error. Fret board is bend.The plectrum given with it is of no use. Brake as I started to play.
",1.0 out of 5 stars
430,"
Five Stars
","
This is a really good buy for beginners. Must go if you are a beginner!
",5.0 out of 5 stars
431,"
Great buy
","
Strings are a bit loose, but overall this Guitar is great choice to buy. I would highly recommend this for beginners.
",5.0 out of 5 stars
432,"
Very happy with the product and the way it was packed ...
","
The product is exactly as it was displayed. Very happy with the product and the way it was packed and delivered ahead of time.
",5.0 out of 5 stars
433,"
Three Stars
","
NIce one
",3.0 out of 5 stars
434,"
excellent. Finishing of guitar is not that good
","
Services of amazon are at par and.excellent. Finishing of guitar is not that good. It is completely made in china.
",2.0 out of 5 stars
435,"
Amezing product with lower price 😍
","
Nice one Nd packing is amazing 😍
",5.0 out of 5 stars
436,"
Worst Product. Please don't waste money on it
","
Guitar Seal is opened from down just within a month. Worst Product.Please don't waste money on it. Now I don't have the return option and If I had that I would have return this . Very disappointed with this product.
",1.0 out of 5 stars
437,"
The worst
","
Worst product. My guitar broke down in my first class itself while tuning it.And on top of it neither Amazon nor jixing is ready to take responsibility.Don't opt for this if you are looking for a reliable product
",1.0 out of 5 stars
438,"
Good
","
Good
",5.0 out of 5 stars
439,"
Normally
","
Cool
",3.0 out of 5 stars
440,"
Four Stars
","
Good Product.. But Very light.. Good for biginers
",4.0 out of 5 stars
441,"
Cyf
","
Jvhih
",5.0 out of 5 stars
442,"
Best guitar
","
Best guitar in this price
",4.0 out of 5 stars
443,"
Go for it,  It's a Black Beauty 👍
","
Product is a beauty 😍 it is shining and giving good sound. It's a great product to buy for beginners 🎸 go for it.
",5.0 out of 5 stars
444,"
Did not meet our expectation
","
The Guitar did not meet our expectation. It feels like the chords have a tendency to break when we try to tune.
",2.0 out of 5 stars
445,"
Three Stars
","
Nice
",3.0 out of 5 stars
446,"
Good product, Value for money after discount
","
Good product,Value for money after discount
",4.0 out of 5 stars
447,"
Three Stars
","
its ok for learner
",3.0 out of 5 stars
448,"
Superb
","
superb
",5.0 out of 5 stars
449,"
Happy to receive this😊
","
Good 🔊 sound
",5.0 out of 5 stars
450,"
Three Stars
","
Nice item in affordable price
",3.0 out of 5 stars
451,"
Four Stars
","
Nice guitar
",4.0 out of 5 stars
452,"
Super
","
Super
",4.0 out of 5 stars
453,"
Four Stars
","
gud for beginners
",4.0 out of 5 stars
