Country,Name of Incident,Affected Population,Outcome
Saudi Arabia,SaudiUnknownYemeni War,"Saudi Arabia, Yemen",Mixed
Saudi Arabia,Introduction of Modern Education,Saudi Arabian citizens,Positive
Saudi Arabia,Establishment of Sharia Law,Saudi Arabian citizens,Positive
Saudi Arabia,Creation of the Saudi Riyal,Saudi Arabian citizens,Positive
Saudi Arabia,Formation of the Saudi Arabian National Guard,Saudi Arabian citizens,Positive
Saudi Arabia,Treaty of Taif,"Saudi Arabia, Yemen",Positive
Saudi Arabia,Participation in the ArabUnknownIsraeli War,Middle East,Mixed
Saudi Arabia,Construction of the TransUnknownArabian Pipeline,Saudi Arabia,Positive
Saudi Arabia,Founding Member of the Arab League,Arab states,Positive
Saudi Arabia,Establishment of King Abdulaziz University,Saudi Arabian citizens,Positive
Saudi Arabia,Saudi Recognition of Pakistan,"Saudi Arabia, Pakistan",Positive
Saudi Arabia,Saudi Arabia Becomes a Member of the UN,Saudi Arabian citizens,Positive
Saudi Arabia,Oil Revenue Boom,Saudi Arabian citizens,Positive
Saudi Arabia,Juhayman alUnknownOtaybi's Seizure of the Grand Mosque,"Saudi Arabian citizens, pilgrims",Negative
Saudi Arabia,IranUnknownIraq War and Saudi Involvement,Regional stability,Mixed
Saudi Arabia,First Gulf War,Regional stability,Mixed
Saudi Arabia,Introduction of the Basic Law of Governance,Saudi Arabian citizens,Positive
Saudi Arabia,Saudi Arabia Joins the WTO,Saudi Arabian economy,Positive
Saudi Arabia,Riyadh Compound Bombings,"Expatriates, Saudi citizens",Negative
Saudi Arabia,King Abdullah's Ascension,Saudi Arabian citizens,Positive
Saudi Arabia,Vision 2030 Announced,Saudi Arabian citizens,Positive
Saudi Arabia,Women Allowed to Drive,Saudi women,Positive
Saudi Arabia,AntiUnknownCorruption Campaign,Saudi elites,Mixed
Saudi Arabia,Saudi Intervention in Yemen,"Yemeni civilians, regional stability",Negative
Saudi Arabia,Khashoggi Assassination,International community,Negative
Saudi Arabia,RitzUnknownCarlton Riyadh Detentions,Saudi elites,Mixed
Saudi Arabia,G20 Summit Hosted in Riyadh,"Global leaders, Saudi citizens",Mixed
Singapore,Founding of Modern Singapore,Local and immigrant populations,Positive
Singapore,Treaty of Friendship and Alliance,Local and immigrant populations,Positive
Singapore,Straits Settlements Establishment,Local and immigrant populations,Positive
Singapore,Japanese Occupation,Singaporean citizens,Negative
Singapore,Battle of Singapore,British and Allied forces,Negative
Singapore,Sook Ching Massacre,Chinese Singaporeans,Negative
Singapore,Return of the British,Singaporean citizens,Mixed
Singapore,PostUnknownwar Recovery,Singaporean citizens,Positive
Singapore,University of Malaya Formation,Students and academics,Positive
Singapore,Maria Hertogh Riots,Singaporean citizens,Negative
Singapore,SelfUnknowngovernance Achieved,Singaporean citizens,Positive
Singapore,Merger with Malaysia,Singaporean citizens,Mixed
Singapore,Separation and Independence,Singaporean citizens,Positive
Singapore,National Service Introduced,Male citizens,Positive
Singapore,Economic Development,Singaporean economy,Positive
Singapore,Speak Mandarin Campaign Launched,Chinese Singaporeans,Positive
Singapore,Elected Presidency Introduced,Singaporean citizens,Positive
Singapore,Signing of the AngloUnknownDutch Treaty,British and Dutch empires,Positive
Singapore,Surrender of Singapore to Japan,"Allied forces, Singaporean citizens",Negative
Singapore,Singapore Joins the United Nations,Singaporean citizens,Positive
Singapore,Laju Ferry Hijacking,Singaporean citizens,Negative
Singapore,Cable Car Disaster,Tourists and locals,Negative
Singapore,Hotel New World Collapse,Victims and their families,Negative
Singapore,Execution of Barlow and Chambers,Australian nationals,Mixed
Iran,AngloUnknownPersian Oil Company Agreement,Iranian people,Mixed
Iraq,British Mandate of Mesopotamia,Mesopotamian people,Negative
Almaty,Alash Autonomy Declaration,Kazakh intellectuals,Mixed
Bukhara,Bukhara Emirate Overthrown by Bolsheviks,Uzbek people,Negative
Bhutan,Treaty of Punakha,Bhutanese people,Mixed
Maldives,Introduction of Islam officially,Maldivian inhabitants,Positive
Malaya,Japanese Occupation of Malaya,Malay people,Negative
Tehran,Constitutional Revolution,Iranian citizens,Positive
Iraq,Foundation of Modern Iraq,Iraqi people,Positive
Kazakhstan,Forced Collectivization by Soviets,Kazakh nomads,Negative
Samarkand,Samarkand becomes part of the Uzbek SSR,Uzbek people,Mixed
Thimphu,Establishment of Simtokha Dzong,Bhutanese people,Positive
Maldives,Sultanate Becomes a British Protectorate,Maldivian people,Mixed
Malaysia,Formation of the United Malays National Organisation,Malay people,Positive
Babylon,Hammurabi's Code of Laws,Babylonian citizens,Positive
Kazakhstan,Golden Horde Rule,Central Asian populations,Mixed
Bhutan,Introduction of Buddhism,Bhutanese people,Positive
Maldives,Conversion to Islam,Maldivian people,Positive
Malacca,Malacca Sultanate Established,Malay people,Positive
Persia,Islamic Conquest of Persia,Persian people,Mixed
Iraq,Foundation of Baghdad,Mesopotamian people,Positive
Kazakhstan,Arrival of the Russians,Kazakh Khanate,Negative
Samarkand,Timurid Empire Peaks,Central Asian populations,Positive
Bhutan,Unification of Bhutan,Bhutanese people,Positive
Maldives,Sultanate ReUnknownestablished,Maldivian people,Positive
Malaysia,British Colonization Begins,Malaysian inhabitants,Negative
Iran,AngloUnknownRussian Agreement,Iranian people,Negative
Iraq,Creation of Iraq by the League of Nations,Iraqi people,Mixed
Kazakhstan,Virgin Lands Campaign,Kazakh SSR inhabitants,Mixed
Uzbekistan,Establishment of Uzbek SSR,Uzbek people,Mixed
Bhutan,Treaty of Sinchula,Bhutanese people,Mixed
Maldives,Introduction of English as a Medium of Education,Maldivian students,Positive
Malaya,Japanese Occupation of Malaya,Malayan people,Negative
Iran,Nationalization of Oil Industry,Iranian people,Positive
Iraq,Baghdad Pact,Iraqi people,Mixed
Kazakhstan,Kengir Uprising,Prisoners,Negative
Uzbekistan,Collectivization in Uzbekistan,Uzbek peasants,Negative
Bhutan,Establishment of the National Assembly,Bhutanese people,Positive
Maldives,First Constitution of Maldives,Maldivian people,Positive
Malaya,Malayan Emergency,Malayan people,Mixed
Iran,Reza Shah's Modernization Efforts,Iranian people,Positive
Iraq,Faisal I Becomes King of Iraq,Iraqi people,Mixed
Central Asia,Silk Road Decline,Central Asian traders,Negative
Bhutan,Duar War (BritishUnknownBhutan War),Bhutanese people,Negative
Maldives,Sultanate Abolished and Restored,Maldivian people,Mixed
Malaya,Federated Malay States Formed,Malay states people,Negative
Iran,AngloUnknownIranian Oil Company Nationalized,Iranian people,Mixed
Iraq,Kingdom of Iraq Independence,Iraqi people,Positive
Kazakhstan,Famine of 1932Unknown1933,Kazakh people,Negative
Bukhara,Bukharan People's Soviet Republic Formed,Bukharan people,Negative
Bhutan,Establishment of Monarchy,Bhutanese people,Positive
Maldives,Introduction of First Constitution,Maldivian people,Positive
Iran,Constitutional Revolution,Iranian citizens,Positive
Basra,British Occupation of Basra,Iraqi people,Negative
Kazakhstan,Forced Sedentarization of Nomads,Kazakh nomads,Negative
Tashkent,Russian Conquest of Tashkent,Tashkent residents,Negative
Punakha,Treaty of Punakha with British India,Bhutanese people,Positive
Maldives,Formal British Protectorate Status,Maldivian people,Mixed
Malaya,Japanese Occupation,Malay people,Negative
Iran,Mossadegh's Premiership and Oil Nationalization,Iranian people,Mixed
Iraq,14 July Revolution,Iraqi people,Mixed
Soviet Union,Accession to the Soviet Union,Kazakh SSR inhabitants,Negative
Uzbek SSR,Establishment of the Uzbek Soviet Socialist Republic,Uzbek SSR inhabitants,Negative
Bhutan,First FiveUnknownYear Plan,Bhutanese people,Positive
Addu Atoll,Suvadive Rebellion,Southern Maldivians,Negative
Malaya,Formation of Federation of Malaya,Malay people,Mixed
Tehran,1953 Iranian Coup d'état,Iranian citizens,Negative
Iran,1979 Iranian Revolution,Iranian citizens,Mixed
Iraq,1958 Iraqi Revolution,Iraqi citizens,Mixed
Iraq,IranUnknownIraq War,"Iraqi, Iranian citizens",Negative
"Kuwait, Iraq",Gulf War,Iraqi citizens,Negative
Kazakhstan,Independence from the Soviet Union,Kazakh citizens,Positive
Uzbekistan,Capital Moved to Astana,Kazakh citizens,Mixed
Uzbekistan,Independence from the Soviet Union,Uzbek citizens,Positive
Uzbekistan,Death of Islam Karimov,Uzbek citizens,Mixed
Bhutan,Introduction of Television,Bhutanese citizens,Positive
Bhutan,First Democratic Elections,Bhutanese citizens,Positive
Maldives,Introduction of a Multiparty System,Maldivian citizens,Positive
Maldives,2004 Tsunami Impact,Maldivian citizens,Negative
Malaysia,Independence from the United Kingdom,Malaysian citizens,Positive
Malaysia,Formation of Malaysia,"Malaysian, Singaporean citizens",Positive
Malaysia,1969 Race Riots,Malaysian citizens,Negative
Malaysia,New Economic Policy Introduced,Malaysian citizens,Mixed
Iran,Green Movement,Iranian citizens,Negative
Mosul,ISIS Captures Mosul,Iraqi citizens,Negative
Zhanaozen,Zhanaozen Massacre,Kazakh workers,Negative
Uzbekistan,Currency Convertibility Introduced,Uzbek citizens,Positive
Bhutan,Gross National Happiness Introduced,Bhutanese citizens,Positive
Maldives,Political Crisis and State of Emergency,Maldivian citizens,Negative
Malaysia,1MDB Scandal,Malaysian citizens,Negative
Iran,US Withdrawal from the JCPOA,Iranian citizens,Negative
Iraq,Protests Against Corruption and Unemployment,Iraqi citizens,Negative
Kazakhstan,Presidential Transition,Kazakh citizens,Mixed
Uzbekistan,Release of Political Prisoners,Uzbek political prisoners,Positive
Bhutan,Decriminalization of Homosexuality,Bhutanese citizens,Positive
Maldives,Presidential Election Victory of Ibrahim Solih,Maldivian citizens,Positive
Malaysia,Pakatan Harapan Electoral Victory,Malaysian citizens,Positive
Malaysia,Malaysia Airlines Flight MH370 Disappearance,239 passengers & crew,Negative
Japan,Japan Airlines Flight 123,520 passengers & crew,Negative
Taiwan,China Airlines Flight 611,225 passengers & crew,Negative
South Korea,Korean Air Flight 801,254 passengers & crew,Negative
Indonesia,AirAsia Flight QZ8501,162 passengers & crew,Negative
Pakistan,Pakistan International Airlines Flight 268,167 passengers & crew,Negative
Philippines,Philippine Airlines Flight 434,"1 fatality, several injured",Negative
Singapore,SilkAir Flight 185,104 passengers & crew,Negative
Thailand,OneUnknownTwoUnknownGO Airlines Flight 269,130 passengers & crew,Negative
South Korea,MV Sewol Ferry Sinking,476 passengers & crew,Negative
Japan,Fukushima Daiichi Nuclear Disaster,Residents of Fukushima,Negative
China,Wenzhou Train Collision,Passengers,Negative
Philippines,MV Doña Paz Collision,"Over 4,300 passengers & crew",Negative
Russia,Nedelin Catastrophe,Military and technical staff,Negative
Indonesia,Sidoarjo Mud Flow,Thousands displaced,Negative
Thailand,Tham Luang Cave Rescue,12 boys and their coach,Positive
USA,Declaration of Independence,American colonies,Positive
USA,Louisiana Purchase,American settlers,Positive
USA,Civil War,American citizens,Mixed
USA,Women's Suffrage (19th Amendment),Women across the USA,Positive
USA,Stock Market Crash of 1929,Global population,Negative
USA,Moon Landing (Apollo 11),Global population,Positive
USA,Civil Rights Act of 1964,American citizens,Positive
USA,September 11 Attacks,"American citizens, global citizens",Negative
USA,First Mars Helicopter Flight,Global population,Positive
USA,Brown v. Board of Education,African American students,Positive
USA,Vietnam War,American and Vietnamese,Negative
USA,Watergate Scandal,American public,Negative
USA,Challenger Space Shuttle Disaster,"Astronauts, general public",Negative
USA,Fall of the Berlin Wall,Global population,Positive
USA,Oklahoma City Bombing,American citizens,Negative
USA,Hurricane Katrina,Gulf Coast residents,Negative
USA,Black Lives Matter Movement,African American community,Positive
USA,Supreme Court Upholds Obamacare,American citizens,Positive
USA,USUnknownMexico Border Wall Expansion,"Migrants, American citizens",Mixed
USA,SameUnknownSex Marriage Legalization,"LGBTQ+ community, citizens",Positive
USA,#MeToo Movement,"Survivors, general public",Positive
USA,Capitol Riot,American citizens,Negative
USA,George Floyd Protests and Derek Chauvin Trial,"Black community, citizens",Mixed
USA,Paris Agreement Rejoining,Global community,Positive
USA,Hurricane Sandy,East Coast residents,Negative
USA,Affordable Care Act (Obamacare) Implementation,American citizens,Positive
USA,March on Washington for Jobs and Freedom,"Civil rights activists, citizens",Positive
USA,Assassination of President John F. Kennedy,American public,Negative
USA,Stonewall Riots,LGBTQ+ community,Positive
USA,Roe v. Wade Supreme Court Decision,Women nationwide,Positive
USA,Tech Boom and DotUnknowncom Bubble,"Tech companies, investors",Mixed
USA,Enactment of the Patriot Act,American citizens,Mixed
USA,Housing Market Crash and Great Recession,"Homeowners, global economy",Negative
USA,Charlottesville Rally and Violence,"General public, activists",Negative
USA,US Recognition of Jerusalem as Israel's Capital,International community,Mixed
USA,January 6 Capitol Attack,American public,Negative
USA,Withdrawal from Afghanistan,"Afghan citizens, U.S. military",Negative
USA,First Woman Vice President Elected,American citizens,Positive
USA,Supreme Court Overturns Roe v. Wade,Women nationwide,Negative
USA,Launch of James Webb Space Telescope,Global community,Positive
USA,Boston Tea Party,Colonists,Positive
USA,Lewis and Clark Expedition,American explorers,Positive
USA,California Gold Rush,Prospective miners,Positive
USA,Seneca Falls Convention,"Women, activists",Positive
USA,Emancipation Proclamation,Enslaved African Americans,Positive
USA,Transcontinental Railroad Completed,American settlers,Positive
USA,SpanishUnknownAmerican War,"Cubans, Filipinos, Americans",Positive
USA,Wright Brothers' First Flight,Global population,Positive
USA,MexicanUnknownAmerican War,"Mexican, American citizens",Positive
USA,Dred Scott Decision,African Americans,Negative
USA,Homestead Act,American settlers,Positive
USA,Completion of the Panama Canal,Global shipping industry,Positive
USA,Entry into World War I,"European, American forces",Mixed
USA,Prohibition Era Begins,American citizens,Negative
USA,Social Security Act,"American workers, elderly",Positive
USA,Attack on Pearl Harbor,"American military, civilians",Negative
USA,Manhattan Project and Atomic Bombing of Hiroshima and Nagasaki,"Japanese civilians, global community",Mixed
USA,Marshall Plan Implementation,European nations,Positive
USA,United Nations Charter Ratification,Global community,Positive
USA,Founding of Jamestown,"English settlers, Native Americans",Positive
USA,Salem Witch Trials,Residents of Salem,Negative
USA,French and Indian War,"British, French colonies, Native Americans",Mixed
USA,Boston Massacre,American colonists,Negative
USA,Writing of the Federalist Papers,American public,Positive
USA,War of 1812,"American, British citizens",Mixed
USA,Missouri Compromise,"American settlers, slaves",Mixed
USA,Trail of Tears,Native American tribes,Negative
USA,Compromise of 1850,"American public, slaves",Mixed
USA,KansasUnknownNebraska Act,"American settlers, slaves",Negative
USA,Alaska Purchase,American settlers,Positive
USA,Reconstruction Era,"Southern Americans, freed slaves",Mixed
USA,Gilded Age,American citizens,Mixed
Canada,Confederation of Canada,Canadians,Positive
Canada,Completion of the Canadian Pacific Railway,Canadian settlers,Positive
Canada,Battle of Vimy Ridge,Canadian soldiers,Positive
Canada,Discovery of Insulin,Diabetics worldwide,Positive
Canada,Newfoundland Joins Canada,Newfoundlanders,Positive
Canada,Adoption of the Maple Leaf Flag,Canadians,Positive
Canada,Official Languages Act,Canadian citizens,Positive
Canada,Canada Act 1982 (Patriation of the Constitution),Canadians,Positive
Canada,Oka Crisis,"Mohawk community, Canadians",Negative
Canada,NAFTA Agreement Signed,Canadian businesses,Mixed
Canada,Apology to Residential School Survivors,Indigenous communities,Positive
Canada,Vancouver Winter Olympics,"Athletes, global audience",Positive
Canada,Legalization of SameUnknownSex Marriage,LGBTQ+ community,Positive
Canada,Cannabis Legalization,Canadian adults,Positive
Canada,Murdered and Missing Indigenous Women Inquiry,Indigenous communities,Ongoing
Canada,Fort McMurray Wildfire,Residents of Fort McMurray,Negative
Canada,Establishment of Nunavut,Inuit population,Positive
Canada,Quebec Referendum on Sovereignty,Quebecers,Negative
Canada,Charlottetown Accord Referendum,Canadian citizens,Negative
Canada,Red River Resistance,"Métis, settlers",Mixed
Canada,Klondike Gold Rush,"Prospectors, Indigenous peoples",Positive
Canada,Halifax Explosion,Residents of Halifax,Negative
Canada,Internment of Japanese Canadians,Japanese Canadian community,Negative
Canada,Discovery of Oil in Alberta,Canadian economy,Positive
Canada,Balfour Declaration of 1926,Canadians,Positive
Canada,Statute of Westminster,Canadians,Positive
Canada,Conscription Crisis of 1944,Canadian citizens,Negative
Canada,Discovery of Insulin,Diabetics worldwide,Positive
Canada,Joining of Newfoundland,Newfoundlanders,Positive
Canada,Creation of the Canadian Flag,Canadians,Positive
Canada,Official Languages Act,Canadian citizens,Positive
Canada,Patriation of the Canadian Constitution,Canadians,Positive
Canada,Establishment of Nunavut,Inuit population,Positive
UK,Signing of the Magna Carta,English society,Positive
UK,Establishment of the Church of England,English population,Positive
UK,Defeat of the Spanish Armada,English population,Positive
UK,Union of the Crowns, uniting the crowns,Positive
UK,English Civil War Begins,English population,Mixed
UK,The Restoration of the Monarchy,English population,Positive
UK,Act of Union with Scotland,Scottish and English populations,Positive
UK,Industrial Revolution Begins,Global population,Positive
UK,Act of Union with Ireland,Creating the United Kingdom,Positive
UK,Battle of Trafalgar,Napoleonic France,Positive
UK,Reform Act 1832,British electorate,Positive
UK,Queen Victoria's Reign Begins,British Empire,Positive
UK,"Publication of Darwin's ""On the Origin of Species""",Scientific community,Positive
UK,Establishment of the Welfare State,British population,Positive
UK,Decolonization Begins,Colonial territories,Mixed
UK,Suez Crisis,UK and Egypt,Negative
UK,The Beatles' Rise to Fame,Worldwide,Positive
UK,Falklands War,UK and Argentina,Mixed
UK,Good Friday Agreement,Northern Irish population,Positive
UK,Brexit Referendum,British population,Mixed
UK,Great Fire of London,London's population,Negative
UK,Abolition of the Slave Trade Act,British Empire,Positive
UK,First Railway Line Opens,British population,Positive
UK,Women's Suffrage Achieved,British women,Positive
UK,Battle of Britain,British population,Positive
UK,National Health Service Established,British population,Positive
UK,First Human DNA Sequencing,Global scientific community,Positive
UK,Scottish Devolution Referendum,Scottish population,Positive
UK,London Underground Bombings,London's population,Negative
UK,2012 London Olympics,UK and global visitors,Positive
UK,SameUnknownSex Marriage Legalized,British LGBTQ+ community,Positive
UK,Scottish Independence Referendum,Scottish population,Positive
UK,Grenfell Tower Fire,London's population,Negative
UK,COVIDUnknown19 Pandemic in the UK,British population,Negative
UK,Prince Philip's Death,British population,Negative
UK,Introduction of the Penny Post,British population,Positive
UK,First Television Broadcast by BBC,British population,Positive
UK,Signing of the AngloUnknownIrish Treaty,Irish population,Positive
UK,Creation of the Commonwealth of Nations,Member states,Positive
UK,Start of the Hundred Years' War,English and French populations,Negative
UK,The Glorious Revolution,English population,Positive
UK,Battle of Waterloo,British and allied armies,Positive
UK,Chartist Movement,WorkingUnknownclass population,Mixed
UK,Discovery of Penicillin,Revolutionized medicine and treatment of bacterial infections,Positive
UK,British Exit from the European Exchange Rate Mechanism,British economy,Negative
UK,Queen Elizabeth II's Coronation,British population,Positive
UK,First Cloned Mammal Unknown Dolly the Sheep,Scientific community,Positive
UK,UK Hosts the G8 Summit,Global leaders,Positive
UK,Theresa May becomes Prime Minister,British population,Mixed
UK,UK Authorizes COVIDUnknown19 Vaccine,British and global populations,Positive
UK,Stonehenge Completion,Ancient Britons,Positive
UK,First English Parliament,English nobility,Positive
UK,Battle of Agincourt,English and French armies,Positive
UK,The Plague (Black Death) Arrives in England,English population,Negative
UK,The Armada Portrait of Elizabeth I,English society,Positive
UK,Act of Supremacy,English Church,Positive
UK,Bloody Sunday in Northern Ireland,Northern Irish civilians,Negative
UK,The Big Freeze of 1963,British population,Negative
UK,UK Hosts the First Rugby World Cup,International rugby fans,Positive
France,Battle of Tours,European Christians,Positive
France,Signing of the Treaty of Verdun,Carolingian heirs,Positive
France,Coronation of Charlemagne as Holy Roman Emperor,European Christians,Positive
France,Launch of the First Crusade,European Christians,Positive
France,Establishment of the University of Paris,European scholars,Positive
France,Start of the Hundred Years' War,English and French populations,Negative
France,Joan of Arc lifts the Siege of Orléans,French population,Positive
France,End of the Hundred Years' War,French population,Positive
France,Beginning of the French Renaissance,French society,Positive
France,Publication of the Edict of Nantes,French Huguenots,Positive
France,Start of the French Revolution,French population,Positive
France,Execution of Louis XVI,French population,Negative
France,Napoleon Bonaparte's Coup d'Etat,French population,Positive
France,Napoleonic Code Enacted,French population,Positive
France,FrancoUnknownPrussian War,French population,Negative
France,Establishment of the Fifth Republic,French population,Positive
France,May 1968 Protests,French students and workers,Mixed
France,SameUnknownSex Marriage Legalized,French LGBTQ+ community,Positive
France,NotreUnknownDame de Paris Fire,Global and French population,Negative
France,Yellow Vest Protests,French population,Mixed
France,France Wins the 2018 FIFA World Cup,French population,Positive
France,Battle of Agincourt,English and French armies,Positive
France,French Revolution Begins,French population,Positive
France,Louis XVI Executed,French population,Negative
France,Reign of Terror Begins,French population,Negative
France,Napoleon Crowned Emperor,French population,Positive
France,End of Napoleonic Wars,European population,Negative
France,Second French Empire Declared,French population,Positive
France,Paris Commune,Parisians,Negative
France,Dreyfus Affair,French population,Mixed
France,Women Gain the Right to Vote,French women,Positive
France,Signing of the Treaty of Rome,European populations,Positive
France,May 1968 Student Protests,French students and workers,Mixed
France,Introduction of the Euro,European Union members,Positive
France,France Bans Smoking in Public Places,French population,Positive
Italy,Rise of the Roman Republic,Roman population,Positive
Italy,Punic Wars Begin,Roman and Carthaginian populations,Negative
Italy,Fall of the Western Roman Empire,Roman population,Negative
Italy,Crowning of Charlemagne,European Christians,Positive
Italy,First Crusade Announced,European Christians,Positive
Italy,Signing of the Treaty of Lodi,Italian cityUnknownstates,Positive
Italy,Fall of Constantinople,Italian cityUnknownstates,Mixed
Italy,Leonardo da Vinci Completes the Mona Lisa,Global population,Positive
Italy,Sack of Rome,Roman population,Negative
Italy,Galileo Galilei's Telescope Presentation,Scientific community,Positive
Italy,Treaty of Utrecht Ends the War of Spanish Succession,Italian states among others,Mixed
Italy,Unification of Italy Proclaimed,Italian population,Positive
Italy,Mussolini's March on Rome,Italian population,Negative
Italy,Signing of the Lateran Treaty,Italian population and the Catholic Church,Positive
Italy,Italy Enters World War II,Italian population,Negative
Italy,Fall of Mussolini,Italian population,Negative
Italy,Italian Republic Established,Italian population,Positive
Italy,Signing of the Treaty of Rome,European populations,Positive
Italy,Flooding of the Arno River,Florence population,Negative
Italy,Aldo Moro Kidnapping and Murder,Italian population,Negative
Italy,Mani Pulite (Clean Hands) Investigation Begins,Italian political class,Positive
Italy,Berlusconi Elected Prime Minister,Italian population,Mixed
Italy,2006 Winter Olympics in Turin,Global and Italian populations,Positive
Italy,L'Aquila Earthquake,L'Aquila population,Negative
Italy,Costa Concordia Shipwreck,Cruise passengers and crew,Negative
Italy,Expo 2015 in Milan,Global and Italian populations,Positive
Spain,Funding of Christopher Columbus' Voyage,Indigenous peoples of the Americas,Positive
Spain,Reconquista Completion,Muslims and Christians in Iberian Peninsula,Mixed
Spain,Spanish Armada,Spanish and English navies,Negative
Spain,Treaty of the Pyrenees,France and Spain,Mixed
Spain,War of Spanish Succession,European Powers,Negative
Spain,Establishment of the Spanish Inquisition,Religious minorities,Negative
Spain,Fall of the Spanish Empire,"Spanish Empire, colonies",Negative
Spain,Spanish Civil War,Spanish population,Negative
Spain,Transition to Democracy,Spanish population,Positive
Spain,2004 Madrid Train Bombings,Citizens of Madrid,Negative
Spain/USA,SpanishUnknownAmerican War,Spanish and American populations,Negative
Spain,Entry into the European Union,Spanish population,Positive
Spain,Discovery of the Americas,"Indigenous peoples of the Americas, Europeans",Mixed
Spain,Expulsion of the Jews,Jewish population,Negative
Spain,Battle of Trafalgar,Spanish and French Navies,Negative
Spain,Union of Castile and Aragon,Spanish Kingdoms,Positive
Spain,The Spanish Golden Age,Spanish population,Positive
Spain,War of the Spanish Succession,European powers,Mixed
Spain,Signing of the Treaty of Utrecht,European powers,Negative
Spain,Peninsular War,Spanish population,Negative
Spain,Spanish Constitution of 1812,Spanish population,Mixed
Spain,SpanishUnknownAmerican War,"Spanish Empire, local populations",Negative
Spain,Francoist Spain,Spanish population,Negative
Spain,Spanish Transition to Democracy,Spanish population,Positive
Spain,Barcelona Olympics,"International, Spanish population",Positive
Spain,AntiUnknownterrorism Pact,Spanish population,Positive
Spain,Financial Crisis Impact,Spanish population,Negative
Spain,Catalan Independence Referendum,"Catalan population, Spanish population",Negative
Spain,Women's Rights March,"Spanish population, especially women",Positive
Spain,Exhumation of Francisco Franco,Spanish population,Positive
Spain,Madrid's Bid for 2020 Olympics,"Madrid's population, International",Mixed
Spain,Approval of SameUnknownSex Marriage,"LGBTQ+ community, Spanish population",Positive
Spain,ETA's Permanent Ceasefire,"Basque population, Spanish population",Positive
Spain,Austerity Measures During Crisis,Spanish population,Negative
Spain,NoUnknownConfidence Vote Against Rajoy,Spanish population,Mixed
Spain,Discovery of Altamira Cave Paintings,"Academic community, worldwide",Positive
Spain,Spanish Flu Pandemic,Global population,Negative
Spain,Alhambra Decree,Jewish population in Spain,Negative
Spain,Spanish Constitution of 1978,Spanish population,Positive
South Africa,2010 FIFA World Cup Victory,"Spanish population, international",Positive
Spain,Launch of AVE HighUnknownSpeed Train,"Spanish population, travelers",Positive
Spain,Law of Historical Memory,Spanish population,Positive
England,Sinking of the Spanish Armada,"Spanish Navy, English Navy",Negative
Gibraltar,The Great Siege of Gibraltar,"British and Spanish military, Gibraltar residents",Negative
Spain,Leyes de Indias,"Indigenous populations, Spanish colonists",Mixed
Spain,Introduction of Phoenician Trade,"Local inhabitants, Phoenicians",Positive
Spain,Battle of Guadalete,"Visigothic Kingdom, Muslims",Negative
Spain,Establishment of Gadir by Phoenicians,"Local inhabitants, Phoenicians",Positive
Denmark,Gorm the Old Reign,Danish tribes,Positive
Denmark,Christianization of Denmark,Danish population,Mixed
Norway,Christianization of Norway,Norwegian tribes,Mixed
Finland,Swedish Conquest of Finland,Finnish tribes,Negative
Denmark,Establishment of the Kalmar Union,Scandinavian kingdoms,Mixed
Norway,Black Death in Norway,Norwegian population,Negative
Finland,Establishment as Swedish Duchy,Finns,Mixed
Denmark,Treaty of Roskilde,DanishUnknownSwedish populations,Negative
Norway,Dissolution of the Kalmar Union,Norwegians,Positive
Finland,Finnish War and Cession to Russia,"Finns, Swedes, Russians",Negative
Finland,Winter War,Finns,Mixed
Denmark,Liberation of Denmark,Danes,Positive
Norway,Liberation of Norway,Norwegians,Positive
Finland,Continuation War,Soviet Union,Mixed
Denmark,Copenhagen Fire,Danish population,Negative
Norway,Union with Sweden,Norwegians,Mixed
Finland,Lapland War,German soldiers,Positive
Denmark,First Schleswig War,Danes,Positive
Norway,Norwegian Independence,Norwegians,Positive
Finland,Finnish Civil War,Finns,Negative
Denmark,Second Schleswig War,Danes,Negative
Norway,Founding of Oslo,Norwegians,Positive
Finland,Signing of the Treaty of Fredrikshamn, Swedes,Negative
South Africa,Discovery of Diamonds,South Africans,Mixed
Nigeria,Amalgamation of Northern and Southern Protectorates,Nigerians,Mixed
Kenya,Mau Mau Uprising,Kenyans,Mixed
Algeria,Algerian War of Independence,Algerians,Positive
Libya,Italian Invasion of Libya,Libyans,Negative
Tunisia,Independence from France,Tunisians,Positive
Zimbabwe,Great Zimbabwe Era,Zimbabweans,Positive
Morocco,Foundation of Marrakech,Moroccans,Positive
Angola,Portuguese Colonialism Begins,Angolans,Negative
Egypt,Suez Canal Opening,Global population,Positive
Rwanda,Rwandan Genocide,Rwandans,Negative
Uganda,Idi Amin's Regime,Ugandans,Negative
Somalia,Somali Civil War Begins,Somalis,Negative
Botswana,Independence from Britain,Batswana,Positive
Namibia,Independence from South Africa,Namibians,Positive
Sudan,Mahdist War,Sudanese,Mixed
Côte d'Ivoire,Independence from France,Ivorians,Positive
Ghana,Ghana's Independence,Ghanaians,Positive
Tanzania,Union of Tanganyika and Zanzibar,Tanzanians,Positive
Libya,Libyan Revolution (1969),Libyans,Mixed
Madagascar,Independence from France,Malagasy,Positive
Ethiopia,Ethiopian Revolution,Ethiopians,Negative
Nigeria,Nigerian Civil War,Nigerians,Negative
South Africa,Sharpeville Massacre,South Africans,Negative
Algeria,Battle of Algiers,Algerians,Mixed
