Title,Genre,Tags,Director
Voyage to the End of the Universe,Sci-Fi,"Sci-Fi & Fantasy,Czech Movies,Sci-Fi Dramas,Dramas,Movies Based on Books,Classic Dramas,Classic Movies,Futuristic Sci-Fi",Jindrich Polák
The Teacher,"Comedy, Drama","Dark Comedies,Czech Movies,Social Issue Dramas,Dramas,Comedies",Jan Hrebejk
Whos Afraid of the Wolf,"Action, Adventure, Comedy, Crime","Children & Family Movies,Czech Movies,Dramas",Jay Roach
PhotoCopy,Drama,"Romantic Dramas,Romantic Comedies,Dramas,Comedies,Romantic Movies,Indian Movies,Marathi-Language Movies,International Comedies,International Dramas",Tamer Ashri
Poshter Girl,Comedy,"Social Issue Dramas,Dramas,Comedies,Indian Movies,Marathi-Language Movies,International Comedies,International Dramas",Sameer Patil
Satria Heroes: Revenge of the Darkness,"Action, Fantasy, Sci-Fi","Children & Family Movies,Sci-Fi & Fantasy,Family Sci-Fi & Fantasy,Indonesian Movies,Asian Action Films,Sci-Fi","Kenzô Maihara, Amandha Wyanto"
Son Of Adam,Drama,"Dramas,Crime Movies,Middle Eastern Movies,Crime Dramas,Thriller Movies,Crime Thrillers,Heist Movies,Egyptian Movies,International Thrillers,International Dramas",Salim Ahmed
So Much Love to Give,Comedy,"Argentinian Movies,Comedies,Music & Musicals,International Comedies,Latin American Films,Music,Music",Marcos Carnevale
Kaagar,"Crime, Drama","Romantic Dramas,Dramas,Crime Movies,Political Dramas,Crime Dramas,Romantic Movies,Indian Movies,Marathi-Language Movies,International Dramas",Makarand Mane
Dhh,"Drama, Family","Children & Family Movies,Dramas,Indian Movies,International Dramas,Family Dramas,Award-winning Dramas,Family Features,Family Features",Manish Saini
Cycle,"Comedy, Drama, Thriller","Sci-Fi & Fantasy,Dramas,Comedies,Fantasy Movies,Indian Movies,Marathi-Language Movies,International Sci-Fi & Fantasy,International Comedies,International Dramas",Johny Antony
Cuties,Drama,"Dramas,French Movies,International Dramas,Award-winning Dramas",Maïmouna Doucouré
Get Organized with The Home Edit,Reality-TV,"Reality TV,Makeover Reality TV,Home & Garden Reality TV,Lifestyle,US TV Shows,US TV Shows,International Reality, Talk & Variety Shows,Variety Entertainment,Reality, Variety & Talk Shows",
The Social Dilemma,"Documentary, Drama","Science & Nature Documentaries,Documentaries,US Movies",Jeff Orlowski
Ani... Dr. Kashinath Ghanekar,Drama,"Movies Based on Real Life,Dramas,Movies Based on Books,Indian Movies,Marathi-Language Movies,International Dramas,Theater Arts",Abhijeet Shirish Deshpande
Aapla Manus,"Drama, Thriller","Dramas,Thriller Movies,Mysteries,Indian Movies,Marathi-Language Movies,International Thrillers,International Dramas,Police Thrillers,Police Mysteries,Police Movies,Police Dramas",Satish Rajwade
Strangled,"Crime, Drama, Horror, Mystery, Thriller","TV Mysteries,TV Dramas,Crime TV Dramas,TV Thrillers",Árpád Sopsits
A Kind of America,"Adventure, Comedy, Romance","Comedies,Hungarian Movies",Gábor Herendi
Viktoria: A Tale of Grace and Greed,Drama,"Social Issue Dramas,Dramas,Independent Movies,Hungarian Movies",Men Lareida
Question in Details,"Drama, Romance","Dramas,Independent Movies,Hungarian Movies",Zsombor Dyga
Poligamy,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Movies,Hungarian Movies",Dénes Orosz
Lora,"Drama, Romance","Romantic Dramas,Dramas,Romantic Movies,Hungarian Movies",Gábor Herendi
Manieggs: Revenge of the Hard Egg,Animation,"Dark Comedies,Action & Adventure,Crime Comedies,Crime Movies,Comedies,Crime Action & Adventure,Adult Animation,Action Comedies,Hungarian Movies",Zoltán Miklósy
The Night Crew,"Action, Horror, Thriller","Action & Adventure,Independent Movies,Horror Movies",Christian Sesma
Couch Surf,"Comedy, Drama","Dark Comedies,Dramas,Comedies,Independent Movies,Hungarian Movies",Zsombor Dyga
The Tragedy of Man,"Animation, Drama, History, Sci-Fi","Dramas,Adult Animation,Hungarian Movies",Marcell Jankovics
The Squad,"Horror, Thriller","Action & Adventure,Crime Movies,Crime Action & Adventure,Heist Movies,Action Thrillers,French Movies",Jaime Osorio Marquez
Sinister Shadow,,"Dramas,Independent Movies,Hungarian Movies",András Jeles
The Exam,"Drama, History, Thriller","Dramas,Thriller Movies,Spy Thrillers,Hungarian Movies",Péter Bergendy
Cargo,"Drama, Horror, Sci-Fi, Thriller","Dark Comedies,Sci-Fi & Fantasy,Sci-Fi Dramas,Dramas,Comedies,Independent Movies,Fantasy Movies,Indian Movies,Hindi-Language Movies,Futuristic Sci-Fi,International Sci-Fi & Fantasy,International Comedies,International Dramas,Sci-Fi","Ben Howling, Yolanda Ramke"
Fugue,"Animation, Short","Dramas,Polish Thrillers,Polish Movies,Independent Movies,Thriller Movies,Polish Dramas",Georges Schwizgebel
Dead End,"Adventure, Horror, Mystery, Thriller","TV Dramas,Crime TV Dramas,German TV Shows","Jean-Baptiste Andrea, Fabrice Canepa"
Record of Youth,"Drama, Romance","TV Dramas,Romantic TV Dramas,Korean TV Shows,K-dramas",
My Octopus Teacher,Documentary,"Science & Nature Docs,African Movies,Nature & Ecology Documentaries,South African Movies,Documentary Films","Pippa Ehrlich, James Reed"
Screened Out,Documentary,"Science & Nature Documentaries,Social & Cultural Documentaries,Canadian Films,Documentaries",Jon Hyatt
Lingua Franca,Drama,"LGBTQ Dramas,Dramas,LGBTQ Movies,Filipino Movies,International Dramas",Isabel Sandoval
The Lost Husband,"Drama, Romance","Romantic Dramas,Dramas,Romantic Movies,Movies Based on Books",Vicky Wight
"Sister, Sister","Comedy, Drama, Family","Sitcoms,TV Comedies,Teen TV Shows,Family Watch Together TV,US TV Programmes",
Quantum of Solace,"Action, Adventure, Thriller","Action & Adventure,Adventures,Spy Action & Adventure,British Movies,Action Thrillers",Marc Forster
"Take the Ball, Pass the Ball","Documentary, Sport","Sports Documentaries,Sports Movies,Sports & Fitness,Movies Based on Books,Soccer Movies,Spanish Movies,Documentary Films",Duncan McMath
Strange but True,Thriller,"Dramas,Thriller Movies,Movies Based on Books,Mysteries,Canadian Movies",Rowan Athale
We Summon the Darkness,"Horror, Music, Thriller","Satanic Stories,Horror Movies,Thriller Movies",Marc Meyers
The Young Messiah,"Drama, Fantasy","Dramas,Faith & Spirituality,Faith & Spirituality Movies",Cyrus Nowrasteh
Freak Show,"Comedy, Drama","LGBTQ Dramas,Teen Movies,Social Issue Dramas,Dramas,LGBTQ Movies,Comedies,Independent Movies,LGBTQ Comedies,Movies Based on Books",Trudie Styler
Vyjayanthi,Drama,"Drama Programmes,Singaporean Programmes,Social Issue TV Dramas",
The Unbeatables,"Documentary, Short, Drama, Sport","Drama Programmes,Singaporean Programmes",Abhijeet Khuman
The Teochew Family,Drama,"Drama Programmes,Singaporean Programmes,Family Watch Together TV,Social Issue TV Dramas",
Children of the Sea,"Animation, Adventure, Drama, Family, Fantasy, Mystery","Drama Anime,Sci-Fi & Fantasy,Anime Features,Japanese Movies,Fantasy Anime",Ayumu Watanabe
The Price of Peace,"Short, Drama","Drama Programmes,Political TV Programmes,TV Programmes Based on Books,Singaporean Programmes",Lois Weber
Kiko,"Animation, Adventure, Comedy","Animal Tales,TV Cartoons,Kids&#39; TV,TV Shows Based on Comics",
Growing Up,"Comedy, Drama, Romance","Drama Programmes,Singaporean Programmes",Clara Martínez-Lázaro
1BR,"Drama, Horror, Thriller","Independent Movies,Horror Movies,Thriller Movies",David Marmor
Afterschool,"Drama, Mystery","Social Issue Dramas,Dramas,Independent Movies",Antonio Campos
The Matchmakers Match,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Singaporean Movies",Mark Joffe
Matt & Mou,"Documentary, Biography, History","Romantic Films,Films Based on Books,Indonesian Films",Michele Josue
My Magic,Drama,"Dramas,Independent Films,Tamil-language Films,Singaporean Movies",Eric Khoo
Mee Pok Man,"Crime, Drama, Romance","Steamy Dramas,Romantic Dramas,Dramas,Independent Films,Romantic Films,Films Based on Books,Romantic Independent Films,Steamy Romance,Singaporean Movies",Eric Khoo
Money No Enough,Comedy,"Social Issue Dramas,Dramas,Comedies,Singaporean Movies",T.L. Tay
Munafik,Horror,"Horror Films,Supernatural Horror Films,Chilling Horror Films,Malaysian Films",Syamsul Yusof
Alphaville,"Drama, Mystery, Sci-Fi, Thriller","Sci-Fi & Fantasy,Sci-Fi Dramas,French Movies,Cyberpunk,Sci-Fi",Jean-Luc Godard
Moscow Noir,"Drama, Thriller","TV Dramas,Swedish TV Shows,Scandinavian TV Shows,TV Shows Based on Books",
The Lawyer,"Crime, Drama, Mystery, Thriller","TV Mysteries,Swedish TV Shows,Scandinavian TV Shows,TV Thrillers",
Hassel,"Crime, Drama, Thriller","TV Mysteries,Swedish TV Shows,Scandinavian TV Shows,TV Thrillers,TV Shows Based on Books",
Rasuk,Horror,"Horror Films,Films Based on Books,Chilling Horror Films,Indonesian Films",Ubay Fox
Lupinranger VS Patranger VS Kyuranger,"Action, Fantasy, Sci-Fi","Children & Family Movies,Japanese Movies,Tokusatsu Heroes",Hiroyuki Kato
Kamen Rider Heisei Generations Forever,"Action, Adventure, Fantasy, Sci-Fi","Children & Family Movies,Japanese Movies,Tokusatsu Heroes",Kyohei Yamaguchi
Alex,"Action, Crime, Thriller","TV Action & Adventure,Swedish TV Shows,Scandinavian TV Shows,TV Thrillers",
Conspiracy of Silence,"Crime, Drama, Thriller","Swedish TV Shows,Scandinavian TV Shows,TV Thrillers",
Second Chance,"Drama, Sci-Fi","Dramas,Comedies,Indonesian Films",
Legend of the Ancient Sword,"Action, Fantasy","Action & Adventure,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Fantasy Movies,Movies Based on Books,Asian Action Movies,Mainland Chinese Movies",Renny Harlin
The Lies She Loved,"Drama, Mystery, Romance","Romantic Dramas,Dramas,Romantic Movies,Mysteries,Japanese Movies",Kazuhito Nakae
Profound Desires of the Gods,Drama,"Dramas,Japanese Movies,Classic Movies,Classic Japanese Movies",Shôhei Imamura
Railroad Man,Drama,"Dramas,Movies Based on Books,Japanese Movies",Yasuo Furuhata
Saki,Animation,"Teen Movies,Dramas,Japanese Movies,Youth Movies,Japanese Youth Dramas",
Omokage,Short,"Romantic Dramas,Dramas,Romantic Movies,Movies Based on Books,Japanese Movies",
Ryuichi Sakamoto: Coda,"Documentary, Music","Japanese Movies,Music & Musicals,Music & Concert Documentaries,Documentary Films",Stephen Nomura Schible
Sleepless,"Action, Crime, Thriller","Dramas,Filipino Films",Baran bo Odar
The Songs We Sang,"Documentary, History, Music","Social & Cultural Documentaries,Historical Documentaries,Music & Musicals,Documentaries,Singaporean Movies",Eva Tang
Somewhere In Time,"Drama, Fantasy, Romance","Romantic Films,Singaporean Movies",Jeannot Szwarc
Sansho the Bailiff,Drama,"Social Issue Dramas,Dramas,Movies Based on Books,Japanese Movies,Period Pieces,Classic Movies,Classic Japanese Movies",Kenji Mizoguchi
Talak 3,"Comedy, Drama","Romantic Comedies,Comedies,Romantic Films,Indonesian Films","Ismail Basbeth, Hanung Bramantyo"
Tiger: My Life as a Cat,Comedy,"Sci-Fi & Fantasy,Dramas,Comedies,Fantasy Movies,Japanese Movies",Masaya Kakehi
We are,"Drama, Sport","Dramas,Japanese Movies",McG
Hard-Core,"Comedy, Drama","Dark Comedies,Dramas,Comedies,Japanese Movies",Nobuhiro Yamashita
The Flowers of Evil,"Drama, Romance, Thriller","Dramas,Japanese Movies",Noboru Iguchi
Still Life,Drama,"Romantic Dramas,Social Issue Dramas,Dramas,Independent Films,Romantic Films,Romantic Independent Films,Romantic Favourites,Mainland Chinese Movies",Uberto Pasolini
The Teenage Textbook Movie,"Comedy, Romance","Teen Films,Romantic Comedies,Comedies,Romantic Films,Films Based on Books,Romantic Favourites,Singaporean Movies",Philip Lim
To Madam With Love,,"Dramas,Comedies,Singaporean Movies",
The Truth About Jane and Sam,"Comedy, Romance, Drama","Romantic Dramas,Dramas,Romantic Films,Singaporean Movies",Tung-Shing Yee
The Tree,"Drama, Romance","Dramas,Mysteries,Singaporean Movies",Julie Bertuccelli
Floating Weeds,Drama,"Dramas,Japanese Movies,Classic Movies,Classic Japanese Movies",Yasujirô Ozu
Female Prisoner #701: Scorpion,"Crime, Drama, Thriller","Dramas,Thriller Movies,Japanese Movies",Shun'ya Itô
Taxi! Taxi!,"Comedy, Drama","Social Issue Dramas,Dramas,Comedies,Films Based on Books,Singaporean Movies",Kelvin Sng
The Antique: Secret of the Old Books,"Drama, Mystery","Dramas,Movies Based on Books,Mysteries,Japanese Movies",Yukiko Mishima
Screw-Up Adults Sharehouse,"Drama, Romance","TV Dramas,Romantic TV Dramas,TV Dramas Based on Comics,Japanese TV Series",
Saki,Animation,"TV Dramas,Teen TV Dramas,TV Dramas Based on Comics,Japanese Youth TV Dramas,Japanese TV Series",
Thermae Romae,"Comedy, Fantasy, Sci-Fi","Anime Series,Comedy Anime,Anime Based on Comics",Hideki Takeuchi
The Wedding Game,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Singaporean Movies",Ekachai Uekrongtham
Outbreak,"Action, Drama, Thriller","TV Dramas,Canadian TV Shows,TV Thrillers,Social Issue TV Dramas",Wolfgang Petersen
Mewkledreamy,Animation,"Anime Series,Kids&#39; TV,Japanese Kids&#39; TV,Kids&#39; Anime,School Anime",
If I Were You,Comedy,"Dramas,Comedies,Indonesian Films",Daniel Filho
Gurushetram: 24 Hours Of Anger,"Crime, Drama, Thriller","Crime Films,Thrillers,Crime Thrillers,Tamil-language Films,Singaporean Movies",T.T. Dhavamanni
In the Room,"Comedy, Drama, Romance","Steamy Dramas,Dark Comedies,Romantic Dramas,Romantic Comedies,Dramas,Comedies,Romantic Films,Steamy Romance,Singaporean Movies",Eric Khoo
Together with Me,"Comedy, Drama, Family, Romance","TV Dramas,Romantic TV Dramas,TV Shows Based on Books,Thai TV Shows",
Social Syndrome,Drama,"TV Dramas,TV Thrillers,Thai TV Shows",
Friend Zone,Comedy,"Romantic Comedies,Comedies,Romantic Films,Thai Films",Borja Cobeaga
The Collector,"Action, Crime, Horror, Thriller","TV Horror,TV Thrillers,Thai TV Shows",Marcus Dunstan
The Deadline,"Animation, Short","TV Comedies,TV Dramas,TV Shows Based on Books,Thai TV Shows",Stefan Marjoram
Great Men Academy,"Comedy, Fantasy, Romance","TV Comedies,Romantic TV Comedies,Teen TV Shows,Fantasy TV Shows,Thai TV Shows",
Magical Nights,"Comedy, Drama, Mystery","Italian Comedies,Comedies,Italian Movies",Paolo Virzì
Dimsum Martabak,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Indonesian Films",Andreas Sullivan
Toll Booth,Drama,"Dramas,Independent Movies,Turkish Movies,International Dramas",Tolga Karaçelik
Danur 2: Maddah,Horror,"Horror Films,Films Based on Books,Supernatural Horror Films,Chilling Horror Films,Indonesian Films",Awi Suryadi
Desolation,"Drama, Horror, Thriller","Sci-Fi & Fantasy,Sci-Fi Dramas,Dramas,Malaysian Films",Sam Patton
Amici come noi,Comedy,"Italian Comedies,Comedies,Italian Movies",Enrico Lando
A Beautiful Day in the Neighborhood,"Biography, Drama","Films Based on Real Life,Dramas,US Movies",Marielle Heller
Ah Long Pte Ltd,Comedy,"Action & Adventure,Crime Comedies,Crime Films,Comedies,Crime Action & Adventure,Slapstick Comedies,Action Comedies,Singaporean Movies",Jack Neo
After Met You,Drama,"Teen Films,Romantic Comedies,Comedies,Romantic Films,Films Based on Books,Indonesian Films","Patrick Effendy, Thaleb Wahjudi"
Impact Earth,Action,"Sci-Fi & Fantasy,Sci-Fi Dramas,Dramas,Independent Movies",Rex Piano
The Good Liar,"Crime, Drama, Mystery, Thriller","Psychological Thrillers,Crime Movies,Thriller Movies,Movies Based on Books,Crime Thrillers",Bill Condon
Santa in Training,"Comedy, Family","Children & Family Movies,Comedies,Family Comedies,Family Features",Christian Vogeler
Anastasia,"Animation, Adventure, Drama, Family, Fantasy, Musical, Mystery, Romance","Children & Family Movies,Family Sci-Fi & Fantasy,Family Features","Don Bluth, Gary Goldman"
Away,"Drama, Romance, Sci-Fi","TV Dramas,Romantic TV Dramas,US TV Shows,Futuristic Sci-Fi,TV Shows Based on Books,Sci-Fi TV",
Im Thinking of Ending Things,"Action, Adventure, Fantasy, Sci-Fi","Dramas,Independent Movies,Movies Based on Books,US Movies,Critically-acclaimed Independent Movies,Critically Acclaimed Films,Critically Acclaimed Dramas",George Lucas
Staged,"Comedy, Drama","Mockumentaries,Sitcoms,Comedy Programmes,British Programmes",
Enemy Lines,War,,Anders Banke
Parasite,"Comedy, Drama, Thriller","Dark Comedies,Korean Films,Comedies,Independent Films,Thrillers,International Thrillers,International Comedies",Bong Joon Ho
Afonso Padilha: Classless,Comedy,"Dark Comedies,Comedies,Stand-Up Comedy,Brazilian Comedies,Variety Entertainment,International Comedies","Rudge Campos, Junior Carelli"
The Invisibles,"Biography, Drama, History, War","Social Issue Dramas,Dramas,Comedies,Films Based on Books,French Films,International Comedies,International Dramas",Claus Räfle
The Current War,"Biography, Drama, History","Dramas,Period Pieces,Historical Movies,Historical Dramas",Alfonso Gomez-Rejon
The Lost Okoroshi,"Action, Adventure, Drama","African Movies,Dramas,Comedies,Nollywood Movies,International Comedies,International Dramas,Critically Acclaimed Films,Critically Acclaimed Dramas,Critically Acclaimed Comedies,Independent Movies",Abba Makama
Kandasamys: The Wedding,Comedy,"Romantic Dramas,African Movies,Romantic Comedies,Dramas,Comedies,Romantic Movies,South African Movies,International Comedies,International Dramas",Jayan Moodley
Young Wallander,"Crime, Drama, Mystery, Thriller","Mystery Programmes,Drama Programmes,Crime TV Dramas,Swedish TV Programmes,Scandinavian TV,TV Thrillers,TV Programmes Based on Books,Nordic TV Shows",
"Love, Guaranteed","Comedy, Romance","Comedies,Independent Films,Romantic Films,Romantic Independent Films,Romantic Comedies,US Movies,Family Cozy Time",Mark Steven Johnson
The Price of Happiness,Drama,"Czech Movies,Dramas,LGBTQ Movies,Independent Movies",Douglas Walker
Whos Next?,"Action, Adventure, Comedy, Crime",Dramas,Jay Roach
Silencio Roto,Documentary,"Romantic Dramas,Social Issue Dramas,Dramas,Political Dramas,Romantic Movies,Spanish Movies",
Dont Be Afraid,"Action, Crime, Thriller","Dramas,Spanish Movies",Farhan Akhtar
Obaba,Drama,"Dramas,Movies Based on Books,Spanish Movies",Montxo Armendáriz
Chrysalis,"Crime, Drama, Sci-Fi, Thriller","Romantic Dramas,Dramas,Romantic Movies,Spanish Movies",Julien Leclercq
The Platform,"Horror, Sci-Fi, Thriller","TV Dramas,Middle Eastern TV Shows,Social Issue TV Dramas,TV Mysteries",Galder Gaztelu-Urrutia
Chefs Table: BBQ,"Adventure, Comedy, Drama","Social & Cultural Docs,Reality TV,Docuseries,US TV Shows,Food & Travel TV,Lifestyle,Food & Wine,Reality, Variety & Talk Shows,Variety Entertainment,International Reality, Talk & Variety Shows",Jon Favreau
Sky Tour: The Movie,"Documentary, Music","Music & Musicals,Music & Concert Documentaries,Documentary Films,Concerts,Music,Vietnamese Films,Music and Concert Films",Son Tung Mtp
Ave Maryam,"Drama, Romance","Movies Based on Real Life,Romantic Dramas,Dramas,Romantic Movies,Indonesian Movies,International Dramas,Faith & Spirituality Movies,Independent Movies,Romantic Independent Movies",Robby Ertanto
Otto - Der Neue Film,Comedy,"Comedies,German Movies,German Comedies","Xaver Schwarzenberger, Otto Waalkes"
Merkel,"Drama, History","Movies Based on Real Life,Dramas,Movies Based on Books,German Dramas,German Movies",Stephan Wagner
Hustlers,"Comedy, Crime, Drama","Dark Comedies,Crime Comedies,Dramas,Crime Movies,Comedies,Crime Dramas",Lorene Scafaria
Barbie Princess Adventure,"Animation, Musical","Children & Family Movies,Musicals,Kids Music,Music & Musicals,Family Adventures",Conrad Helten
Middle of Nowhere,"Comedy, Drama, Romance","Dramas,Comedies,Independent Movies",John Stockwell
The Honor List,Drama,"Teen Movies,Dramas,Comedies",Elissa Down
Holy Lands,"Comedy, Drama","Dramas,Comedies,Movies Based on Books,French Movies",Amanda Sthers
Destruction Los Angeles,"Action, Adventure","Action & Adventure,Independent Films,Independent Action & Adventure,Action Thrillers",Tibor Takács
Of Animals and Men,Documentary,"Biographical Documentaries,Historical Documentaries,Polish Movies,Historical Movies,Documentary Films",Lukasz Czajka
Pilecki,"Biography, Drama, War","Military Dramas,Movies Based on Real Life,Dramas,Polish Movies,Polish Dramas,Historical Movies,Historical Dramas",Miroslaw Krzyszkowski
The Forgiven,Thriller,"Courtroom Dramas,Social Issue Dramas,Dramas,Crime Movies,Crime Dramas,British Movies",Roland Joffé
The Last Witness,"History, Thriller","Movies Based on Real Life,Dramas,Crime Movies,Polish Thrillers,Polish Movies,Crime Dramas,Independent Movies,Thriller Movies,Crime Thrillers,Polish Dramas,Historical Movies,Historical Dramas",Piotr Szkopiak
Bullitt,"Action, Crime, Thriller","Action & Adventure,Dramas,Crime Movies,Crime Dramas,Crime Action & Adventure,Movies Based on Books,Classic Dramas,Classic Movies,Gangster Movies,Classic Action & Adventure",Peter Yates
Bookmarks,Family,"Kids&#39; TV,TV Shows Based on Books,Family Watch Together TV",
Felipe Esparza: Bad Decisions,Comedy,"Dark Comedies,Comedies,Latino Comedies,Comedy Programmes,Stand-up Comedy,US TV Shows,Variety Entertainment",
The Boss Baby: Get That Baby!,"Animation, Short, Adventure, Comedy, Family","Children & Family Movies,Comedies,Movies Based on Books,Family Comedies,US Movies,Animation","Matt Whitlock, Dan Forgione, Pete Jacobs"
The Match,"Comedy, Romance, Sport","Sports Movies,Dramas,Sports Dramas,Italian Movies,International Dramas,The Beautiful Game,Italian Dramas,European Dramas,European Movies,Soccer Movies",Mick Davis
True: Friendship Day,"Animation, Family","Children & Family Movies,Canadian Movies,Animation","Todd Kauffman, Mark Thornton"
Couples Come Dine with Me,Reality-TV,"Reality TV,Comedy Programmes,Competition Reality TV,British Programmes,Food & Travel TV",
Come Dine with Me,"Game-Show, Reality-TV","Reality TV,Comedy Programmes,Competition Reality TV,British Programmes,Food & Travel TV",
The New World,"Biography, Drama, History, Romance","Movies Based on Real Life,Romantic Dramas,Dramas,Romantic Movies,Period Pieces,Romantic Favorites",Terrence Malick
Dudley Do-Right,"Comedy, Family, Romance","Children & Family Movies,Comedies,Family Comedies,Family Adventures,US Movies,Laugh-Out-Loud Comedies,Family Cozy Time",Hugh Wilson
Maniyarayile Ashokan,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Indian Films,Malayalam-language Films,International Comedies,Quirky Romance",Shamzu Zayba
Necropolis Symphony,"Comedy, Musical, Romance","Brazilian Movies,Comedies,Horror Movies,Musicals,Brazilian Comedies,Music & Musicals,Brazilian Music & Musicals,Horror Comedies",Juliana Rojas
Santana,"Action, Crime, Drama","Action & Adventure,African Movies,Crime Action & Adventure,International Action & Adventure,South African Movies,Crime Movies,Action Movies,Crime Action","Chris Roland, Maradona Dias Dos Santos"
I AM A KILLER: RELEASED,"Documentary, Crime","Docuseries,British TV Shows,True Crime Documentaries,Crime Documentaries",
Masaba Masaba,"Comedy, Drama","TV Comedies,TV Dramas,Indian TV Shows,Hindi-Language TV Shows",
Unknown Origins,"Action, Adventure, Comedy, Crime, Drama, Mystery, Thriller","Thriller Movies,Movies Based on Books,Mysteries,Crime Thrillers,Spanish Movies,Police Thrillers,Police Mysteries,Police Movies,International Thrillers,Crime Movies,European Thrillers,European Movies",David Galán Galindo
Cobra Kai,"Action, Comedy, Drama, Sport","TV Action & Adventure,TV Dramas,US TV Shows",
All Together Now,Drama,"Teen Movies,Social Issue Dramas,Dramas,Tearjerkers,Movies Based on Books,US Movies,Youth Movies",Brett Haley
Zengo,Comedy,"Comedies,Turkish Movies","Sahan Gökbakar, Muge Manus"
The Bridge Curse,"Horror, Mystery, Thriller","Chinese Movies,Horror Movies,Thriller Movies,Mysteries,Chilling Horror Movies,Taiwanese Movies,International Thrillers,Supernatural Thrillers,Supernatural Horror Movies",Lester Hsi
After the Rain,Drama,"Anime Series,Teen Romance,Romance Anime,Sports Anime,School Anime,Anime Based on Comics",Takashi Koizumi
Making The Witcher,Documentary,"Sci-Fi & Fantasy,Fantasy Movies,Documentary Films,Monster Movies,US Movies",Nathan Wiley
Her Mothers Killer,,"TV Dramas,Political TV Shows,Latin American TV Shows,TV Soaps,Colombian TV Shows",Yoshinori Saito
Rising Phoenix,"Documentary, Sport","Sports Documentaries,Sports Movies,British Movies,Documentary Films,Sports & Fitness","Ian Bonhôte, Peter Ettedgui"
Million Dollar Beach House,Reality-TV,"Reality TV,US TV Shows,Home & Garden Reality TV,Lifestyle,Reality, Variety & Talk Shows,Variety Entertainment,International Reality, Talk & Variety Shows",
Photograph,"Drama, Romance","Romantic Dramas,Bollywood Films,Dramas,Independent Films,Romantic Films,Romantic Independent Films,Indian Films,Hindi-language Films,International Dramas",Ritesh Batra
Emilys Wonder Lab,"Short, Drama","Kids&#39; TV,Family Watch Together TV,Education for Kids",Caroline Harvey
By the Grace of God,"Crime, Drama","Social Issue Dramas,Dramas,French Films,International Dramas",François Ozon
Mrs. Right Guy,"Comedy, Romance","African Films,Romantic Comedies,Comedies,Romantic Films,South African Films",Adze Ugah
Southern Cross,"Action, Drama, Thriller","African Films,Dramas,South African Films",James Becket
Black Rose,"Action, Crime, Drama","African Films,Social Issue Dramas,Dramas,Nollywood Films",Alexander Nevsky
Love the Way U Lie,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Movies,Filipino Movies",RC Delos Reyes
Politics,"Crime, Drama, Thriller","Political Comedies,Satires,Dramas,Polish Comedies,Polish Movies,Comedies,Political Dramas,Polish Dramas",Prakash Jha
Official Secrets,"Biography, Crime, Drama, Thriller, War","Movies Based on Real Life,Thriller Movies,British Movies",Gavin Hood
Hoops,"Drama, Short","Sitcoms,TV Comedies,Adult Animation,US TV Shows,Animation",John Lyde
Alien TV,"Animation, Comedy, Family","TV Comedies,TV Cartoons,Kids&#39; TV,Canadian TV Shows,Animation",
Class of 83,"Action, Crime, Drama, Thriller","Bollywood Movies,Dramas,Crime Movies,Crime Dramas,Thriller Movies,Movies Based on Books,Indian Movies,Crime Thrillers,Gangster Movies,Hindi-Language Movies,Police Thrillers,Police Movies,Police Dramas,International Thrillers,International Dramas,Police Detective Movies",Mark L. Lester
Dark Forces,"Action, Horror, Mystery, Thriller","TV Dramas,Mexican TV Shows,Latin American TV Shows,TV Horror,Latin American Films,Independent Films,Film Noir,Mexican Films,Horror Films,Supernatural Horror Films,Psychological Horror Movies",Bernardo Arellano
The Sleepover,"Action, Adventure, Comedy, Family","Children & Family Movies,Action & Adventure,Crime Comedies,Crime Movies,Comedies,Crime Action & Adventure,Mysteries,Heist Movies,Action Comedies,Family Comedies,US Movies,Heist Action & Adventure",Trish Sie
Psychopath with Piers Morgan,Documentary,"Crime Films,British Crime Films,Crime Documentaries,British Films,True Crime Documentaries,Documentaries",Stuart Cabb
Confessions of a Serial Killer with Piers Morgan,"Documentary, Crime","Crime Films,British Crime Films,Crime Documentaries,British Films,True Crime Documentaries,Documentaries",
Biohackers,"Drama, Sci-Fi, Thriller","TV Dramas,German TV Shows,TV Thrillers,Sci-Fi TV",
The Crimes That Bind,"Crime, Drama, Thriller","Social Issue Dramas,Dramas,Crime Movies,Argentinian Movies,Crime Dramas,Latin American Films,Argentinian Dramas,International Dramas",Sebastián Schindel
John Was Trying to Contact Aliens,"Documentary, Short, Biography, Romance, Sci-Fi","Biographical Documentaries,Social & Cultural Docs,LGBTQ Movies,Documentary Films,US Movies,LGBTQ Documentaries",Matthew Killip
Bloodshot,"Action, Drama, Sci-Fi","Action & Adventure,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Comic Book and Superhero Films,US Movies",Dave Wilson
