director_name,genres,comb
Steven Spielberg,Drama History,Anthony Hopkins Morgan Freeman Matthew McConaughey Steven Spielberg Drama History
John McTiernan,Adventure Drama Romance,Lorraine Bracco José Wilker Sean Connery John McTiernan Adventure Drama Romance
Colin Strause,Action Horror Sci-Fi Thriller,Sam Trammell Johnny Lewis Ian Whyte Colin Strause Action Horror Sci-Fi Thriller
Donald Petrie,Comedy Family,Macaulay Culkin John Larroquette Jonathan Hyde Donald Petrie Comedy Family
Joan Chen,Drama Romance,J.K. Simmons Sam Trammell Elaine Stritch Joan Chen Drama Romance
Marc Lawrence,Comedy Music Romance,Brad Garrett Scott Porter Haley Bennett Marc Lawrence Comedy Music Romance
Greg Mottola,Adventure Comedy Sci-Fi,Bobby Lee Nelson Ascencio Jeremy Owen Greg Mottola Adventure Comedy Sci-Fi
Anne Fletcher,Comedy Drama,Miriam Margolyes Tom Virtue Julene Renee Anne Fletcher Comedy Drama
Wes Craven,Horror Mystery,Alison Brie Aimee Teegarden Shenae Grimes-Beech Wes Craven Horror Mystery
Joel Schumacher,Mystery Thriller,Nicolas Cage Chris Bauer Anthony Heald Joel Schumacher Mystery Thriller
Oliver Stone,Biography Drama Music Musical,Michael Wincott Kevin Dillon Kathleen Quinlan Oliver Stone Biography Drama Music Musical
Jake Kasdan,Comedy,James Wilcox Randall Park Nat Faxon Jake Kasdan Comedy
Diane Keaton,Comedy Drama,Adam Arkin Celia Weston Jesse James Diane Keaton Comedy Drama
Steven Quale,Horror,Emma Bell Jacqueline MacInnes Wood Courtney B. Vance Steven Quale Horror
Kelly Makin,Comedy Crime Romance,Jeanne Tripplehorn Burt Young Vincent Pastore Kelly Makin Comedy Crime Romance
Mimi Leder,Drama,Kevin Spacey Haley Joel Osment Angie Dickinson Mimi Leder Drama
Bobby Farrelly,Comedy Drama Romance Sport,Jimmy Fallon KaDee Strickland Ione Skye Bobby Farrelly Comedy Drama Romance Sport
unknown,Animation Comedy Family,Bruce Dinsmore Melissa Altro Daniel Brochu unknown Animation Comedy Family
Steven Brill,Comedy Drama,Lisa Ann Walter Shaun Weiss Matt Walsh Steven Brill Comedy Drama
Seth MacFarlane,Comedy Western,Liam Neeson Charlize Theron Seth MacFarlane Seth MacFarlane Comedy Western
Russell Mulcahy,Action Adventure Crime Fantasy Mystery Thriller,Jonathan Winters Peter Boyle John Kapelos Russell Mulcahy Action Adventure Crime Fantasy Mystery Thriller
Stephen Daldry,Adventure Drama Mystery,Tom Hanks Thomas Horn Stephen Henderson Stephen Daldry Adventure Drama Mystery
Roger Michell,Comedy Drama Romance,Noah Bean Patti D'Arbanville Vanessa Aspillaga Roger Michell Comedy Drama Romance
Jim Sheridan,Biography Crime Drama Music,50 Cent Bill Duke Marc John Jefferies Jim Sheridan Biography Crime Drama Music
Christian Duguay,Action Adventure Crime Thriller,Michael Biehn Cary-Hiroyuki Tagawa Anne Archer Christian Duguay Action Adventure Crime Thriller
Chris Columbus,Drama Musical Romance,Rosario Dawson David Fine Jesse L. Martin Chris Columbus Drama Musical Romance
Chuck Russell,Crime Drama Horror Thriller,Rufus Sewell Jimmy Smits Angela Bettis Chuck Russell Crime Drama Horror Thriller
Sam Weisman,Comedy,Oliver Hudson Valerie Perri Carlease Burke Sam Weisman Comedy
John Frankenheimer,Horror Sci-Fi Thriller,Marlon Brando Temuera Morrison Marco Hofschneider John Frankenheimer Horror Sci-Fi Thriller
Peter Hyams,Action Adventure Romance,Catherine Deneuve Justin Chambers Stephen Rea Peter Hyams Action Adventure Romance
Justin Chadwick,Biography Drama History Romance,Natalie Portman Scarlett Johansson Benedict Cumberbatch Justin Chadwick Biography Drama History Romance
Pat O'Connor,Drama Romance,Keanu Reeves Charlize Theron Frank Langella Pat O'Connor Drama Romance
Stephen Hopkins,Horror Thriller,Stephen Rea Andrea Frankle William Ragsdale Stephen Hopkins Horror Thriller
Martin Scorsese,Crime Drama Romance Thriller,Robert De Niro David Carradine David Proval Martin Scorsese Crime Drama Romance Thriller
Penny Marshall,Comedy Drama,Ed Begley Jr. Cliff Robertson Lillo Brancato Penny Marshall Comedy Drama
Olivier Megaton,Action Crime Drama Thriller,Jordi Mollà Callum Blue Jesse Borrego Olivier Megaton Action Crime Drama Thriller
Frederik Du Chau,Adventure Animation Comedy Drama Family Fantasy Musical,Gary Oldman Jaleel White Eric Idle Frederik Du Chau Adventure Animation Comedy Drama Family Fantasy Musical
Michael Caton-Jones,Crime Drama Mystery Thriller,Robert De Niro James Franco John Doman Michael Caton-Jones Crime Drama Mystery Thriller
Irwin Winkler,Drama Romance,Mira Sorvino Nathan Lane Steven Weber Irwin Winkler Drama Romance
Joseph Kahn,Action Comedy Crime,Dane Cook Jay Hernandez Christina Milian Joseph Kahn Action Comedy Crime
Harold Becker,Drama Thriller,Al Pacino Martin Landau Bridget Fonda Harold Becker Drama Thriller
Paul Verhoeven,Drama,Bobbie Phillips Elizabeth Berkley Robert Davi Paul Verhoeven Drama
Sofia Coppola,Biography Drama History Romance,Kirsten Dunst Shirley Henderson Rip Torn Sofia Coppola Biography Drama History Romance
Barbet Schroeder,Action Crime Thriller,Nicolas Cage Michael Rapaport Philip Baker Hall Barbet Schroeder Action Crime Thriller
Stephen Kay,Action Crime Drama Thriller,Sylvester Stallone Miranda Richardson Lauren Lee Smith Stephen Kay Action Crime Drama Thriller
J.A. Bayona,Drama Thriller,Naomi Watts Geraldine Chaplin Oaklee Pendergast J.A. Bayona Drama Thriller
Elaine May,Action Adventure Comedy Music Thriller,Carol Kane Warren Beatty Isabelle Adjani Elaine May Action Adventure Comedy Music Thriller
Wes Anderson,Adventure Animation Comedy Crime Family,Bill Murray Meryl Streep Helen McCrory Wes Anderson Adventure Animation Comedy Crime Family
Stephen Herek,Comedy Romance,Angelina Jolie Pitt Stockard Channing James Gammon Stephen Herek Comedy Romance
John Carpenter,Comedy Romance Sci-Fi Thriller,Richard Epcar Michael McKean Patricia Heaton John Carpenter Comedy Romance Sci-Fi Thriller
Jean-Pierre Jeunet,Comedy Romance,Mathieu Kassovitz Jamel Debbouze Isabelle Nanty Jean-Pierre Jeunet Comedy Romance
Dennie Gordon,Comedy Crime Family Romance,Mary-Kate Olsen Bob Saget Riley Smith Dennie Gordon Comedy Crime Family Romance
Charles Shyer,Comedy Drama Romance,Omar Epps Nia Long Jane Krakowski Charles Shyer Comedy Drama Romance
Ken Kwapis,Biography Drama Romance,Ted Danson Tim Blake Nelson Andrew Daly Ken Kwapis Biography Drama Romance
Ulu Grosbard,Drama,Alexa PenaVega Treat Williams Jonathan Jackson Ulu Grosbard Drama
William Malone,Crime Horror Thriller,Natascha McElhone Jeffrey Combs Udo Kier William Malone Crime Horror Thriller
Paul Weitz,Action Adventure Fantasy Thriller,Josh Hutcherson Salma Hayek Patrick Fugit Paul Weitz Action Adventure Fantasy Thriller
Danny DeVito,Comedy,Justin Theroux Amber Valletta Harvey Fierstein Danny DeVito Comedy
Malcolm D. Lee,Comedy Drama Music,Bernie Mac Sean Hayes Mike Epps Malcolm D. Lee Comedy Drama Music
Jerry Jameson,Action Adventure Drama Thriller,M. Emmet Walsh Jason Robards Anne Archer Jerry Jameson Action Adventure Drama Thriller
Mic Rodgers,Action Sci-Fi,Michael Jai White Daniel von Bargen Xander Berkeley Mic Rodgers Action Sci-Fi
Christian Alvart,Action Horror Mystery Sci-Fi Thriller,Norman Reedus Dennis Quaid Eddie Rouse Christian Alvart Action Horror Mystery Sci-Fi Thriller
Gary Fleder,Drama Mystery Sci-Fi Thriller,Gary Dourdan Mekhi Phifer Tim Guinee Gary Fleder Drama Mystery Sci-Fi Thriller
Christian Duguay,Action Adventure Thriller,Rufus Sewell Bridgette Wilson-Sampras Rupert Graves Christian Duguay Action Adventure Thriller
Jean-Marie Poiré,Comedy Fantasy Sci-Fi,Bridgette Wilson-Sampras Matt Ross John Aylward Jean-Marie Poiré Comedy Fantasy Sci-Fi
Danny Boyle,Adventure Sci-Fi Thriller,Chris Evans Benedict Wong Troy Garity Danny Boyle Adventure Sci-Fi Thriller
Brian Robbins,Comedy Drama,John Gatins Lou Saliba Greg Collins Brian Robbins Comedy Drama
Marc F. Adler,Adventure Animation Comedy Fantasy Romance,Eric Idle Anne Bancroft Kelly Ripa Marc F. Adler Adventure Animation Comedy Fantasy Romance
Pierre Morel,Action Crime Drama Mystery Thriller,Ray Winstone Mark Rylance Jasmine Trinca Pierre Morel Action Crime Drama Mystery Thriller
Geoffrey Sax,Action Adventure Family Thriller,Alex Pettyfer Sophie Okonedo Ashley Walters Geoffrey Sax Action Adventure Family Thriller
Iain Softley,Comedy Crime Drama Thriller,Angelina Jolie Pitt Fisher Stevens Lorraine Bracco Iain Softley Comedy Crime Drama Thriller
Richard Shepard,Adventure Comedy Drama Romance Thriller War,James Brolin Zan Marolt Ljubomir Kerekes Richard Shepard Adventure Comedy Drama Romance Thriller War
Joel Coen,Comedy Fantasy,Jennifer Jason Leigh Bill Cobbs John Mahoney Joel Coen Comedy Fantasy
Peter Ho-Sun Chan,Action Drama History Romance War,Jet Li Takeshi Kaneshiro Andy Lau Peter Ho-Sun Chan Action Drama History Romance War
Sergey Bodrov,Drama History War,Jay Hernandez Kuno Becker Jason Scott Lee Sergey Bodrov Drama History War
Joon-ho Bong,Action Drama Sci-Fi Thriller,Chris Evans Ewen Bremner Kang-ho Song Joon-ho Bong Action Drama Sci-Fi Thriller
Bibo Bergeron,Adventure Animation Comedy Fantasy Music Romance,Adam Goldberg Bob Balaban François Cluzet Bibo Bergeron Adventure Animation Comedy Fantasy Music Romance
Jeff Nathanson,Comedy,Matthew Broderick Glenn Morshower Tim Blake Nelson Jeff Nathanson Comedy
Alex Proyas,Action Drama Fantasy,Michael Wincott Bai Ling David Patrick Kelly Alex Proyas Action Drama Fantasy
S.S. Rajamouli,Action Adventure Drama Fantasy War,Tamannaah Bhatia Anushka Shetty Prabhas S.S. Rajamouli Action Adventure Drama Fantasy War
Robert Schwentke,Drama Fantasy Romance Sci-Fi,Arliss Howard Brooklynn Proulx Michelle Nolden Robert Schwentke Drama Fantasy Romance Sci-Fi
Michael Lehmann,Comedy Romance,Colin Ferguson Stephen Collins Tom Everett Scott Michael Lehmann Comedy Romance
Rob Cohen,Action Crime Thriller,Paul Walker Vin Diesel Jordana Brewster Rob Cohen Action Crime Thriller
Tim Burton,Animation Comedy Family Horror Sci-Fi,Martin Landau Catherine O'Hara Atticus Shaffer Tim Burton Animation Comedy Family Horror Sci-Fi
Joss Whedon,Action Adventure Sci-Fi Thriller,Adam Baldwin Sean Maher Michael Hitchcock Joss Whedon Action Adventure Sci-Fi Thriller
Charles S. Dutton,Biography Drama Romance Sport,Omar Epps Charles S. Dutton Tim Daly Charles S. Dutton Biography Drama Romance Sport
Richard Lester,Action Comedy Sci-Fi,Margot Kidder Robert Vaughn Jackie Cooper Richard Lester Action Comedy Sci-Fi
Peter Segal,Comedy Sport,Robert De Niro Sylvester Stallone Oscar Gale Peter Segal Comedy Sport
John Woo,Action Adventure Drama History War,Takeshi Kaneshiro Tony Chiu Wai Leung Wei Zhao John Woo Action Adventure Drama History War
Andy Tennant,Comedy Romance,Ethan Embry Mary Lynn Rajskub Courtney Gains Andy Tennant Comedy Romance
Robert Luketic,Comedy Romance,Gerard Butler John Michael Higgins Eric Winter Robert Luketic Comedy Romance
Jonathan Lynn,Comedy,Austin Pendleton Phil Hartman Max Casella Jonathan Lynn Comedy
Robert Rodriguez,Action Adventure Comedy Family Sci-Fi,Steve Buscemi Alexa PenaVega Emily Osment Robert Rodriguez Action Adventure Comedy Family Sci-Fi
David Carson,Action Adventure Mystery Sci-Fi Thriller,LeVar Burton Alan Ruck Jonathan Frakes David Carson Action Adventure Mystery Sci-Fi Thriller
Kar-Wai Wong,Action Biography Drama,Tony Chiu Wai Leung Hye-kyo Song Elvis Tsui Kar-Wai Wong Action Biography Drama
Francis Lawrence,Drama Romance,Robert Pattinson Christoph Waltz James Frain Francis Lawrence Drama Romance
unknown,Comedy Family Sci-Fi,Joseph Gordon-Levitt Wayne Knight Kristen Johnston unknown Comedy Family Sci-Fi
Yuefeng Song,Adventure Animation Family Fantasy,Blythe Auffarth Bianca Collins Jiao Xu Yuefeng Song Adventure Animation Family Fantasy
Norman Jewison,Biography Drama Sport,Denzel Washington Vincent Pastore Deborah Kara Unger Norman Jewison Biography Drama Sport
Michael Apted,Crime Drama Thriller,Bill Cobbs Jeff Kober Billy Campbell Michael Apted Crime Drama Thriller
David Mirkin,Comedy Crime Romance,Sarah Silverman Anne Bancroft Jeffrey Jones David Mirkin Comedy Crime Romance
Andy Fickman,Action Comedy Crime,D.B. Woodside Daniella Alonso Eduardo Verástegui Andy Fickman Action Comedy Crime
Luis Mandoki,Drama Romance,Sonia Braga Shirley Knight Kari Matchett Luis Mandoki Drama Romance
John Pasquin,Comedy Drama,Jim Belushi Ken Marino Kelly Lynch John Pasquin Comedy Drama
Roman Polanski,Mystery Thriller,Johnny Depp Frank Langella Lena Olin Roman Polanski Mystery Thriller
Michael Apted,Crime Drama Mystery Thriller,J.K. Simmons Paul Guilfoyle Bill Nunn Michael Apted Crime Drama Mystery Thriller
Stephen Herek,Drama Music,Beth Grant Dagmara Dominczyk Matthew Glave Stephen Herek Drama Music
Ridley Scott,Adventure Drama,Jeff Bridges Jason Marsden Ethan Embry Ridley Scott Adventure Drama
John Carpenter,Horror Mystery Sci-Fi,Wilford Brimley Richard Masur David Clennon John Carpenter Horror Mystery Sci-Fi
David Twohy,Action Sci-Fi Thriller,Vin Diesel Nolan Gerard Funk Bokeem Woodbine David Twohy Action Sci-Fi Thriller
Jeb Stuart,Crime Mystery Thriller,Gregory Scott Cummins Claudia Stedelin Ted Markland Jeb Stuart Crime Mystery Thriller
Steve Miner,Action Adventure Drama Thriller Western,Tom Skerritt Usher Raymond Leonor Varela Steve Miner Action Adventure Drama Thriller Western
Gil Kenan,Adventure Family Fantasy Sci-Fi,Bill Murray Toby Jones Harry Treadaway Gil Kenan Adventure Family Fantasy Sci-Fi
Paul Thomas Anderson,Drama,Mike Howard Jeffrey W. Jenkins Bruce Goodchild Paul Thomas Anderson Drama
David Leland,Adventure Comedy History Romance,Hayden Christensen Ryan Cartwright David Walliams David Leland Adventure Comedy History Romance
Gary Fleder,Biography Drama Sport,Dennis Quaid Nicole Beharie Charles S. Dutton Gary Fleder Biography Drama Sport
J Blakeson,Action Adventure Sci-Fi Thriller,Chloë Grace Moretz Maggie Siff Nick Robinson J Blakeson Action Adventure Sci-Fi Thriller
Ryan Coogler,Drama Sport,Sylvester Stallone Phylicia Rashad Graham McTavish Ryan Coogler Drama Sport
Ben Affleck,Crime Drama Thriller,Jeremy Renner Jon Hamm Owen Burke Ben Affleck Crime Drama Thriller
Kirk Jones,Comedy Drama Romance,Anna Kendrick Dennis Quaid Thomas Lennon Kirk Jones Comedy Drama Romance
Ethan Coen,Comedy Drama,J.K. Simmons Brad Pitt Kevin Sussman Ethan Coen Comedy Drama
Jennifer Flackett,Adventure Comedy Family Fantasy,Gerard Butler Anthony Simcoe Christopher James Baker Jennifer Flackett Adventure Comedy Family Fantasy
Ron Howard,Action Biography Drama Sport,Chris Hemsworth Olivia Wilde Alexandra Maria Lara Ron Howard Action Biography Drama Sport
Paul Thomas Anderson,Drama,Patton Oswalt Neil Flynn Jim Meskimen Paul Thomas Anderson Drama
Kevin Smith,Action Comedy Crime,Bruce Willis Tracy Morgan Kevin Pollak Kevin Smith Action Comedy Crime
Christian Ditter,Comedy Romance,Alison Brie Damon Wayans Jr. Nicholas Braun Christian Ditter Comedy Romance
Charles Martin Smith,Drama Family,Morgan Freeman Michael Roark Harry Connick Jr. Charles Martin Smith Drama Family
Nick Cassavetes,Crime Drama Thriller,Denzel Washington Laura Harring Anne Heche Nick Cassavetes Crime Drama Thriller
Les Mayfield,Action Comedy Crime Thriller,Peter Greene Dave Chappelle Tamala Jones Les Mayfield Action Comedy Crime Thriller
Rawson Marshall Thurber,Comedy Crime,Laura-Leigh Molly C. Quinn Thomas Lennon Rawson Marshall Thurber Comedy Crime
Fedor Bondarchuk,Action Adventure Sci-Fi,Yuliya Snigir Fedor Bondarchuk Aleksey Serebryakov Fedor Bondarchuk Action Adventure Sci-Fi
Jonathan Mostow,Action Crime Drama Mystery Thriller,Kathleen Quinlan M.C. Gainey J.T. Walsh Jonathan Mostow Action Crime Drama Mystery Thriller
Irvin Kershner,Action Adventure Thriller,Bernie Casey Klaus Maria Brandauer Barbara Carrera Irvin Kershner Action Adventure Thriller
Steve Pink,Comedy Sci-Fi,Charlie McDermott Collette Wolfe Crystal Lowe Steve Pink Comedy Sci-Fi
Charles Martin Smith,Drama Family,Morgan Freeman Taylor Blackwell Harry Connick Jr. Charles Martin Smith Drama Family
John Frankenheimer,Action Adventure Crime Drama Family Fantasy Romance Thriller,Charlize Theron James Frain Clarence Williams III John Frankenheimer Action Adventure Crime Drama Family Fantasy Romance Thriller
F. Gary Gray,Action Crime Drama Thriller,Vin Diesel Jeff Kober Larenz Tate F. Gary Gray Action Crime Drama Thriller
Rob Reiner,Drama History,Alexa PenaVega Virginia Madsen Craig T. Nelson Rob Reiner Drama History
Scott Hicks,Drama Mystery Romance Thriller,Rick Yune Reeve Carney Daniel von Bargen Scott Hicks Drama Mystery Romance Thriller
Mikael Håfström,Drama Horror Mystery Thriller,Anthony Hopkins Colin O'Donoghue Toby Jones Mikael Håfström Drama Horror Mystery Thriller
Andrew Niccol,Drama Sci-Fi Thriller,Blair Underwood Xander Berkeley Mason Gamble Andrew Niccol Drama Sci-Fi Thriller
Andrew Bergman,Biography Comedy Romance,Stockard Channing Nathan Lane John Larroquette Andrew Bergman Biography Comedy Romance
Kirk De Micco,Adventure Animation Comedy Family Sci-Fi,Cheryl Hines Kenan Thompson Omid Abtahi Kirk De Micco Adventure Animation Comedy Family Sci-Fi
Chris Rock,Comedy,Bernie Mac Dylan Baker Tracy Morgan Chris Rock Comedy
Todd Phillips,Comedy,Bradley Cooper Rob Riggle Mike Epps Todd Phillips Comedy
Wilson Yip,Action Biography Drama History,Mike Tyson Lynn Hung Kwok-Kwan Chan Wilson Yip Action Biography Drama History
Jay Roach,Action Adventure Comedy Crime,Muse Watson Verne Troyer Robert Wagner Jay Roach Action Adventure Comedy Crime
Tim Burton,Action Adventure,Michael Gough Jack Palance William Hootkins Tim Burton Action Adventure
Roland Joffé,Biography Drama War,Jordi Mollà Dougray Scott Lily Cole Roland Joffé Biography Drama War
Richard Donner,Action Crime Thriller,Rene Russo Nick Chinlund Stuart Wilson Richard Donner Action Crime Thriller
John Lee Hancock,Biography Drama Sport,Catherine Dyer Quinton Aaron Kim Dickens John Lee Hancock Biography Drama Sport
unknown,Action Comedy Crime,Jon Foo Aimee Garcia Wendie Malick unknown Action Comedy Crime
Robert Rodriguez,Action Adventure Comedy Family Sci-Fi,Alexa PenaVega Cheech Marin Daryl Sabara Robert Rodriguez Action Adventure Comedy Family Sci-Fi
Seth Gordon,Comedy Crime,Kevin Spacey Lindsay Sloane Reginald Ballard Seth Gordon Comedy Crime
Ethan Coen,Adventure Drama Western,Matt Damon Jeff Bridges Bruce Green Ethan Coen Adventure Drama Western
David Frankel,Comedy Drama Romance,Meryl Streep Anne Hathaway Rebecca Mader David Frankel Comedy Drama Romance
Robert Wise,Adventure Mystery Sci-Fi,Leonard Nimoy Nichelle Nichols Walter Koenig Robert Wise Adventure Mystery Sci-Fi
Seth Gordon,Comedy Crime,Jon Favreau Eric Stonestreet T.I. Seth Gordon Comedy Crime
Martin Scorsese,Crime Thriller,Robert De Niro Robert Mitchum Joe Don Baker Martin Scorsese Crime Thriller
Robert Luketic,Crime Drama Thriller,Kevin Spacey Jim Sturgess Josh Gad Robert Luketic Crime Drama Thriller
Judd Apatow,Comedy Romance,Amy Schumer Randall Park Josh Segarra Judd Apatow Comedy Romance
Kevin Rodney Sullivan,Comedy Romance,Bernie Mac Nicole Sullivan Sherri Shepherd Kevin Rodney Sullivan Comedy Romance
Anthony Minghella,Drama Romance War,Colin Firth Kristin Scott Thomas Jürgen Prochnow Anthony Minghella Drama Romance War
Curtis Hanson,Crime Drama Mystery Thriller,Kevin Spacey Matt McCoy Paul Guilfoyle Curtis Hanson Crime Drama Mystery Thriller
Mike Mitchell,Adventure Comedy Family Sci-Fi,Michael Angarano Kelly Preston Nicholas Braun Mike Mitchell Adventure Comedy Family Sci-Fi
Frank Oz,Comedy,Tom Selleck Wilford Brimley Lauren Ambrose Frank Oz Comedy
Roger Donaldson,Action Horror Sci-Fi Thriller,Natasha Henstridge Marg Helgenberger Jordan Lund Roger Donaldson Action Horror Sci-Fi Thriller
Tarsem Singh,Horror Sci-Fi Thriller,Dylan Baker Jake Weber James Gammon Tarsem Singh Horror Sci-Fi Thriller
Randall Wallace,Action Adventure,Leonardo DiCaprio Anne Parillaud Judith Godrèche Randall Wallace Action Adventure
Randall Wallace,Biography Drama Family History Sport,Scott Glenn Kevin Connolly Dylan Walsh Randall Wallace Biography Drama Family History Sport
Kevin Munroe,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Chris Evans Sarah Michelle Gellar Mako Kevin Munroe Action Adventure Animation Comedy Family Fantasy Sci-Fi
Michael Tollin,Biography Drama Sport,Alfre Woodard Riley Smith Debra Winger Michael Tollin Biography Drama Sport
Will Gluck,Comedy Romance,Mila Kunis Justin Timberlake Masi Oka Will Gluck Comedy Romance
Nicholas Stoller,Comedy,Chloë Grace Moretz Ike Barinholtz Kiersey Clemons Nicholas Stoller Comedy
John Lee Hancock,Biography Comedy Drama History Music,Tom Hanks Ruth Wilson B.J. Novak John Lee Hancock Biography Comedy Drama History Music
Spike Lee,Biography Drama History Romance,Denzel Washington Delroy Lindo Al Freeman Jr. Spike Lee Biography Drama History Romance
Judd Apatow,Comedy,Charlyne Yi Maude Apatow Mackenzie Aladjem Judd Apatow Comedy
Walt Becker,Comedy Family,Robin Williams Bernie Mac Ann-Margret Walt Becker Comedy Family
Patrick Tatopoulos,Action Adventure Fantasy Sci-Fi Thriller,Craig Parker Kevin Grevioux Steven Mackintosh Patrick Tatopoulos Action Adventure Fantasy Sci-Fi Thriller
Ken Kwapis,Comedy Romance,Robin Williams Christine Taylor Mindy Kaling Ken Kwapis Comedy Romance
Dennis Dugan,Comedy Romance Sport,Jon Lovitz Jon Heder Tim Meadows Dennis Dugan Comedy Romance Sport
Gary David Goldberg,Comedy Romance,Stockard Channing Victor Webster Elizabeth Perkins Gary David Goldberg Comedy Romance
Mike Newell,Biography Crime Drama,Johnny Depp Al Pacino Anne Heche Mike Newell Biography Crime Drama
Paul W.S. Anderson,Action Horror Sci-Fi,Milla Jovovich Jaymes Butler Colin Salmon Paul W.S. Anderson Action Horror Sci-Fi
Ethan Coen,Comedy Crime Thriller,J.K. Simmons Tom Hanks Stephen Root Ethan Coen Comedy Crime Thriller
John Moore,Action Crime Drama Mystery Thriller,Mila Kunis Beau Bridges Jamie Hector John Moore Action Crime Drama Mystery Thriller
Andrew Niccol,Action Sci-Fi Thriller,Matt Bomer Olivia Wilde Justin Timberlake Andrew Niccol Action Sci-Fi Thriller
Alan Poul,Comedy Romance,Danneel Ackles Noureen DeWulf Tom Bosley Alan Poul Comedy Romance
Luke Greenfield,Comedy Drama Romance,Ashley Williams Steve Howey Kirsten Day Luke Greenfield Comedy Drama Romance
unknown,Drama Romance,Jodi Lyn O'Keefe Kimberly Elise Logan Browning unknown Drama Romance
Gil Junger,Adventure Comedy Fantasy,Tom Wilkinson Marsha Thomason Vincent Regan Gil Junger Adventure Comedy Fantasy
Michael Ritchie,Comedy Drama Family Sport,Tatum O'Neal Vic Morrow Joyce Van Patten Michael Ritchie Comedy Drama Family Sport
Steven E. de Souza,Action Adventure Comedy Thriller,Ming-Na Wen Raul Julia Kylie Minogue Steven E. de Souza Action Adventure Comedy Thriller
Roman Polanski,Biography Drama War,Emilia Fox Frank Finlay Ed Stoppard Roman Polanski Biography Drama War
Albert Hughes,Horror Mystery Thriller,Johnny Depp Jason Flemyng Ian Richardson Albert Hughes Horror Mystery Thriller
Catherine Hardwicke,Drama Family Fantasy,Keisha Castle-Hughes Hiam Abbass Shaun Toub Catherine Hardwicke Drama Family Fantasy
Mike Nichols,Drama Romance,Natalie Portman Julia Roberts Colin Stinton Mike Nichols Drama Romance
Clint Eastwood,Biography Crime Drama,Leonardo DiCaprio Naomi Watts Kaitlyn Dever Clint Eastwood Biography Crime Drama
Alexandre Aja,Horror Mystery,Jason Flemyng Cameron Boyce Julian Glover Alexandre Aja Horror Mystery
Michael Rymer,Drama Fantasy Horror,Aaliyah Lena Olin Bruce Spence Michael Rymer Drama Fantasy Horror
Stephen Hopkins,Action Horror Sci-Fi,Adam Baldwin Robert Davi Kevin Peter Hall Stephen Hopkins Action Horror Sci-Fi
Gregory Hoblit,Crime Drama Thriller,Billy Burke Jesse Tyler Ferguson Joseph Cross Gregory Hoblit Crime Drama Thriller
Hugh Wilson,Comedy Drama Romance Sci-Fi,Brendan Fraser Sissy Spacek Douglas Smith Hugh Wilson Comedy Drama Romance Sci-Fi
Mike Hodges,Action Adventure Sci-Fi,Brian Blessed William Hootkins Sam J. Jones Mike Hodges Action Adventure Sci-Fi
Kevin Smith,Comedy Drama Romance,Stephen Root Mike Starr George Carlin Kevin Smith Comedy Drama Romance
Rob Cohen,Action Crime Mystery Thriller,Cicely Tyson Chad Lindberg Carmen Ejogo Rob Cohen Action Crime Mystery Thriller
Clint Eastwood,Crime Drama Mystery Thriller,Kevin Spacey Bob Gunton Leon Rippy Clint Eastwood Crime Drama Mystery Thriller
Susanna White,Comedy Family Fantasy,Daniel Mays Bill Bailey Eros Vlahos Susanna White Comedy Family Fantasy
Danny DeVito,Biography Crime Drama,Frank Whaley J.T. Walsh Paul Guilfoyle Danny DeVito Biography Crime Drama
Chris Carter,Drama Mystery Sci-Fi Thriller,Mitch Pileggi Callum Rennie Nicki Aycox Chris Carter Drama Mystery Sci-Fi Thriller
Tommy O'Haver,Comedy Family Fantasy Romance,Anne Hathaway Steve Coogan Joanna Lumley Tommy O'Haver Comedy Family Fantasy Romance
Peter Landesman,Biography Drama Sport,Will Smith Eddie Marsan Albert Brooks Peter Landesman Biography Drama Sport
Gary Chapman,Adventure Animation Comedy Family War,Jim Broadbent Olivia Williams Pip Torrens Gary Chapman Adventure Animation Comedy Family War
Curtis Hanson,Comedy Drama,Robert Downey Jr. Rip Torn Richard Thomas Curtis Hanson Comedy Drama
Craig Mazin,Action Comedy Sci-Fi Thriller,Drake Bell Tracy Morgan Marion Ross Craig Mazin Action Comedy Sci-Fi Thriller
Allen Hughes,Crime Drama Thriller,Alona Tal James Ransone Michael Beach Allen Hughes Crime Drama Thriller
Wes Craven,Comedy Horror,Shannon Elizabeth Portia de Rossi Derek Mears Wes Craven Comedy Horror
David Koepp,Action Crime Thriller,Joseph Gordon-Levitt Dania Ramirez Aasif Mandvi David Koepp Action Crime Thriller
Anne Fletcher,Action Comedy Crime,Jim Gaffigan Richard T. Jones Michael Mosley Anne Fletcher Action Comedy Crime
Shekhar Kapur,Adventure Drama Romance War,Djimon Hounsou Lucy Gordon Alex Jennings Shekhar Kapur Adventure Drama Romance War
Taylor Hackford,Action Crime Romance Thriller,Jason Statham Clifton Collins Jr. Wendell Pierce Taylor Hackford Action Crime Romance Thriller
Richard Loncraine,Comedy Romance Sport,Kirsten Dunst Jon Favreau Austin Nichols Richard Loncraine Comedy Romance Sport
Roger Kumble,Comedy Family,Brendan Fraser Brooke Shields Matt Prokop Roger Kumble Comedy Family
Kimble Rendall,Action Horror Sci-Fi,Alex Russell Cariba Heine Richard Brancatisano Kimble Rendall Action Horror Sci-Fi
