Title,Director,Cast
Nayattu,Martin Prakkat,"Kunchacko Boban, Joju George, Nimisha Sajayan, Jaffer Idukki, Yama Gilgamesh, Anil Nedumangad, Dineesh P., Vinod Sagar, Ajith Koshy, Jithu Asharef, Kiran Peethambaran, Manohari Joy, Sminu Sijo, Arafath, Kanakam, Jineesh Chandran, Monica, Seju K. Eapen"
Dara iz Jasenovca,Predrag Antonijevic,"Biljana Cekic, Zlatan Vidovic, Anja Stanic, Luka Saranovic, Jakov Saranovic, Simon Saranovic, Marko Pipic, Natasa Ninkovic, Igor Djordjevic, Marko Janketic, Vuk Kostic, Bojan Zirovic, Sandra Ljubojevic, Nikola Radulj, Rajko Lukac, Vesna Kljajic-Ristovic, Nikolina Friganovic, Andjela Janjic"
Anand,Hrishikesh Mukherjee,"Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo, Seema Deo, Asit Kumar Sen, Atam Prakash, Lalita Kumari, Dev Kishan, Savita, Brahm Bhardwaj, Lalita Pawar, Durga Khote, Gurnam Singh, Dara Singh Randhawa, Johnny Walker, Nusrat Kardar, Moolchand"
Yang guang can lan de ri zi,Wen Jiang,"Yu Xia, Wei Chen, Shaobo Dai, Hua Fang, Xiaogang Feng, Yao Er Ga, Siqin Gaowa, Le Geng, Dong Han, Wen Jiang, Bin Liu, Xiaoning Liu, Jing Ning, Nan Shang, Hong Tao, Shuo Wang, Xueqi Wang, Shukun Wu"
Pardon,Mert Baykal,"Ferhan Sensoy, Rasim Öztekin, Ali Çatalbas, Bülent Kayabas, Zeki Alasya, Erol Günaydin, Sahnaz Çakiralp, Levent Ünsal, Sermiyan Midyat, Celal Belgil, Parkan Özturan, Levend Yilmaz, Canan Suavi, Ebru Soyuerdem, Hakan Bilgin, Orhan Edip Ertürk, Erkan Üçüncü, Orçun Kaptan"
"Montevideo, Bog te video!",Dragan Bjelogrlic,"Milos Bikovic, Petar Strugar, Nina Jankovic, Danina Jeftic, Vojin Cetkovic, Viktor Savic, Nikola Djuricko, Nebojsa Ilic, Milutin 'Mima' Karadzic, Branimir Brstina, Sergej Trifunovic, Predrag Vasic, Gordana Djurdjevic, Anita Mancic, Marko Nikolic, Darko Tomovic, Boris Komnenic, Srdjan Timarov"
Dzien swira,Marek Koterski,"Marek Kondrat, Janina Traczykówna, Andrzej Grabowski, Michal Koterski, Joanna Sienkiewicz, Monika Donner-Trelinska, Aleksander Bednarz, Zbigniew Buczkowski, Dorota Chotecka, Maria Ciunelis, Krystyna Czubówna, Bozena Dykiel, Piotr Fronczewski, Anna Gornostaj, Joanna Jedrejek, Jan Jurewicz, Joanna Kurowska, Piotr Machalica"
Evaru,Venkat Ramji,"Adivi Sesh, Regina Cassandra, Naveen Chandra, Murli Sharma, Dheeraj Aathreya, Thimmareddy Baitinti, Vishnu Besi, Nihal Kodhaty, Pavitra Lokesh, Munishwar, Kousi Orfahli, Sanjay Raichur, Eenadu Ramana, Srinivas Rao, Raja Ravindra, Manik Reddy, Pammi Sai, Sandhya"
Bombay,Mani Ratnam,"Arvind Swamy, Manisha Koirala, Nassar, Kitty, Master Harsha, Master Hriday, Prakash Raj, Tinnu Anand, Akash Khurana, Sonali Bendre, Nagendra Prasad, M.V. Vasudeva Rao, Ratnakar, Rallapalli, Deesh Mariwala, Vinay Malhotra, Pramod Menon, Arun"
Thadam,Magizh Thirumeni,"Arun Vijay, Vidya Pradeep, Tanya Hope, Smruthi Venkat, Fefsi Vijayan, Yogi Babu, Sonia Agarwal, George Maryan, Meera Krishnan, Thanigai, Melvin Dennis, Shiemour Roosevelt, Suruli"
Traffic,Rajesh Pillai,"Sreenivasan, Kunchacko Boban, Sudip Joshy, Rahman, Anoop Menon, Vineeth Sreenivasan, Asif Ali, Sandhya, Roma Asrani, Ramya Nambeeshan, Saikumar, Lenaa, Jose Prakash, Nivin Pauly, Reena Bashir, Rony David, Baiju Ezhupunna, Krishna"
Thondi Muthalum Driksakshiyum,Dileesh Pothan,"Fahadh Faasil, Suraj Venjaramoodu, Nimisha Sajayan, Alencier Ley Lopez, Sibi Thomas, Sivadas Kannur, S.K. Mini, Srikant Murali, Vettukili Prakash, Nimisha Sunny"
Baishe Srabon,Srijit Mukherji,"Prasenjit Chatterjee, Parambrata Chattopadhyay, Raima Sen, Abir Chatterjee, Goutam Ghose, Rajesh Sharma, Sumit Samaddar, Anindya Pulak Banerjee, Aronnok, Arindol Bagchi, Anandi Basu, Reeta Basu, Joyraj Bhattacharya, Samir Biswas, Biswajit Chakraborty, Kalyan Chatterjee, Chandan Das, Debabrata Das"
Mimino,Georgiy Daneliya,"Vakhtang Kikabidze, Frunzik Mkrtchyan, Elena Proklova, Evgeniy Leonov, Kote Daushvili, Ruslan Mikaberidze, Zakro Sakhvadze, Marina Dyuzheva, Rusiko Morcheladze, Archil Gomiashvili, Aleksey Alekseev, Vladimir Basov, Zeinab Botsvadze, Borislav Brondukov, Vasili Chkhaidze, Mikaela Drozdovskaya, Sofya Garrel, Lyudmila Gavrilova"
Sarfarosh,John Mathew Matthan,"Aamir Khan, Naseeruddin Shah, Sonali Bendre, Mukesh Rishi, Akash Khurana, Smita Jaykar, Sukanya Kulkarni, Akhilendra Mishra, Ahmed Khan, Pradeep Singh Rawat, Makrand Deshpande, Shri Vallabh Vyas, Rajesh Joshi, Ali Khan, Upasana Singh, Salim Shah, Manoj Joshi, Ramesh Goyal"
Roja,Mani Ratnam,"Arvind Swamy, Madhoo, Pankaj Kapur, Nassar, Shiva Rindani, Janakaraj, Vaishnavi Aravind, Vijaya Chandrika, Vatsala Rajagopal, Rangammal, C.K. Saraswathi, Sathyapriya, Sujatha, Raju Sundaram"
Mughal-E-Azam,K. Asif,"Prithviraj Kapoor, Madhubala, Dilip Kumar, Durga Khote, Nigar Sultana, Ajit Khan, M. Kumar, Murad, Jillo, Vijayalaxmi, S. Nazir, Sheila Dalaya, Surendra, Johnny Walker, Jalal Agha, Tabassum Govil, Gopi Krishna, Jago"
Jo Jeeta Wohi Sikandar,Mansoor Khan,"Aamir Khan, Ayesha Jhulka, Deepak Tijori, Pooja Bedi, Kulbhushan Kharbanda, Mamik Singh, Aditya Lakhia, Deven Bhojani, Kiran Javeri, Ahmed Khan, Ravindra Kapoor, Deb Mukherjee, Miki Khan, Prakash, Sooraj Thapar, Bobby Khanna, Sanam Oberoi, Shehnaz Kudia"
Take Off,Mahesh Narayanan,"Parvathy Thiruvothu, Fahadh Faasil, Kunchacko Boban, Prakash Belawadi, Divya Prabha, Asif Ali, Satish Sharma, Prem Prakash, Eric Zachariah, Alencier Ley Lopez, Maala Parvathi, Devi Ajith, Tiger Ali, Rajesh Babu, Ujjwal Chopra, Sreeja Das, Rony David, Joju George"
Maanagaram,Lokesh Kanagaraj,"Sundeep Kishan, Sri, Regina Cassandra, Charlie, Munishkanth, Sha Ra, Arun Alexander, Madhusudhan Rao, Ravi Venkat, Sai Dheena, Tiger Thangadurai, Karthik Yogi, Amresh, Vivek Prasanna, Sathish Kumar, Saravanan, Rskarthiik, Dhuruva"
Vinnaithaandi Varuvaayaa,Gautham Vasudev Menon,"Silambarasan TR, Trisha Krishnan, VTV Ganesh, Raja Krishnamoorthy, Babu Antony, Uma Pathmanabhan, Lakshmy Ramakrishnan, Samantha Ruth Prabhu, Naga Chaitanya Akkineni, K.S. Ravikumar, Trisha Alex, Janani Iyer, Pradeep Kottayam, Karuppanchetty Meyyappan, Ranjith Velayudhan"
Cercando La grande bellezza,Gianluca Jodice,"Toni Servillo, Paolo Sorrentino, Carlo Verdone"
Zeitgeist: Moving Forward,Peter Joseph,"Peter Joseph, Robert Sapolsky, Gabor Maté, Richard Wilkinson, James Gilligan, John McMurtry, Michael Ruppert, Max Keiser, Jacque Fresco, Adrian Bowyer, Berok Khoshnevis, Roxanne Meadows, Colin Campbell, Toni Orans, Phi Dao Ewing, Michael David Quinn, Noel Hunter, Heidi Kasia"
Indian,S. Shankar,"Kamal Haasan, Sukanya, Manisha Koirala, Urmila Matondkar, Nedumudi Venu, Goundamani, Kasthuri Shankar, Aruna Irani, Aachi Manorama, Crazy Mohan, Senthil, Ajay Ratnam, Nizhalgal Ravi, Bala Singh, Johny Lever, Sagar Salunkhe, Sudha"
Sudani from Nigeria,Zakariya,"Soubin Shahir, Samuel Abiola Robinson, Savithri Sreedharan, Sarasa Balussery, K.T.C. Abdullah, Aneesh Menon, Noorudheen Ali Ahmed, Ameen Aslam, Lukman Avaran, Mashar Hamsa, Ashraf Hamza, Nazer Karutheni, Najeeb Kuttippuram, Roopa Lakshmi, Unni Nair, Abhiram Radhakrishnan, Navas Vallikkunnu"
Aadukalam,Vetrimaaran,"Dhanush, Taapsee Pannu, Jayabalan, Kishore Kumar G., Aadukalam Naren, V. Jayaprakash, Meenal, Murugadass, Alwa Vasu, Sendrayan, Munnar Ramesh, Periya Karuppu Thevar, Velraj, Dinesh"
Nebeska udica,Ljubisa Samardzic,"Nebojsa Glogovac, Ana Sofrenovic, Ivan Jevtovic, Katarina Zutic, Nikola Kojo, Sonja Kolacaric, Dragan Bjelogrlic, Irfan Mensur, Nikola Djuricko, Nikola Pejakovic, Boris Milivojevic, Nebojsa Ilic, Neda Arneric, Desa Biogradlija, Dejan Bodiroga, Goran Danicic, Aleksandar Djordjevic, Milena Dravic"
Charulata,Satyajit Ray,"Soumitra Chatterjee, Madhavi Mukherjee, Shailen Mukherjee, Shyamal Ghoshal, Gitali Roy, Dilip Bose, Nilotpal Dey, Bankim Ghosh, Bholanath Koyal, Kamu Mukherjee, Suku Mukherjee, Subrata Sensharma, Tarapada Basu, Gopaldas Bhattacharya, Ramesh Chandra Chandra, Sunilkanta Dasgupta, Ajit Gupta, Prabhat Sarkar"
Iqbal,Nagesh Kukunoor,"Shreyas Talpade, Naseeruddin Shah, Shweta Basu Prasad, Yatin Karyekar, Prateeksha Lonkar, Girish Karnad, Dilip Salgaonkar, Jyoti Joshi, Aadarsh Balakrishna, Gururaj Manepalli, Rajita Joshi, Srikanth Chitrao, Vikram Inamdar, Elahe Hiptoola, Balaji Manohar, D. Santosh, Vibhu Kashyap, K. Sridhar"
Khushi,S.J. Suryah,"Pawan Kalyan, Bhoomika Chawla, Sivaji, Rajan P. Dev, Sudhakar, Nassar, Janaki Sabesh, Vijayakumar, Sudha, Mohammad Ali, Mumtaj, S.J. Suryah, Fish Venkat"
Sürü,Zeki Ökten,"Tarik Akan, Melike Demirag, Tuncel Kurtiz, Savas Yurttas, Sener Kökkaya, Suayip Adlig, Zeliha Bekan, Cevahir Civelek, Göktürk Demirezen, Erol Demiröz, Ekrem Erkek, Levent Inanir, Gülten Kaya, Meral Niron, Yaman Okay, Turgut Okutman, Cemile Talan, Levent Yalman"
Vedam,Radha Krishna Jagarlamudi,"Allu Arjun, Anushka Shetty, Manoj Kumar Manchu, Manoj Bajpayee, Nagayya, Deeksha Seth, Lekha Washington, Brahmanandam, Siya, Satyam Rajesh, Ravi Prakash, Krishna Murali Posani, Pruthvi, Raghu Babu, Joy Badlani, Kallu Chidambaram, Sammeta Gandhi, Vajja Venkata Giridhar"
RangiTaranga,Anup Bhandari,"Nirup Bhandari, Radhika Narayan, Avantika Shetty, Sai Kumar, Anantha Velu, Aravind Rao, Siddu Moolimani, Karthik Rao Kordale, Shankar Ashwath, Srinath Vasista, Chethan Raj, Roshni Kore, Swapna Raj, Renuka, Shilpa Singh, Anup Bhandari, Patla Sathish Shetty"
Sir Alex Ferguson: Never Give In,Jason Ferguson,"Éric Cantona, Alex Ferguson, Manchester United F.C., Ryan Giggs, Jason Ferguson, Mark Ferguson, Cathy Ferguson, Gordon Strachan, Darren Ferguson, Archie Knox"
"Montevideo, vidimo se!",Dragan Bjelogrlic,"Milos Bikovic, Danijela Petkovic, Petar Strugar, Armand Assante, Viktor Savic, Elena Martínez, Branko Djuric, Predrag Vasic, Nebojsa Ilic, Vojin Cetkovic, Srdjan Timarov, Francisco Vera, Nikola Djuricko, Srdjan 'Zika' Todorovic, Ivan Zekic, Aleksandar Radojicic, Andrija Kuzmanovic, Nenad Herakovic"
Colour Photo,Sandeep Raj,"Suhas, Chandini Chowdary, Sunil, Harsha Chemudu, Divya Sripada, Aadarsh Balakrishna, Sai Krishna Enreddy, Dana Abed, Srividya Maharshi, Jaya Naidu, Srividya, Subba Rao Vepada"
The Legend of Bhagat Singh,Rajkumar Santoshi,"Ajay Devgn, Sushant Singh, D. Santosh, Akhilendra Mishra, Raj Babbar, Farida Jalal, Amrita Rao, Mukesh Tiwari, Surendra Rajan, Saurabh Dubey, Swaroop Kumar, Arun Patwardhan, Kenneth Desai, Sitaram Panchal, Bhaswar Chatterjee, Amit Dhawan, Harsh Khurana, Kapil Kashyap"
Monanieba,Tengiz Abuladze,"Avtandil Makharadze, Zeinab Botsvadze, Ia Ninidze, Ketevan Abuladze, David Giorgobiani, Kakhi Kavsadze, Merab Ninidze, Nino Zakariadze, Nato Ochigava, Boris Tsipuria, Akaki Khidasheli, Leo Antadze, Rezo Esadze, Mzia Makhviladze, Amiran Amiranashvili, Dato Kemkhadze, Veriko Anjaparidze, Revaz Baramidze"
The Great Indian Kitchen,Jeo Baby,"Nimisha Sajayan, Suraj Venjaramoodu, Ajitha V.M., T. Suresh Babu, Anupama V.P., M.V. Suresh Babu, Nishitha Kallingal, Sidhartha Siva, Gireesh Perincheeri, Ramadevi Kannanchery, Kabani, Aparna Sivakami, Suresh Achoos, Anagha Ashok, Favin Ashraf, Jeo Baby, Anna Fathima, Manal Hadil"
Padosan,Jyoti Swaroop,"Sunil Dutt, Saira Banu, Mehmood, Kishore Kumar, Om Prakash, Agha, Mukri, Sunder, Ganga, Praveen Paul, Keshto Mukherjee, Raj Kishore, Dulari, Ratna, Moolchand, Jankidas, Niranjan Tiwari, Kedarnath Saigal"
Namuslu,Ertem Egilmez,"Sener Sen, Adile Nasit, Aysen Gruda, Erdal Özyagcilar, Ergun Uçucu, Zihni Küçümen, Necati Bilgiç, Metin Çeliker, Tuncer Sevi, Bilge Zobu, Sevim Çalisgir, Meray Ülgen, Metin Çekmez, Kadri Ögelman, Mehmet Devran, Sevil Uluyol, Dursun Ali Sarioglu, Hülya Kutlubay"
Oru CBI Diary Kurippu,K. Madhu,"Mammootty, Suresh Gopi, Jagathy Sreekumar, Janardanan, Prathapachandran, Sukumaran, Sreenath, Vijayaraghavan, Captain Raju, Mukesh, K.P.A.C. Sunny, Bahadur, Urvashi, Jagannatha Varma, Johny, Lizy, C.I. Paul, Poojappura Ravi"
Endless Corridor,"Aleksandras Brokas, Mindaugas Urbonavicius",Jeremy Irons
Kolah Ghermezi and Pesar Khale,Iraj Tahmasb,"Morteza Ahmadi, Akbar Doodkar, Farokhlagha Hushmand, Hamid Jebeli, Hamideh Kheirabadi, Marzieh Mahboob, Mehri Mehrnia, Fatemah Motamed-Aria, Shaban Ranginvand, Iraj Tahmasb, Hassan Zarei"
Dune,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac, Jason Momoa, Stellan Skarsgård, Stephen McKinley Henderson, Josh Brolin, Javier Bardem, Sharon Duncan-Brewster, Chang Chen, Dave Bautista, David Dastmalchian, Charlotte Rampling, Babs Olusanmokun, Benjamin Clémentine, Souad Faress, Golda Rosheuvel"
Deadpool,Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein, Karan Soni, Michael Benyaer, Stefan Kapicic, Brianna Hildebrand, Style Dayne, Kyle Cassie, Taylor Hickson, Ayzee, Naika Toussaint, Randal Reeder, Isaac C. Singleton Jr., Justyn Shippelt, Donna Yamamoto, Jed Rees"
Blade Runner 2049,Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista, Robin Wright, Mark Arnold, Vilma Szécsi, Wood Harris, David Dastmalchian, Tómas Lemarquis, Sylvia Hoeks, Edward James Olmos, Jared Leto, Sallie Harmsen, Hiam Abbass, Mackenzie Davis, Krista Kosonen, Elarica Johnson"
The Princess Bride,Rob Reiner,"Cary Elwes, Mandy Patinkin, Robin Wright, Chris Sarandon, Christopher Guest, Wallace Shawn, André René Roussimoff, Fred Savage, Peter Falk, Peter Cook, Mel Smith, Carol Kane, Billy Crystal, Anne Dyson, Margery Mason, Malcolm Storry, Willoughby Gray, Betsy Brantley"
Casino Royale,Martin Campbell,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright, Mads Mikkelsen, Giancarlo Giannini, Caterina Murino, Simon Abkarian, Isaach De Bankolé, Jesper Christensen, Ivana Milicevic, Tobias Menzies, Claudio Santamaria, Sebastien Foucan, Malcolm Sinclair, Richard Sammel, Ludger Pistor, Joseph Millson"
Donnie Darko,Richard Kelly,"Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne, Maggie Gyllenhaal, Daveigh Chase, James Duval, Arthur Taxier, Patrick Swayze, Mark Hoffman, David St. James, Tom Tangen, Jazzie Mahannah, Jolene Purdy, Stuart Stone, Gary Lundy, Alex Greenwald, Beth Grant"
La La Land,Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons, Amiee Conn, Terry Walters, Thom Shelton, Cinda Adams, Callie Hernandez, Jessica Rothe, Sonoya Mizuno, Claudine Claudio, Jason Fuchs, D.A. Wallach, Mike Fallin, Trevor Lissauer, Olivia Hamilton, Anna Chazelle"
Her,Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara, Lynn Adrianna Freedman, Lisa Renee Pitts, Gabe Gomez, Chris Pratt, Artt Butler, May Lindstrom, Bill Hader, Kristen Wiig, Brian Johnson, Matt Letscher, Spike Jonze, Olivia Wilde, David Azar, Guy Lewis"
The Martian,Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara, Jeff Daniels, Michael Peña, Sean Bean, Sebastian Stan, Aksel Hennie, Chiwetel Ejiofor, Benedict Wong, Mackenzie Davis, Donald Glover, Nick Mohammed, Shu Chen, Eddy Ko, Enzo Cilenti, Jonathan Aris"
Guardians of the Galaxy,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana, Dave Bautista, Lee Pace, Michael Rooker, Karen Gillan, Djimon Hounsou, John C. Reilly, Glenn Close, Benicio Del Toro, Laura Haddock, Sean Gunn, Peter Serafinowicz, Christopher Fairbank, Krystian Godlewski, Wyatt Oleff"
Black Swan,Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel, Winona Ryder, Barbara Hershey, Benjamin Millepied, Ksenia Solo, Kristina Anapau, Janet Montgomery, Sebastian Stan, Toby Hemingway, Sergio Torrado, Mark Margolis, Tina Sloan, Abraham Aronofsky, Charlotte Aronofsky, Marcia Jean Kurtz, Shaun O'Hagan"
The Revenant,Alejandro G. Iñárritu,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson, Forrest Goodluck, Paul Anderson, Kristoffer Joner, Joshua Burge, Duane Howard, Melaw Nakehk'o, Fabrice Adde, Arthur RedCloud, Christopher Rosamond, Robert Moloney, Lukas Haas, Brendan Fletcher, Tyson Wood, McCaleb Burnett"
The Incredibles,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee, Dominique Louis, Teddy Newton, Jean Sincere, Eli Fucile, Maeve Andrews, Wallace Shawn, Spencer Fox, Lou Romano, Wayne Canney, Sarah Vowell, Michael Bird, Elizabeth Peña, Bud Luckey, Brad Bird"
Sin City,"Frank Miller, Quentin Tarantino, Robert Rodriguez","Mickey Rourke, Clive Owen, Bruce Willis, Jessica Alba, Devon Aoki, Alexis Bledel, Powers Boothe, Cara D. Briggs, Jude Ciccolella, Jeff Dashnaw, Rosario Dawson, Jesse De Luna, Benicio Del Toro, Jason Douglas, Michael Clarke Duncan, Tommy Flanagan, Christina Frankenfield, Rick Gomez"
Zootopia,"Byron Howard, Rich Moore, Jared Bush","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence, Bonnie Hunt, Don Lake, Tommy Chong, J.K. Simmons, Octavia Spencer, Alan Tudyk, Shakira, Raymond S. Persi, Della Saba, Maurice LaMarche, Phil Johnston, Fuschia!, John DiMaggio"
Sling Blade,Billy Bob Thornton,"Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter, Lucas Black, Natalie Canerday, James Hampton, Robert Duvall, Rick Dial, Brent Briscoe, Christine Renee Ward, Sarah Boss, Kathy Sue Brown, Wendell Rafferty, Bruce Hampton, Vic Chesnutt, Mickey Jones, Ian Moore"
The Avengers,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner, Mark Ruffalo, Chris Hemsworth, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård, Samuel L. Jackson, Gwyneth Paltrow, Paul Bettany, Alexis Denisof, Tina Benko, Jerzy Skolimowski, Kirill Nikiforov, Jeff Wolfe"
The Imitation Game,Morten Tyldum,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech, Rory Kinnear, Matthew Beard, Charles Dance, Mark Strong, James Northcote, Tom Goodman-Hill, Steven Waddington, Ilan Goodman, Jack Tarlton, Alex Lawther, Jack Bannon, Tuppence Middleton, Dominic Charman, James G. Nunn"
The Life and Death of Colonel Blimp,"Michael Powell, Emeric Pressburger","Roger Livesey, Deborah Kerr, Anton Walbrook, James McKechnie, Neville Mapp, Vincent Holman, David Hutcheson, Spencer Trevor, Roland Culver, James Knight, Dennis Arundell, David Ward, Jan Van Loewen, Valentine Dyall, Carl Jaffe, Albert Lieven, Eric Maturin, Frith Banbury"
The Last Picture Show,Peter Bogdanovich,"Timothy Bottoms, Jeff Bridges, Cybill Shepherd, Ben Johnson, Cloris Leachman, Ellen Burstyn, Eileen Brennan, Clu Gulager, Sam Bottoms, Sharon Ullrick, Randy Quaid, Joe Heathcock, Bill Thurman, Barc Doyle, Jessie Lee Fulton, Gary Brockette, Helena Humann, Loyd Catlett"
The Pursuit of Happyness,Gabriele Muccino,"Will Smith, Thandiwe Newton, Jaden Smith, Brian Howe, James Karen, Dan Castellaneta, Kurt Fuller, Takayo Fischer, Kevin West, George Cheung, David Michael Silverman, Domenic Bove, Geoff Callan, Joyful Raven, Scott Klace, Rashida Clendening, Eric Schniewind, Peter Fitzsimmons"
Twelve Monkeys,Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt, Joseph Melito, Jon Seda, Michael Chance, Vernon Campbell, H. Michael Walls, Bob Adrian, Simon Jones, Carol Florence, Bill Raymond, Ernest Abuba, Irma St. Paule, Joey Perillo, Bruce Kirkpatrick, Wilfred Williams, Rozwill Young"
Rosemary's Baby,Roman Polanski,"Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer, Maurice Evans, Ralph Bellamy, Victoria Vetri, Patsy Kelly, Elisha Cook Jr., Emmaline Henry, Charles Grodin, Hanna Landy, Phil Leeds, D'Urville Martin, Hope Summers, Marianne Gordon, Wende Wagner, Toby Adler"
JFK,Oliver Stone,"Kevin Costner, Gary Oldman, Jack Lemmon, Walter Matthau, Sally Kirkland, Anthony Ramirez, Gary Taggart, Ray LePere, Steve Reed, Jodie Farber, Columbia Dubose, Randy Means, Jay O. Sanders, E.J. Morris, Cheryl Penland, Jim Gough, Perry R. Russo, Mike Longman"
Dances with Wolves,Kevin Costner,"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant, Floyd 'Red Crow' Westerman, Tantoo Cardinal, Robert Pastorelli, Charles Rocket, Maury Chaykin, Jimmy Herman, Nathan Lee Chasing His Horse, Michael Spears, Jason R. Lone Hill, Tony Pierce, Doris Leader Charge, Tom Everett, Larry Joshua, Kirk Baltz"
Stalker,Andrei Tarkovsky,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko, Natalya Abramova, Faime Jurno, Evgeniy Kostin, Raimo Rendi"
The Graduate,Mike Nichols,"Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels, Murray Hamilton, Elizabeth Wilson, Buck Henry, Brian Avery, Walter Brooke, Norman Fell, Alice Ghostley, Marion Lorne, Eddra Gale, Frank Baker, George Bruggeman, Garrett Cassell, Buddy Douglas, Richard Dreyfuss"
Magnolia,Paul Thomas Anderson,"Tom Cruise, Jason Robards, Julianne Moore, Philip Seymour Hoffman, Pat Healy, Genevieve Zweig, Mark Flanagan, Neil Flynn, Rod McLachlan, Allan Graf, Patton Oswalt, Raymond 'Big Guy' Gonzales, Brad Hunt, Jim Meskimen, Chris O'Hara, Clement Blake, Frank Elmore, John Kraft Seitz"
CODA,Sian Heder,"Emilia Jones, Marlee Matlin, Troy Kotsur, Daniel Durant, John Fiore, Lonnie Farmer, Kevin Chapman, Amy Forsyth, Courtland Jones, Molly B. Thomas, Ferdia Walsh-Peelo, Ayana Brown, Jason Pugatch, Kyana Fanene, Anilee List, Eugenio Derbez, Stone Martin, Maeve Chapman"
Soul,"Pete Docter, Kemp Powers","Jamie Foxx, Tina Fey, Graham Norton, Rachel House, Alice Braga, Richard Ayoade, Phylicia Rashad, Donnell Rawlings, Questlove, Angela Bassett, Cora Champommier, Margo Hall, Daveed Diggs, Rhodessa Jones, Wes Studi, Sakina Jaffrey, Fortune Feimster, Calum Grant"
Groundhog Day,Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, Brian Doyle-Murray, Marita Geraghty, Angela Paton, Rick Ducommun, Rick Overton, Robin Duke, Carol Bivins, Willie Garson, Ken Hudson Campbell, Les Podewell, Rod Sell, Tom Milanovich, John M. Watson Sr., Peggy Roeder"
Scent of a Woman,Martin Brest,"Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar, Philip Seymour Hoffman, Richard Venture, Bradley Whitford, Rochelle Oliver, Margaret Eginton, Tom Riis Farrell, Nicholas Sadler, Todd Louiso, Matt Smith, Gene Canfield, Frances Conroy, June Squibb, Ron Eldard, Sally Murphy"
Dogville,Lars von Trier,"Nicole Kidman, Paul Bettany, Lauren Bacall, Harriet Andersson, Jean-Marc Barr, Blair Brown, James Caan, Patricia Clarkson, Jeremy Davies, Ben Gazzara, Philip Baker Hall, Thom Hoffman, Siobhan Fallon Hogan, John Hurt, Zeljko Ivanek, John Randolph Jones, Udo Kier, Cleo King"
Young Frankenstein,Mel Brooks,"Gene Wilder, Madeline Kahn, Marty Feldman, Peter Boyle, Cloris Leachman, Teri Garr, Kenneth Mars, Richard Haydn, Liam Dunn, Danny Goldman, Oscar Beregi Jr., Arthur Malet, Richard A. Roth, Monte Landis, Rusty Blitz, Anne Beesley, Gene Hackman, John Madison"
Beauty and the Beast,"Gary Trousdale, Kirk Wise","Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury, Jerry Orbach, Bradley Pierce, David Ogden Stiers, Richard White, Jo Anne Worley, Mary Kay Bergman, Brian Cummings, Alvin Epstein, Tony Jay, Alec Murphy, Kimmy Robertson, Hal Smith, Kath Soucie"
Blood Diamond,Edward Zwick,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers, Arnold Vosloo, Antony Coleman, Benu Mabhena, Anointing Lukola, David Harewood, Basil Wallace, Jimi Mistry, Michael Sheen, Marius Weyers, Stephen Collins, Ntare Guma Mbaho Mwine, Bouba Badiane, Ato Essandoh, Percy Matsemela"
Big Fish,Tim Burton,"Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange, Helena Bonham Carter, Alison Lohman, Robert Guillaume, Marion Cotillard, Matthew McGrory, David Denman, Missi Pyle, Loudon Wainwright III, Ada Tai, Arlene Tai, Steve Buscemi, Danny DeVito, Deep Roy, Perry Walston"
