title,description,age_rating
X-Men: Apocalypse,"The X-Men stand united to face Apocalypse, the first mutant, who returns from the darkness and sees today's mutants as weak.",U/A 13+
Star Wars Rebels: Twilight Of The Apprentice,"After gaining information about the Sith, Kanan, Ezra and Ahsoka battle the Inquisitors with the help of a new ally.",U/A 7+
Kuttettan,"Though married, Vishnu always flirts with other women. What happens when he gets caught red-handed with a young girl in his house?",U/A 13+
Sundarakilladi,"Premachandran, a stage artist, is paid in advance to dig a well in a village with water shortage. Soon he finds that whoever tried to dig a well there has died.",U/A 13+
Arey Yaar,"It's a story of a character named Raghav who's figuring out himself among depression, love and life itself. At the same time dealing with family issues, superstition and job altogether.",U/A 16+
Bombat Aliya,"Car mechanic Putta loves Sinchana, the daughter of his boss. Things take a strange turn when Prakasha, claiming to have a job abroad, wants to marry Sinchana.",U/A 7+
Khushi Khushiyagi,"It is love at first sight for happy-go-lucky Raj after he spots Priya at a wedding. He manages to get her contact number, but there are complications ahead!",U/A 7+
Chotoder Chobi,"Khoka, who suffers from dwarfism, supports co-worker Shibu's family during desperate times. Complications arise when he falls in love with Shibu's daughter.",U
Thor: Ragnarok,"Deprived of his mighty hammer Mjolnir, Thor must escape the other side of the universe to save his home, Asgard, from Hela, the goddess of death.",U/A 13+
Daagdi Chawl - The Making,"Director Chandrakant Kanse, the lead actors and people working on this action film talk about the challenges and fun they had while shooting this film.",U/A 16+
Ormayundo Ee Mukham,Gautham is a businessman and Nithya a sand artist. Both suffer from memory loss but fall in love with each other. What does the future hold for them?,U
Sax By Julius,"A saxophone virtuoso, Julius, loses his talent due to a tragic accident. Drowning in sorrow, insomnia takes over his life. Will he ever find peace?",U/A 13+
Mynaa,"Suruli and Mynaa are lovers, much to her mother's distress. The situation worsens for the cornered couple when the police get involved.",U/A 7+
Devvada Maneli Ditta Makkalu,A group of children come to a village on holiday. They find an empty house and soon begin to encounter weird events. What is the mystery behind the occurrences?,U/A 13+
Eternals,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history, and civilizations",U/A 13+
Rajababu,Rajababu marries Rani to protect her reputation and gives her unborn illegitimate child a name. But things become complicated when the real father arrives.,U
Mon Jaane Na,"Amir and Pari are a happily married couple. But when Pari learns about his underworld ties, all hell breaks loose on their seemingly perfect life.",U/A 16+
Gravity Falls: Weirdmageddon,Bill has returned to take down the Pines family. But this time he has brought some of his friends with him.,U/A 7+
Yuddham Sei,"JK, a cop, gets pulled into an important case just as he decides to go on leave. Soon, he gets caught in a web of gruesome and intriguing developments.",U/A 16+
Ayal Kadha Ezhuthukayanu,"Ramakrishnan comes to the city as a new tahsildar, but the previous tahsildar has a serious problem letting go of her place.",U
God Father,Anjooran's hatred towards women forces his sons to stay bachelors. All hell breaks loose when his youngest son falls for the granddaughter of his arch-enemy.,U/A 7+
Ranga Patanga,"When Jumman's beloved oxen goes missing, he decides to search them no matter what. However, on his quest to find them, he lands up in a media circus.",U
Kaadhalar Kudiyiruppu,"Vishwanath helps his dead friend's wife, Jeya, get a job in the police department. However, problems arise when Jeya's son falls for Vishwanath's daughter.",U
Bada Dosth,"Bada Dosth follows the colourful and dangerous life of underworld don, Dayashankar (Suresh Gopi). Watch the full movie Bada Dosth online, only on Hotstar.",U/A 13+
Thor: The Dark World,"Thor sets out on a journey to defeat Malekith, the leader of the Dark Elves when he returns to Asgard to fulfil his desire of destroying the Nine Realms.",U/A 13+
Forky Asks A Question: What is a Friend?,Forky shares his thoughts on what makes a good friend based on his limited exposure to the world inside Bonnie’s house.,U
Ghumakkad,"This is story a family in a small village in India and how a kid is labelled ""ghumakkad"" (vagrant) by his parents",U/A 13+
Poojakkedukkatha Pookkal,"After her father's death, Sarada faces the responsibility of looking after the family. However, a meeting with Balachandran changes her life for the better.",U
Govinda Naam Mera,"Wedged between a court case, a bad marriage and his girlfriend, Govinda Waghmare gets further entangled in incidents complicating his already tangled world.",U/A 16+
Bibaho Obhijaan,"Frustrated by their marriage and jobs, two henpecked husbands plan an escapade. But a lovelorn dacoit hijacks their supposedly adventurous trip.",U/A 13+
Into The Woods,"A baker and his wife can't have a child due to a curse cast by a witch and, to lift the curse, the couple has to obtain four objects that she desperately needs.",U/A 13+
Aakhri Kahani,"A struggling writer decides to make one last effort to pitch his idea to a film producer. And, he gets the chance to do so in an unusual way.",U/A 13+
The Chronicles Of Narnia: The Voyage Of The Dawn Treader,"Edmund and Lucy are transported back to Narnia with their cousin Eustace. And they join Caspian, Narnia's new king, in his quest to save his kingdom.",U/A 7+
Racha,"Desperate to save his father, Raj accepts a betting challenge from his rival James. Soon, he learns that there is more to this than meets the eye.",U/A 16+
Sasurbari Zindabad,"Rupa runs away from home when her wealthy mother plans to get her married. She meets Somu, and, despite their differences, finds herself drawn to him.",U
Rubaru Roshni,"Based in India, traversing three decades, the film tells three personal stories through first-person testimonies of both victims and perpetrators of violence and explores the power of forgiveness.",U/A 16+
Online Girlfriend,"An ignorant husband distances himself from his wife and tries to forge a new relationship online. However, he gets more than he bargained for.",U/A 16+
Gaddama,"Aswathi goes to Saudi Arabia as a housemaid. Exposed to the grave realities of being a migrant worker and unable to deal with the torture, she decides to flee.",U/A 13+
The Wizard Of Lies,"Witness the inner workings of Bernie Madoff's financial fraud, arguably the largest in U.S. history.",U/A 16+
Aisha,"Aisha thinks she is a perfect matchmaker, despite her neighbour Arjun's warning. As she continues to meddle in others' lives, she falls short of her own.",U
Doctor Strange in the Multiverse of Madness,"When the Multiverse is unlocked, Doctor Strange must enlist help from old and new allies in order to confront a surprising adversary.",U/A 13+
Siva Bhakta Vijayam,Join Sivaji Ganesan in this mythological journey as he narrates the stories of the most important Nayanars who were dedicated to worshipping Lord Shiva.,U/A 13+
Nene Raa Aadhi,This revenge saga sees two people out to avenge the death of their families. Will they succeed in their quest?,U/A 13+
LEGO Star Wars: The New Yoda Chronicles - Raid on Coruscant,Luke Skywalker knows there's only one way to stop the Empire's attack: a bold attack on Coruscant to bring back the Holocrons.,U
The Untold,A happy weekend soon morphs into the worst nightmare for a married couple after an untold secret resurfaces. Will they be able to deal with the consequences?,U/A 16+
Karakanakadal,Thoma is a villager who wishes to get his daughter married into a wealthy family. Will he be able to fulfil his dream?,U
The Little Mermaid,"Ariel, a mermaid, is off on an adventure to save her father's beloved kingdom from the sea witch Ursula, with her best friends Flounder and Sebastian.",U
Kanchana,"A man sets out to overcome his fear of ghosts, only to get possessed by one. Hungry for revenge, the ghost makes him do her bidding.",U/A 16+
Abhishkar,"Ranbir saves Surhila from being raped and marries her against his father's wishes. When his family falls into trouble, Surhila comes to their rescue.",U/A 16+
Arhatha,"Devaraj takes up a job in a factory where his father was mysteriously murdered. Amidst obstacles, will he be able to get justice for his father?",U/A 13+
Passenger,The film is about two strangers who happen to come into each other's lives and circumstances make them to join in the fight to save the people of Maranchara.,U/A 13+
Darwaza Bandh Rakho,"Four crooks kidnap a millionaire's daughter for ransom but get trapped in a house. With a stream of visitors, how will they keep their crime a secret?",U
Eduru Maneli Ganda Pakkada Maneli Hendathi,"Vasudev, a miser, tries to control his pregnant wife's spending habits. Furious, she leaves him. Years later, unknowingly she rents a house opposite his.",U/A 7+
Of the People,"Released from jail, a group of vigilantes start working against the corrupt. They are joined by an ACP. However, such a task is never easy.",U/A 16+
Indrajit,"During a rape case investigation, an honest police officer learns about the criminal background of the MLA who recommended him for his job. Will he expose him?",U
Taxi No. 1,"After returning from the US, Raksha decides to go sight-seeing. She has a tiff with the cab driver, but she realises that she has fallen in love with him.",U/A 7+
Lootera,"Unaware of Varun’s intentions, Pakhi decides to marry him. Left at the altar, she must face his harsh truth.",U/A 13+
The Best in the World,"To give life to his own unaccomplished dreams, a man forces his son to become a cricketer. Problems arise when it creates a rift in their relationship.",U/A 13+
Mallannaa,An income tax officer becomes a protector of the weak. He chances upon few letters written by the poor to God asking for help. How will become their saviour?,U/A 13+
Saamy 2,"In this sequel to the superhit action thriller Saamy, Aarusaamy's son becomes a cop and takes on Ravana Pichai, the criminal behind his parents' murder.",U/A 13+
Ishwar Sakshi,"A father promises to marry off his daughter to a young man with Lord Vishnu as witness. However, when he backs off, Madan must call upon the almighty witness.",U
Main Kaun Hoon,A woman plays various roles in life. She devotes her life to her family but there are a few who understand her.,U/A 13+
Bear Witness,“Bear Witness” journeys alongside the filmmakers behind Disneynature’s “Polar Bear” as they face profound challenges 300 miles from the North Pole.,U/A 7+
Chimpanzee,"Disneynature's True Life Adventure of an adorable baby chimp named, Oscar and his entertaining approach to life.",U
"Sleep, Baby, Sleep","Sylvie Pearson, a bride-to-be, sets out to clear her name after the police consider her to be a suspect in her baby's disappearance.",U/A 13+
Mickey's Twice Upon a Christmas,"After Donald refuses to be happy and excited for Christmas, Mickey and Minnie decide to teach him the true meaning of the festival.",U
Thoovanathumbikal,"Jayakrishnan lives a dual life, one in town with his friends and the other in his village. He falls in love with two women, and thus begins his problems.",U/A 16+
Saving Sita,"An 8 year old boy studying Ramayana in his class is faced with real life, Raavan.",U/A 16+
Rajwade and Sons,Four cousins question their family's beliefs to establish their identity and live life on their terms. But will they realise the value of family?,U/A 13+
Hero,"Arjun, an aspiring actor mistakenly receives a gun as a parcel, which leads him to cross paths with gangsters. Later, he attempts to unveil a mystery.",U/A 16+
Rama Krishna Govindha,"Rama, Krishna and Govinda are good-natured and helpful guys. While they are mistreated by many, they get the support of the local police inspector.",U/A 7+
The Last Right,"A hired knife kills its victims and disposes off the remains by giving them their rightful last rites. However, its final victim changes everything.",U/A 16+
Bhoy,"A young couple moves into a rented apartment where a woman had previously committed suicide. Suddenly, the wife begins to behave strangely.",U/A 16+
Ingane Oru Nilapakshi,Uma is in love with her childhood friend Charley and believes he loves her too. But Charley leaves to learn music and returns with Manasi.,U
Maha Edabidangi,"Trouble follows a lazy and confused man in any job he takes up. However, destiny has plans for him when he helps the police nab a gang of criminals.",U/A 7+
Shikayat,"A child never asks you for a digital device, all it asks is someone to play with. Give your 'time' to a child, not your 'mobile'.",U/A 7+
Cinderella,"Cinderella's cruel stepmother prevents her from attending the Royal Ball, but her dream comes true with some help from her Fairy Godmother and her friends.",U
Game,"Raghava, a grumpy cab driver, ferries Vijay, an heir to millions, who has to reach court in time for a major hearing. Will the crabby cabbie help or hinder him?",U/A 13+
Mary Poppins Returns,"In Depression-era London, a now-grown Jane and Michael Banks are visited by the enigmatic Mary Poppins, helping them rediscover the joy missing in their lives.",U/A 7+
Confirmation,"Judge Clarence Thomas' nomination to the Supreme Court is called into question when former colleague, Anita Hill, testifies that he had sexually harassed her.",U/A 16+
Kadante Aunanele,"Raghuram joins college where he meets Sindhu. While she falls for him, he thinks of her as a friend. Offended, she decides to take the legal route.",U/A 13+
Premisthu,"A newly appointed estate manager, Bharathi, has a secret admirer, but it's not who he thinks it is. Is he in trouble, or is Cupid calling?",U/A 13+
Rain Rain Come Again,"Two neighbouring colleges are always at loggerheads. When one college begins practising Satanism, things take an ugly turn.",U/A 16+
The Night House,"After the unexpected death of her husband, Beth is left alone in the lakeside home, where she learns about the secrets behind her disturbing nightmares.",A
Shraadh,The house is haunted and things go from bad to worse. Will the family uncover the real reason and all will get normal?,U/A 13+
Greetings,"Gopan falls for his paying guest, Sheetal. Seeing their neighbour couple living separately, they decide to unite them. Will they succeed in their mission?",U
Patt..The Sound,This is a story of Mohini. A kinner who is kind hearted and creates a great impact during lockdown.Mohini brings a great change in society and simultaneously creates a name for the kinners.,U/A 16+
Ethirppukal,"Ethirppukal is a Malayalam drama starring Mammootty, Urvashi and Ratheesh. Raghu kills Barghavan to avenge the death of his brother. Kochubaby then comes to know that he is the son of Barghavan and takes the blame. Watch the full movie, Ethirppukal, online, only on Hotstar.",U/A 13+
Guru,"A failed boxer decides to train a young vegetable seller. But, when both the coach and the student have temperament issues, how will they get along?",U/A 13+
Galipata,"While on a visit to an army veteran's farmhouse, Ganesh falls in love with his widowed daughter-in-law. But is she interested in him?",U/A 7+
Ek Mahal Ho Sapno Ka,"A poet is unable to keep jobs due to his forthrightness. When his girlfriend marries another man, he starts hating all women. Can anyone change his mind?",U
Star Wars: The Phantom Menace,Two Jedi Knights set out to search for someone who can bring peace to the Force as the Sith returns to stake claim to the Force.,U/A 13+
Forky Asks A Question: What is a Pet?,"Forky meets Rib Tickles and finds her charming and pleasant, only to be schooled by Rib on the dangers of law enforcement.",U
Irandaam Aattam,"Irandaam Aatam is the next offering from Vijay Chithiram, a story of a wife who struggles to keep her husband grounded when middle age crisis strikes.",U/A 13+
Patriyaan,"What’s left unsaid, say it all! A young couple reminisces their parallel life stories that strengthened their bond. But they still await a happy ending.",U/A 13+
Aavida Maa Aavide,"Vikranth and Archana fall in love and are happily married. However, they start having differences that leads to him having an affair. Will Archana leave him?",U/A 13+
Kuyiline Thedi,A young couple faces problems from a ruthless man noted for his vices when he tries to covet the girl. Will he succeed in his evil motives?,U/A 16+
"Zeb's Big Fish: 40,000 Lb. Shark",Zeb Hogan is investing a Whale Shark swarming the shallows. Can Zeb uncover why this dinosaur of deep is surfacing in the shallows?,U/A 7+
Cara Majaka,An old car gets a complete makeover and now has modern technology and futuristic gadgets. Adventure begins when it saves a little girl's life.,U/A 13+
Whitney Cummings: I'm Your Girlfriend,"Whitney Cummings becomes every guy's girlfriend and riffs on men, women, birth control, and selfies.",A
Mon Je Kore Uru Uru,Diya comes to visit her father in India. The members of Mone Je Kore Uru Uru club decide to kidnap her but end up abducting some other girl by the same name.,U
Pizza,"Michael and his girlfriend, Anu, often discuss the supernatural, but he does not believe in it. However, his belief changes with one specific pizza delivery.",U/A 16+
Party,Bujji and Nani find themselves at the wrong end of a local don's ire when he demands Rs. 1 crore from them. How will they generate such a huge amount?,U/A 13+
Doosukeltha,"Venkateswara wants to make it big on TV by landing a juicy scandal. He falls for Alekhya, and somehow they get targeted by a gang of thugs. What's the way out?",U/A 13+
Antharala,"A fashion photographer is jailed for trying to kill a model, Radha, and a doctor. Radha's husband also gets murdered. What is the motive behind these crimes?",U/A 16+
Mayooranruthram,"Mayoora Nritham is a Malayalam drama about Rajeev and Ragini, who are engaged to be married. But their marriage does not take place as Rajeev's father learns that Ragini's father lied to him about her mother. He was told that Ragini's mother is dead but he comes to know that she is alive. Watch the full movie, Mayoora Nritham , only on Hotstar.",U/A 13+
Swarajya – Marathi Paul Padate Pudhe,"Ram Pathare faces hurdles while arranging finance for his new venture. Frustrated and angry with the local MLA, he decides to take their power back.",U/A 13+
Shwetha I Love You,"Shwetha is a film artiste. Bharath joins as her manager. Soon, she finds herself getting attracted to him.",U/A 13+
Chilipi Zameendaar,"Raja is an innocent man, living in the shadows of his evil brothers-in-law. However, a new friendship gives him the motivation to stand up for his rights.",U/A 13+
Rahasyam,"Babu returns home after years. When he learns that his aunt and her daughter have ruined the family name, he decides to set things right.",U/A 13+
The Shape of Water,"In the hidden high-security government laboratory, lonely Elisa's life changes forever after discovering a secret classified experiment.",A
Siege,"A soldier attempts to protect the people in a citywide lockdown. However, a suicide attempt lands him in a coma. Will he stay comatose to escape reality or come back to fulfil his promise?",U/A 13+
Fajiti,Fajiti (ridiculed) - revolves around a couple who is returning home from a party. And during their conversation you realize that even the nicest people have limits.,U/A 16+
3 Char Sau Bees,Three engineering students become thieves to have a lavish lifestyle. Their classmate Indu is aware of their antics. Will she reveal their secret to all?,U/A 7+
Rambha,"Newlyweds Srikanth and Ramya rent a flat. The homeowner's daughter, Rambha, falls in love with Srikanth, resulting in disputes between the married couple.",U/A 16+
O’Kabira,"A traveller decides to leave his lover behind and set out on a journey. A picturesque film about life, pride, greed, envy, lust and hope.",A
Beauty And The Beast-The Enchanted Christmas,"Belle vows to warm the cold castle by planning an elaborate Christmas celebration. Despite, the Beast has forbidden Christmas celebration for many years.",U
Crime Story,"Nagamma and Vasanth Shetty engage in various crimes, including kidnappings. Inspector Prathap, an encounter specialist, takes them on.",U/A 13+
That Sunday,What happens when a husband randomly stumbles upon something fishy about his wife? Her secrets turn his life upside down.,A
Kulam,"Thampi, a warrior, is smitten by a beautiful princess, Subhadra. But when she refuses to marry him, he decides to destroy her life.",U/A 13+
We Bought A Zoo,"Benjamin Mee buys a dilapidated zoo thanks to his daughter's wishes, and together they take on the challenge of repairing and reopening the zoo.",U
Wild Portugal,Witness Europe's Wild West where packs of wolves stalk herds of ancient mustangs and tree-climbing carnivores keep entire forests on edge.,U/A 7+
Zameer,"Thakur Maharaj Singh loses his son during a robbery. Years later, a man named Chimpoo claims his right as his son. Will he turn out to be an impostor?",U/A 7+
Achanak,An old man wakes up one night to find a stranger in the house. That night changes everything.,U/A 13+
Sreekrishnapurathe Nakshathrathilakkam,The arrival of film star Yamuna Rani in the neighbourhood poses a threat to the wives. They begin suspecting their husbands of having an affair with her.,U
Pandi Oli Periki Nilayam,"Valarmathi, a rich girl, falls in love with Pandi, who rents out mikes and speakers in Dindigul. However, before the wedding, he meets with an accident.",U/A 7+
Blood Brothers: The Joey DiPaolo Story,"Based on a true story, 13-year-old Joey DiPaolo has to deal with the public discovering he has AIDS.",U/A 13+
Arjun Reddy (Dwaraka),"When a thief turned Godman falls in love, he decides to come out clean and redeem himself. Is it too late?",U/A 16+
Chaarulatha,"Conjoined twins Charu and Latha choose to separate via a surgery. When one of them marries her childhood friend, strange things start happening.",U/A 13+
C/o Surya,Best friends Surya and Mahesh happily run their catering business. But fate has other plans when they are caught in the middle of a crime ring.,U/A 16+
Iravatham,"A mysterious white camera turns a beautician's life into a waking nightmare, especially when she watches herself dying in the videos she shoots with it.",U/A 16+
Chip 'n Dale: Rescue Rangers,"When an old friend goes missing, Chip and Dale must return to their crime-fighting roots.",U/A 7+
Oru Kadam Kadha Pole,"Oru Kadam Kadha Pole is a Malayalam drama starring Nedumudi Venu, Jayaram and Geetha. Jayaraman and Shekharankutty are friends. Shekharankutty likes Jayaraman's sister and wants to marry her. But he is unable to express his love for her. Watch the full movie, Oru Kadam Kadha Pole, online, only on Hotstar.",U
Beti,"Suffering from the agony of her in-laws, Reema puts up a brave fight against patriarchy to secure a better future for her daughter Riya.",U/A 16+
Rogue One: A Star Wars Story,"Jyn's father is forcibly taken by the Empire to help them complete the Death Star. Later, she joins a group of resistance fighters to get her revenge.",U/A 13+
Seethamma Vakitlo Sirimalle Chettu,"Relangi Mavayya's sons, Peddodu and Chinnodu, fall for Seetha and Geetha. Now they have to fight against Mavayya's strong faith in morals to unite.",U/A 13+
Ek Chup,"Amid the Covid-19 catastrophe, Dr. Radhika confronts her inner battles involving a gruelling relationship with her husband. Will she break through the silence?",U/A 16+
Tanhaji,"As Aurangzeb captures the Kondhana Fort, Tanhaji Malusare, Chhatrapati Shivaji Maharaj's trusted military leader and braveheart, ventures out to win it back.",U/A 16+
Ek Lift Story,"Santosh, a small-town lad, comes to work in an upmarket home in Mumbai. Awestruck with the shimmer of the urban life, he falls in love with the elevator.",U/A 16+
Deadpool 2,"Mutant mercenary Wade Wilson aka. Deadpool brings together a team of rogue mercenaries to protect a young boy from the brutal time-travelling cyborg, Cable.",A
Biswanath,"Gayatri falls in love with Biswanath after he helps reform her violent family. However, a revenge battle spurs when Biswanath’s dark past rears its head.",U/A 16+
Aravind 2,"Aravind, who is on the run from some thugs, meets a film director in Goa who offers him a role. As they begin shooting, they realise they are being stalked.",U/A 16+
The Newly Weds,"An urban and tech savvy couple living in a metro, love each other dearly. But, there is something coming between them. What is it?",U/A 13+
Qaafirana,"Amid the picturesque Darjeeling, a love story blooms between two strangers, but their past invites a series of conflicts. Will love win over the tragedy?",U/A 13+
Tumi Ele Tai,"Akash falls in love with Arundhati, but she turns him down. However, when Arundhati faces a betrayal, Akash becomes her solace and both their lives are altered.",U
Chembarathipoo,"Vinod, still reeling from a failed relationship, falls head over heels in love with another girl. Will he succeed this time?",U/A 13+
Masti,"Siddappaji kills a don's sibling to avenge his brother's murder and becomes famous as Masti. Later, he decides to change his ways when he falls in love.",U/A 16+
Prajapathi,"Accused of killing his father and ill-treating his mother, 13-year-old Narayanan is sent to a juvenile home. When he returns to his village, trouble finds him.",U/A 13+
Prema Lekhalu,"Sujatha breaks up with Madan after he cheats on her and marries his cousin instead. But with Madan out to seek revenge from her, how will she save her marriage?",U/A 13+
Bears,The movie showcases a year in the life of two mother bears as they impart life lessons to their impressionable young cubs.,U
Etho Oru Swapnam,"A failed love marriage makes Kausalya hell-bent on protecting her daughter, Shobha, from falling in love. Can Shobha forgo her feelings for her mother's sake?",U/A 13+
Bal Ganesh 3,"A group of alien kids visits Earth to find out more about Bal Ganesh. They meet three mice, Dhoti, Topi and Suit Boot, who share Bal Ganesh's adventurous tales.",U
Myth: A Frozen Tale,A family sits down for a bedtime story and is transported to a forest filled with elemental spirits.,U
Hai Cheliya,"Joshi's life turns around when his mother dies and his estranged father returns. Will they connect with each other, or will past baggage make things worse?",U/A 13+
Satya in Love,"Having followed and observed Veda on multiple occasions, Satya feels attracted to her. But he has a lot of unexpected battles to fight to win her over.",U/A 13+
Rajathanthram,"Keshava Menon and Madhavan Nair are business partners. When Menon dies suddenly, Nair steals his wealth. Menon's son decides to seek justice.",U/A 13+
Tron,A computer hacker is abducted into the digital world and forced to participate in gladiatorial games where his only chance of escape is with the help of a heroic security program.,U/A 7+
Sandhesam,Raghavan dreams of spending his retired life with his family. Things change when his two sons become members of rival political parties.,U
Veera Badrudu,"Purnamma is in love with Sambaiah but is forced to marry someone else. However, things get worse when her father wants to seize land that belongs to Sambaiah.",U/A 13+
Snehaveedu,"After trying his luck everywhere, Ajayan returns home to look after his ailing mother. Things take a turn when, one day, a boy arrives claiming to be his son.",U
Bullet Raja,"Raja dies an untimely death and pleads to Lord Yama, who grants him a new life. He returns to earth as a minister, but can he win everything back?",U/A 13+
Middle Class Ambala,"Young, middle-class boy Nani has to protect his sister-in-law, a transport official from a gangster, who runs an illegal transport business.",U/A 13+
Josh,"Indra saves his best friend's sister, Anuradha, from a bad situation due to an ongoing family feud. But Anuradha is not yet out of danger.",U/A 16+
O2,"When a group of bus passengers get stuck in a landslide, a single mother struggles to protect her son and secure his oxygen cylinder from a desperate officer.",U/A 16+
Sabash Gowtham,"Gowtham decides to reunite his grandfather with his estranged daughter. However, the path to complete his mission is not easy.",U/A 13+
The Greatest Game Ever Played,"Francis Ouimet, an aspiring golfer, battles the class prejudice for a chance to participate against his idol legendary golfer Harry Verdon.",U/A 7+
Bin Bulaaye,A story of desires and attachments in a beautiful way.,U
Gulabi Talkies,"After her husband abandons her, Gulabi leads a lonely life. She loves cinema, and when her family gifts her a television, villagers begin to flock to her house.",U/A 7+
Tony,"Tony will stop at nothing for money. But when he meets Niharika, he will stop at nothing for love.",U/A 13+
Lee,"Leela and Charlee are madly in love with each other. Apart from their families being at loggerheads, an international don makes an entry to add to the chaos.",U/A 16+
Arendelle Castle Yule Log,Set the wintry mood for this year's holiday celebration with Anna and Elsa’s Arendelle Castle yule log.,U
Kalleshi Malleshi,"Film star Kallesh, vegetable seller Mallesh and a local goon Chik Chethan are lookalikes. Their similar looks lead to a comedy of errors and confusion.",U/A 7+
Oka Laila Kosam,"Nandana is upset when her wedding is fixed with Karthik as she thinks he doesn't love her. However, her feelings change when she reads a book written by him.",U/A 13+
Stanley Ka Dabba,"A gluttonous teacher is in the habit of eating his students' tiffins. When he finds out that Stanley doesn't get his own lunch box, he gives out an ultimatum.",U
Ice Cream,Omanakuttan and Viswanadhan are happy to get away from their strict wives. What happens when two girls who have fled from a mental asylum get into their car?,U/A 13+
Tumko Na Bhool Paayenge,Haunting hallucinations of Veer's past and his strange bond with Mehak hold the key to the mysteries of his present. Will he be able to uncover the truth?,U/A 13+
Oru Marubhoomikkadha,"Madhavan toils hard in the Middle East. To make matters worse, a girl stages her kidnapping and involves him in the mess.",U
Kelor Kirti,Chaos and misunderstandings ensue when a glamorous woman enters the lives of three couples. A complete comedy of errors.,U/A 13+
A Simple Plan,"The best-laid plans often go awry. When a man sets out to nab two kidnappers, will his plan unfold perfectly or will he pay a hefty price for his recklessness?",U/A 16+
A Deadly Secret: The Robert Bierer Story,"Robert Bierer explains the guilt and remorse he feels over the death of his friend, Dale King, as he recounts the events leading up to the tragedy.",U/A 16+
Kiladi Krishna,"Krishna, who works as a clerk at a government office, outsmarts his rich and stingy father-in-law to teach him a valuable lesson.",U/A 7+
Parava,"Best friends Haseeb and Irshad share a common interest of rearing pigeons for competitions. However, a tragedy has them recalling how many lives got ruined.",U/A 13+
Sundrian Love,"A dialogue between the oppressor and the oppressed, which also brings up a lot of other questions in the end.",U/A 16+
Akkare Ninnoru Maran,"Achuthan is in love with his cousin, but his uncle wishes to marry her to an NRI. Hop into this joyride as Achuthan tricks his uncle for his approval.",U
Z-O-M-B-I-E-S 3,Zed and Addison's final year at Seabrook is disrupted by the arrival of intergalactic outsiders.,U/A 7+
Arjun Reddy,A short-tempered yet brilliant young medical surgeon immerses himself in drugs and alcohol when his lady-love is forced to marry someone else.,A
Mampazhakkalam,"Chandran returns after years in the Gulf to settle down in life. While his childhood love is already married, he finds himself getting involved in her problems.",U/A 13+
Raja Vijayarajendra Bahadur,"A family is haunted by what seems to be a ghost until a psychiatrist arrives to solve the mystery. Together, they unravel shocking facts and a dangerous secret.",U/A 13+
Bandhan,"Pooja is unable to bear a child and is forced to accept her husband's new mistress. Pooja's brother, Raju then decides to fight for his sister.",U/A 13+
Fantastic Four: Rise Of The Silver Surfer,"The Fantastic Four meet their greatest challenge yet as the enigmatic, intergalactic herald, The Silver Surfer, comes to Earth to prepare it for destruction.",U/A 7+
The Pee-Wee Herman Show On Broadway,"Subversive humor and childlike wonder based on both Reubens' original stage show, The Pee-wee Herman Show and Pee-wee's Playhouse.",U/A 13+
Gaddalakonda Ganesh,"An aspiring filmmaker secretly attempts to capture the nitty-gritty of a ruthless gangster's life. However, things start sliding downhill when he is caught.",U/A 13+
Chances,A middle-aged professor finds himself facing circumstances that challenge his notions about love and life. He is hesitant to be in a relationship with someone much younger. Will love find a way?,U/A 13+
Dheet Patangey,"A billion dreams came true in 1983 and 2011. Between the two big wins, four cricket-crazy friends set out to find answers and write their destinies.",U/A 16+
Maggie Simpson in ‘The Force Awakens From Its Nap’,"In a daycare far, far away… but still in Springfield, Maggie is on an epic quest for her stolen pacifier.",U/A 7+
Paaru W/o Devadas,Singer Dev and TV reporter Paaru are attacked and separated from each other in a village known for honour killings. Will the two lovers find each other again?,U/A 13+
Randilonnu,"A gentle lady brings up two young boys as her own. However, she doesn't know which one of them is her son.",U/A 13+
Super Cowboy,"A criminal who looks like the marshal of a village decides to save them from a villain. Meanwhile, the appearance of half a treasure map makes things exciting.",U/A 13+
Hanuman Da’Damdaar,"To prove that he is a brave boy, Maruti, a young boy sets out on a jungle adventure and transforms into India's original superhero, Hanuman.",U/A 13+
Dekhchish Ki Amon Bhabe,"Sameer's fear of clowns haunts him in his daily life, till one day he decides to do something about it.",U/A 16+
Maharishi,"Maharishi, an innocent villager, arrives in the city with his mother and sister. Here circumstances force him to fight dreaded criminals.",U/A 13+
Okkadu,"Ajay, a Kabbadi player, gets embroiled in a chaotic situation as he helps an ambitious Swapna escape from a notorious gang leader's clasp.",U/A 13+
Njan Kodiswaran,"Gopi finds a discarded suitcase full of money. When he decides to keep it for himself, he is unprepared for the trouble that lies ahead for him and his family.",U/A 13+
Nombarathippoovu,"Padmini becomes attached to an orphan girl, Gigi, with special needs. Later, when her estranged husband tries to reconcile with her, she is in a dilemma.",U
Enthino Pookkunna Pookkal,"Surendran gets his maid Savithri pregnant. To save her from disgrace, her brother gets her married to a widower. What happens when her husband learns the truth?",U/A 13+
Nan Life Alli,"Deepu's brother gets killed, and his lover, Ragini, commits suicide. But when his fiancé is Ragini's sister, there is more to the deaths than it appears.",U/A 7+
